# klumpy scan_alignments --alignment_map SRR8468506.bam --threads 32 --annotation /media/lokdeep/sdf/BUDDHA/BMCBIO/IL34_long_read_verification/Podarcis_muralis/GCF_004329235.1_PodMur_1.0_genomic.gtf
Region_Number	Reference_Seq	Start	End	Number_of_Groups	Genes
11	NC_041319.1	8150000	8875000	1,2,2,1,2,2,2,2,3,2,2,2,2,1,2,1,3,1,2,1,2,1,2,3,1	PTGIR,GNG8,DACT3,PRKD2,STRN4,FKRP,SLC1A5,AP2S1,ARHGAP35,NPAS1,TMEM160,LOC114602103,LOC114603287,LOC114602113,NOP53,LOC114603302
12	NC_041319.1	8925000	9400000	2,3,2,2,2,1,1,2,2,2,2,3,3,1,1,2	SELENOW,LOC114603291,LOC114603293,PRSS16,DMAC2,B3GNT8,BCKDHA,EXOSC5,TMEM91,B9D2,TGFB1
13	NC_041319.1	9425000	9550000	2,2,4,3	CCDC97,HNRNPUL1,AXL
14	NC_041319.1	9600000	9675000	3,1	CLPTM1,RELB,CLASRP
15	NC_041319.1	9700000	10050000	2,3,2,1,4,2,1,2,3,1,1,1,2	PPP1R37,NKPD1,LOC114602831,LOC114602131,BLOC1S3,LOC114603320,CXCR3,LOC114602142,LOC114603321,LOC114603322,LOC114603324,APOE,LOC114603328,LOC114603329,LOC114603331,LOC114603327,LOC114603330,LOC114603004
16	NC_041319.1	10075000	10250000	2,3,2,2,1	TOMM40,NECTIN2,LOC114603677,LOC114602146,BCAM
17	NC_041319.1	10275000	11525000	1,3,3,2,1,2,3,2,2,1,2,2,2,2,1,2,2,1,2,3,3,3,3,3,4,2,2,2,3,1,1,3,2,1,6,6,2,2,2,1,2,2,2,3,1,1,2	BCAM,CBLC,BCL3,LOC114602993,LOC114603341,LOC114603342,CEACAM20,CEACAM3,LOC114603640,LOC114603344,LOC114603347,LOC114603348,CEACAM1,LIPE,LOC114603350,MEGF8,LOC114603352,TMEM145,LOC114603405,LOC114603356,LOC114603357,CD79A,ARHGEF1,LOC114603359,LOC114602996,RABAC1,ATP1A3,GRIK5,ZNF574,POU2F2
18	NC_041319.1	11575000	11875000	3,1,2,1,2,1,8,8,5,2	POU2F2,DEDD2,LOC114603374,GSK3A,ERF,CIC,PAFAH1B3,DMRTC2,LOC114603383,LOC114603382,LOC114603384,LOC114603385
19	NC_041319.1	11925000	12100000	1,1,1,2,2	LOC114603387,LOC114603391,LOC114602175,LOC114603392,LOC114603389,LOC114603393,LOC114603016,RPS19
20	NC_041319.1	12150000	12500000	2,3,1,1,2,1,1,2,3,2,3,4,1	CADM4,LOC114603650,LOC114603396,LOC114603398,LOC114603116,LOC114603399,LOC114603400,LOC114603402,LOC114603401,LOC114603489,LOC114603410,LOC114603404,LOC114601486,LOC114601575
21	NC_041319.1	12525000	12750000	1,4,7,7,3,3	LOC114602179,LOC114602187,LOC114602190,LOC114603105,LOC114603409,LOC114603271
22	NC_041319.1	12900000	13050000	2,2,2,1	LOC114602193,LOC114602995
23	NC_041319.1	13125000	13225000	3,5,5	LOC114602881
24	NC_041319.1	13700000	13775000	2,1	LOC114602220
25	NC_041319.1	14175000	14250000	1,1	LOC114602237,LOC114603416
26	NC_041319.1	14425000	15550000	3,2,4,3,2,2,2,3,3,1,5,7,4,3,3,3,2,7,4,4,3,3,6,7,1,1,1,3,3,1,1,1,1,4,2,5,5,3,1	LOC114603198,LOC114602257,LOC114603054,LOC114601961,PINLYP,XRCC1,LOC114603419,ETHE1,LOC114603422,LOC114603424,LOC114602259,LOC114603423,LOC114603425,LYPD3,LOC114603427,LOC114603429,LOC114603428,LOC114602886,LOC114603430,LOC114603058,LOC114603431,LOC114603438,LOC114603452,LOC114603459,LOC114603457,LOC114603453,LOC114602260,LOC114602261,LOC114602262,LOC114602263,LOC114602265,LOC114603446,LOC114603449,LOC114603456,LOC114602267,LOC114603458,LOC114603451,LOC114603455,LOC114603461,LOC114603462,LOC114603460,LOC114602278,LOC114603448,LOC114603432,LOC114603445,LOC114602279,LOC114603450,LOC114603433,LOC114603434,LOC114603444,LOC114602282,LOC114603442
27	NC_041319.1	15600000	15675000	2,2	LOC114603441,LOC114603437,LOC114603439,LOC114603469,LOC114603466,LOC114603473
28	NC_041319.1	15700000	16325000	1,4,4,2,1,1,2,3,2,2,3,2,3,1,2,2,1,1,1,1,4,5,1	LOC114603469,LOC114603476,LOC114602287,LOC114602288,LOC114603468,LOC114603472,LOC114603475,LOC114603467,SMG9,LOC114603463,KCNN4,LOC114603477,SPACA6,LOC114603480,LOC114603481,HAS1,LOC114603484,LOC114602994,LOC114603106,LOC114603479,LOC114603586,LOC114603406,LOC114602292,LOC114602309,LOC114602317,LOC114603486,LOC114603485,LOC114602324,LOC114603250,PPP2R1A
29	NC_041319.1	16375000	16425000	6	LOC114602333
30	NC_041319.1	16525000	16700000	1,1,1,2,2,2	IGLON5,LOC114603492
31	NC_041319.1	16725000	18775000	2,2,2,2,2,2,2,2,2,1,1,1,2,1,2,3,4,1,1,2,2,2,1,1,3,3,3,3,1,1,1,1,1,2,3,1,2,2,2,2,1,2,1,2,2,1,2,5,5,2,2,3,2,3,2,1,5,6,2,2,3,2,2,3,1,5,5,3,1,1,1,3,2,3,2	LOC114603492,ETFB,LOC114603000,LOC114603494,LOC114603115,LOC114602646,LOC114603495,TRNAE-CUC_15,LOC114603496,LOC114602340,LOC114603497,LOC114603498,LOC114603499,LOC114602341,LOC114602353,LOC114602358,LOC114603500,LOC114603501,HAMP,USF2,LOC114603506,LOC114603504,LOC114602372,LOC114603588,LOC114602884,LOC114602885,LOC114602375,LOC114603509,LOC114603508,LOC114603507,LOC114603510,LOC114601478,LOC114603511,LOC114602377,LOC114602381,LOC114603144,LOC114602384,LOC114603019,LOC114602385,LOC114603512,LOC114603514,LOC114603515,LOC114603516,LOC114603517,LOC114603518,ATP4A,TMEM147,LOC114603520,LOC114603521,LSR,FAM187B,LOC114603524,HAUS5,ETV2,LOC114603529,RBM42,LOC114603531,LOC114603532,LOC114603533,LOC114603534,LOC114603536,LOC114603535,PSMC4,GRAMD1A,SCN1B,FNDC8,HPN,LOC114601842,LOC114603545,LOC114603544,LOC114603547,LOC114603546,LOC114602404,LOC114603548,LOC114603549,LOC114602407,LOC114602409,LOC114603550,LOC114603552,LOC114603553,LOC114603007,LOC114603249,LOC114603049,LOC114602411,LOC114602412,LOC114602414,LOC114603560,LOC114603557,LOC114602417
32	NC_041319.1	18850000	19200000	2,6,3,2,1,1,2,1,2,3,4,7	LOC114603559,LOC114602420,LOC114603558,LOC114603556,LOC114602429,LOC114602430,LOC114602435,LOC114603554,LOC114602436,LOC114602887
33	NC_041319.1	19350000	19775000	1,1,2,1,1,2,3,4,4,1,2,2,9,10	NFKBID,LOC114602891,NPHS1,KIRREL2,APLP1,UPK1A,ARHGAP33,PROSER3,LIN37,HSPB6
34	NC_041319.1	19875000	20825000	2,3,3,2,1,2,1,2,1,2,1,2,2,2,2,2,1,2,3,2,3,8,2,1,3,1,1,1,2,1,1,3	LOC114603573,LOC114602893,LOC114603575,LOC114602894,LOC114602895,LOC114603576,LOC114603577,LOC114603580,DBR1,IL20RB,FBL,DYRK1B,LOC114603583,CTU1,LOC114602896,LOC114603587,ZMPSTE24,KDM1A,LUZP1,HTR1D,HNRNPR,ATP5IF1,DNAJC8,PTAFR,EYA3,XKR8,SMPDL3B,RPA2,THEMIS2,PPP1R8,LOC114603673,STX12,CITED4
35	NC_041319.1	20925000	21075000	2,3,2,2,3	CTPS1,SLFNL1,SCMH1
36	NC_041319.1	21225000	21300000	3,3	FOXO6
37	NC_041319.1	21325000	21375000	2	FOXO6
38	NC_041319.1	21675000	22550000	2,3,2,3,2,3,2,2,2,2,2,3,3,3,1,4,3,3,2,1,1,1,2,3,2,2,3,3,2,2,2,1	EDN2,HIVEP3,LOC114603614,SERINC2,LOC114603616,FABP3,ZCCHC17,SNRNP40,NKAIN1,PUM1,LOC114603660,LOC114603662,LOC114603661,SDC3,MATN1
39	NC_041319.1	23025000	23100000	2,4	LOC114602898
40	NC_041319.1	23175000	23275000	1,2,1	PTPRU
41	NC_041319.1	23300000	23475000	1,3,3,1,2,2	PTPRU
42	NC_041319.1	23550000	24300000	3,2,1,1,2,3,2,1,2,4,2,3,2,3,3,3,3,2,3,3,3,2,1,1,3,3	PTPRU,MECR,LOC114602899,SRSF4,LOC114602900,TMEM200B,EPB41,LOC114603633,TRNAU1AP,LOC114603663,LOC114603667,LOC114603669,LOC114603675,RAB42,LOC114601472,TAF12,LOC114603672,LOC114601474,LOC114601475,LOC114601476,YTHDF2
43	NC_041319.1	24325000	24450000	3,3,6,8	LOC114601479
44	NC_041319.1	24475000	25075000	2,2,2,2,3,3,3,2,3,4,2,3,2,1,1,2,2,2,2,1	ID3,LOC114601482,E2F2,ASAP3,TCEA3,LOC114603646,LOC114601485,LOC114603140,LOC114602322,OPRD1,RCC1,LOC114601489,LOC114603657,LOC114603658,LOC114603655,LOC114603656,SYTL1,MAP3K6,LOC114601492
45	NC_041319.1	25175000	25375000	2,4,4,3,2,2	WASF2,AHDC1,LOC114603636
46	NC_041319.1	25425000	25875000	1,2,3,2,2,1,1,2,1,1,1,2,6,8	AHDC1,FGR,LOC114601499,LOC114601500,LOC114601501,FAM76A,SESN2,MED18,PHACTR4,LOC114603114
47	NC_041319.1	25900000	26150000	3,2,2,2,1,2,1,3	LOC114601507,WDTC1,SLC9A1,LOC114601512,TENT5B
48	NC_041319.1	26200000	26325000	3,3,3,3	LOC114603002,TRNP1,KDF1,LOC114603003,NUDC
49	NC_041319.1	26375000	26750000	2,3,2,3,2,2,1,2,2,1,2,3,2	SFN,ZDHHC18,PIGV,ARID1A,LOC114601526,RPS6KA1,LOC114601525,HMGN2,DHDDS
50	NC_041319.1	26800000	27150000	2,2,3,3,3,3,1,2,3,3,3,2,1	LIN28A,CRYBG2,UBXN11,SH3BGRL3,CEP85,CNKSR1,LOC114601538,ZNF593,C8H1orf232,FAM110D,PDIK1L,TRIM63
51	NC_041319.1	27175000	27900000	2,3,1,1,3,2,2,2,2,3,3,3,5,4,3,1,3,3,2,3,1,2,3,7,7	SLC30A2,EXTL1,LOC114601547,PAFAH2,LOC114601550,STMN1,PAQR7,AUNIP,MTFR1L,SELENON,MAN1C1,LDLRAP1,LOC114603574,MACO1,LOC114601559,TMEM50A,RSRP1,SYF2,LOC114601564
52	NC_041319.1	27925000	27975000	2	LOC114602902
53	NC_041319.1	28000000	28050000	2	RUNX3
54	NC_041319.1	28125000	28875000	2,3,2,1,2,2,1,2,2,2,2,3,3,2,5,7,6,2,1,2,5,3,1,3,3	CLIC4,SRRM1,NCMAP,RCAN3,NIPAL3,STPG1,GRHL3,IFNLR1,IL22RA1,MYOM3,LOC114602903,LOC114601580,LOC114603020,LOC114601581,LOC114601582,LOC114601583,LOC114601584,PNRC2,CNR2,FUCA1,HMGCL,LOC114601590,GALE,LYPLA2,PITHD1
55	NC_041319.1	28900000	29250000	1,2,2,3,2,2,2,2,1,1,1	ELOA,LOC114601595,TRNASTOP-UCA,RPL11,LOC114601597,LOC114601598,PPT1,CAP1,MFSD2A,LOC114601603,LOC114601605,LOC114602904,NCDN
56	NC_041319.1	29325000	30375000	2,2,2,1,2,1,2,2,2,2,2,1,2,2,3,1,2,2,2,1,2,1,1,1,2,2,2,1,2,2,1,2,1,2,3,2,1	TFAP2E,PSMB2,LOC114601609,LOC114601610,LOC114601613,LOC114601612,C8H1orf216,LOC114603654,CLSPN,AGO4,LOC114601616,LOC114601617,TEKT2,ADPRHL2,COL8A2,LOC114601622,TRAPPC3,LOC114601628,LOC114601629,LOC114601627,MAP7D1,ZMYM4,SFPQ,TMEM35B,LOC114601634,DLGAP3
57	NC_041319.1	30425000	30625000	2,3,2,4,4,5	DLGAP3,SMIM12,GJA4,LOC114601639,LOC114602905,LOC114601640,LOC114601641
58	NC_041319.1	30700000	30750000	1	TRNAA-UGC_21
59	NC_041319.1	30975000	31100000	2,2,2,3	C8H1orf94,CSMD2
60	NC_041319.1	31125000	31250000	2,1,3	CSMD2
61	NC_041319.1	31275000	31500000	1,3,2,2,3,2,3	CSMD2
62	NC_041319.1	31650000	31725000	1,1	RIMS3,NFYC
63	NC_041319.1	31775000	32425000	2,2,3,1,3,2,2,2,1,1,1,2,4,1,2,3,2,2,12,15,2,2,3	KCNQ4,TINAGL1,PEF1,LOC114601655,LOC114601652,COL16A1,LOC114601658,ADGRB2,LOC114601657
64	NC_041319.1	32775000	32875000	3,3,2	LOC114601659,SPOCD1,LOC114601661
65	NC_041319.1	32900000	32975000	1,2	PTP4A2,KHDRBS1,LOC114602907,TMEM39B
66	NC_041319.1	33025000	33150000	3,2,3,2	MARCKSL1,HDAC1,LCK,FAM167B,LOC114601669,EIF3I
67	NC_041319.1	33175000	33250000	3,1	SH3D21,LOC114601678,THRAP3,MYCL,TRIT1
68	NC_041319.1	33275000	33350000	1,1	TRIT1,LOC114601682,HPCAL4
69	NC_041319.1	33375000	33550000	2,4,4,2,3	NT5C1A,HEYL,PABPC4,LOC114603670,LOC114603671,PPIE,LOC114602908,LOC114601692,MACF1,LOC114601693
70	NC_041319.1	33575000	33775000	2,4,4,3,2,2,2	MACF1
71	NC_041319.1	33800000	34100000	1,2,2,2,3,2,2,2,1	AZIN2,LOC114601698,AK2,LOC114601702,RNF19B,TMEM54,HPCA,FNDC5,S100PBP,YARS,KIAA1522
72	NC_041319.1	34175000	34550000	2,2,1,2,1,2,1,2,1,2,2,2	ZBTB8A,ZBTB8B,BSDC1,LOC114601719,LOC114601720,LOC114601726,FAM229A,LOC114602909,LOC114601722,CCDC28B,DCDC2B,LOC114601727,LOC114601729,EVA1B,LOC114601732,STK40,LSM10,LOC114601737,OSCP1,MRPS15,CSF3R
73	NC_041319.1	34750000	35125000	3,2,2,6,9,2,4,3,2,1,2,2	LOC114603064,LOC114603010,GRIK3
74	NC_041319.1	35250000	35300000	3	LOC114602529,ZC3H12A
75	NC_041319.1	35325000	35650000	2,4,3,1,2,2,2,2,3,4,4	MEAF6,SNIP1,DNALI1,GNL2,RSPO1,C8H1orf109,EPHA10,MANEAL,YRDC,MTF1,INPP5B,LOC114601755,LOC114601754,SF3A3,FHL3,UTP11
76	NC_041319.1	35675000	35750000	1,2	LOC114603011
77	NC_041319.1	35850000	36075000	2,1,1,2,2,2,2	RRAGC,MYCBP,GJA9,RHBDL2,POLR2C,LOC114601768,NUP93,SLC12A3,LOC114601771
78	NC_041319.1	36100000	36400000	1,1,8,8,3,2,3,1,1,1,3	CETP,NLRC5,CPNE2,FAM192A,RSPRY1,LOC114601781,ARL2BP,PLLP,TRNAL-CAG_1,CX3CL1
79	NC_041319.1	36450000	36975000	3,2,2,1,2,2,1,1,2,4,2,3,3,1,2,3,3,2,2,3	ADGRG1,LOC114601785,DRC7,LOC114601787,LOC114601788,ADGRG5,CCDC102A,DOK4,COQ9,CIAPIN1,LOC114601795,LOC114601797,TMEM170A,CFDP1,BCAR1,LOC114602911,LOC114603013,LDHD,ZNRF1,WDR59
80	NC_041319.1	37000000	37175000	1,3,2,2,3	FA2H,MLKL,RFWD3,GLG1
81	NC_041319.1	37375000	37900000	1,1,2,1,1,2,2,3,5,3,2,3,2,3,2,2,2,2	CEBPA,CEBPG,LOC114601816,PEPD,CHST8
82	NC_041319.1	37925000	38050000	2,3,4,4	KCTD15,LOC114603648
83	NC_041319.1	38100000	38475000	2,3,1,1,3,4,2,2,3,2,3,2	TRNAK-CUU_26,LSM14A,PDCD2L,UBA2,WTIP,LOC114603647,GPI,KIAA0355,LOC114601829,SS18L2,KATNB1,KIFC3,CNGB1
84	NC_041319.1	38525000	38600000	1,2	ZNF319,USB1,LOC114601841,MMP15,CFAP20,CSNK2A2
85	NC_041319.1	38725000	38925000	2,2,2,1,2,3	CNOT1,LOC114603668,LOC114601854,SLC38A7,GOT2,CALB2,HYDIN
86	NC_041319.1	39000000	39400000	2,1,1,2,3,3,2,2,2,1,2,1,1,3	VAC14,MTSS2,SF3B3,LOC114603676,LOC114601863,LOC114601865,FCSK,ST3GAL2,LOC114601869,LOC114601875,LOC114601873,LRRC36,KCTD19,PLEKHG4,LOC114601876
87	NC_041319.1	39450000	39525000	3,1	HSD11B2,LOC114601881,ATP6V0D1,AGRP
88	NC_041319.1	39550000	39725000	2,3,1,2,2,2	LCAT,KIAA0895L,CIAO2B,LOC114601883,LOC114601888,LOC114601889,LOC114602913,LOC114601892,LOC114601893,LOC114601894,BBS2
89	NC_041319.1	39750000	39900000	3,2,2,3,3	NUDT21,AMFR,GNAO1
90	NC_041319.1	40100000	40700000	2,2,2,2,2,1,2,1,2,3,4,4,4,1,1,1,2,2,2,2,2,2,1	CBFB,C8H16orf70,B3GNT9,TRADD,FBXL8,LOC114602914,HSF4,DNAAF1,HSDL1,MBTPS1,SLC38A8,NECAB2,OSGIN1,LOC114602915,TMEM30B,LOC114601914
91	NC_041319.1	40750000	40950000	2,2,2,2,3,2,1	PRMT7,SMPD3
92	NC_041319.1	41125000	41450000	2,3,3,2,2,2,2,3,2,2,3,2	NFATC3,DUS2,DDX28,LOC114601929,LOC114602916,LOC114601930,LOC114601933,SLC12A4,PLCG2
93	NC_041319.1	41475000	41775000	1,3,2,3,3,1,1,2,1	CMIP,GAN,BCO1,PKD1L2
94	NC_041319.1	41825000	42000000	2,4,3,3,2,2	C8H16orf46,ATMIN,CENPN,CMC2,CDYL2,LOC114601947
95	NC_041319.1	42150000	42200000	5	LOC114601513,LOC114601949
96	NC_041319.1	42600000	42850000	2,2,2,1,3,2,2,3,1	LOC114601955,MAF
97	NC_041319.1	42900000	43375000	1,1,1,2,2,2,3,3,1,1,2,2,1,3,2,2,2,3	WWOX
98	NC_041319.1	43475000	43600000	3,2,2,2	CLEC3A,VAT1L,NUDT7,LOC114601960
99	NC_041319.1	43625000	43800000	3,4,3,2,2	ADAMTS18
100	NC_041319.1	44200000	44275000	4,3	LOC114602918
101	NC_041319.1	44875000	44950000	1,3	CDH8
102	NC_041319.1	45025000	45075000	3	CDH8
103	NC_041319.1	45300000	45350000	4	LOC114601973
104	NC_041319.1	45450000	45550000	4,3,2	LOC114601975,LOC114603639
105	NC_041319.1	45950000	46150000	2,2,2,2,4,4,3	CDH11
106	NC_041319.1	46350000	46425000	8,2	LOC114603653
107	NC_041319.1	46875000	47300000	6,7,6,3,2,2,2,2,3,3,3,1,1,2,3	CDH5,BEAN1,LOC114601985,LOC114601986,TK2,LOC114601989,CMTM3,CMTM4,DYNC1LI2,TERB1,NAE1,LOC114601996,CA7,PDP2,RRAD,TPPP3,ZDHHC1,TMEM208
108	NC_041319.1	47350000	47725000	1,2,3,3,2,2,2,3,2,2,1,2	E2F4,EXOC3L1,LOC114602009,LOC114602920,LOC114602921,LOC114602922,PSKH1,NRN1L,EDC4,NUTF2,THAP11,CENPT,TSNAXIP1,RANBP10,LOC114602923,LOC114602028,GFOD2,C8H16orf86,ENKD1,PARD6A,LOC114602020
109	NC_041319.1	47775000	47875000	4,3,1	CARMIL2,CTCF,LOC114602032,RIPOR1
110	NC_041319.1	47900000	47950000	2	RIPOR1,LOC114602035
111	NC_041319.1	47975000	48050000	2,2	LOC114602036,LOC114602034,LOC114602039,LOC114602038,LOC114602040,TMEM231,GABARAPL2,ADAT1
112	NC_041319.1	48100000	48250000	2,3,2,3	TAT,MARVELD3,AP1G1,LOC114603674,ATXN1L,ZNF821,IST1,PKD1L3,LOC114602055,LOC114602056,NFAT5
113	NC_041319.1	48325000	48375000	3	WWP2,PSMD7
114	NC_041319.1	48450000	48500000	1	LOC114602066
115	NC_041319.1	48625000	48725000	2,4,7	LOC114602069
116	NC_041319.1	49000000	49175000	2,1,2,2,1	PMFBP1,DHX38,DHODH,TERF2,TMED6,NIP7,COG8,PDF,VPS4A,SNTB2,UTP4,CHTF8,HAS3,TANGO6
117	NC_041319.1	49200000	49325000	2,2,3,2	TANGO6,LOC114602090,CDH1,CDH3,LOC114602092,GAS8,DBNDD1
118	NC_041319.1	49375000	49475000	1,2,2	TCF25,SPIRE2,TRNAD-GUC_2,FANCA
119	NC_041319.1	49500000	50225000	2,2,2,1,2,2,1,1,3,2,4,5,3,1,2,1,1,1,2,4,3,2,3,3,3	VPS9D1,LOC114602105,FBXO31,TRNAM-CAU_11,MAP1LC3B,ZCCHC14,JPH3,KLHDC4,LOC114602112,SLC7A5,CA5A,LOC114602116,BANP,ZNF469
120	NC_041319.1	50250000	50525000	2,2,2,2,1,7,7,3	ZNF469,ZFPM1,TRNAA-UGC_22,LOC114602121,ZC3H18
121	NC_041319.1	50625000	50825000	1,3,3,4,4,4	MVD,LOC114602130,SNAI3,RNF166,CTU2,PIEZO1,CDT1,APRT,GALNS
122	NC_041319.1	50900000	51000000	1,2,1	CBFA2T3,TRNAA-UGC_23,LOC114603076
123	NC_041319.1	51050000	51325000	3,2,2,2,4,6,8,4	ACSF3,CDH15,SLC22A31,ANKRD11
124	NC_041319.1	51400000	51700000	3,2,3,2,4,3,2,2,3,2,3	SPG7,RPL13,LOC114603666,CPNE7,LOC114602147,LOC114602148,DPEP1,CHMP1A,SPATA33,CDK10,SPATA2L,KIAA0513
125	NC_041319.1	51725000	51975000	2,2,3,2,1,2,2,3,1	KIAA0513,LOC114602156,FAM92B,LOC114602158,LOC114602159,LOC114602157
126	NC_041319.1	52125000	52325000	2,1,2,4,2,1	LOC114602157,GINS2,EMC8,LOC114602163,LOC114602164,IRF8
127	NC_041319.1	52400000	52475000	3,2	LOC114603095
128	NC_041319.1	52575000	52725000	2,1,3,3	LOC114602167,FOXF1,MTHFSD,FOXC2,FOXL1,LOC114602172
129	NC_041319.1	52775000	52925000	1,2,3,2	LOC114602174,LOC114602176
130	NC_041319.1	52950000	53450000	2,3,2,2,2,3,2,2,3,2,2,1,4,5,5,2,2	ZDHHC7,LOC114602177,CRISPLD2,USP10,LOC114602182,KLHL36,COTL1,MEAK7,ATP2C2,RPGRIP1L
131	NC_041319.1	53500000	53750000	3,3,4,2,2,2,1,2	FTO
132	NC_041319.1	53775000	53850000	4,3	IRX3,LOC114602192
133	NC_041319.1	53900000	53975000	3,3	LOC114602882
134	NC_041319.1	54225000	54350000	3,3,3	LOC114602194,IRX5,LOC114602197,LOC114602198
135	NC_041319.1	54550000	54650000	2,2,2	IRX6
136	NC_041319.1	54725000	55075000	1,3,2,2,2,5,7,4,1,2,3,2,4	MMP2,LPCAT2,CAPNS2,SLC6A2,SDR42E1,HSD17B2,LOC114602207,LOC114602208,LOC114602209,MPHOSPH6
137	NC_041319.1	55200000	55550000	3,4,3,1,2,2,2,1,2,1,3,2	CDH13
138	NC_041319.1	55575000	55850000	3,4,3,2,3,2,1,1,2,1	CDH13
139	NC_041319.1	55875000	55950000	1,3	TRNAA-UGC_24
140	NC_041319.1	55975000	56200000	4,4,6,2,2,3,2	LOC114602213,LOC114602930,LOC114602931,HSBP1,KCNG4,WFDC1
141	NC_041319.1	56225000	56300000	2,2	CYLD
142	NC_041319.1	56475000	56525000	3	SALL1
143	NC_041319.1	56975000	57150000	1,2,3,2,1,2	TOX3
