Chrom	Start	End
NC_041319.1	29881300	29882262
NC_041319.1	30188109	30189108
NC_041319.1	30913996	30914995
NC_041319.1	31683210	31684093
NC_041319.1	31994208	31995207
NC_041319.1	32282393	32283392
NC_041319.1	32466373	32466397
NC_041319.1	32615049	32615073
NC_041319.1	33911049	33912048
NC_041319.1	34289102	34290101
NC_041319.1	35074706	35075705
NC_041319.1	36090815	36090839
NC_041319.1	36601286	36602285
NC_041319.1	37284596	37285595
NC_041319.1	38228769	38229768
NC_041319.1	39182019	39182043
NC_041319.1	40496810	40496834
NC_041319.1	42517219	42517243
NC_041319.1	42769934	42770616
NC_041319.1	43099728	43099752
NC_041319.1	43549367	43550366
NC_041319.1	44308735	44309734
NC_041319.1	45140924	45141923
NC_041319.1	45653163	45653980
NC_041319.1	45669178	45670177
NC_041319.1	46770458	46771457
NC_041319.1	47805077	47806076
NC_041319.1	49991479	49992478
NC_041319.1	50456045	50457044
NC_041319.1	50470053	50471052
NC_041319.1	53305511	53306510
NC_041319.1	53409927	53410364
NC_041319.1	54016862	54017361
NC_041319.1	54339336	54339360
NC_041319.1	54571272	54571296
NC_041319.1	55437814	55438585
NC_041319.1	56000724	56001723
NC_041319.1	56026587	56026611
NC_041319.1	56511605	56512604
NC_041319.1	57282262	57283261
NC_041319.1	57299876	57300875
NC_041319.1	57946222	57946246
NC_041319.1	57965244	57965268
NC_041319.1	58447963	58448962
NC_041319.1	58730710	58730734
NC_041319.1	58848440	58848464
NC_041319.1	60328471	60329470
NC_041319.1	60537269	60538268
NC_041319.1	62060357	62060381
NC_041319.1	63141159	63142158
NC_041319.1	63212308	63213307
NC_041319.1	63247774	63248773
NC_041319.1	63589578	63590219
NC_041319.1	63613068	63614067
NC_041319.1	63645646	63645670
NC_041319.1	64572317	64572341
NC_041319.1	64674136	64675000
NC_041319.1	65551245	65552244
NC_041319.1	66428400	66429399
NC_041319.1	66444898	66445897
NC_041319.1	66755281	66755794
NC_041319.1	66954889	66955888
NC_041319.1	66980131	66980155
NC_041319.1	67253097	67253596
NC_041319.1	67641245	67642244
NC_041319.1	68543886	68544885
NC_041319.1	68827216	68828215
NC_041319.1	68914482	68915481
NC_041319.1	68956476	68956818
NC_041319.1	68984422	68984446
NC_041319.1	70761424	70761448
NC_041319.1	71531829	71532358
NC_041319.1	72660351	72661350
NC_041319.1	73283202	73283226
NC_041319.1	73690528	73691527
NC_041319.1	75110337	75111336
NC_041319.1	76098936	76099903
NC_041319.1	76399374	76400373
NC_041319.1	76698265	76699264
NC_041319.1	76844952	76845951
NC_041319.1	76899113	76900112
NC_041319.1	76945272	76945296
NC_041319.1	77033356	77034355
NC_041319.1	77113703	77114702
NC_041319.1	77128125	77129124
NC_041319.1	77281998	77282022
NC_041319.1	77307135	77308134
NC_041319.1	78348045	78349044
NC_041319.1	78665216	78666215
NC_041319.1	79193452	79194451
NC_041319.1	79596203	79596725
NC_041319.1	80002892	80003891
NC_041319.1	81278934	81279933
NC_041319.1	81520757	81521756
NC_041319.1	81792069	81792093
NC_041319.1	81821216	81821240
NC_041319.1	81945125	81945341
NC_041319.1	82031870	82032869
NC_041319.1	82255470	82256469
NC_041319.1	82618320	82618344
NC_041319.1	83063697	83064696
NC_041319.1	83311225	83311610
NC_041319.1	83322977	83323976
NC_041319.1	83815097	83816096
NC_041319.1	84283419	84284418
NC_041319.1	84395392	84396391
NC_041319.1	84507752	84507776
NC_041319.1	85894065	85895064
NC_041319.1	86092471	86092619
NC_041319.1	86113751	86114651
NC_041319.1	86145924	86146923
NC_041319.1	86806914	86806938
NC_041319.1	86818799	86819798
NC_041319.1	86967657	86968656
NC_041319.1	87194847	87195846
NC_041319.1	87554356	87555355
NC_041319.1	87765302	87766301
NC_041319.1	87977752	87978751
NC_041319.1	88003430	88003990
NC_041319.1	88031418	88031442
NC_041319.1	88202324	88203323
NC_041319.1	88480686	88481685
NC_041319.1	88511341	88512340
NC_041319.1	88654538	88655537
NC_041319.1	88746698	88747697
NC_041319.1	88754852	88755170
NC_041319.1	89072410	89073409
NC_041319.1	89087786	89088785
NC_041319.1	89112965	89113964
NC_041319.1	89416259	89417258
NC_041319.1	89685830	89686829
NC_041319.1	89953241	89954240
NC_041319.1	90265173	90266172
