Gene stable ID	Gene description	Chromosome/scaffold name	Gene start (bp)	Gene end (bp)	Ensembl Canonical	Gene name	Source of gene name	Gene % GC content	Gene type	GO term accession	GO term name	CDD ID	HGNC ID	NCBI gene (formerly Entrezgene) ID
ENSG00000077984	cystatin F [Source:HGNC Symbol;Acc:HGNC:2479]	20	24949269	24959928	1	CST7	HGNC Symbol	56.39	protein_coding	GO:1903979	negative regulation of microglial cell activation	cd00042	HGNC:2479	8530
ENSG00000128342	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	22	30240453	30246759	1	LIF	HGNC Symbol	58.9	protein_coding	GO:0045651	positive regulation of macrophage differentiation		HGNC:6596	3976
ENSG00000128342	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	22	30240453	30246759	1	LIF	HGNC Symbol	58.9	protein_coding	GO:0030225	macrophage differentiation		HGNC:6596	3976
ENSG00000128342	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	22	30240453	30246759		LIF	HGNC Symbol	58.9	protein_coding	GO:0045651	positive regulation of macrophage differentiation		HGNC:6596	3976
ENSG00000128342	LIF interleukin 6 family cytokine [Source:HGNC Symbol;Acc:HGNC:6596]	22	30240453	30246759		LIF	HGNC Symbol	58.9	protein_coding	GO:0030225	macrophage differentiation		HGNC:6596	3976
ENSG00000172458	interleukin 17D [Source:HGNC Symbol;Acc:HGNC:5984]	13	20702127	20723098		IL17D	HGNC Symbol	52.71	protein_coding	GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production		HGNC:5984	53342
ENSG00000172458	interleukin 17D [Source:HGNC Symbol;Acc:HGNC:5984]	13	20702127	20723098	1	IL17D	HGNC Symbol	52.71	protein_coding	GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production		HGNC:5984	53342
ENSG00000125378	bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]	14	53949736	53958761	1	BMP4	HGNC Symbol	53.91	protein_coding	GO:0030225	macrophage differentiation	cd19391	HGNC:1071	652
ENSG00000125378	bone morphogenetic protein 4 [Source:HGNC Symbol;Acc:HGNC:1071]	14	53949736	53958761		BMP4	HGNC Symbol	53.91	protein_coding	GO:0030225	macrophage differentiation	cd19391	HGNC:1071	652
ENSG00000130584	zinc finger and BTB domain containing 46 [Source:HGNC Symbol;Acc:HGNC:16094]	20	63743668	63832038	1	ZBTB46	HGNC Symbol	54.15	protein_coding	GO:0030225	macrophage differentiation	cd18230	HGNC:16094	140685
ENSG00000130584	zinc finger and BTB domain containing 46 [Source:HGNC Symbol;Acc:HGNC:16094]	20	63743668	63832038	1	ZBTB46	HGNC Symbol	54.15	protein_coding	GO:0045650	negative regulation of macrophage differentiation	cd18230	HGNC:16094	140685
ENSG00000288455	semaphorin 7A (JohnMiltonHagen blood group) [Source:HGNC Symbol;Acc:HGNC:10741]	HG2198_PATCH	238558	263227	1	SEMA7A	HGNC Symbol	57.81	protein_coding	GO:0060907	positive regulation of macrophage cytokine production	cd11243	HGNC:10741	8482
ENSG00000288455	semaphorin 7A (JohnMiltonHagen blood group) [Source:HGNC Symbol;Acc:HGNC:10741]	HG2198_PATCH	238558	263227		SEMA7A	HGNC Symbol	57.81	protein_coding	GO:0060907	positive regulation of macrophage cytokine production	cd11243	HGNC:10741	8482
ENSG00000124479	norrin cystine knot growth factor NDP [Source:HGNC Symbol;Acc:HGNC:7678]	X	43948776	43973395	1	NDP	HGNC Symbol	42.21	protein_coding	GO:0014004	microglia differentiation		HGNC:7678	4693
ENSG00000124479	norrin cystine knot growth factor NDP [Source:HGNC Symbol;Acc:HGNC:7678]	X	43948776	43973395	1	NDP	HGNC Symbol	42.21	protein_coding	GO:0061518	microglial cell proliferation		HGNC:7678	4693
ENSG00000155659	V-set and immunoglobulin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:17032]	X	66021738	66040125		VSIG4	HGNC Symbol	40.15	protein_coding	GO:0043031	negative regulation of macrophage activation	cd16082	HGNC:17032	11326
ENSG00000155659	V-set and immunoglobulin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:17032]	X	66021738	66040125	1	VSIG4	HGNC Symbol	40.15	protein_coding	GO:0043031	negative regulation of macrophage activation	cd16082	HGNC:17032	11326
ENSG00000155659	V-set and immunoglobulin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:17032]	X	66021738	66040125	1	VSIG4	HGNC Symbol	40.15	protein_coding	GO:0043031	negative regulation of macrophage activation	cd16089	HGNC:17032	11326
ENSG00000155659	V-set and immunoglobulin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:17032]	X	66021738	66040125		VSIG4	HGNC Symbol	40.15	protein_coding	GO:0043031	negative regulation of macrophage activation	cd16089	HGNC:17032	11326
ENSG00000155659	V-set and immunoglobulin domain containing 4 [Source:HGNC Symbol;Acc:HGNC:17032]	X	66021738	66040125		VSIG4	HGNC Symbol	40.15	protein_coding	GO:0043031	negative regulation of macrophage activation		HGNC:17032	11326
ENSG00000100030	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	22	21759657	21867680	1	MAPK1	HGNC Symbol	43.44	protein_coding	GO:0010759	positive regulation of macrophage chemotaxis	cd07849	HGNC:6871	5594
ENSG00000100030	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	22	21759657	21867680	1	MAPK1	HGNC Symbol	43.44	protein_coding	GO:0120041	positive regulation of macrophage proliferation	cd07849	HGNC:6871	5594
ENSG00000100030	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	22	21759657	21867680		MAPK1	HGNC Symbol	43.44	protein_coding	GO:0010759	positive regulation of macrophage chemotaxis	cd07849	HGNC:6871	5594
ENSG00000100030	mitogen-activated protein kinase 1 [Source:HGNC Symbol;Acc:HGNC:6871]	22	21759657	21867680		MAPK1	HGNC Symbol	43.44	protein_coding	GO:0120041	positive regulation of macrophage proliferation	cd07849	HGNC:6871	5594
ENSG00000100985	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	20	46008908	46016561	1	MMP9	HGNC Symbol	56.94	protein_coding	GO:0030225	macrophage differentiation	cd00062	HGNC:7176	4318
ENSG00000100985	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	20	46008908	46016561	1	MMP9	HGNC Symbol	56.94	protein_coding	GO:0030225	macrophage differentiation	cd04278	HGNC:7176	4318
ENSG00000100985	matrix metallopeptidase 9 [Source:HGNC Symbol;Acc:HGNC:7176]	20	46008908	46016561	1	MMP9	HGNC Symbol	56.94	protein_coding	GO:0030225	macrophage differentiation	cd00094	HGNC:7176	4318
ENSG00000284774	heat shock transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:5224]	HG2419_PATCH	22194	45323	1	HSF1	HGNC Symbol	56.87	protein_coding	GO:0045651	positive regulation of macrophage differentiation		HGNC:5224	3297
ENSG00000136160	endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180]	13	77895481	77975529		EDNRB	HGNC Symbol	38.12	protein_coding	GO:0048246	macrophage chemotaxis	cd15976	HGNC:3180	1910
ENSG00000136160	endothelin receptor type B [Source:HGNC Symbol;Acc:HGNC:3180]	13	77895481	77975529	1	EDNRB	HGNC Symbol	38.12	protein_coding	GO:0048246	macrophage chemotaxis	cd15976	HGNC:3180	1910
ENSG00000159128	interferon gamma receptor 2 [Source:HGNC Symbol;Acc:HGNC:5440]	21	33403413	33479348	1	IFNGR2	HGNC Symbol	44.66	protein_coding	GO:0001774	microglial cell activation	cd00063	HGNC:5440	3460
ENSG00000122691	twist family bHLH transcription factor 1 [Source:HGNC Symbol;Acc:HGNC:12428]	7	19020991	19117636	1	TWIST1	HGNC Symbol	37.36	protein_coding	GO:0010936	negative regulation of macrophage cytokine production	cd11412	HGNC:12428	7291
ENSG00000106100	nucleotide binding oligomerization domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16390]	7	30424527	30478784	1	NOD1	HGNC Symbol	46.77	protein_coding	GO:0038187	pattern recognition receptor activity	cd08324	HGNC:16390	10392
ENSG00000106100	nucleotide binding oligomerization domain containing 1 [Source:HGNC Symbol;Acc:HGNC:16390]	7	30424527	30478784	1	NOD1	HGNC Symbol	46.77	protein_coding	GO:0060907	positive regulation of macrophage cytokine production	cd08324	HGNC:16390	10392
ENSG00000166523	C-type lectin domain family 4 member E [Source:HGNC Symbol;Acc:HGNC:14555]	12	8533305	8540905	1	CLEC4E	HGNC Symbol	39.84	protein_coding	GO:0038187	pattern recognition receptor activity	cd03590	HGNC:14555	26253
ENSG00000160255	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	21	44885953	44931989		ITGB2	HGNC Symbol	57.45	protein_coding	GO:0001774	microglial cell activation		HGNC:6155	3689
ENSG00000160255	integrin subunit beta 2 [Source:HGNC Symbol;Acc:HGNC:6155]	21	44885953	44931989	1	ITGB2	HGNC Symbol	57.45	protein_coding	GO:0001774	microglial cell activation		HGNC:6155	3689
ENSG00000197969	vacuolar protein sorting 13 homolog A [Source:HGNC Symbol;Acc:HGNC:1908]	9	77177445	77421537	1	VPS13A	HGNC Symbol	35.88	protein_coding	GO:0014004	microglia differentiation		HGNC:1908	23230
ENSG00000166527	C-type lectin domain family 4 member D [Source:HGNC Symbol;Acc:HGNC:14554]	12	8509475	8522366	1	CLEC4D	HGNC Symbol	37.46	protein_coding	GO:0038187	pattern recognition receptor activity	cd03590	HGNC:14554	338339
ENSG00000016082	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	5	51383448	51394730	1	ISL1	HGNC Symbol	44.27	protein_coding	GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production	cd00086	HGNC:6132	3670
ENSG00000016082	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	5	51383448	51394730	1	ISL1	HGNC Symbol	44.27	protein_coding	GO:0071657	positive regulation of granulocyte colony-stimulating factor production	cd00086	HGNC:6132	3670
ENSG00000016082	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	5	51383448	51394730	1	ISL1	HGNC Symbol	44.27	protein_coding	GO:1901258	positive regulation of macrophage colony-stimulating factor production	cd00086	HGNC:6132	3670
ENSG00000016082	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	5	51383448	51394730	1	ISL1	HGNC Symbol	44.27	protein_coding	GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production	cd09366	HGNC:6132	3670
ENSG00000016082	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	5	51383448	51394730	1	ISL1	HGNC Symbol	44.27	protein_coding	GO:0071657	positive regulation of granulocyte colony-stimulating factor production	cd09366	HGNC:6132	3670
ENSG00000016082	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	5	51383448	51394730	1	ISL1	HGNC Symbol	44.27	protein_coding	GO:1901258	positive regulation of macrophage colony-stimulating factor production	cd09366	HGNC:6132	3670
ENSG00000016082	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	5	51383448	51394730	1	ISL1	HGNC Symbol	44.27	protein_coding	GO:0032725	positive regulation of granulocyte macrophage colony-stimulating factor production	cd09374	HGNC:6132	3670
ENSG00000016082	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	5	51383448	51394730	1	ISL1	HGNC Symbol	44.27	protein_coding	GO:0071657	positive regulation of granulocyte colony-stimulating factor production	cd09374	HGNC:6132	3670
ENSG00000016082	ISL LIM homeobox 1 [Source:HGNC Symbol;Acc:HGNC:6132]	5	51383448	51394730	1	ISL1	HGNC Symbol	44.27	protein_coding	GO:1901258	positive regulation of macrophage colony-stimulating factor production	cd09374	HGNC:6132	3670
ENSG00000172243	C-type lectin domain containing 7A [Source:HGNC Symbol;Acc:HGNC:14558]	12	10116777	10130258		CLEC7A	HGNC Symbol	37.42	protein_coding	GO:0038187	pattern recognition receptor activity	cd03593	HGNC:14558	64581
ENSG00000172243	C-type lectin domain containing 7A [Source:HGNC Symbol;Acc:HGNC:14558]	12	10116777	10130258		CLEC7A	HGNC Symbol	37.42	protein_coding	GO:0038187	pattern recognition receptor activity		HGNC:14558	64581
ENSG00000172243	C-type lectin domain containing 7A [Source:HGNC Symbol;Acc:HGNC:14558]	12	10116777	10130258	1	CLEC7A	HGNC Symbol	37.42	protein_coding	GO:0038187	pattern recognition receptor activity	cd03593	HGNC:14558	64581
ENSG00000139687	RB transcriptional corepressor 1 [Source:HGNC Symbol;Acc:HGNC:9884]	13	48303744	48599436	1	RB1	HGNC Symbol	38.5	protein_coding	GO:0045651	positive regulation of macrophage differentiation	cd20599	HGNC:9884	5925
ENSG00000276561	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	HSCHR11_1_CTG8	142446	145898		IRF7	HGNC Symbol	67.07	protein_coding	GO:2000110	negative regulation of macrophage apoptotic process	cd00103	HGNC:6122	3665
ENSG00000276561	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	HSCHR11_1_CTG8	142446	145898		IRF7	HGNC Symbol	67.07	protein_coding	GO:2000110	negative regulation of macrophage apoptotic process		HGNC:6122	3665
ENSG00000276561	interferon regulatory factor 7 [Source:HGNC Symbol;Acc:HGNC:6122]	HSCHR11_1_CTG8	142446	145898	1	IRF7	HGNC Symbol	67.07	protein_coding	GO:2000110	negative regulation of macrophage apoptotic process	cd00103	HGNC:6122	3665
ENSG00000205846	C-type lectin domain containing 6A [Source:HGNC Symbol;Acc:HGNC:14556]	12	8455962	8478330	1	CLEC6A	HGNC Symbol	36.72	protein_coding	GO:0038187	pattern recognition receptor activity	cd03590	HGNC:14556	93978
ENSG00000142192	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	21	25880535	26171128		APP	HGNC Symbol	39.73	protein_coding	GO:0001774	microglial cell activation		HGNC:620	351
ENSG00000142192	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	21	25880535	26171128	1	APP	HGNC Symbol	39.73	protein_coding	GO:0001774	microglial cell activation	cd22607	HGNC:620	351
ENSG00000142192	amyloid beta precursor protein [Source:HGNC Symbol;Acc:HGNC:620]	21	25880535	26171128		APP	HGNC Symbol	39.73	protein_coding	GO:0001774	microglial cell activation	cd22607	HGNC:620	351
ENSG00000035720	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	4	67558727	67607337	1	STAP1	HGNC Symbol	37.8	protein_coding	GO:0010760	negative regulation of macrophage chemotaxis	cd10403	HGNC:24133	26228
ENSG00000035720	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	4	67558727	67607337	1	STAP1	HGNC Symbol	37.8	protein_coding	GO:0005157	macrophage colony-stimulating factor receptor binding	cd10403	HGNC:24133	26228
ENSG00000035720	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	4	67558727	67607337	1	STAP1	HGNC Symbol	37.8	protein_coding	GO:1902227	negative regulation of macrophage colony-stimulating factor signaling pathway	cd10403	HGNC:24133	26228
ENSG00000035720	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	4	67558727	67607337	1	STAP1	HGNC Symbol	37.8	protein_coding	GO:1903980	positive regulation of microglial cell activation	cd10403	HGNC:24133	26228
ENSG00000035720	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	4	67558727	67607337	1	STAP1	HGNC Symbol	37.8	protein_coding	GO:1904140	negative regulation of microglial cell migration	cd10403	HGNC:24133	26228
ENSG00000035720	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	4	67558727	67607337	1	STAP1	HGNC Symbol	37.8	protein_coding	GO:0010760	negative regulation of macrophage chemotaxis	cd13268	HGNC:24133	26228
ENSG00000035720	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	4	67558727	67607337	1	STAP1	HGNC Symbol	37.8	protein_coding	GO:0005157	macrophage colony-stimulating factor receptor binding	cd13268	HGNC:24133	26228
ENSG00000035720	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	4	67558727	67607337	1	STAP1	HGNC Symbol	37.8	protein_coding	GO:1902227	negative regulation of macrophage colony-stimulating factor signaling pathway	cd13268	HGNC:24133	26228
ENSG00000035720	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	4	67558727	67607337	1	STAP1	HGNC Symbol	37.8	protein_coding	GO:1903980	positive regulation of microglial cell activation	cd13268	HGNC:24133	26228
ENSG00000035720	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	4	67558727	67607337	1	STAP1	HGNC Symbol	37.8	protein_coding	GO:1904140	negative regulation of microglial cell migration	cd13268	HGNC:24133	26228
ENSG00000035720	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	4	67558727	67607337		STAP1	HGNC Symbol	37.8	protein_coding	GO:0010760	negative regulation of macrophage chemotaxis	cd10403	HGNC:24133	26228
ENSG00000035720	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	4	67558727	67607337		STAP1	HGNC Symbol	37.8	protein_coding	GO:1902227	negative regulation of macrophage colony-stimulating factor signaling pathway	cd10403	HGNC:24133	26228
ENSG00000035720	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	4	67558727	67607337		STAP1	HGNC Symbol	37.8	protein_coding	GO:1903980	positive regulation of microglial cell activation	cd10403	HGNC:24133	26228
ENSG00000035720	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	4	67558727	67607337		STAP1	HGNC Symbol	37.8	protein_coding	GO:0010760	negative regulation of macrophage chemotaxis	cd13268	HGNC:24133	26228
ENSG00000035720	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	4	67558727	67607337		STAP1	HGNC Symbol	37.8	protein_coding	GO:1902227	negative regulation of macrophage colony-stimulating factor signaling pathway	cd13268	HGNC:24133	26228
ENSG00000035720	signal transducing adaptor family member 1 [Source:HGNC Symbol;Acc:HGNC:24133]	4	67558727	67607337		STAP1	HGNC Symbol	37.8	protein_coding	GO:1903980	positive regulation of microglial cell activation	cd13268	HGNC:24133	26228
ENSG00000087245	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	16	55389700	55506691	1	MMP2	HGNC Symbol	45.67	protein_coding	GO:0048246	macrophage chemotaxis	cd00062	HGNC:7166	4313
ENSG00000087245	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	16	55389700	55506691	1	MMP2	HGNC Symbol	45.67	protein_coding	GO:0048246	macrophage chemotaxis	cd04278	HGNC:7166	4313
ENSG00000087245	matrix metallopeptidase 2 [Source:HGNC Symbol;Acc:HGNC:7166]	16	55389700	55506691	1	MMP2	HGNC Symbol	45.67	protein_coding	GO:0048246	macrophage chemotaxis	cd00094	HGNC:7166	4313
ENSG00000169071	receptor tyrosine kinase like orphan receptor 2 [Source:HGNC Symbol;Acc:HGNC:10257]	9	91563091	91950228	1	ROR2	HGNC Symbol	44.96	protein_coding	GO:0045651	positive regulation of macrophage differentiation	cd00108	HGNC:10257	4920
ENSG00000169071	receptor tyrosine kinase like orphan receptor 2 [Source:HGNC Symbol;Acc:HGNC:10257]	9	91563091	91950228	1	ROR2	HGNC Symbol	44.96	protein_coding	GO:1905517	macrophage migration	cd00108	HGNC:10257	4920
ENSG00000169071	receptor tyrosine kinase like orphan receptor 2 [Source:HGNC Symbol;Acc:HGNC:10257]	9	91563091	91950228	1	ROR2	HGNC Symbol	44.96	protein_coding	GO:0045651	positive regulation of macrophage differentiation	cd05091	HGNC:10257	4920
ENSG00000169071	receptor tyrosine kinase like orphan receptor 2 [Source:HGNC Symbol;Acc:HGNC:10257]	9	91563091	91950228	1	ROR2	HGNC Symbol	44.96	protein_coding	GO:1905517	macrophage migration	cd05091	HGNC:10257	4920
ENSG00000169071	receptor tyrosine kinase like orphan receptor 2 [Source:HGNC Symbol;Acc:HGNC:10257]	9	91563091	91950228	1	ROR2	HGNC Symbol	44.96	protein_coding	GO:0045651	positive regulation of macrophage differentiation	cd07468	HGNC:10257	4920
ENSG00000169071	receptor tyrosine kinase like orphan receptor 2 [Source:HGNC Symbol;Acc:HGNC:10257]	9	91563091	91950228	1	ROR2	HGNC Symbol	44.96	protein_coding	GO:1905517	macrophage migration	cd07468	HGNC:10257	4920
ENSG00000276192	immunoglobulin heavy constant epsilon [Source:HGNC Symbol;Acc:HGNC:5522]	HSCHR14_3_CTG1	67715	69502	1	IGHE	HGNC Symbol	63.98	IG_C_gene	GO:0042116	macrophage activation		HGNC:5522	3497
ENSG00000276192	immunoglobulin heavy constant epsilon [Source:HGNC Symbol;Acc:HGNC:5522]	HSCHR14_3_CTG1	67715	69502	1	IGHE	HGNC Symbol	63.98	IG_C_gene	GO:0030225	macrophage differentiation		HGNC:5522	3497
ENSG00000196664	toll like receptor 7 [Source:HGNC Symbol;Acc:HGNC:15631]	X	12867072	12890361	1	TLR7	HGNC Symbol	40.25	protein_coding	GO:0060907	positive regulation of macrophage cytokine production		HGNC:15631	51284
ENSG00000196664	toll like receptor 7 [Source:HGNC Symbol;Acc:HGNC:15631]	X	12867072	12890361	1	TLR7	HGNC Symbol	40.25	protein_coding	GO:0038187	pattern recognition receptor activity		HGNC:15631	51284
ENSG00000277848	multiple EGF like domains 11 [Source:HGNC Symbol;Acc:HGNC:29635]	HSCHR15_2_CTG8	848	357702		MEGF11	HGNC Symbol	49.26	protein_coding	GO:0005044	scavenger receptor activity		HGNC:29635	84465
ENSG00000277848	multiple EGF like domains 11 [Source:HGNC Symbol;Acc:HGNC:29635]	HSCHR15_2_CTG8	848	357702	1	MEGF11	HGNC Symbol	49.26	protein_coding	GO:0005044	scavenger receptor activity		HGNC:29635	84465
ENSG00000133424	LARGE xylosyl- and glucuronyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:6511]	22	33162226	33922841	1	LARGE1	HGNC Symbol	43.98	protein_coding	GO:0030225	macrophage differentiation	cd06431	HGNC:6511	9215
ENSG00000064932	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	19	1107637	1174268	1	SBNO2	HGNC Symbol	63.17	protein_coding	GO:0002281	macrophage activation involved in immune response		HGNC:29158	22904
ENSG00000064932	strawberry notch homolog 2 [Source:HGNC Symbol;Acc:HGNC:29158]	19	1107637	1174268		SBNO2	HGNC Symbol	63.17	protein_coding	GO:0002281	macrophage activation involved in immune response		HGNC:29158	22904
ENSG00000064666	calponin 2 [Source:HGNC Symbol;Acc:HGNC:2156]	19	1026586	1039068	1	CNN2	HGNC Symbol	59.72	protein_coding	GO:1905517	macrophage migration	cd21283	HGNC:2156	1265
ENSG00000064666	calponin 2 [Source:HGNC Symbol;Acc:HGNC:2156]	19	1026586	1039068	1	CNN2	HGNC Symbol	59.72	protein_coding	GO:1905522	negative regulation of macrophage migration	cd21283	HGNC:2156	1265
ENSG00000126562	WNK lysine deficient protein kinase 4 [Source:HGNC Symbol;Acc:HGNC:14544]	17	42780610	42797066	1	WNK4	HGNC Symbol	53.96	protein_coding	GO:0042116	macrophage activation	cd14033	HGNC:14544	65266
ENSG00000198961	praja ring finger ubiquitin ligase 2 [Source:HGNC Symbol;Acc:HGNC:17481]	5	109334713	109409974	1	PJA2	HGNC Symbol	37.65	protein_coding	GO:0043030	regulation of macrophage activation	cd16465	HGNC:17481	9867
