Group	Order	Species_name	Species	Num_Gaps	Species	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	SF3B3-MTSS2	SF3B3-VAC14	MTSS2-VAC14	Species	Repeat_COG4_SF3B3	Repeat_COG4_MTSS2	Repeat_COG4_VAC14	Repeat_SF3B3_MTSS2	Repeat_SF3B3_VAC14	Repeat_MTSS2_VAC14
Mammalia	Artiodactyla	Cervus_canadensis	Cervus_canadensis	1	Cervus_canadensis	3720	118002	136467	79557	98022	1594		Cervus_canadensis	1330	44651	48646	35120	39151	0
Mammalia	Artiodactyla	Cervus_elaphus	Cervus_elaphus	0	Cervus_elaphus	3720	119251	137698	80800	99247	1594		Cervus_elaphus	1330	47823	51594	38262	42042	0
	Testudines	Chelonia_mydas	Chelonia_mydas	0	Chelonia_mydas	3444	431665	531789	466358	566482	25303		Chelonia_mydas	176	73158	82194	77519	87245	3079
Mammalia	Rodentia	Chionomys_nivalis	Chionomys_nivalis	0	Chionomys_nivalis	2922	103209	122252	62070	81113	1763		Chionomys_nivalis	640	39713	42849	25878	29480	0
Mammalia	Pilosa	Choloepus_didactylus	Choloepus_didactylus	0	Choloepus_didactylus	1470	142375	164230	78512	100367	1941		Choloepus_didactylus	571	69981	76147	39810	44829	0
Aves	Charadriiformes	Chroicocephalus_ridibundus	Chroicocephalus_ridibundus	0	Chroicocephalus_ridibundus	1138	49920	65128	19933	35141	3141		Chroicocephalus_ridibundus	0	654	666	0	0	0
	Testudines	Chrysemys_picta	Chrysemys_picta	0	Chrysemys_picta	3611	602699	712207	634940	744448	20883		Chrysemys_picta	898	58108	67613	61203	70894	1988
Aves	Coliiformes	Colius_striatus	Colius_striatus	0	Colius_striatus	1064	45873	59645	14692	28464	3012		Colius_striatus	0	3122	2991	418	418	0
Aves	Columbiformes	Columba_livia	Columba_livia	0	Columba_livia	1426	45266	60025	16026	30785	2715		Columba_livia	402	429	983	0	581	0
Aves	Passeriformes	Corvus_cornix	Corvus_cornix	0	Corvus_cornix	1074	43455	57772	14639	28956	2639		Corvus_cornix	0	64	128	0	0	0
Aves	Passeriformes	Corvus_hawaiiensis	Corvus_hawaiiensis	0	Corvus_hawaiiensis	1077	43516	57871	14647	29002	2639		Corvus_hawaiiensis	0	64	64	0	0	0
Aves	Passeriformes	Corvus_moneduloides	Corvus_moneduloides	0	Corvus_moneduloides	1077	43515	57910	14640	29035	2645		Corvus_moneduloides	0	64	64	0	0	0
Aves	Galliformes	Coturnix_japonica	Coturnix_japonica	0	Coturnix_japonica	1136	37547	49430	10628	22511	2136		Coturnix_japonica	151	278	431	60	60	0
Mammalia	Rodentia	Cricetulus_griseus	Cricetulus_griseus	0	Cricetulus_griseus	2939	110064	129310	72663	91909	1571		Cricetulus_griseus	1108	42868	47869	31342	35943	0
Aves	Anseriformes	Cygnus_atratus	Cygnus_atratus	0	Cygnus_atratus	578	36556	47662	11299	22405	3076		Cygnus_atratus	0	89	89	89	89	0
Aves	Anseriformes	Cygnus_olor	Cygnus_olor	0	Cygnus_olor	582	36638	47537	11335	22234	3043		Cygnus_olor	0	106	106	106	106	0
Mammalia	Dermoptera	Cynocephalus_volans	Cynocephalus_volans	0	Cynocephalus_volans	3202	112173	136830	71632	96289	5734		Cynocephalus_volans	1035	43192	48440	33249	39003	206
Mammalia	Artiodactyla	Dama_dama	Dama_dama	0	Dama_dama	3714	118220	136592	79710	98082	1600		Dama_dama	1331	47669	51809	38069	42138	0
Mammalia	Cingulata	Dasypus_novemcinctus	Dasypus_novemcinctus	1	Dasypus_novemcinctus	1837	139521	162392	81581	104452	1902		Dasypus_novemcinctus	534	62926	68861	37557	44082	0
Amphibia	Anura	Dendropsophus_ebraccatus	Dendropsophus_ebraccatus	0	Dendropsophus_ebraccatus	1777	92295	125492	78731	111928	8978		Dendropsophus_ebraccatus	0	4115	4487	4115	4487	0
	Testudines	Dermochelys_coriacea	Dermochelys_coriacea	0	Dermochelys_coriacea	6851	450477	556095	485721	591339	17667		Dermochelys_coriacea	178	65277	75226	67594	78339	1846
Mammalia	Chiroptera	Desmodus_rotundus	Desmodus_rotundus	0	Desmodus_rotundus	3619	111320	127943	70224	86847	1962		Desmodus_rotundus	1204	40693	40419	29276	29156	0
Mammalia	Perissodactyla	Diceros_bicornis	Diceros_bicornis	0	Diceros_bicornis	3529	121792	143908	71538	93654	7006		Diceros_bicornis	1104	46214	53437	28530	35949	341
Aves	Casuariiformes	Dromaius_novaehollandiae	Dromaius_novaehollandiae	0	Dromaius_novaehollandiae	1198	49411	70178	19057	39824	3397		Dromaius_novaehollandiae	0	224	108	108	108	0
Mammalia	Microbiotheria	Dromiciops_gliroides	Dromiciops_gliroides	0	Dromiciops_gliroides	1820	170595	210772	137804	177981	3535		Dromiciops_gliroides	0	42976	50892	40423	48168	91
Mammalia	Proboscidea	Elephas_maximus	Elephas_maximus	0	Elephas_maximus	2621	139376	160692	87159	108475	1972		Elephas_maximus	755	67286	73811	48289	53821	0
Amphibia	Anura	Eleutherodactylus_coqui	Eleutherodactylus_coqui	0	Eleutherodactylus_coqui	1716	61122	106186	44545	89609	19133		Eleutherodactylus_coqui	0	339	3005	339	3005	1205
Lepidosauria	Squamata	Elgaria_multicarinata	Elgaria_multicarinata	0	Elgaria_multicarinata	3228	64133	164898	7284	108049	2835		Elgaria_multicarinata	0	8238	28648	63	20613	0
	Testudines	Emys_orbicularis	Emys_orbicularis	0	Emys_orbicularis	5928	1108196	1214470	1141255	1247529	21494		Emys_orbicularis	1252	157851	168888	160990	172213	2126
Mammalia	Chiroptera	Eptesicus_fuscus	Eptesicus_fuscus	0	Eptesicus_fuscus	4665	124782	140845	81016	97079	1888		Eptesicus_fuscus	1195	44506	44775	32655	33059	0
Mammalia	Perissodactyla	Equus_asinus	Equus_asinus	0	Equus_asinus	3528	122294	146785	70172	94663	5641		Equus_asinus	1039	45809	51217	27680	32181	124
Mammalia	Perissodactyla	Equus_caballus	Equus_caballus	0	Equus_caballus	3532	122297	146627	70227	94557	5678		Equus_caballus	1039	46339	50305	27660	32058	261
Mammalia	Perissodactyla	Equus_przewalskii	Equus_przewalskii	0	Equus_przewalskii	3533	122324	146567	70253	94496	5677		Equus_przewalskii	1039	46280	50410	27585	32165	260
Mammalia	Perissodactyla	Equus_quagga	Equus_quagga	3	Equus_quagga	3531	122583	147341	70295	95053	5935		Equus_quagga	1037	46564	51945	27652	32394	124
Mammalia	Eulipotyphla	Erinaceus_europaeus	Erinaceus_europaeus	0	Erinaceus_europaeus	5446	151534	179359	102879	130704	1529		Erinaceus_europaeus	3308	69819	79864	50143	60188	0
Cladistia	Polypteriformes	Erpetoichthys_calabaricus	Erpetoichthys_calabaricus	6	Erpetoichthys_calabaricus	9281	35487396	35780413	35453182	35746199	32602		Erpetoichthys_calabaricus	982	1768217	1785627	1778381	1799781	1738
Lepidosauria	Squamata	Erythrolamprus_reginae	Erythrolamprus_reginae	0	Erythrolamprus_reginae	731	50145	93934	4675	48464	694		Erythrolamprus_reginae	0	1735	4775	0	3489	0
Mammalia	Artiodactyla	Eschrichtius_robustus	Eschrichtius_robustus	0	Eschrichtius_robustus	2875	121044	141832	73590	94378	2150		Eschrichtius_robustus	688	46521	53567	32345	37268	0
Mammalia	Artiodactyla	Eubalaena_glacialis	Eubalaena_glacialis	0	Eubalaena_glacialis	2890	121492	142368	75289	96165	2305		Eubalaena_glacialis	658	46567	51955	32933	38292	0
Lepidosauria	Squamata	Eublepharis_macularius	Eublepharis_macularius	0	Eublepharis_macularius	2408	45042	134147	10234	99339	4838		Eublepharis_macularius	0	1974	4819	1397	4468	0
Mammalia	Primates	Eulemur_rufifrons	Eulemur_rufifrons	0	Eulemur_rufifrons	3081	104066	124133	61715	81782	7069		Eulemur_rufifrons	819	37061	41286	25986	30591	169
Lepidosauria	Squamata	Euleptes_europaea	Euleptes_europaea	0	Euleptes_europaea	2220	47349	133327	7348	93326	6075		Euleptes_europaea	0	1705	7172	255	5722	386
Aves	Falconiformes	Falco_rusticolus	Falco_rusticolus	0	Falco_rusticolus	1120	43615	57895	13470	27750	2645		Falco_rusticolus	0	0	0	0	0	0
Mammalia	Carnivora	Felis_catus	Felis_catus	0	Felis_catus	4184	140053	163376	92537	115860	2106		Felis_catus	1661	67170	74551	50589	57656	0
Aves	Gaviiformes	Gavia_stellata	Gavia_stellata	0	Gavia_stellata	1294	47596	62601	17881	32886	2748		Gavia_stellata	0	180	131	0	0	0
Amphibia	Gymnophiona	Geotrypetes_seraphini	Geotrypetes_seraphini	0	Geotrypetes_seraphini	20550	588264	940899	281497	634132	63659		Geotrypetes_seraphini	1302	74082	106774	39948	73098	7409
Mammalia	Artiodactyla	Globicephala_melas	Globicephala_melas	0	Globicephala_melas	2894	114633	135337	67676	88380	2130		Globicephala_melas	659	42736	48069	26733	32039	0
	Testudines	Gopherus_flavomarginatus	Gopherus_flavomarginatus	0	Gopherus_flavomarginatus	3279	518246	617611	550809	650174	18636		Gopherus_flavomarginatus	790	49012	59711	53109	63802	2180
Mammalia	Primates	Gorilla_gorilla	Gorilla_gorilla	0	Gorilla_gorilla	3112	144995	169351	96699	121055	3879		Gorilla_gorilla	1441	75921	84288	55895	64621	0
Mammalia	Didelphimorphia	Gracilinanus_agilis	Gracilinanus_agilis	6	Gracilinanus_agilis	6870	177972	218970	134243	175241	26719		Gracilinanus_agilis	410	28098	29561	23708	26342	1721
Aves	Gruiformes	Grus_americana	Grus_americana	0	Grus_americana	1212	46815	61334	18069	32588	2846		Grus_americana	0	0	0	0	0	0
Aves	Accipitriformes	Gymnogyps_californianus	Gymnogyps_californianus	0	Gymnogyps_californianus	3659	50804	65809	17858	32863	2861		Gymnogyps_californianus	0	0	0	0	0	0
Aves	Apodiformes	Heliangelus_exortis	Heliangelus_exortis	0	Heliangelus_exortis	850	55761	71241	17719	33199	5545		Heliangelus_exortis	0	9336	10404	2126	3313	0
Lepidosauria	Squamata	Hemicordylus_capensis	Hemicordylus_capensis	0	Hemicordylus_capensis	2567	40165	95288	3751	58874	4367		Hemicordylus_capensis	0	1014	1669	0	655	167
Lepidosauria	Squamata	Heteronotia_binoei	Heteronotia_binoei	0	Heteronotia_binoei	1756	60830	150297	5852	95319	5404		Heteronotia_binoei	0	4252	7873	0	3659	157
Mammalia	Artiodactyla	Hippopotamus_amphibius	Hippopotamus_amphibius	0	Hippopotamus_amphibius	3390	109281	129556	67464	87739	2115		Hippopotamus_amphibius	1059	38821	42336	27929	32390	0
Aves	Passeriformes	Hirundo_rustica	Hirundo_rustica	0	Hirundo_rustica	1084	43154	56924	14568	28338	2638		Hirundo_rustica	0	144	144	80	80	0
Amphibia	Anura	Hyla_sarda	Hyla_sarda	1	Hyla_sarda	1881	148652	223015	133839	208202	17184		Hyla_sarda	0	4907	7052	4823	6478	195
Amphibia	Anura	Hyperolius_riggenbachi	Hyperolius_riggenbachi	1	Hyperolius_riggenbachi	9738	545016	924061	423231	802276	122755		Hyperolius_riggenbachi	0	14434	25340	11307	21098	4560
Mammalia	Rodentia	Ictidomys_tridecemlineatus	Ictidomys_tridecemlineatus	8	Ictidomys_tridecemlineatus	2784	121334	142193	74129	94988	6817		Ictidomys_tridecemlineatus	826	46682	51137	30078	34545	0
Aves	Piciformes	Indicator_indicator	Indicator_indicator	1	Indicator_indicator	5388	74744	92615	22654	40525	3472		Indicator_indicator	2186	22035	22064	2170	3552	248
Mammalia	Rodentia	Jaculus_jaculus	Jaculus_jaculus	0	Jaculus_jaculus	6223	190826	213952	129904	153030	1758		Jaculus_jaculus	4193	119361	127319	84056	91824	0
Lepidosauria	Squamata	Lacerta_agilis	Lacerta_agilis	0	Lacerta_agilis	2430	39881	100386	6643	67148	2783		Lacerta_agilis	0	600	2792	84	2276	0
Mammalia	Artiodactyla	Lagenorhynchus_albirostris	Lagenorhynchus_albirostris	0	Lagenorhynchus_albirostris	2885	116130	136827	67936	88633	2121		Lagenorhynchus_albirostris	659	43868	48847	26935	31939	0
Aves	Galliformes	Lagopus_muta	Lagopus_muta	0	Lagopus_muta	1449	39393	51386	11526	23519	2255		Lagopus_muta	252	319	393	0	74	0
Mammalia	Primates	Lemur_catta	Lemur_catta	0	Lemur_catta	3077	103258	123101	60170	80013	1943		Lemur_catta	844	34928	38616	23224	27762	75
Mammalia	Carnivora	Leopardus_geoffroyi	Leopardus_geoffroyi	0	Leopardus_geoffroyi	4465	134748	158147	86315	109714	2129		Leopardus_geoffroyi	1662	61382	68484	43843	50865	0
Actinopteri	Semionotiformes	Lepisosteus_oculatus	Lepisosteus_oculatus	1	Lepisosteus_oculatus	1895	3570198	3519166	3549987	3498955	4752		Lepisosteus_oculatus	0	70557	69883	71177	70250	351
Mammalia	Lagomorpha	Lepus_europaeus	Lepus_europaeus	0	Lepus_europaeus	3080	131867	151785	73657	93575	1856		Lepus_europaeus	394	60374	62433	35295	36881	0
Mammalia	Proboscidea	Loxodonta_africana	Loxodonta_africana	0	Loxodonta_africana	2621	139486	160830	87221	108565	6749		Loxodonta_africana	767	66241	73959	47912	53649	440
Mammalia	Carnivora	Lutra_lutra	Lutra_lutra	0	Lutra_lutra	1470	113634	134887	70102	91355	1976		Lutra_lutra	0	39344	43886	27828	32650	0
Mammalia	Carnivora	Lynx_canadensis	Lynx_canadensis	0	Lynx_canadensis	4203	136162	159569	89174	112581	2110		Lynx_canadensis	1638	62298	69534	47795	54842	0
Mammalia	Primates	Macaca_fascicularis	Macaca_fascicularis	0	Macaca_fascicularis	5159	141938	166552	88341	112955	2134		Macaca_fascicularis	3033	75385	83270	51153	59087	0
Mammalia	Primates	Macaca_mulatta	Macaca_mulatta	0	Macaca_mulatta	5143	140955	165666	88017	112728	2250		Macaca_mulatta	3048	74389	82215	50675	58550	0
Mammalia	Primates	Macaca_nemestrina	Macaca_nemestrina	0	Macaca_nemestrina	5135	139764	164413	86131	110780	2149		Macaca_nemestrina	3034	73888	82360	49517	58040	95
Mammalia	Primates	Macaca_thibetana	Macaca_thibetana	0	Macaca_thibetana	5151	141830	166442	88221	112833	2149		Macaca_thibetana	2912	74656	83075	50458	58921	107
	Testudines	Malaclemys_terrapin	Malaclemys_terrapin	0	Malaclemys_terrapin	3596	479157	590007	512022	622872	21688		Malaclemys_terrapin	827	50166	60168	53700	63702	2321
Mammalia	Pholidota	Manis_pentadactyla	Manis_pentadactyla	0	Manis_pentadactyla	4478	125952	147079	65204	86331	1902		Manis_pentadactyla	1948	51357	58148	24669	30380	0
Mammalia	Rodentia	Marmota_flaviventris	Marmota_flaviventris	0	Marmota_flaviventris	2946	121589	142236	72885	93532	1983		Marmota_flaviventris	826	48155	53369	29913	34525	0
Mammalia	Rodentia	Mastomys_coucha	Mastomys_coucha	14	Mastomys_coucha	2504	113335	133399	75590	95654	1753		Mastomys_coucha	318	40300	45723	30525	35549	0
	Testudines	Mauremys_mutica	Mauremys_mutica	1	Mauremys_mutica	3600	382282	493220	415018	525956	27129		Mauremys_mutica	841	50463	65151	53898	69152	4566
	Testudines	Mauremys_reevesii	Mauremys_reevesii	0	Mauremys_reevesii	3562	393861	509068	424840	540047	24589		Mauremys_reevesii	847	57950	69687	60641	72348	2428
Mammalia	Carnivora	Meles_meles	Meles_meles	0	Meles_meles	1420	112702	134118	68140	89556	2033		Meles_meles	0	39687	44241	26523	31217	0
Aves	Psittaciformes	Melopsittacus_undulatus	Melopsittacus_undulatus	0	Melopsittacus_undulatus	1103	44640	58416	14629	28405	2490		Melopsittacus_undulatus	0	638	824	271	271	0
Mammalia	Rodentia	Meriones_unguiculatus	Meriones_unguiculatus	0	Meriones_unguiculatus	2696	98334	117716	62854	82236	1763		Meriones_unguiculatus	472	33088	37413	23707	26236	0
Mammalia	Artiodactyla	Mesoplodon_densirostris	Mesoplodon_densirostris	0	Mesoplodon_densirostris	2861	120806	141715	73337	94246	2158		Mesoplodon_densirostris	656	47343	53320	31287	37140	0
Mammalia	Primates	Microcebus_murinus	Microcebus_murinus	0	Microcebus_murinus	3008	120680	141623	65726	86669	1766		Microcebus_murinus	811	45074	50854	28944	34168	67
Mammalia	Rodentia	Microtus_ochrogaster	Microtus_ochrogaster	20	Microtus_ochrogaster	2555	106206	125837	65227	84858	1735		Microtus_ochrogaster	218	38488	41695	25638	29627	0
Chondrichthyes	Myliobatiformes	Mobula_hypostoma	Mobula_hypostoma	0	Mobula_hypostoma	25707	417330	672027	337202	591899	70207		Mobula_hypostoma	4046	56917	88112	47273	78547	9021
Aves	Passeriformes	Molothrus_aeneus	Molothrus_aeneus	0	Molothrus_aeneus	1065	43338	57124	14759	28545	2649		Molothrus_aeneus	0	64	64	0	0	0
Aves	Passeriformes	Molothrus_ater	Molothrus_ater	0	Molothrus_ater	1065	43288	57078	14743	28533	2647		Molothrus_ater	0	64	164	0	0	0
Mammalia	Didelphimorphia	Monodelphis_domestica	Monodelphis_domestica	1	Monodelphis_domestica	1765	175416	210217	136029	170830	2169		Monodelphis_domestica	81	35292	38036	31825	34586	0
Mammalia	Rodentia	Mus_caroli	Mus_caroli	10	Mus_caroli	2553	108457	127721	73234	92498	1755		Mus_caroli	361	36701	41054	28756	32895	0
Mammalia	Rodentia	Mus_musculus	Mus_musculus	0	Mus_musculus	2519	107974	127082	71864	90972	1753		Mus_musculus	352	36790	40028	27324	31069	0
Mammalia	Rodentia	Mus_pahari	Mus_pahari	16	Mus_pahari	2552	113270	131879	75378	93987	1751		Mus_pahari	325	40697	42827	29796	33370	0
Mammalia	Carnivora	Mustela_erminea	Mustela_erminea	0	Mustela_erminea	1480	112048	132938	69103	89993	2019		Mustela_erminea	0	37815	42032	26318	30578	0
Mammalia	Carnivora	Mustela_lutreola	Mustela_lutreola	0	Mustela_lutreola	1466	111605	132236	69230	89861	2030		Mustela_lutreola	0	37318	41682	26149	30764	0
Mammalia	Carnivora	Mustela_nigripes	Mustela_nigripes	4	Mustela_nigripes	1462	111833	132667	69573	90407	2177		Mustela_nigripes	0	37198	41697	26128	30448	0
Mammalia	Chiroptera	Myotis_daubentonii	Myotis_daubentonii	1	Myotis_daubentonii	3466	120120	136396	75839	92115	1923		Myotis_daubentonii	792	46610	47008	33890	34321	0
Chondrichthyes	Torpediniformes	Narcine_bancroftii	Narcine_bancroftii	0	Narcine_bancroftii	73603	417731	693277	295112	570658	58945		Narcine_bancroftii	20184	50801	89150	27008	64775	4648
Mammalia	Carnivora	Neofelis_nebulosa	Neofelis_nebulosa	0	Neofelis_nebulosa	4272	137995	161320	90125	113450	2121		Neofelis_nebulosa	1561	63296	70255	47670	54468	0
Mammalia	Carnivora	Neogale_vison	Neogale_vison	0	Neogale_vison	1477	111210	132302	68482	89574	2002		Neogale_vison	0	37271	40621	25920	29521	0
Mammalia	Carnivora	Neomonachus_schauinslandi	Neomonachus_schauinslandi	5	Neomonachus_schauinslandi	4019	116255	140991	74132	98868	8286		Neomonachus_schauinslandi	1444	42978	48031	32502	37133	0
Mammalia	Primates	Nomascus_leucogenys	Nomascus_leucogenys	1	Nomascus_leucogenys	38428	137020	159208	86771	108959	3900		Nomascus_leucogenys	2246	56456	63050	50537	57074	66
Aves	Galliformes	Numida_meleagris	Numida_meleagris	4	Numida_meleagris	1216	39467	51972	11625	24130	1005		Numida_meleagris	60	264	337	129	264	0
Mammalia	Primates	Nycticebus_coucang	Nycticebus_coucang	0	Nycticebus_coucang	5144	143383	168408	86319	111344	1888		Nycticebus_coucang	2418	71505	81010	45224	55386	76
Mammalia	Lagomorpha	Ochotona_princeps	Ochotona_princeps	0	Ochotona_princeps	2488	107740	125422	64112	81794	1911		Ochotona_princeps	189	39427	40383	25949	26888	226
Mammalia	Artiodactyla	Odocoileus_virginianus	Odocoileus_virginianus	0	Odocoileus_virginianus	3717	110523	128839	72274	90590	1260		Odocoileus_virginianus	1345	38981	43322	30263	33967	0
Aves	Passeriformes	Oenanthe_melanoleuca	Oenanthe_melanoleuca	0	Oenanthe_melanoleuca	1084	42970	56600	14387	28017	2618		Oenanthe_melanoleuca	0	164	242	0	0	0
Mammalia	Artiodactyla	Orcinus_orca	Orcinus_orca	0	Orcinus_orca	2885	115671	136347	67696	88372	2120		Orcinus_orca	659	42977	48743	26722	32203	0
