Species	Repeat_COG4_SF3B3	Repeat_COG4_MTSS2	Repeat_COG4_VAC14	Repeat_SF3B3_MTSS2	Repeat_SF3B3_VAC14	Repeat_MTSS2_VAC14
Dromaius_novaehollandiae	0	224	108	108	108	0
Dromiciops_gliroides	0	42976	50892	40423	48168	91
Elephas_maximus	755	67286	73811	48289	53821	0
Eleutherodactylus_coqui	0	339	3005	339	3005	1205
Elgaria_multicarinata	0	8238	28648	63	20613	0
Emys_orbicularis	1252	157851	168888	160990	172213	2126
Eptesicus_fuscus	1195	44506	44775	32655	33059	0
Equus_asinus	1039	45809	51217	27680	32181	124
Equus_caballus	1039	46339	50305	27660	32058	261
Equus_przewalskii	1039	46280	50410	27585	32165	260
Equus_quagga	1037	46564	51945	27652	32394	124
Erinaceus_europaeus	3308	69819	79864	50143	60188	0
Erpetoichthys_calabaricus	982	1768217	1785627	1778381	1799781	1738
Erythrolamprus_reginae	0	1735	4775	0	3489	0
Eschrichtius_robustus	688	46521	53567	32345	37268	0
Eubalaena_glacialis	658	46567	51955	32933	38292	0
Eublepharis_macularius	0	1974	4819	1397	4468	0
Eulemur_rufifrons	819	37061	41286	25986	30591	169
Euleptes_europaea	0	1705	7172	255	5722	386
Falco_rusticolus	0	0	0	0	0	0
Felis_catus	1661	67170	74551	50589	57656	0
Gavia_stellata	0	180	131	0	0	0
Geotrypetes_seraphini	1302	74082	106774	39948	73098	7409
Globicephala_melas	659	42736	48069	26733	32039	0
Gopherus_flavomarginatus	790	49012	59711	53109	63802	2180
Gorilla_gorilla	1441	75921	84288	55895	64621	0
Gracilinanus_agilis	410	28098	29561	23708	26342	1721
Grus_americana	0	0	0	0	0	0
Gymnogyps_californianus	0	0	0	0	0	0
Heliangelus_exortis	0	9336	10404	2126	3313	0
Hemicordylus_capensis	0	1014	1669	0	655	167
Heteronotia_binoei	0	4252	7873	0	3659	157
Hippopotamus_amphibius	1059	38821	42336	27929	32390	0
Hirundo_rustica	0	144	144	80	80	0
Hyla_sarda	0	4907	7052	4823	6478	195
Hyperolius_riggenbachi	0	14434	25340	11307	21098	4560
Ictidomys_tridecemlineatus	826	46682	51137	30078	34545	0
Indicator_indicator	2186	22035	22064	2170	3552	248
Jaculus_jaculus	4193	119361	127319	84056	91824	0
Lacerta_agilis	0	600	2792	84	2276	0
Lagenorhynchus_albirostris	659	43868	48847	26935	31939	0
Lagopus_muta	252	319	393	0	74	0
Lemur_catta	844	34928	38616	23224	27762	75
Leopardus_geoffroyi	1662	61382	68484	43843	50865	0
Lepisosteus_oculatus	0	70557	69883	71177	70250	351
Lepus_europaeus	394	60374	62433	35295	36881	0
Loxodonta_africana	767	66241	73959	47912	53649	440
Lutra_lutra	0	39344	43886	27828	32650	0
Lynx_canadensis	1638	62298	69534	47795	54842	0
Macaca_fascicularis	3033	75385	83270	51153	59087	0
Macaca_mulatta	3048	74389	82215	50675	58550	0
Macaca_nemestrina	3034	73888	82360	49517	58040	95
Macaca_thibetana	2912	74656	83075	50458	58921	107
Malaclemys_terrapin	827	50166	60168	53700	63702	2321
Manis_pentadactyla	1948	51357	58148	24669	30380	0
Marmota_flaviventris	826	48155	53369	29913	34525	0
Mastomys_coucha	318	40300	45723	30525	35549	0
Mauremys_mutica	841	50463	65151	53898	69152	4566
Mauremys_reevesii	847	57950	69687	60641	72348	2428
Meles_meles	0	39687	44241	26523	31217	0
Melopsittacus_undulatus	0	638	824	271	271	0
Meriones_unguiculatus	472	33088	37413	23707	26236	0
Mesoplodon_densirostris	656	47343	53320	31287	37140	0
Microcebus_murinus	811	45074	50854	28944	34168	67
Microtus_ochrogaster	218	38488	41695	25638	29627	0
Mobula_hypostoma	4046	56917	88112	47273	78547	9021
Molothrus_aeneus	0	64	64	0	0	0
Molothrus_ater	0	64	164	0	0	0
Monodelphis_domestica	81	35292	38036	31825	34586	0
Mus_caroli	361	36701	41054	28756	32895	0
Mus_musculus	352	36790	40028	27324	31069	0
Mus_pahari	325	40697	42827	29796	33370	0
Mustela_erminea	0	37815	42032	26318	30578	0
Mustela_lutreola	0	37318	41682	26149	30764	0
Mustela_nigripes	0	37198	41697	26128	30448	0
Myotis_daubentonii	792	46610	47008	33890	34321	0
Narcine_bancroftii	20184	50801	89150	27008	64775	4648
Neofelis_nebulosa	1561	63296	70255	47670	54468	0
Neogale_vison	0	37271	40621	25920	29521	0
Neomonachus_schauinslandi	1444	42978	48031	32502	37133	0
Nomascus_leucogenys	2246	56456	63050	50537	57074	66
Numida_meleagris	60	264	337	129	264	0
Nycticebus_coucang	2418	71505	81010	45224	55386	76
Ochotona_princeps	189	39427	40383	25949	26888	226
Odocoileus_virginianus	1345	38981	43322	30263	33967	0
Oenanthe_melanoleuca	0	164	242	0	0	0
Orcinus_orca	659	42977	48743	26722	32203	0
Ornithorhynchus_anatinus	1250	22420	26898	18821	22640	2565
Oryctolagus_cuniculus	597	57985	60084	31801	34010	0
Ovis_aries	1125	39153	42662	28847	33055	0
Ovis_canadensis	1112	39205	42490	29381	33085	0
Pan_paniscus	1435	74061	82333	54000	62265	0
Panthera_leo	1653	61669	68641	46753	53660	0
Panthera_onca	1671	47797	54117	33288	40985	0
Panthera_tigris	2042	62199	69349	46954	53865	0
Panthera_uncia	1633	50069	58256	34606	41989	0
Pan_troglodytes	1438	74238	82411	54153	62311	0
Papio_anubis	2668	72312	80389	47335	55766	0
Patagioenas_fasciata	402	647	1323	0	676	0
Pelobates_fuscus	0	3994	9185	3994	9409	950
Perognathus_longimembris	2192	31144	32254	15100	16523	61
Peromyscus_eremicus	487	38476	41678	25328	29639	0
Peromyscus_leucopus	483	39096	41847	26047	29524	0
Peromyscus_maniculatus	403	38967	41856	25835	29379	0
Phacochoerus_africanus	1550	63756	67875	40482	44613	0
Phaenicophaeus_curvirostris	0	3075	4336	2239	3581	0
Phocoena_phocoena	624	43420	48634	27799	32709	0
Phocoena_sinus	651	43564	48992	28067	32982	0
Phyllostomus_discolor	1121	42131	41509	29190	28908	0
Piliocolobus_tephrosceles	2368	73390	76802	50337	53832	53
Pithys_albifrons	0	290	314	0	0	0
Pleurodeles_waltl	304	12561	18262	11164	16552	1990
Podarcis_raffonei	0	1176	3029	83	2032	0
Polypterus_senegalus	682	1703238	1715725	1692456	1704943	1283
Pongo_abelii	1484	67829	76413	47960	56492	65
Pongo_pygmaeus	1434	68053	76407	48171	56479	64
Prinia_subflava	0	154	172	0	0	0
Prionailurus_bengalensis	1677	62988	71028	47166	54289	0
Prionailurus_viverrinus	1754	63567	70766	46856	54059	270
Pristiophorus_japonicus	7683	102498	169215	84547	147530	26718
Pristis_pectinata	1032	33786	52396	32568	51056	4648
Protopterus_annectens	170	226708	253886	245510	286130	7670
Pseudophryne_corroboree	0	18026	30728	17989	33574	8301
Pseudopipra_pipra	0	95	291	95	291	0
Pseudorca_crassidens	659	43405	48943	26848	32323	0
Rana_temporaria	0	4060	4432	3867	4018	0
Ranitomeya_imitator	0	0	1950	0	1950	1770
Rattus_norvegicus	394	34475	39734	26081	30992	0
Rhea_pennata	0	15	15	15	15	0
Rhinatrema_bivittatum	498	2470280	2509827	2446212	2484337	3874
Rhineura_floridana	0	5673	14286	329	8771	0
Rhinolophus_ferrumequinum	549	38994	42430	28296	32963	173
Rhinopithecus_roxellana	2427	73963	81355	49955	57363	170
Rissa_tridactyla	0	652	664	0	0	0
Saccopteryx_bilineata	492	49164	50387	38538	39796	0
Saccopteryx_leptura	493	50573	51887	39220	40444	0
Sarcophilus_harrisii	279	26688	28920	22856	26121	0
Sciurus_carolinensis	1134	51339	55608	35108	39458	0
Scyliorhinus_canicula	1419	67186	101316	54783	87435	13387
Sorex_araneus	541	26651	28892	16398	18408	0
Spea_bombifrons	0	0	255	0	255	0
Sphaerodactylus_townsendi	0	325	3249	0	2924	0
Strigops_habroptila	0	465	474	0	0	0
Struthio_camelus	0	1415	1415	81	81	0
Suncus_etruscus	1202	49695	53772	26793	30987	0
Suricata_suricatta	817	40004	45414	25984	31199	0
Sus_scrofa	1272	64834	69006	42370	46545	0
Symphalangus_syndactylus	3228	73784	80094	52349	58639	0
Tachyglossus_aculeatus	2398	37257	52579	29809	44552	5960
Thamnophis_elegans	0	2584	8366	62	5208	0
Theropithecus_gelada	2673	70429	79020	45019	53553	53
Trichosurus_vulpecula	202	38002	42872	36583	41244	0
Tursiops_truncatus	659	42538	47665	25636	30854	0
Ursus_arctos	1003	35865	38169	24959	29220	0
Vulpes_lagopus	2903	50123	55661	33669	39120	0
Xenopus_tropicalis	0	4610	5340	3561	4079	59
Zalophus_californianus	444	39217	44841	29750	34543	309
Zootoca_vivipara	0	1511	5190	101	4260	0
