Order	Species_name	Num_Gaps	COG4_SF3B3	COG4_MTSS2	COG4_VAC14	SF3B3_MTSS2	SF3B3_VAC14	MTSS2_VAC14	Gene_status
Anura	Bufo_gargarizans	0	2570	45457	100267	32768	87578	14108	Intact
Primates	Callithrix_jacchus	0	4279	132998	156756	85666	109424	6247	Intact
Columbiformes	Caloenas_nicobarica	0	1585	46044	60944	16581	31481	2680	Intact
Apodiformes	Calypte_anna	0	881	51373	66641	17234	32502	2704	Intact
Passeriformes	Camarhynchus_parvulus	0	1040	43002	56629	14473	28100	2555	Intact
Artiodactyla	Camelus_ferus	0	1224	101168	121382	57320	77534	2121	Intact
Squamata	Candoia_aspera	0	283	53699	120478	5781	72560	1196	Loss
Artiodactyla	Capra_hircus	0	3555	110707	129467	71906	90666	1597	Intact
Artiodactyla	Capricornis_sumatraensis	0	3573	110922	129651	71997	90726	1599	Intact
Lamniformes	Carcharodon_carcharias	0	15646	331656	588503	267097	523944	80981	Intact
Passeriformes	Catharus_ustulatus	0	1056	42792	56486	14437	28131	2564	Intact
Artiodactyla	Cervus_canadensis	1	3720	118002	136467	79557	98022	1594	Intact
Artiodactyla	Cervus_elaphus	0	3720	119251	137698	80800	99247	1594	Intact
Rodentia	Chionomys_nivalis	0	2922	103209	122252	62070	81113	1763	Intact
Passeriformes	Chiroxiphia_lanceolata	0	1135	48620	62598	19908	33886	2703	Intact
Pilosa	Choloepus_didactylus	0	1470	142375	164230	78512	100367	1941	Intact
Charadriiformes	Chroicocephalus_ridibundus	0	1138	49920	65128	19933	35141	3141	Intact
Passeriformes	Cinclus_cinclus	0	1141	43527	57250	14752	28475	2628	Intact
Coliiformes	Colius_striatus	0	1064	45873	59645	14692	28464	3012	Intact
Columbiformes	Columba_livia	0	1426	45266	60025	16026	30785	2715	Intact
Passeriformes	Corvus_cornix	0	1074	43455	57772	14639	28956	2639	Intact
Passeriformes	Corvus_hawaiiensis	0	1077	43516	57871	14647	29002	2639	Intact
Passeriformes	Corvus_moneduloides	0	1077	43515	57910	14640	29035	2645	Intact
Galliformes	Coturnix_japonica	0	1136	37547	49430	10628	22511	2136	Intact
Rodentia	Cricetulus_griseus	0	2939	110064	129310	72663	91909	1571	Intact
Cuculiformes	Cuculus_canorus	0	1093	46862	61777	17515	32430	2987	Intact
Anseriformes	Cygnus_atratus	0	578	36556	47662	11299	22405	3076	Intact
Anseriformes	Cygnus_olor	0	582	36638	47537	11335	22234	3043	Intact
Dermoptera	Cynocephalus_volans	0	3202	112173	136830	71632	96289	5734	Intact
Artiodactyla	Dama_dama	0	3714	118220	136592	79710	98082	1600	Intact
Cingulata	Dasypus_novemcinctus	1	1837	139521	162392	81581	104452	1902	Intact
Anura	Dendropsophus_ebraccatus	0	1777	92295	125492	78731	111928	8978	Intact
Chiroptera	Desmodus_rotundus	0	3619	111320	127943	70224	86847	1962	Intact
Perissodactyla	Diceros_bicornis	0	3529	121792	143908	71538	93654	7006	Intact
Casuariiformes	Dromaius_novaehollandiae	0	1198	49411	70178	19057	39824	3397	Intact
Microbiotheria	Dromiciops_gliroides	0	1820	170595	210772	137804	177981	3535	Intact
Proboscidea	Elephas_maximus	0	2621	139376	160692	87159	108475	1972	Intact
Anura	Eleutherodactylus_coqui	0	1716	61122	106186	44545	89609	19133	Intact
Squamata	Elgaria_multicarinata	0	3228	64133	164898	7284	108049	2835	Loss
Chiroptera	Eptesicus_fuscus	0	4665	124782	140845	81016	97079	1888	Intact
Perissodactyla	Equus_asinus	0	3528	122294	146785	70172	94663	5641	Intact
Perissodactyla	Equus_caballus	0	3532	122297	146627	70227	94557	5678	Intact
Perissodactyla	Equus_przewalskii	0	3533	122324	146567	70253	94496	5677	Intact
Perissodactyla	Equus_quagga	3	3531	122583	147341	70295	95053	5935	Intact
Eulipotyphla	Erinaceus_europaeus	0	5446	151534	179359	102879	130704	1529	Intact
Polypteriformes	Erpetoichthys_calabaricus	6	9281	35487396	35780413	35453182	35746199	32602	Intact
Squamata	Erythrolamprus_reginae	0	731	50145	93934	4675	48464	694	Loss
Artiodactyla	Eschrichtius_robustus	0	2875	121044	141832	73590	94378	2150	Intact
Artiodactyla	Eubalaena_glacialis	0	2890	121492	142368	75289	96165	2305	Intact
Squamata	Eublepharis_macularius	0	2408	45042	134147	10234	99339	4838	Loss
Primates	Eulemur_rufifrons	0	3081	104066	124133	61715	81782	7069	Intact
Squamata	Euleptes_europaea	0	2220	47349	133327	7348	93326	6075	Loss
Falconiformes	Falco_biarmicus	0	1117	43573	57855	13418	27700	2645	Intact
Falconiformes	Falco_cherrug	0	1120	43607	57886	13448	27727	2647	Intact
Falconiformes	Falco_naumanni	0	1131	44462	58715	14360	28613	2674	Intact
Falconiformes	Falco_peregrinus	0	1119	43566	57857	13413	27704	2653	Intact
Falconiformes	Falco_rusticolus	0	1120	43615	57895	13470	27750	2645	Intact
Carnivora	Felis_catus	0	4184	140053	163376	92537	115860	2106	Intact
Passeriformes	Ficedula_albicollis	0	1088	45385	59072	16795	30482	2648	Intact
Gaviiformes	Gavia_stellata	0	1294	47596	62601	17881	32886	2748	Intact
Gymnophiona	Geotrypetes_seraphini	0	20550	588264	940899	281497	634132	63659	Intact
Artiodactyla	Globicephala_melas	0	2894	114633	135337	67676	88380	2130	Intact
Didelphimorphia	Gracilinanus_agilis	6	6870	177972	218970	134243	175241	26719	Intact
Gruiformes	Grus_americana	0	1212	46815	61334	18069	32588	2846	Intact
Accipitriformes	Gymnogyps_californianus	0	3659	50804	65809	17858	32863	2861	Intact
Passeriformes	Haemorhous_mexicanus	0	1068	42918	56384	14734	28200	2633	Intact
Accipitriformes	Haliaeetus_albicilla	0	1193	45956	60750	16285	31079	2850	Intact
Apodiformes	Heliangelus_exortis	0	850	55761	71241	17719	33199	5545	Intact
Squamata	Hemicordylus_capensis	0	2567	40165	95288	3751	58874	4367	Loss
Squamata	Heteronotia_binoei	0	1756	60830	150297	5852	95319	5404	Loss
Artiodactyla	Hippopotamus_amphibius	0	3390	109281	129556	67464	87739	2115	Intact
Passeriformes	Hirundo_rustica	0	1084	43154	56924	14568	28338	2638	Intact
Anura	Hyla_sarda	1	1881	148652	223015	133839	208202	17184	Intact
Anura	Hyperolius_riggenbachi	1	9738	545016	924061	423231	802276	122755	Intact
Rodentia	Ictidomys_tridecemlineatus	8	2784	121334	142193	74129	94988	6817	Intact
Piciformes	Indicator_indicator	1	5388	74744	92615	22654	40525	3472	Intact
Rodentia	Jaculus_jaculus	0	6223	190826	213952	129904	153030	1758	Intact
Squamata	Lacerta_agilis	0	2430	39881	100386	6643	67148	2783	Loss
Artiodactyla	Lagenorhynchus_albirostris	0	2885	116130	136827	67936	88633	2121	Intact
Galliformes	Lagopus_muta	0	1449	39393	51386	11526	23519	2255	Intact
Psittaciformes	Lathamus_discolor	0	1089	47020	60582	15789	29351	2502	Intact
Primates	Lemur_catta	0	3077	103258	123101	60170	80013	1943	Intact
Carnivora	Leopardus_geoffroyi	0	4465	134748	158147	86315	109714	2129	Intact
Semionotiformes	Lepisosteus_oculatus	1	1895	3570198	3519166	3549987	3498955	4752	Intact
Lagomorpha	Lepus_europaeus	0	3080	131867	151785	73657	93575	1856	Intact
Passeriformes	Lonchura_striata	2	1070	42477	56197	14542	28262	2685	Intact
Proboscidea	Loxodonta_africana	0	2621	139486	160830	87221	108565	6749	Intact
Carnivora	Lutra_lutra	0	1470	113634	134887	70102	91355	1976	Intact
Carnivora	Lynx_canadensis	0	4203	136162	159569	89174	112581	2110	Intact
Primates	Macaca_fascicularis	0	5159	141938	166552	88341	112955	2134	Intact
Primates	Macaca_mulatta	0	5143	140955	165666	88017	112728	2250	Intact
Primates	Macaca_nemestrina	0	5135	139764	164413	86131	110780	2149	Intact
Primates	Macaca_thibetana	0	5151	141830	166442	88221	112833	2149	Intact
Pholidota	Manis_pentadactyla	0	4478	125952	147079	65204	86331	1902	Intact
Rodentia	Marmota_flaviventris	0	2946	121589	142236	72885	93532	1983	Intact
Rodentia	Mastomys_coucha	14	2504	113335	133399	75590	95654	1753	Intact
Carnivora	Meles_meles	0	1420	112702	134118	68140	89556	2033	Intact
Psittaciformes	Melopsittacus_undulatus	0	1103	44640	58416	14629	28405	2490	Intact
Passeriformes	Melospiza_georgiana	0	1046	43281	56961	14829	28509	2634	Intact
Passeriformes	Melospiza_melodia	0	1047	43302	56969	14828	28495	2629	Intact
Rodentia	Meriones_unguiculatus	0	2696	98334	117716	62854	82236	1763	Intact
Artiodactyla	Mesoplodon_densirostris	0	2861	120806	141715	73337	94246	2158	Intact
Primates	Microcebus_murinus	0	3008	120680	141623	65726	86669	1766	Intact
Rodentia	Microtus_ochrogaster	20	2555	106206	125837	65227	84858	1735	Intact
Myliobatiformes	Mobula_hypostoma	0	25707	417330	672027	337202	591899	70207	Intact
Passeriformes	Molothrus_aeneus	0	1065	43338	57124	14759	28545	2649	Intact
Passeriformes	Molothrus_ater	0	1065	43288	57078	14743	28533	2647	Intact
Didelphimorphia	Monodelphis_domestica	1	1765	175416	210217	136029	170830	2169	Intact
Passeriformes	Motacilla_alba	0	1133	43363	58285	14723	29645	3732	Intact
Artiodactyla	Muntiacus_reevesi	0	3731	110140	128505	71783	90148	1476	Intact
Rodentia	Mus_caroli	10	2553	108457	127721	73234	92498	1755	Intact
Rodentia	Mus_musculus	0	2519	107974	127082	71864	90972	1753	Intact
Rodentia	Mus_pahari	16	2552	113270	131879	75378	93987	1751	Intact
Carnivora	Mustela_erminea	0	1480	112048	132938	69103	89993	2019	Intact
Carnivora	Mustela_lutreola	0	1466	111605	132236	69230	89861	2030	Intact
Carnivora	Mustela_nigripes	4	1462	111833	132667	69573	90407	2177	Intact
Chiroptera	Myotis_daubentonii	1	3466	120120	136396	75839	92115	1923	Intact
Torpediniformes	Narcine_bancroftii	0	73603	417731	693277	295112	570658	58945	Intact
Carnivora	Neofelis_nebulosa	0	4272	137995	161320	90125	113450	2121	Intact
Carnivora	Neogale_vison	0	1477	111210	132302	68482	89574	2002	Intact
Carnivora	Neomonachus_schauinslandi	5	4019	116255	140991	74132	98868	8286	Intact
Primates	Nomascus_leucogenys	1	38428	137020	159208	86771	108959	3900	Intact
Galliformes	Numida_meleagris	4	1216	39467	51972	11625	24130	1005	Intact
Caprimulgiformes	Nyctibius_grandis	0	1174	42275	56770	12832	27327	2848	Intact
Primates	Nycticebus_coucang	0	5144	143383	168408	86319	111344	1888	Intact
Lagomorpha	Ochotona_princeps	0	2488	107740	125422	64112	81794	1911	Intact
Artiodactyla	Odocoileus_virginianus	0	3717	110523	128839	72274	90590	1260	Intact
Passeriformes	Oenanthe_melanoleuca	0	1084	42970	56600	14387	28017	2618	Intact
Artiodactyla	Orcinus_orca	0	2885	115671	136347	67696	88372	2120	Intact
Monotremata	Ornithorhynchus_anatinus	0	5014	94503	134538	59430	99465	9638	Intact
Lagomorpha	Oryctolagus_cuniculus	0	3081	130491	151268	69531	90308	1848	Intact
Artiodactyla	Ovis_aries	0	3557	110241	129100	71416	90275	1607	Intact
Artiodactyla	Ovis_canadensis	0	3559	112508	131495	73740	92727	1607	Intact
Primates	Pan_paniscus	0	3092	137106	161409	88900	113203	3862	Intact
Carnivora	Panthera_leo	0	4253	135204	158582	88428	111806	1029	Intact
Carnivora	Panthera_onca	0	4274	117473	140604	74299	97430	2122	Intact
Carnivora	Panthera_tigris	0	4604	135765	159093	88699	112027	1030	Intact
Carnivora	Panthera_uncia	3	4274	122172	146070	74690	98588	1030	Intact
Primates	Pan_troglodytes	0	3091	137742	165977	89541	117776	7799	Intact
Primates	Papio_anubis	1	4826	138533	163190	84696	109353	2137	Intact
Passeriformes	Parus_major	3	1086	42707	56549	14683	28525	2689	Intact
Passeriformes	Passer_domesticus	0	1013	43430	56963	14984	28517	2544	Intact
Columbiformes	Patagioenas_fasciata	0	1427	45263	60083	15976	30796	2737	Intact
Anura	Pelobates_fuscus	0	8068	118454	204317	97037	182900	10409	Intact
Rodentia	Perognathus_longimembris	0	4522	86050	104690	42955	61595	5007	Intact
Rodentia	Peromyscus_eremicus	1	2646	101844	122469	62526	83151	1781	Intact
Rodentia	Peromyscus_leucopus	0	2672	105515	125740	66230	86455	1783	Intact
Rodentia	Peromyscus_maniculatus	15	2693	105112	125988	65418	86294	1764	Intact
Artiodactyla	Phacochoerus_africanus	0	3846	137993	159401	83607	105015	2094	Intact
Cuculiformes	Phaenicophaeus_curvirostris	0	1020	49601	66153	20330	36882	4228	Intact
Artiodactyla	Phocoena_phocoena	0	2879	113925	134568	67094	87737	2118	Intact
Artiodactyla	Phocoena_sinus	0	2873	114442	135071	67364	87993	2112	Intact
Chiroptera	Phyllostomus_discolor	0	3846	110946	127433	68880	85367	1910	Intact
Primates	Piliocolobus_tephrosceles	6	4526	144388	173110	91927	120649	10862	Intact
Passeriformes	Pithys_albifrons	0	1114	43553	57707	14394	28548	2720	Intact
Caudata	Pleurodeles_waltl	0	38754	1474866	2086623	1132694	1744451	303785	Intact
Squamata	Podarcis_raffonei	0	2447	38023	95127	6567	63671	2807	Loss
Passeriformes	Poecile_atricapillus	0	1079	42654	56455	14605	28406	2634	Intact
Polypteriformes	Polypterus_senegalus	10	11690	35374636	35664197	35337291	35626852	32317	Intact
Primates	Pongo_abelii	0	3139	135291	163712	87060	115481	6060	Intact
Primates	Pongo_pygmaeus	0	3128	135458	163888	87206	115636	6053	Intact
Passeriformes	Prinia_subflava	0	1070	43454	57166	14748	28460	2628	Intact
Carnivora	Prionailurus_bengalensis	0	4218	137249	160636	89561	112948	2115	Intact
Carnivora	Prionailurus_viverrinus	0	4452	137678	161039	89520	112881	7274	Intact
Rhinopristiformes	Pristis_pectinata	0	11747	271463	470426	219348	418311	50310	Intact
Anura	Pseudophryne_corroboree	0	4123	349119	668472	326838	646191	151067	Intact
Passeriformes	Pseudopipra_pipra	0	1108	50232	64249	21472	35489	2711	Intact
Artiodactyla	Pseudorca_crassidens	0	2893	115634	136325	67596	88287	2157	Intact
Anura	Ranitomeya_imitator	0	2075	73415	194895	60108	181588	57036	Intact
Rodentia	Rattus_norvegicus	0	2485	108311	129043	71222	91954	1739	Intact
Rheiformes	Rhea_pennata	0	1098	42995	59865	12638	29508	2773	Intact
Gymnophiona	Rhinatrema_bivittatum	8	9221	27193834	27534600	26946598	27287364	76112	Intact
Squamata	Rhineura_floridana	0	1755	74557	154739	9573	89755	4668	Loss
Chiroptera	Rhinolophus_ferrumequinum	0	3235	106424	127185	67466	88227	6273	Intact
Primates	Rhinopithecus_roxellana	0	4528	139709	167698	86860	114849	6048	Intact
Charadriiformes	Rissa_tridactyla	0	1136	47909	63289	17950	33330	3131	Intact
Chiroptera	Saccopteryx_bilineata	0	2319	136744	152561	92153	107970	1918	Intact
Chiroptera	Saccopteryx_leptura	0	2339	139920	155960	91247	107287	1933	Intact
Dasyuromorphia	Sarcophilus_harrisii	0	4385	158672	192394	124501	158223	2815	Intact
Squamata	Sceloporus_undulatus	4	3098	31620	64220	6373	38973	2024	Loss
Rodentia	Sciurus_carolinensis	0	3139	127820	147510	80368	100058	1947	Intact
Carcharhiniformes	Scyliorhinus_canicula	0	45011	606159	930071	491197	815109	122600	Intact
Passeriformes	Serinus_canaria	0	1058	42769	56431	14742	28404	2620	Intact
Eulipotyphla	Sorex_araneus	0	3632	101479	118630	60834	77985	1587	Intact
Anura	Spea_bombifrons	0	1013	25699	51165	14507	39973	3088	Intact
Squamata	Sphaerodactylus_townsendi	0	2320	39573	118440	4692	83559	5092	Loss
Psittaciformes	Strigops_habroptila	1	1046	51571	61316	23245	32990	2546	Intact
Struthioniformes	Struthio_camelus	0	1168	53225	79071	21082	46928	4465	Intact
Eulipotyphla	Suncus_etruscus	0	4082	123890	143988	67469	87567	1594	Intact
Carnivora	Suricata_suricatta	6	3323	114109	134648	68011	88550	1675	Intact
Artiodactyla	Sus_scrofa	0	3592	138454	159795	84678	106019	2026	Intact
Passeriformes	Sylvia_atricapilla	0	1065	43028	57874	14703	29549	3767	Intact
Primates	Symphalangus_syndactylus	0	5530	139034	164904	89358	115228	7822	Intact
Monotremata	Tachyglossus_aculeatus	0	5657	114849	165515	74963	125629	13313	Intact
Passeriformes	Taeniopygia_guttata	0	1071	42282	55933	14400	28051	2604	Intact
Squamata	Thamnophis_elegans	0	683	44701	103594	4563	63456	697	Loss
Primates	Theropithecus_gelada	7	4832	140170	170099	85418	115347	7165	Intact
Squamata	Tiliqua_scincoides	0	3149	36388	104484	5768	73864	3760	Loss
Diprotodontia	Trichosurus_vulpecula	0	1797	159579	195803	126010	162234	3425	Intact
Artiodactyla	Tursiops_truncatus	0	2888	114036	134721	65986	86671	2135	Intact
Carnivora	Ursus_arctos	0	3755	105308	124905	64377	83974	2083	Intact
Passeriformes	Vidua_chalybeata	0	1077	43195	56905	14751	28461	2655	Intact
Passeriformes	Vidua_macroura	0	1077	43249	56976	14766	28493	2667	Intact
Carnivora	Vulpes_lagopus	0	5635	133529	153982	81072	101525	1780	Intact
Anura	Xenopus_tropicalis	0	3446	131615	220477	91400	180262	30288	Intact
Carnivora	Zalophus_californianus	0	2831	114217	134722	71786	92291	6498	Intact
Passeriformes	Zonotrichia_leucophrys	0	1058	43701	57310	14637	28246	2639	Intact
Squamata	Zootoca_vivipara	0	2562	42493	104062	6611	68180	2768	Loss
