Species	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	SF3B3-MTSS2	SF3B3-VAC14	MTSS2-VAC14	
Emys_orbicularis	5928	1108196	1214470	1141255	1247529	21494	
Engraulis_encrasicolus	EBR	EBR	EBR	EBR	15782462	EBR	
Enoplosus_armatus	EBR	11014987	EBR	EBR	EBR	EBR	
Entelurus_aequoreus	EBR	33392883	EBR	EBR	EBR	EBR	
Epinephelus_fuscoguttatus	EBR	16025874	EBR	EBR	EBR	EBR	
Epinephelus_lanceolatus	EBR	18116614	EBR	EBR	EBR	EBR	
Eptesicus_fuscus	4665	124782	140845	81016	97079	1888	
Equus_asinus	3528	122294	146785	70172	94663	5641	
Equus_caballus	3532	122297	146627	70227	94557	5678	
Equus_przewalskii	3533	122324	146567	70253	94496	5677	
Equus_quagga	3531	122583	147341	70295	95053	5935	
Erinaceus_europaeus	5446	151534	179359	102879	130704	1529	
Erpetoichthys_calabaricus	9281	35487396	35780413	35453182	35746199	32602	
Erythrolamprus_reginae	731	50145	93934	4675	48464	694	
Eschrichtius_robustus	2875	121044	141832	73590	94378	2150	
Esox_lucius	EBR	10228957	EBR	EBR	17574641	EBR	
Etheostoma_cragini	EBR	18059637	EBR	EBR	EBR	EBR	
Eubalaena_glacialis	2890	121492	142368	75289	96165	2305	
Eublepharis_macularius	2408	45042	134147	10234	99339	4838	
Eulemur_rufifrons	3081	104066	124133	61715	81782	7069	
Euleptes_europaea	2220	47349	133327	7348	93326	6075	
Falco_biarmicus	1117	43573	57855	13418	27700	2645	
Falco_cherrug	1120	43607	57886	13448	27727	2647	
Falco_naumanni	1131	44462	58715	14360	28613	2674	
Falco_peregrinus	1119	43566	57857	13413	27704	2653	
Falco_rusticolus	1120	43615	57895	13470	27750	2645	
Felis_catus	4184	140053	163376	92537	115860	2106	
Ficedula_albicollis	1088	45385	59072	16795	30482	2648	
Gadus_morhua	EBR	20264317	EBR	EBR	EBR	EBR	
Gambusia_affinis	EBR	15008374	EBR	EBR	EBR	EBR	
Gasterosteus_aculeatus	EBR	9335157	EBR	EBR	EBR	EBR	
Gavia_stellata	1294	47596	62601	17881	32886	2748	
Geotrypetes_seraphini	20550	588264	940899	281497	634132	63659	
Globicephala_melas	2894	114633	135337	67676	88380	2130	
Gopherus_flavomarginatus	3279	518246	617611	550809	650174	18636	
Gouania_willdenowi	EBR	26317568	EBR	EBR	EBR	EBR	
Gracilinanus_agilis	6870	177972	218970	134243	175241	26719	
Grus_americana	1212	46815	61334	18069	32588	2846	
Gymnogyps_californianus	3659	50804	65809	17858	32863	2861	
Haemorhous_mexicanus	1068	42918	56384	14734	28200	2633	
Haliaeetus_albicilla	1193	45956	60750	16285	31079	2850	
Heliangelus_exortis	850	55761	71241	17719	33199	5545	
Hemibagrus_wyckioides	EBR	EBR	EBR	EBR	EBR	EBR	
Hemicordylus_capensis	2567	40165	95288	3751	58874	4367	
Heteronotia_binoei	1756	60830	150297	5852	95319	5404	
Hippocampus_zosterae	EBR	13270639	EBR	EBR	EBR	EBR	
Hippoglossus_hippoglossus	EBR	12122828	EBR	EBR	EBR	EBR	
Hippoglossus_stenolepis	EBR	12091500	EBR	EBR	EBR	EBR	
Hippopotamus_amphibius	3390	109281	129556	67464	87739	2115	
Hirundo_rustica	1084	43154	56924	14568	28338	2638	
Hyla_sarda	1881	148652	223015	133839	208202	17184	
Hyperolius_riggenbachi	9738	545016	924061	423231	802276	122755	
Hypomesus_transpacificus	EBR	EBR	EBR	EBR	EBR	EBR	
Ictalurus_furcatus	EBR	EBR	EBR	EBR	EBR	EBR	
Ictalurus_punctatus	EBR	EBR	EBR	EBR	EBR	EBR	
Ictidomys_tridecemlineatus	2784	121334	142193	74129	94988	6817	
Indicator_indicator	5388	74744	92615	22654	40525	3472	
Jaculus_jaculus	6223	190826	213952	129904	153030	1758	
Kryptolebias_marmoratus	EBR	11033679	EBR	EBR	EBR	EBR	
Labeo_rohita	EBR	13352375	EBR	EBR	EBR	EBR	
Labrus_bergylta	EBR	19401577	EBR	EBR	EBR	EBR	
Labrus_mixtus	EBR	19618902	EBR	EBR	EBR	EBR	
Lacerta_agilis	2430	39881	100386	6643	67148	2783	
Lagenorhynchus_albirostris	2885	116130	136827	67936	88633	2121	
Lagopus_muta	1449	39393	51386	11526	23519	2255	
Lampris_incognitus	EBR	29335505	EBR	EBR	EBR	EBR	
Larimichthys_crocea	EBR	5472794	EBR	EBR	EBR	EBR	
Lates_calcarifer	EBR	11410051	EBR	EBR	EBR	EBR	
Lathamus_discolor	1089	47020	60582	15789	29351	2502	
Lemur_catta	3077	103258	123101	60170	80013	1943	
Leopardus_geoffroyi	4465	134748	158147	86315	109714	2129	
Lepisosteus_oculatus	1895	3570198	3519166	3549987	3498955	4752	
Lepus_europaeus	3080	131867	151785	73657	93575	1856	
Lonchura_striata	1070	42477	56197	14542	28262	2685	
Loxodonta_africana	2621	139486	160830	87221	108565	6749	
Lutra_lutra	1470	113634	134887	70102	91355	1976	
Lynx_canadensis	4203	136162	159569	89174	112581	2110	
Macaca_fascicularis	5159	141938	166552	88341	112955	2134	
Macaca_mulatta	5143	140955	165666	88017	112728	2250	
Macaca_nemestrina	5135	139764	164413	86131	110780	2149	
Macaca_thibetana	5151	141830	166442	88221	112833	2149	
Malaclemys_terrapin	3596	479157	590007	512022	622872	21688	
Manis_pentadactyla	4478	125952	147079	65204	86331	1902	
Marmota_flaviventris	2946	121589	142236	72885	93532	1983	
Mastacembelus_armatus	EBR	13039939	EBR	EBR	EBR	EBR	
Mastomys_coucha	2504	113335	133399	75590	95654	1753	
Mauremys_mutica	3600	382282	493220	415018	525956	27129	
Mauremys_reevesii	3562	393861	509068	424840	540047	24589	
Megalobrama_amblycephala	EBR	16215632	EBR	EBR	EBR	EBR	
Melanotaenia_boesemani	EBR	14982526	EBR	EBR	EBR	EBR	
Meles_meles	1420	112702	134118	68140	89556	2033	
Melopsittacus_undulatus	1103	44640	58416	14629	28405	2490	
Melospiza_georgiana	1046	43281	56961	14829	28509	2634	
Melospiza_melodia	1047	43302	56969	14828	28495	2629	
Meriones_unguiculatus	2696	98334	117716	62854	82236	1763	
Mesoplodon_densirostris	2861	120806	141715	73337	94246	2158	
Microcebus_murinus	3008	120680	141623	65726	86669	1766	
Microtus_ochrogaster	2555	106206	125837	65227	84858	1735	
Misgurnus_anguillicaudatus	EBR	14334105	EBR	EBR	EBR	EBR	
Mobula_hypostoma	25707	417330	672027	337202	591899	70207	
Molothrus_aeneus	1065	43338	57124	14759	28545	2649	
Molothrus_ater	1065	43288	57078	14743	28533	2647	
Monodelphis_domestica	1765	175416	210217	136029	170830	2169	
Motacilla_alba	1133	43363	58285	14723	29645	3732	
Mugil_cephalus	EBR	6371609	EBR	EBR	EBR	EBR	
Muntiacus_reevesi	3731	110140	128505	71783	90148	1476	
Mus_caroli	2553	108457	127721	73234	92498	1755	
Mus_musculus	2519	107974	127082	71864	90972	1753	
Mus_pahari	2552	113270	131879	75378	93987	1751	
Mustela_erminea	1480	112048	132938	69103	89993	2019	
Mustela_lutreola	1466	111605	132236	69230	89861	2030	
Mustela_nigripes	1462	111833	132667	69573	90407	2177	
Myotis_daubentonii	3466	120120	136396	75839	92115	1923	
Myripristis_murdjan	EBR	31920544	EBR	EBR	EBR	EBR	
Narcine_bancroftii	73603	417731	693277	295112	570658	58945	
Nematolebias_whitei	EBR	25307898	EBR	EBR	EBR	EBR	
Neoarius_graeffei	EBR	EBR	EBR	EBR	EBR	EBR	
Neofelis_nebulosa	4272	137995	161320	90125	113450	2121	
Neogale_vison	1477	111210	132302	68482	89574	2002	
Neomonachus_schauinslandi	4019	116255	140991	74132	98868	8286	
Nomascus_leucogenys	38428	137020	159208	86771	108959	3900	
Notolabrus_celidotus	EBR	21136419	EBR	EBR	EBR	EBR	
Numida_meleagris	1216	39467	51972	11625	24130	1005	
Nyctibius_grandis	1174	42275	56770	12832	27327	2848	
Nycticebus_coucang	5144	143383	168408	86319	111344	1888	
Ochotona_princeps	2488	107740	125422	64112	81794	1911	
Odocoileus_virginianus	3717	110523	128839	72274	90590	1260	
Oenanthe_melanoleuca	1084	42970	56600	14387	28017	2618	
Onychostoma_macrolepis	EBR	11916787	EBR	EBR	EBR	EBR	
Orcinus_orca	2885	115671	136347	67696	88372	2120	
Ornithorhynchus_anatinus	5014	94503	134538	59430	99465	9638	
Oryctolagus_cuniculus	3081	130491	151268	69531	90308	1848	
Oryzias_latipes	EBR	13094022	EBR	EBR	EBR	EBR	
Osmerus_eperlanus	EBR	EBR	EBR	EBR	11014867	EBR	
Osmerus_mordax	EBR	3633309	EBR	EBR	10500807	EBR	
Ovis_aries	3557	110241	129100	71416	90275	1607	
Ovis_canadensis	3559	112508	131495	73740	92727	1607	
Oxyura_jamaicensis	543	EBR	37996	EBR	13476	EBR	
Pangasianodon_hypophthalmus	EBR	EBR	EBR	EBR	EBR	EBR	
Pan_paniscus	3092	137106	161409	88900	113203	3862	
Panthera_leo	4253	135204	158582	88428	111806	1029	
Panthera_onca	4274	117473	140604	74299	97430	2122	
Panthera_tigris	4604	135765	159093	88699	112027	1030	
Panthera_uncia	4274	122172	146070	74690	98588	1030	
Pan_troglodytes	3091	137742	165977	89541	117776	7799	
Papio_anubis	4826	138533	163190	84696	109353	2137	
Paralichthys_olivaceus	EBR	11557526	EBR	EBR	EBR	EBR	
Parambassis_ranga	EBR	9721333	EBR	EBR	EBR	EBR	
Parus_major	1086	42707	56549	14683	28525	2689	
Passer_domesticus	1013	43430	56963	14984	28517	2544	
Patagioenas_fasciata	1427	45263	60083	15976	30796	2737	
Pelobates_fuscus	8068	118454	204317	97037	182900	10409	
Perca_flavescens	EBR	22205611	EBR	EBR	EBR	EBR	
Perca_fluviatilis	EBR	23794129	EBR	EBR	EBR	EBR	
Periophthalmus_magnuspinnatus	EBR	7264318	EBR	EBR	EBR	EBR	
Perognathus_longimembris	4522	86050	104690	42955	61595	5007	
Peromyscus_eremicus	2646	101844	122469	62526	83151	1781	
Peromyscus_leucopus	2672	105515	125740	66230	86455	1783	
Peromyscus_maniculatus	2693	105112	125988	65418	86294	1764	
Petromyzon_marinus	EBR	EBR	EBR	32140	EBR	EBR	
Phacochoerus_africanus	3846	137993	159401	83607	105015	2094	
Phaenicophaeus_curvirostris	1020	49601	66153	20330	36882	4228	
Phocoena_phocoena	2879	113925	134568	67094	87737	2118	
Phocoena_sinus	2873	114442	135071	67364	87993	2112	
Phycodurus_eques	EBR	4221330	EBR	EBR	EBR	EBR	
Phyllopteryx_taeniolatus	EBR	EBR	EBR	EBR	EBR	EBR	
Phyllostomus_discolor	3846	110946	127433	68880	85367	1910	
Piliocolobus_tephrosceles	4526	144388	173110	91927	120649	10862	
Pithys_albifrons	1114	43553	57707	14394	28548	2720	
Platichthys_flesus	EBR	11188136	EBR	EBR	EBR	EBR	
Plectropomus_leopardus	EBR	14682216	EBR	EBR	EBR	EBR	
Pleurodeles_waltl	38754	1474866	2086623	1132694	1744451	303785	
Pleuronectes_platessa	EBR	11556262	EBR	EBR	EBR	EBR	
Podarcis_raffonei	2447	38023	95127	6567	63671	2807	
Poecile_atricapillus	1079	42654	56455	14605	28406	2634	
Poecilia_reticulata	EBR	17406003	EBR	EBR	EBR	EBR	
Polypterus_senegalus	11690	35374636	35664197	35337291	35626852	32317	
Pongo_abelii	3139	135291	163712	87060	115481	6060	
Pongo_pygmaeus	3128	135458	163888	87206	115636	6053	
Prinia_subflava	1070	43454	57166	14748	28460	2628	
Prionailurus_bengalensis	4218	137249	160636	89561	112948	2115	
Prionailurus_viverrinus	4452	137678	161039	89520	112881	7274	
Pristiophorus_japonicus	37247	566810	888078	472392	793660	123103	
Pristis_pectinata	11747	271463	470426	219348	418311	50310	
Protopterus_annectens	17299	10918603	12438660	11809159	13329216	277690	
Pseudophryne_corroboree	4123	349119	668472	326838	646191	151067	
Pseudopipra_pipra	1108	50232	64249	21472	35489	2711	
Pseudorasbora_parva	EBR	16192231	EBR	EBR	EBR	EBR	
Pseudorca_crassidens	2893	115634	136325	67596	88287	2157	
Pungitius_pungitius	EBR	10946185	EBR	EBR	EBR	EBR	
Puntigrus_tetrazona	EBR	10461445	EBR	EBR	EBR	EBR	
Pygocentrus_nattereri	EBR	EBR	EBR	EBR	EBR	EBR	
Ranitomeya_imitator	2075	73415	194895	60108	181588	57036	
Rattus_norvegicus	2485	108311	129043	71222	91954	1739	
Rhea_pennata	1098	42995	59865	12638	29508	2773	
Rhinatrema_bivittatum	9221	27193834	27534600	26946598	27287364	76112	
Rhineura_floridana	1755	74557	154739	9573	89755	4668	
Rhinolophus_ferrumequinum	3235	106424	127185	67466	88227	6273	
Rhinopithecus_roxellana	4528	139709	167698	86860	114849	6048	
Rissa_tridactyla	1136	47909	63289	17950	33330	3131	
Saccopteryx_bilineata	2319	136744	152561	92153	107970	1918	
Saccopteryx_leptura	2339	139920	155960	91247	107287	1933	
Sander_lucioperca	EBR	24869398	EBR	EBR	EBR	EBR	
Sarcophilus_harrisii	4385	158672	192394	124501	158223	2815	
Sardina_pilchardus	EBR	EBR	EBR	EBR	7850522	EBR	
Scatophagus_argus	EBR	10887423	EBR	EBR	EBR	EBR	
Sceloporus_undulatus	3098	31620	64220	6373	38973	2024	
Sciurus_carolinensis	3139	127820	147510	80368	100058	1947	
Scomber_japonicus	EBR	12819434	EBR	EBR	EBR	EBR	
Scomber_scombrus	EBR	12833817	EBR	EBR	EBR	EBR	
Scophthalmus_maximus	EBR	10497138	EBR	EBR	EBR	EBR	
Scyliorhinus_canicula	45011	606159	930071	491197	815109	122600	
Sebastes_umbrosus	EBR	23047440	EBR	EBR	EBR	EBR	
Serinus_canaria	1058	42769	56431	14742	28404	2620	
Silurus_meridionalis	EBR	EBR	EBR	EBR	EBR	EBR	
Siniperca_chuatsi	EBR	12558709	EBR	EBR	EBR	EBR	
Solea_solea	EBR	31542471	EBR	EBR	EBR	EBR	
Sorex_araneus	3632	101479	118630	60834	77985	1587	
Sparus_aurata	EBR	14692011	EBR	EBR	EBR	EBR	
Spea_bombifrons	1013	25699	51165	14507	39973	3088	
Sphaeramia_orbicularis	EBR	15668322	EBR	EBR	EBR	EBR	
Sphaerodactylus_townsendi	2320	39573	118440	4692	83559	5092	
Strigops_habroptila	1046	51571	61316	23245	32990	2546	
Struthio_camelus	1168	53225	79071	21082	46928	4465	
Suncus_etruscus	4082	123890	143988	67469	87567	1594	
Suricata_suricatta	3323	114109	134648	68011	88550	1675	
Sus_scrofa	3592	138454	159795	84678	106019	2026	
Sylvia_atricapilla	1065	43028	57874	14703	29549	3767	
Symphalangus_syndactylus	5530	139034	164904	89358	115228	7822	
Synchiropus_splendidus	EBR	EBR	EBR	EBR	EBR	EBR	
Syngnathoides_biaculeatus	EBR	7719086	EBR	EBR	EBR	EBR	
Syngnathus_acus	EBR	8486606	EBR	EBR	EBR	EBR	
Syngnathus_scovelli	EBR	8408336	EBR	EBR	EBR	EBR	
Syngnathus_typhle	EBR	8474926	EBR	EBR	EBR	EBR	
Tachyglossus_aculeatus	5657	114849	165515	74963	125629	13313	
Tachysurus_fulvidraco	EBR	EBR	EBR	EBR	EBR	EBR	
Tachysurus_vachellii	EBR	EBR	EBR	EBR	EBR	EBR	
Taeniopygia_guttata	1071	42282	55933	14400	28051	2604	
Thalassophryne_amazonica	EBR	86675401	EBR	EBR	EBR	EBR	
Thamnophis_elegans	683	44701	103594	4563	63456	697	
Theropithecus_gelada	4832	140170	170099	85418	115347	7165	
Thunnus_thynnus	EBR	13132257	EBR	EBR	EBR	EBR	
Tiliqua_scincoides	3149	36388	104484	5768	73864	3760	
Toxotes_jaculatrix	EBR	12152418	EBR	EBR	EBR	EBR	
Trichomycterus_rosablanca	EBR	EBR	EBR	EBR	EBR	EBR	
Trichosurus_vulpecula	1797	159579	195803	126010	162234	3425	
Triplophysa_rosa	EBR	12045241	EBR	EBR	EBR	EBR	
Tursiops_truncatus	2888	114036	134721	65986	86671	2135	
Ursus_arctos	3755	105308	124905	64377	83974	2083	
Vidua_chalybeata	1077	43195	56905	14751	28461	2655	
Vidua_macroura	1077	43249	56976	14766	28493	2667	
Vulpes_lagopus	5635	133529	153982	81072	101525	1780	
Xenopus_tropicalis	3446	131615	220477	91400	180262	30288	
Xiphias_gladius	EBR	11963099	EBR	EBR	EBR	EBR	
Xiphophorus_hellerii	EBR	15837209	EBR	EBR	EBR	EBR	
Xiphophorus_maculatus	EBR	15760762	EBR	EBR	EBR	EBR	
Zalophus_californianus	2831	114217	134722	71786	92291	6498	
Zonotrichia_leucophrys	1058	43701	57310	14637	28246	2639	
Zootoca_vivipara	2562	42493	104062	6611	68180	2768	
