Species	FCSK-COG4	FCSK-SF3B3	FCSK-MTSS2	FCSK-VAC14	FCSK-HYDIN	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	COG4-HYDIN	SF3B3-MTSS2	SF3B3-VAC14	SF3B3-HYDIN	MTSS2-VAC14	MTSS2-HYDIN	VAC14-HYDIN	
Apteryx_mantelli	1942	20201	71255	91327	198658	1173	52227	72299	179630	21489	41561	148892	3889	111220	678	
Apus_apus	1391	18169	49902	60065	119082	787	32520	42683	101700	140	10303	69320	7819	66836	2237	
Aquila_chrysaetos	1552	17954	63635	78276	143017	1192	46873	61514	126255	17205	31846	96587	2822	67563	283	
Archocentrus_centrarchus	EBR	29067811	EBR	EBR	29449832	EBR	16013877	EBR	EBR	EBR	EBR	359924	EBR	EBR	EBR	
Arvicanthis_niloticus	1130	36018	141654	160863	272873	2573	108209	127418	239428	70147	89356	201366	1735	113745	9970	
Arvicola_amphibius	1144	36995	138247	157820	279262	2615	103867	123440	244882	65281	84854	206296	1785	123227	6686	
Astyanax_mexicanus	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	1909582	EBR	EBR	EBR	
Aythya_fuligula	1083	15230	49788	60827	106389	588	35146	46185	91747	11091	22130	67692	2931	48493	417	
Balaenoptera_acutorostrata	1363	31591	153126	173897	379031	2872	124407	145178	350312	74439	95210	300344	2144	207278	107154	
Balaenoptera_musculus	1363	30950	148108	168883	373043	3196	120354	141129	345289	72961	93736	297896	2150	206310	106742	
Betta_splendens	EBR	17482871	EBR	EBR	15693700	EBR	6159186	EBR	EBR	EBR	EBR	1736690	EBR	EBR	EBR	
Bombina_bombina	61297	177977	657162	1027361	1491921	2965	482150	852349	1316909	413096	783295	1247855	129412	593972	92720	
Bos_mutus	1242	29690	135805	156360	38198745	3573	109688	130243	38212430	70923	91478	38240878	1450	38346993	38367548	
Brienomyrus_brachyistius	EBR	EBR	EBR	EBR	EBR	1166	1472288	1440136	870501	1481146	1448994	879359	3651	529224	497072	
Bubalus_bubalis	1243	29472	135982	156518	38111602	3552	110062	130598	38125349	71349	91885	38153578	1626	38260088	38280624	
Budorcas_taxicolor	1237	29792	136564	155171	37892450	3582	110354	128961	37906065	71515	90122	37934620	1580	38041392	38059999	
Bufo_bufo	414	23392	78386	114427	152981	2242	57236	93277	131831	39142	75183	113737	6524	45078	8860	
Bufo_gargarizans	458	22441	65328	120138	174480	2570	45457	100267	154609	32768	87578	141920	14108	68450	21981	
Callithrix_jacchus	1332	40640	169359	193117	323221	4279	132998	156756	286860	85666	109424	239528	6247	136351	5143	
Caloenas_nicobarica	1492	18431	62890	77790	141192	1585	46044	60944	124346	16581	31481	94883	2680	66082	272	
Calypte_anna	1271	22665	73157	88425	165673	881	51373	66641	143889	17234	32502	109750	2704	79952	2628	
Camarhynchus_parvulus	1378	15290	57252	70879	131538	1040	43002	56629	117288	14473	28100	88759	2555	63214	2477	
Camelus_ferus	1432	25272	125216	145430	288449	1224	101168	121382	264401	57320	77534	220553	2121	145140	49587	
Candoia_aspera	13907	34319	87735	154514	212811	283	53699	120478	178775	5781	72560	130857	1196	59493	474	
Capra_hircus	1238	29589	136741	155501	38143130	3555	110707	129467	38156674	71906	90666	38185025	1597	38292177	38310937	
Caretta_caretta	3074	38182	356735	463258	699212	3927	400393	506916	742870	435501	542024	777978	25257	261211	34520	
Centropristis_striata	EBR	3571183	EBR	EBR	2594233	EBR	41284907	EBR	EBR	EBR	EBR	816435	EBR	EBR	EBR	
Cervus_canadensis	1326	29429	143711	162176	30383108	3720	118002	136467	30397584	79557	98022	30425687	1594	30539969	30558434	
Cervus_elaphus	1326	29415	144946	163393	36686972	3720	119251	137698	36701422	80800	99247	36729511	1594	36845042	36863489	
Chaetodon_trifascialis	EBR	2679006	EBR	EBR	6631206	EBR	12051356	EBR	EBR	EBR	EBR	3923865	EBR	EBR	EBR	
Chanodichthys_erythropterus	EBR	EBR	EBR	8720938	EBR	EBR	14763540	EBR	EBR	EBR	EBR	1653545	EBR	EBR	EBR	
Chanos_chanos	EBR	EBR	EBR	4748485	EBR	23335593	6213200	EBR	21144413	29556220	EBR	2129878	EBR	27365040	EBR	
Cheilinus_undulatus	EBR	40670652	EBR	EBR	39915427	EBR	24413841	EBR	EBR	EBR	EBR	648451	EBR	EBR	EBR	
Chelmon_rostratus	EBR	26692712	EBR	EBR	22396306	EBR	12207868	EBR	EBR	EBR	EBR	4213890	EBR	EBR	EBR	
Chelonia_mydas	3137	37830	389584	489708	714030	3444	431665	531789	756111	466358	566482	790804	25303	249625	24985	
Chionomys_nivalis	1808	39590	139877	158920	277962	2922	103209	122252	241294	62070	81113	200155	1763	120805	7559	
Choloepus_didactylus	1761	34325	175230	197085	322772	1470	142375	164230	289917	78512	100367	226054	1941	127628	5504	
Chroicocephalus_ridibundus	1489	18400	67182	82390	152589	1138	49920	65128	135327	19933	35141	105340	3141	73340	242	
Chrysemys_picta	3256	35497	574356	683864	888460	3611	602699	712207	916803	634940	744448	949044	20883	225479	12761	
Clupea_harengus	EBR	23588012	EBR	26560353	22843900	EBR	3097058	EBR	EBR	EBR	2947325	667953	EBR	EBR	3640294	
Colius_striatus	1064	17558	62367	76139	1019486	1064	45873	59645	1002992	14692	28464	971811	3012	946359	879523	
Cololabis_saira	EBR	19469065	EBR	EBR	16397334	EBR	22457844	EBR	EBR	EBR	EBR	2896084	EBR	EBR	EBR	
Columba_livia	1470	18391	62231	76990	138158	1426	45266	60025	121193	16026	30785	91953	2715	63883	209	
Corvus_cornix	1364	16653	59034	73351	137789	1074	43455	57772	122210	14639	28956	93394	2639	67077	5859	
Corvus_hawaiiensis	1384	16691	59130	73485	153174	1077	43516	57871	137560	14647	29002	108691	2639	82328	21048	
Corvus_moneduloides	1363	16669	59107	73502	153166	1077	43515	57910	137574	14640	29035	108699	2645	82309	21057	
Corythoichthys_intestinalis	EBR	37212907	EBR	EBR	51360129	EBR	38930139	EBR	EBR	EBR	EBR	14090067	EBR	EBR	EBR	
Coturnix_japonica	1539	16369	52780	64663	114324	1136	37547	49430	99091	10628	22511	72172	2136	51797	469	
Cricetulus_griseus	1157	39778	146903	166149	282900	2939	110064	129310	246061	72663	91909	208660	1571	118322	9826	
Ctenopharyngodon_idella	EBR	EBR	EBR	9397540	EBR	EBR	12406764	EBR	EBR	EBR	EBR	1477051	EBR	EBR	EBR	
Cyclopterus_lumpus	EBR	20405386	EBR	EBR	20710215	EBR	10191512	EBR	EBR	EBR	EBR	283368	EBR	EBR	EBR	
Cygnus_atratus	1215	16779	52757	63863	115056	578	36556	47662	98855	11299	22405	73598	3076	54269	376	
Cygnus_olor	2495	16896	52952	63851	114002	582	36638	47537	97688	11335	22234	72385	3043	53194	367	
Cynocephalus_volans	1335	29529	138500	163157	273813	3202	112173	136830	247486	71632	96289	206945	5734	116390	5677	
Cynoglossus_semilaevis	EBR	3685276	EBR	EBR	3427524	EBR	2540849	EBR	EBR	EBR	EBR	198590	EBR	EBR	EBR	
Dama_dama	1320	29237	143743	162115	36802734	3714	118220	136592	36817197	79710	98082	36845114	1600	36959620	36977992	
Danio_rerio	EBR	EBR	EBR	9999818	EBR	EBR	19002654	EBR	EBR	EBR	EBR	2690463	EBR	EBR	EBR	
Dasypus_novemcinctus	1748	35173	172857	195728	316192	1837	139521	162392	282856	81581	104452	224916	1902	122366	6720	
Dendropsophus_ebraccatus	508	21265	111783	144980	181156	1777	92295	125492	161668	78731	111928	148104	8978	45154	9373	
Dermochelys_coriacea	3136	38380	406896	512514	3345885	6851	450477	556095	3314356	485721	591339	3260718	17667	3793226	3898844	
Desmodus_rotundus	1410	27855	135556	152179	250340	3619	111320	127943	226104	70224	86847	185008	1962	100123	5063	
Diceros_bicornis	1432	30020	148283	170399	279906	3529	121792	143908	253415	71538	93654	203161	7006	116513	6117	
Dromaius_novaehollandiae	1919	19803	68016	88783	198088	1198	49411	70178	179483	19057	39824	149129	3397	112702	741	
Dromiciops_gliroides	1873	35801	204576	244753	383822	1820	170595	210772	349841	137804	177981	317050	3535	142604	10220	
Echeneis_naucrates	EBR	3969177	EBR	EBR	3695442	EBR	14934859	EBR	EBR	EBR	EBR	219368	EBR	EBR	EBR	
Electrophorus_electricus	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	2362856	EBR	EBR	EBR	
Eleginops_maclovinus	EBR	21263546	EBR	EBR	22002203	EBR	15595328	EBR	EBR	EBR	EBR	710367	EBR	EBR	EBR	
Elephas_maximus	1775	33983	170738	192054	298029	2621	139376	160692	266667	87159	108475	214450	1972	107947	3450	
Eleutherodactylus_coqui	392	21977	81383	126447	157982	1716	61122	106186	137721	44545	89609	121144	19133	50668	7663	
Elgaria_multicarinata	2623	39843	100748	201513	312508	3228	64133	164898	275893	7284	108049	219044	2835	113830	5558	
Emys_orbicularis	3143	36202	1077183	1183457	1402142	5928	1108196	1214470	1433155	1141255	1247529	1466214	21494	240179	15424	
Engraulis_encrasicolus	EBR	31169062	EBR	15364270	25935282	EBR	EBR	EBR	EBR	EBR	15782462	5062494	EBR	EBR	10548682	
Enoplosus_armatus	EBR	20813811	EBR	EBR	21919431	EBR	11014987	EBR	EBR	EBR	EBR	1084654	EBR	EBR	EBR	
Entelurus_aequoreus	EBR	EBR	EBR	EBR	EBR	EBR	33392883	EBR	EBR	EBR	EBR	19853193	EBR	EBR	EBR	
Epinephelus_fuscoguttatus	EBR	32113689	EBR	EBR	26580908	EBR	16025874	EBR	EBR	EBR	EBR	5414472	EBR	EBR	EBR	
Epinephelus_lanceolatus	EBR	27595246	EBR	EBR	25060373	EBR	18116614	EBR	EBR	EBR	EBR	2413001	EBR	EBR	EBR	
Eptesicus_fuscus	1371	36372	156489	172552	271242	4665	124782	140845	239535	81016	97079	195769	1888	100578	3587	
Equus_asinus	1440	28911	147677	172168	278545	3528	122294	146785	253162	70172	94663	201040	5641	112018	6111	
Equus_caballus	1441	28945	147710	172040	278096	3532	122297	146627	252683	70227	94557	200613	5678	111734	6092	
Equus_przewalskii	1441	28945	147736	171979	278052	3533	122324	146567	252640	70253	94496	200569	5677	111750	6093	
Equus_quagga	1440	28908	147960	172718	279054	3531	122583	147341	253677	70295	95053	201389	5935	112271	6092	
Erinaceus_europaeus	1451	42031	188119	215944	351711	5446	151534	179359	315126	102879	130704	266471	1529	137296	10353	
Erpetoichthys_calabaricus	218	32778	35510893	35803910	14779064	9281	35487396	35780413	14755567	35453182	35746199	14721353	32602	20367132	20660149	
Erythrolamprus_reginae	2845	21454	70868	114657	148347	731	50145	93934	127624	4675	48464	82154	694	34384	263	
Eschrichtius_robustus	1363	30918	149087	169875	381708	2875	121044	141832	353665	73590	94378	306211	2150	213983	114367	
Esox_lucius	EBR	16401626	EBR	33999727	17469261	EBR	10228957	EBR	EBR	EBR	17574641	1044175	EBR	EBR	16448616	
Etheostoma_cragini	EBR	EBR	EBR	EBR	EBR	EBR	18059637	EBR	EBR	EBR	EBR	4758321	EBR	EBR	EBR	
Eublepharis_macularius	3550519	3580328	3622962	3712067	3838498	2408	45042	134147	260578	10234	99339	225770	4838	131269	3673	
Eulemur_rufifrons	1337	31949	132934	153001	259451	3081	104066	124133	230583	61715	81782	188232	7069	113519	7201	
Euleptes_europaea	9868	32216	77345	163323	311878	2220	47349	133327	281882	7348	93326	241881	6075	154630	4314	
Felis_catus	1404	32514	168383	191706	298455	4184	140053	163376	270125	92537	115860	222609	2106	108855	6307	
Gadus_morhua	EBR	4789200	EBR	EBR	3368425	EBR	20264317	EBR	EBR	EBR	EBR	1346692	EBR	EBR	EBR	
Gambusia_affinis	EBR	432961	EBR	EBR	12681261	EBR	15008374	EBR	EBR	EBR	EBR	13134677	EBR	EBR	EBR	
Gasterosteus_aculeatus	EBR	12967598	EBR	EBR	EBR	EBR	9335157	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	
Gavia_stellata	1554	17942	64244	79249	146039	1294	47596	62601	129391	17881	32886	99676	2748	69538	290	
Geotrypetes_seraphini	16467	194086	761800	1114435	1547391	20550	588264	940899	1373855	281497	634132	1067088	63659	496615	32669	
Globicephala_melas	1384	31299	143038	163742	395941	2894	114633	135337	367536	67676	88380	320579	2130	234329	135205	
Gopherus_flavomarginatus	3343	35906	474074	573439	787915	3279	518246	617611	832087	550809	650174	864650	18636	233112	21756	
Gorilla_gorilla	1333	46276	188159	212515	332351	3112	144995	169351	289187	96699	121055	240891	3879	123715	6680	
Gouania_willdenowi	EBR	28871541	EBR	EBR	29281905	EBR	26317568	EBR	EBR	EBR	EBR	371174	EBR	EBR	EBR	
Gracilinanus_agilis	2014	45674	216776	257774	390194	6870	177972	218970	351390	134243	175241	307661	26719	159139	13413	
Grus_americana	1478	17619	63222	77741	139279	1212	46815	61334	122872	18069	32588	94126	2846	64384	211	
Gymnogyps_californianus	1424	18499	65644	80649	145666	3659	50804	65809	130826	17858	32863	97880	2861	67878	274	
Heliangelus_exortis	1243	28990	83901	99381	182382	850	55761	71241	154242	17719	33199	116200	5545	88546	2015	
Hemibagrus_wyckioides	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	1278701	EBR	EBR	EBR	
Hemicordylus_capensis	1931	22871	60469	115592	180259	2567	40165	95288	159955	3751	58874	123541	4367	69034	1903	
Heteronotia_binoei	9796	32918	91992	181459	354112	1756	60830	150297	322950	5852	95319	267972	5404	178057	5469	
Hippocampus_zosterae	EBR	15875273	EBR	EBR	24231610	EBR	13270639	EBR	EBR	EBR	EBR	8337324	EBR	EBR	EBR	
Hippoglossus_hippoglossus	EBR	3156702	EBR	EBR	2845757	EBR	12122828	EBR	EBR	EBR	EBR	254803	EBR	EBR	EBR	
Hippoglossus_stenolepis	EBR	3211770	EBR	EBR	2900591	EBR	12091500	EBR	EBR	EBR	EBR	254521	EBR	EBR	EBR	
Hippopotamus_amphibius	1361	30937	136828	157103	343218	3390	109281	129556	315671	67464	87739	273854	2115	188230	91715	
Hirundo_rustica	1414	16770	58840	72610	170701	1084	43154	56924	155015	14568	28338	126429	2638	100729	38884	
Hyla_sarda	839	30622	177393	251756	328968	1881	148652	223015	300227	133839	208202	285414	17184	94396	20307	
Hyperolius_riggenbachi	10561942	10440157	9760636	9430143	8507867	9738	545016	924061	1520711	423231	802276	1398926	122755	719405	388912	
Hypomesus_transpacificus	EBR	EBR	EBR	1202750	1085512	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	96960	
Ictalurus_punctatus	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	1684400	EBR	EBR	EBR	
Ictidomys_tridecemlineatus	1457	33595	152145	173004	281082	2784	121334	142193	250271	74129	94988	203066	6817	114895	6439	
Indicator_indicator	1285	30533	99889	117760	757248	5388	74744	92615	732103	22654	40525	680013	3472	642960	615978	
Jaculus_jaculus	2029	49532	234135	257261	397196	6223	190826	213952	353887	129904	153030	292965	1758	141693	9313	
Kryptolebias_marmoratus	EBR	331442	EBR	EBR	851295	EBR	11033679	EBR	EBR	EBR	EBR	506154	EBR	EBR	EBR	
Labeo_rohita	EBR	EBR	EBR	7506717	EBR	EBR	13352375	EBR	EBR	EBR	EBR	1613969	EBR	EBR	EBR	
Labrus_bergylta	EBR	12925984	EBR	EBR	11309447	EBR	19401577	EBR	EBR	EBR	EBR	1539420	EBR	EBR	EBR	
Labrus_mixtus	EBR	12985234	EBR	EBR	11323778	EBR	19618902	EBR	EBR	EBR	EBR	1585252	EBR	EBR	EBR	
Lacerta_agilis	884	19557	57008	117513	193091	2430	39881	100386	175964	6643	67148	142726	2783	78361	2136	
Lagenorhynchus_albirostris	1384	31325	144570	165267	379913	2885	116130	136827	351473	67936	88633	303279	2121	216767	117494	
Lagopus_muta	1474	16946	54890	66883	119936	1449	39393	51386	104439	11526	23519	76572	2255	55308	906	
Lampris_incognitus	EBR	13171380	EBR	EBR	38026241	EBR	29335505	EBR	EBR	EBR	EBR	24724543	EBR	EBR	EBR	
Larimichthys_crocea	EBR	EBR	EBR	EBR	EBR	EBR	5472794	EBR	EBR	EBR	EBR	7654	EBR	EBR	EBR	
Lates_calcarifer	EBR	19704733	EBR	EBR	20034313	EBR	11410051	EBR	EBR	EBR	EBR	306548	EBR	EBR	EBR	
Lemur_catta	1293	30469	130650	150493	255649	3077	103258	123101	228257	60170	80013	185169	1943	107099	7124	
Leopardus_geoffroyi	1402	33047	163330	186729	294951	4465	134748	158147	266369	86315	109714	217936	2129	110351	6307	
Lepisosteus_oculatus	1409	15662	3583965	3532933	2734984	1895	3570198	3519166	2721217	3549987	3498955	2701006	4752	759551	708519	
Lepus_europaeus	1267	38890	167677	187595	293562	3080	131867	151785	257752	73657	93575	199542	1856	107823	5525	
Loxodonta_africana	1774	33957	170822	192166	298140	2621	139486	160830	266804	87221	108565	214539	6749	112723	3435	
Lutra_lutra	1422	31364	143528	164781	268378	1470	113634	134887	238484	70102	91355	194952	1976	105573	5185	
Lynx_canadensis	1384	33055	165014	188421	296453	4203	136162	159569	267601	89174	112581	220613	2110	110142	6303	
Macaca_fascicularis	1334	45902	182681	207295	329239	5159	141938	166552	288496	88341	112955	234899	2134	124078	7358	
Macaca_mulatta	1332	46173	181985	206696	327841	5143	140955	165666	286811	88017	112728	233873	2250	123395	7024	
Macaca_nemestrina	1330	46086	180715	205364	326944	5135	139764	164413	285993	86131	110780	232360	2149	123729	7010	
Macaca_thibetana	1334	46102	182781	207393	329000	5151	141830	166442	288049	88221	112833	234440	2149	123756	7029	
Malaclemys_terrapin	3236	36101	451558	562408	767579	3596	479157	590007	795178	512022	622872	828043	21688	226859	11556	
Manis_pentadactyla	1418	28501	149975	171102	277999	4478	125952	147079	253976	65204	86331	193228	1902	108799	5855	
Marmota_flaviventris	1297	33290	151933	172580	287119	2946	121589	142236	256775	72885	93532	208071	1983	116522	6442	
Mastomys_coucha	1140	41819	152650	172714	282199	2504	113335	133399	242884	75590	95654	205139	1753	111238	9648	
Mauremys_mutica	3290	36026	346145	457083	672364	3600	382282	493220	708501	415018	525956	741237	27129	242410	12867	
Mauremys_reevesii	3588	34567	362211	477418	691999	3562	393861	509068	723649	424840	540047	754628	24589	239170	9923	
Megalobrama_amblycephala	EBR	EBR	EBR	11290698	EBR	EBR	16215632	EBR	EBR	EBR	EBR	1667717	EBR	EBR	EBR	
Melanotaenia_boesemani	EBR	1200080	EBR	EBR	1581761	EBR	14982526	EBR	EBR	EBR	EBR	346726	EBR	EBR	EBR	
Melopsittacus_undulatus	1451	17781	61318	75094	152965	1103	44640	58416	136287	14629	28405	106276	2490	80361	11710	
Meriones_unguiculatus	1169	38356	133994	153376	266258	2696	98334	117716	230598	62854	82236	195118	1763	114645	7703	
Mesoplodon_densirostris	1379	31716	149661	170570	372904	2861	120806	141715	344049	73337	94246	296580	2158	204492	108368	
Microcebus_murinus	1340	32217	149889	170832	275503	3008	120680	141623	246294	65726	86669	191340	1766	106437	6299	
Microtus_ochrogaster	1159	38036	141687	161318	280001	2555	106206	125837	244520	65227	84858	203541	1735	120418	7168	
Misgurnus_anguillicaudatus	EBR	EBR	EBR	9034986	EBR	EBR	14334105	EBR	EBR	EBR	EBR	1522327	EBR	EBR	EBR	
Molothrus_aeneus	1424	15912	58185	71971	148400	1065	43338	57124	133553	14759	28545	104974	2649	79078	17673	
Molothrus_ater	1426	15913	58136	71926	10119354	1065	43288	57078	10127932	14743	28533	10142419	2647	10184642	10198432	
Monodelphis_domestica	2076	37630	211281	246082	387026	1765	175416	210217	351161	136029	170830	311774	2169	143113	17024	
Mugil_cephalus	EBR	6643851	EBR	EBR	6935276	EBR	6371609	EBR	EBR	EBR	EBR	262424	EBR	EBR	EBR	
Mus_caroli	1094	38492	144396	163660	268671	2553	108457	127721	232732	73234	92498	197509	1755	106766	8762	
Mus_musculus	1102	38435	143890	162998	272910	2519	107974	127082	236994	71864	90972	200884	1753	111665	8833	
Mus_pahari	1079	35859	146577	165186	274769	2552	113270	131879	241462	75378	93987	203570	1751	111334	10945	
Mustela_erminea	1477	29726	140294	161184	265026	1480	112048	132938	236780	69103	89993	193835	2019	105861	5179	
Mustela_lutreola	1488	29553	139692	160323	263649	1466	111605	132236	235562	69230	89861	193187	2030	105356	5385	
Mustela_nigripes	1488	28957	139328	160162	263086	1462	111833	132667	235591	69573	90407	193331	2177	105101	5388	
Myotis_daubentonii	1315	32084	148738	165014	262059	3466	120120	136396	233441	75839	92115	189160	1923	98968	3372	
Narcine_bancroftii	28165	172822	516950	792496	2330323	73603	417731	693277	2799950	295112	570658	2944607	58945	3288735	3564281	
Nematolebias_whitei	EBR	701641	EBR	EBR	1947629	EBR	25307898	EBR	EBR	EBR	EBR	2664495	EBR	EBR	EBR	
Neoarius_graeffei	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	3841833	EBR	EBR	EBR	
Neofelis_nebulosa	1401	32910	166633	189958	298777	4272	137995	161320	270139	90125	113450	222269	2121	110940	6600	
Neogale_vison	1490	28383	138116	159208	262526	1477	111210	132302	235620	68482	89574	192892	2002	105320	5209	
Neomonachus_schauinslandi	1430	32058	144294	169030	437600	4019	116255	140991	409561	74132	98868	367438	8286	276856	169219	
Nomascus_leucogenys	1334	78894	177486	199674	319716	38428	137020	159208	279250	86771	108959	229001	3900	123942	6998	
Notolabrus_celidotus	EBR	26814622	EBR	EBR	28493143	EBR	21136419	EBR	EBR	EBR	EBR	1644696	EBR	EBR	EBR	
Numida_meleagris	1537	16591	54842	67347	118125	1216	39467	51972	102750	11625	24130	74908	1005	51783	276	
Nycticebus_coucang	1297	43276	181515	206540	312595	5144	143383	168408	274463	86319	111344	217399	1888	107943	8363	
Ochotona_princeps	1185	32647	137899	155581	251996	2488	107740	125422	221837	64112	81794	178209	1911	98326	4693	
Odocoileus_virginianus	1327	30600	137406	155722	EBR	3717	110523	128839	EBR	72274	90590	EBR	1260	EBR	EBR	
Oenanthe_melanoleuca	1373	16841	58727	72357	931712	1084	42970	56600	915955	14387	28017	887372	2618	861973	801654	
Onychostoma_macrolepis	EBR	EBR	EBR	4989919	EBR	EBR	11916787	EBR	EBR	EBR	EBR	1331413	EBR	EBR	EBR	
Orcinus_orca	1386	31319	144105	164781	375658	2885	115671	136347	347224	67696	88372	299249	2120	212997	5604	
Ornithorhynchus_anatinus	4063	39110	128599	168634	324978	5014	94503	134538	290882	59430	99465	255809	9638	165982	5568	
Oryctolagus_cuniculus	1271	39778	167188	187965	293815	3081	130491	151268	257118	69531	90308	196158	1848	107698	5869	
Oryzias_latipes	EBR	1846191	EBR	EBR	2200917	EBR	13094022	EBR	EBR	EBR	EBR	323761	EBR	EBR	EBR	
Osmerus_eperlanus	EBR	12542900	EBR	1505819	1379885	EBR	EBR	EBR	EBR	EBR	11014867	11122583	EBR	EBR	85502	
Osmerus_mordax	EBR	11985560	EBR	1466717	1328307	EBR	3633309	EBR	EBR	EBR	10500807	10614972	EBR	EBR	96129	
Ovis_aries	1240	29730	136414	155273	38215256	3557	110241	129100	38229173	71416	90275	38257663	1607	38364347	38383206	
Ovis_canadensis	1238	29905	138854	157841	38160316	3559	112508	131495	38174091	73740	92727	38202758	1607	38311707	38330694	
Oxyura_jamaicensis	1173	15849	EBR	53302	101351	543	EBR	37996	86045	EBR	13476	61525	EBR	EBR	2994	
Pangasianodon_hypophthalmus	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	EBR	1344096	EBR	EBR	EBR	
Pan_paniscus	1330	46555	180569	204872	324560	3092	137106	161409	281097	88900	113203	232891	3862	123550	6675	
Panthera_leo	1404	32430	163381	186759	294456	4253	135204	158582	266279	88428	111806	219503	1029	108726	6298	
Panthera_onca	1404	32762	145961	169092	276112	4274	117473	140604	247624	74299	97430	204450	2122	109142	6302	
Panthera_tigris	1404	32994	164155	187483	295842	4604	135765	159093	267452	88699	112027	220386	1030	109389	6550	
Panthera_uncia	1637	33226	151124	175022	298970	4274	122172	146070	270018	74690	98588	222536	1030	124978	21793	
Pan_troglodytes	1330	46602	181253	209488	325222	3091	137742	165977	281711	89541	117776	233510	7799	123533	6676	
Papio_anubis	1332	47705	181412	206069	329413	4826	138533	163190	286534	84696	109353	232697	2137	125481	7638	
Paralichthys_olivaceus	EBR	3164049	EBR	EBR	2894187	EBR	11557526	EBR	EBR	EBR	EBR	216958	EBR	EBR	EBR	
Parambassis_ranga	EBR	EBR	EBR	EBR	EBR	EBR	9721333	EBR	EBR	EBR	EBR	291919	EBR	EBR	EBR	
Patagioenas_fasciata	1440	18252	62088	76908	137848	1427	45263	60083	121023	15976	30796	91736	2737	63677	270	
