Chicken.paralogue.gene.stable.ID	Gene.stable.ID	Karyotype.band	Gene.name	Transcript.count	Gene...GC.content	Chicken.paralogue.associated.gene.name	Chicken.paralogue.protein.or.transcript.ID	Chicken.paralogue.chromosome.scaffold.name	Chicken.paralogue.chromosome.scaffold.start..bp.	Chicken.paralogue.chromosome.scaffold.end..bp.	Paralogue.query.protein.or.transcript.ID	Paralogue.last.common.ancestor.with.Chicken	Chicken.paralogue.homology.type	Paralogue..id..target.Chicken.gene.identical.to.query.gene	Paralogue..id..query.gene.identical.to.target.Chicken.gene	Paralogue.GC.content
ENSGALG00010001847	ENSGALG00010018665	NA	IL13RA2	5	48.98		ENSGALP00010002496	1	129341904	129365415	ENSGALP00010026971	Vertebrata	other_paralog	8.43373	10.1205	37.82
ENSGALG00010001847	ENSGALG00010020457	NA	IL5RA	3	42.94		ENSGALP00010002496	1	129341904	129365415	ENSGALP00010029247	Vertebrata	other_paralog	12.9717	13.253	37.82
ENSGALG00010001869	ENSGALG00010018665	NA	IL13RA2	5	48.98	CRLF2	ENSGALP00010002545	1	129394013	129411773	ENSGALP00010026971	Vertebrata	other_paralog	8.03213	10.6101	36.03
ENSGALG00010001869	ENSGALG00010020457	NA	IL5RA	3	42.94	CRLF2	ENSGALP00010002545	1	129394013	129411773	ENSGALP00010029247	Vertebrata	other_paralog	9.43396	10.6101	36.03
ENSGALG00010001916	ENSGALG00010002439	NA	GPR82	1	33.4		ENSGALP00010002653	1	30276293	30280669	ENSGALP00010003453	Vertebrata	within_species_paralog	12.5	11.8457	36.9
ENSGALG00010001995	ENSGALG00010003843	NA	LRCH1	5	38.69	LRRC1	ENSGALP00010002759	3	87699300	87785460	ENSGALP00010005244	Opisthokonta	other_paralog	12.5	11.7942	40.78
ENSGALG00010002027	ENSGALG00010003843	NA	LRCH1	5	38.69	LRRC30	ENSGALP00010002788	2	99115557	99119111	ENSGALP00010005244	Opisthokonta	other_paralog	7.71277	19.4631	41.04
ENSGALG00010002062	ENSGALG00010005518	NA	HPGDS	3	40.82	GSTA4	ENSGALP00010002812	3	88060315	88068357	ENSGALP00010007761	Bilateria	other_paralog	22.1198	23.4146	44.86
ENSGALG00010002135	ENSGALG00010020275	NA	ELOVL3	1	51.9	ELOVL5	ENSGALP00010002856	3	87928839	87977631	ENSGALP00010028915	Opisthokonta	other_paralog	20.6349	13.6126	44.64
ENSGALG00010002136	ENSGALG00010029597	NA	ADAP2	1	44.72	ACAP1	ENSGALP00010002861	MU179278.1	77566	101611	ENSGALP00010044237	Opisthokonta	other_paralog	19.5055	8.64799	57.74
ENSGALG00010002192	ENSGALG00010005518	NA	HPGDS	3	40.82		ENSGALP00010002943	3	88043604	88050714	ENSGALP00010007761	Bilateria	other_paralog	26.7281	25.3275	44
ENSGALG00010002197	ENSGALG00010005518	NA	HPGDS	3	40.82	GSTA2	ENSGALP00010002947	3	88103916	88112565	ENSGALP00010007761	Bilateria	other_paralog	25.8065	25.2252	44.68
ENSGALG00010002251	ENSGALG00010016403	NA	GRK4	2	37.32	GRK5	ENSGALP00010003000	6	30821487	30978964	ENSGALP00010022818	Bilateria	other_paralog	70.2988	67.7966	41.63
ENSGALG00010002285	ENSGALG00010019451	NA	CAV3	1	55.39	CAV1	ENSGALP00010003041	1	25212408	25229141	ENSGALP00010027921	Vertebrata	within_species_paralog	67.5497	57.3034	42.17
ENSGALG00010002356	ENSGALG00010001486	NA	WNT2	2	50.63	WNT11	ENSGALP00010003181	1	193749254	193814683	ENSGALP00010001879	Bilateria	other_paralog	33.7766	35.8757	45.76
ENSGALG00010002383	ENSGALG00010013213	NA	SH2D1A	1	44.27	INPP5F	ENSGALP00010003302	6	31100833	31139214	ENSGALP00010018572	Opisthokonta	other_paralog	16.129	1.76678	38.19
ENSGALG00010002443	ENSGALG00010028086	NA	MATK	1	62.86	TYK2	ENSGALP00010003466	30	21343	40702	ENSGALP00010041802	Bilateria	other_paralog	29.5302	10.8911	58.22
ENSGALG00010002456	ENSGALG00010020275	NA	ELOVL3	1	51.9	ELOVL4	ENSGALP00010003503	3	78962862	78997190	ENSGALP00010028915	Opisthokonta	other_paralog	24.6032	19.7452	40.72
ENSGALG00010002557	ENSGALG00010004835	NA	HHLA2	8	41.49		ENSGALP00010003647	16	2019179	2025466	ENSGALP00010006358	Gnathostomata	other_paralog	10.2828	9.59233	48.28
ENSGALG00010002575	ENSGALG00010004835	NA	HHLA2	8	41.49	BGV	ENSGALP00010003682	16	2026504	2032625	ENSGALP00010006358	Gnathostomata	other_paralog	9.51157	9.91957	49.54
ENSGALG00010002584	ENSGALG00010004835	NA	HHLA2	8	41.49		ENSGALP00010003703	16	2026508	2054024	ENSGALP00010006358	Gnathostomata	other_paralog	9.51157	9.94624	49.2
ENSGALG00010002586	ENSGALG00010016990	NA	GPR78	1	42.45	GPR63	ENSGALP00010003713	3	72388072	72476884	ENSGALP00010023985	Gnathostomata	within_species_paralog	21.2389	15.7895	39.66
ENSGALG00010002753	ENSGALG00010021607	NA	SLC9A5	2	58.4	SLC9A7	ENSGALP00010003937	1	130344057	130413229	ENSGALP00010031367	Opisthokonta	other_paralog	19.6368	24.679	41.84
ENSGALG00010002782	ENSGALG00010005518	NA	HPGDS	3	40.82	GSTA3	ENSGALP00010003982	3	88073431	88090756	ENSGALP00010007761	Bilateria	other_paralog	26.7281	26.2443	45.64
ENSGALG00010002792	ENSGALG00010005518	NA	HPGDS	3	40.82		ENSGALP00010003985	3	88098760	88103047	ENSGALP00010007761	Bilateria	other_paralog	28.1106	27.6018	42.26
ENSGALG00010002807	ENSGALG00010002439	NA	GPR82	1	33.4	P2RY6	ENSGALP00010004013	1	195164108	195175472	ENSGALP00010003453	Vertebrata	other_paralog	16.5698	17.378	57.5
ENSGALG00010002878	ENSGALG00010002439	NA	GPR82	1	33.4	P2RY2	ENSGALP00010004079	1	195186761	195204376	ENSGALP00010003453	Vertebrata	other_paralog	16.8605	16.2011	54.97
ENSGALG00010002918	ENSGALG00010013808	NA	HRASLS	2	56.48	FAM84A	ENSGALP00010004133	3	98259636	98304136	ENSGALP00010019591	Vertebrata	other_paralog	19.5266	11.7021	36.91
ENSGALG00010002940	ENSGALG00010004835	NA	HHLA2	8	41.49	BG1	ENSGALP00010004169	16	2170233	2175408	ENSGALP00010006358	Gnathostomata	other_paralog	10.5398	10.3015	48.86
ENSGALG00010002958	ENSGALG00010021206	NA	HSD17B1	1	70.88	DHRS12	ENSGALP00010004202	1	170106360	170140785	ENSGALP00010030578	Opisthokonta	other_paralog	16.8874	15.5963	43.85
ENSGALG00010003025	ENSGALG00010003843	NA	LRCH1	5	38.69	MFHAS1	ENSGALP00010004272	4	48992048	49015786	ENSGALP00010005244	Opisthokonta	other_paralog	15.0266	10.0893	49.56
ENSGALG00010003212	ENSGALG00010018057	NA	SSTR4	3	56.14	LTB4R	ENSGALP00010004480	16	2280351	2283270	ENSGALP00010025982	Bilateria	other_paralog	18.1818	19.7802	58.87
ENSGALG00010003242	ENSGALG00010029597	NA	ADAP2	1	44.72	ASAP2	ENSGALP00010004526	3	95786713	95872127	ENSGALP00010044237	Opisthokonta	other_paralog	21.4286	7.54352	38.81
ENSGALG00010003582	ENSGALG00010021206	NA	HSD17B1	1	70.88	RDH10	ENSGALP00010004926	2	117446713	117471517	ENSGALP00010030578	Opisthokonta	other_paralog	20.1987	17.9941	39.08
ENSGALG00010003743	ENSGALG00010004070	NA	ARL11	4	47.21	ARL9	ENSGALP00010005062	4	48765479	48769429	ENSGALP00010005581	Opisthokonta	other_paralog	26.1307	23.7443	49.1
ENSGALG00010003762	ENSGALG00010011597	NA	TBC1D14	4	40.66	EVI5L	ENSGALP00010005086	30	64782	97564	ENSGALP00010015898	Opisthokonta	other_paralog	10.7692	9.84655	59.69
ENSGALG00010003790	ENSGALG00010020275	NA	ELOVL3	1	51.9	ELOVL6	ENSGALP00010005128	4	57440809	57533467	ENSGALP00010028915	Gnathostomata	within_species_paralog	54.3651	51.5038	44.15
ENSGALG00010003797	ENSGALG00010021206	NA	HSD17B1	1	70.88	HSD17B13	ENSGALP00010005141	4	45294004	45299141	ENSGALP00010030578	Opisthokonta	other_paralog	17.8808	15.6522	46.96
ENSGALG00010003812	ENSGALG00010004835	NA	HHLA2	8	41.49	BG8	ENSGALP00010005166	16	2011680	2017720	ENSGALP00010006358	Gnathostomata	other_paralog	9.2545	8.35267	49.45
ENSGALG00010003874	ENSGALG00010028086	NA	MATK	1	62.86	YES1	ENSGALP00010005290	2	101500416	101551041	ENSGALP00010041802	Bilateria	other_paralog	35.123	29.0203	39.14
ENSGALG00010003892	ENSGALG00010018057	NA	SSTR4	3	56.14	OPRK1	ENSGALP00010005319	2	109828612	109849691	ENSGALP00010025982	Bilateria	other_paralog	31.3131	32.5459	37.96
ENSGALG00010003994	ENSGALG00010021206	NA	HSD17B1	1	70.88	SDR16C5	ENSGALP00010005475	2	111005848	111019986	ENSGALP00010030578	Opisthokonta	other_paralog	19.2053	12.1849	42.67
ENSGALG00010004005	ENSGALG00010021206	NA	HSD17B1	1	70.88	SDR16C6	ENSGALP00010005483	2	111054054	111063418	ENSGALP00010030578	Opisthokonta	other_paralog	18.2119	18.0328	40.25
ENSGALG00010004029	ENSGALG00010004070	NA	ARL11	4	47.21	ARL4A	ENSGALP00010005496	2	26702653	26934644	ENSGALP00010005581	Opisthokonta	other_paralog	32.1608	32	37.54
ENSGALG00010004049	ENSGALG00010005979	NA	SUV39H2	1	40.21	SETDB2	ENSGALP00010005544	1	169087015	169106326	ENSGALP00010008397	Opisthokonta	other_paralog	20.1474	10.6771	42.02
ENSGALG00010004089	ENSGALG00010018057	NA	SSTR4	3	56.14	NPBWR1	ENSGALP00010005603	2	109699434	109771269	ENSGALP00010025982	Bilateria	other_paralog	25.2525	30.2115	37.92
ENSGALG00010004130	ENSGALG00010013109	NA	RIPPLY3	1	33.65	RIPPLY2	ENSGALP00010005653	3	77287043	77289180	ENSGALP00010018343	Euteleostomi	other_paralog	30.4348	26.7176	48.83
ENSGALG00010004250	ENSGALG00010020696	NA	MOB1A	2	52.15	MOB1B	ENSGALP00010005837	4	49595260	49635334	ENSGALP00010029536	Gnathostomata	within_species_paralog	92.2374	73.1884	43.54
ENSGALG00010004372	ENSGALG00010013213	NA	SH2D1A	1	44.27	SYNJ2	ENSGALP00010005987	3	51467552	51531393	ENSGALP00010018572	Opisthokonta	other_paralog	22.5806	1.8617	40.86
ENSGALG00010004746	ENSGALG00010028086	NA	MATK	1	62.86	LYN	ENSGALP00010006309	2	110833081	110880252	ENSGALP00010041802	Bilateria	other_paralog	34.2282	27.9707	40.56
ENSGALG00010004879	ENSGALG00010003843	NA	LRCH1	5	38.69	CYP51A1	ENSGALP00010006420	2	22408540	22415381	ENSGALP00010005244	Opisthokonta	other_paralog	11.1702	10	42.2
ENSGALG00010004946	ENSGALG00010013213	NA	SH2D1A	1	44.27	SH2D1B	ENSGALP00010006492	1	87810148	87838855	ENSGALP00010018572	Opisthokonta	other_paralog	37.9032	35.0746	40.4
ENSGALG00010004976	ENSGALG00010021206	NA	HSD17B1	1	70.88	HSD17B11	ENSGALP00010006534	4	45281371	45288499	ENSGALP00010030578	Opisthokonta	other_paralog	18.2119	18.3946	46.95
ENSGALG00010005050	ENSGALG00010004835	NA	HHLA2	8	41.49	BTN3A3	ENSGALP00010006663	31	387862	408882	ENSGALP00010006358	Gnathostomata	other_paralog	5.9126	5.76441	40.14
ENSGALG00010005058	ENSGALG00010004835	NA	HHLA2	8	41.49		ENSGALP00010006672	31	280614	282546	ENSGALP00010006358	Gnathostomata	other_paralog	4.11311	7.17489	41.8
ENSGALG00010005073	ENSGALG00010004835	NA	HHLA2	8	41.49		ENSGALP00010006684	31	349911	374639	ENSGALP00010006358	Gnathostomata	other_paralog	4.11311	7.33945	40.28
ENSGALG00010005086	ENSGALG00010004835	NA	HHLA2	8	41.49		ENSGALP00010006701	31	411644	427420	ENSGALP00010006358	Gnathostomata	other_paralog	3.85604	5.03356	46.28
ENSGALG00010005098	ENSGALG00010004835	NA	HHLA2	8	41.49		ENSGALP00010006706	31	454402	476320	ENSGALP00010006358	Gnathostomata	other_paralog	9.51157	6.80147	46.69
ENSGALG00010005128	ENSGALG00010004835	NA	HHLA2	8	41.49		ENSGALP00010006735	31	502644	511486	ENSGALP00010006358	Gnathostomata	other_paralog	13.3676	10.1365	40.57
ENSGALG00010005142	ENSGALG00010004835	NA	HHLA2	8	41.49		ENSGALP00010006747	31	529808	542936	ENSGALP00010006358	Gnathostomata	other_paralog	14.3959	10.9804	38.97
ENSGALG00010005194	ENSGALG00010004835	NA	HHLA2	8	41.49		ENSGALP00010006856	31	547812	588581	ENSGALP00010006358	Gnathostomata	other_paralog	7.19794	2.32945	45.06
ENSGALG00010005201	ENSGALG00010004835	NA	HHLA2	8	41.49		ENSGALP00010006876	31	578460	581718	ENSGALP00010006358	Gnathostomata	other_paralog	5.39846	7.95455	39.86
ENSGALG00010005256	ENSGALG00010018057	NA	SSTR4	3	56.14	OPRM1	ENSGALP00010007011	3	49723439	49746794	ENSGALP00010025982	Bilateria	other_paralog	30.303	28.9157	40.38
ENSGALG00010005276	ENSGALG00010002439	NA	GPR82	1	33.4		ENSGALP00010007063	31	1426353	1428002	ENSGALP00010003453	Vertebrata	other_paralog	13.0814	13.7615	56.42
ENSGALG00010005284	ENSGALG00010002439	NA	GPR82	1	33.4	OXGR1	ENSGALP00010007084	1	145511174	145522589	ENSGALP00010003453	Vertebrata	other_paralog	18.6047	18.6589	45.09
ENSGALG00010005289	ENSGALG00010002439	NA	GPR82	1	33.4		ENSGALP00010007099	1	145531837	145536365	ENSGALP00010003453	Vertebrata	other_paralog	17.4419	18.9274	41.73
ENSGALG00010005336	ENSGALG00010002400	NA	RBBP7	2	41.43	PEX7	ENSGALP00010007235	3	54610287	54645859	ENSGALP00010003348	Opisthokonta	other_paralog	18.8679	24.9221	38.22
ENSGALG00010005357	ENSGALG00010017513	NA	TNIP2	1	45.1	TNIP3	ENSGALP00010007288	4	53609610	53688292	ENSGALP00010024808	Gnathostomata	within_species_paralog	12.8599	14.4086	40.08
ENSGALG00010005365	ENSGALG00010002439	NA	GPR82	1	33.4		ENSGALP00010007312	31	1552524	1563053	ENSGALP00010003453	Vertebrata	other_paralog	12.7907	10.2804	55.66
ENSGALG00010005406	ENSGALG00010002439	NA	GPR82	1	33.4	FFAR2L	ENSGALP00010007418	31	1687579	1710738	ENSGALP00010003453	Vertebrata	other_paralog	13.0814	12.2616	54.06
ENSGALG00010005410	ENSGALG00010002439	NA	GPR82	1	33.4	GR42L6	ENSGALP00010007440	31	1709345	2030517	ENSGALP00010003453	Vertebrata	other_paralog	13.3721	10.7226	53.83
ENSGALG00010005483	ENSGALG00010002439	NA	GPR82	1	33.4	FFAR2L7	ENSGALP00010007660	31	1876207	1994578	ENSGALP00010003453	Vertebrata	other_paralog	13.0814	10.4895	53.86
ENSGALG00010005581	ENSGALG00010002439	NA	GPR82	1	33.4	GR42L5	ENSGALP00010007920	31	2090555	2093565	ENSGALP00010003453	Vertebrata	other_paralog	13.3721	12.5341	55.73
ENSGALG00010005651	ENSGALG00010011597	NA	TBC1D14	4	40.66	USP6NL	ENSGALP00010008029	1	6621627	6732020	ENSGALP00010015898	Opisthokonta	other_paralog	13.986	11.5741	38.81
ENSGALG00010005667	ENSGALG00010002439	NA	GPR82	1	33.4		ENSGALP00010008035	31	2184932	2186321	ENSGALP00010003453	Vertebrata	other_paralog	13.9535	13.079	57.99
ENSGALG00010005700	ENSGALG00010002439	NA	GPR82	1	33.4		ENSGALP00010008066	31	2212053	2213442	ENSGALP00010003453	Vertebrata	other_paralog	14.2442	13.3152	57.12
ENSGALG00010005854	ENSGALG00010002439	NA	GPR82	1	33.4		ENSGALP00010008239	31	2363024	2366017	ENSGALP00010003453	Vertebrata	other_paralog	9.30233	9.30233	55.58
ENSGALG00010006028	ENSGALG00010004070	NA	ARL11	4	47.21	ARL5B	ENSGALP00010008461	2	18986025	19002635	ENSGALP00010005581	Opisthokonta	other_paralog	32.6633	22.2603	37.32
ENSGALG00010006043	ENSGALG00010004835	NA	HHLA2	8	41.49	BTN3A2	ENSGALP00010008487	31	441674	450657	ENSGALP00010006358	Gnathostomata	other_paralog	5.9126	5.95855	38.32
ENSGALG00010006046	ENSGALG00010004835	NA	HHLA2	8	41.49	BTN3A2	ENSGALP00010008490	31	296410	305825	ENSGALP00010006358	Gnathostomata	other_paralog	5.9126	5.97403	39.62
ENSGALG00010006054	ENSGALG00010004835	NA	HHLA2	8	41.49		ENSGALP00010008500	31	515318	525608	ENSGALP00010006358	Gnathostomata	other_paralog	12.0823	13.6628	40.14
ENSGALG00010006077	ENSGALG00010011597	NA	TBC1D14	4	40.66	TBCK	ENSGALP00010008547	4	38005796	38121117	ENSGALP00010015898	Opisthokonta	other_paralog	14.2657	11.4607	37.34
ENSGALG00010006119	ENSGALG00010004835	NA	HHLA2	8	41.49		ENSGALP00010008620	31	590271	609188	ENSGALP00010006358	Gnathostomata	other_paralog	4.88432	5.19126	41.19
ENSGALG00010006201	ENSGALG00010018057	NA	SSTR4	3	56.14	SSTR1	ENSGALP00010008701	5	36856521	36862707	ENSGALP00010025982	Bilateria	other_paralog	50.5051	51.0204	49.54
ENSGALG00010006273	ENSGALG00010004070	NA	ARL11	4	47.21	ARL13B	ENSGALP00010008802	1	89891671	89940880	ENSGALP00010005581	Opisthokonta	other_paralog	26.1307	12.2353	36.96
ENSGALG00010006288	ENSGALG00010004070	NA	ARL11	4	47.21	ARF5	ENSGALP00010008831	1	994952	1005857	ENSGALP00010005581	Opisthokonta	other_paralog	34.1709	35.2332	52.75
ENSGALG00010006544	ENSGALG00010020696	NA	MOB1A	2	52.15	MOB3B	ENSGALP00010009070	Z	69192476	69275685	ENSGALP00010029536	Bilateria	within_species_paralog	51.1416	51.8519	40.5
ENSGALG00010007439	ENSGALG00010021206	NA	HSD17B1	1	70.88	HSD17B2	ENSGALP00010009810	11	15391980	15402646	ENSGALP00010030578	Opisthokonta	other_paralog	25.4967	18.3771	44.07
ENSGALG00010007655	ENSGALG00010021607	NA	SLC9A5	2	58.4	SLC9A3	ENSGALP00010010019	2	55391771	55455387	ENSGALP00010031367	Opisthokonta	other_paralog	47.4461	44.4681	36.75
ENSGALG00010007762	ENSGALG00010027341	NA	SH2D2A	2	60.03	SH2D4A	ENSGALP00010010103	4	33644044	33657215	ENSGALP00010040555	Bilateria	other_paralog	10.0971	11.479	43.53
ENSGALG00010007789	ENSGALG00010021206	NA	HSD17B1	1	70.88	WWOX	ENSGALP00010010153	11	13702857	14175867	ENSGALP00010030578	Opisthokonta	other_paralog	15.2318	11.1111	38.53
ENSGALG00010007992	ENSGALG00010013414	NA	LAPTM5	2	45.77	LAPTM4A	ENSGALP00010010601	3	101177023	101190777	ENSGALP00010019085	Vertebrata	within_species_paralog	20.3922	20.8	43.32
ENSGALG00010008025	ENSGALG00010011597	NA	TBC1D14	4	40.66	TBC1D22A	ENSGALP00010010685	1	16380552	16538739	ENSGALP00010015898	Opisthokonta	other_paralog	10.6294	13.1944	36.26
ENSGALG00010008047	ENSGALG00010029597	NA	ADAP2	1	44.72	ASAP1	ENSGALP00010010755	2	139560180	139693419	ENSGALP00010044237	Opisthokonta	other_paralog	21.7033	6.88753	38.69
ENSGALG00010008110	ENSGALG00010003821	NA	RUBCNL	3	42.82	DEF8	ENSGALP00010010887	11	18493158	18497308	ENSGALP00010005187	Bilateria	other_paralog	11.6645	19.2641	65.82
ENSGALG00010008127	ENSGALG00010011597	NA	TBC1D14	4	40.66	TBC1D2	ENSGALP00010010926	Z	71101874	71122095	ENSGALP00010015898	Opisthokonta	other_paralog	15.8042	12.2693	45.22
ENSGALG00010008324	ENSGALG00010003843	NA	LRCH1	5	38.69	SCRIB	ENSGALP00010011468	2	148915735	149019022	ENSGALP00010005244	Opisthokonta	other_paralog	17.2872	6.86378	51.47
ENSGALG00010008330	ENSGALG00010005979	NA	SUV39H2	1	40.21	EZH2	ENSGALP00010011474	2	53954366	54005043	ENSGALP00010008397	Opisthokonta	other_paralog	18.6732	9.80645	36.75
ENSGALG00010008405	ENSGALG00010013808	NA	HRASLS	2	56.48	FAM84B	ENSGALP00010011659	2	138277341	138284929	ENSGALP00010019591	Vertebrata	other_paralog	18.9349	10.6667	48.97
ENSGALG00010008441	ENSGALG00010003843	NA	LRCH1	5	38.69	PHLPP2	ENSGALP00010011724	11	19445232	19471854	ENSGALP00010005244	Opisthokonta	other_paralog	15.2926	8.23193	43.17
