Human.paralogue.gene.stable.ID	Gene.stable.ID	Gene.name	Gene...GC.content	Paralogue..id..target.Human.gene.identical.to.query.gene	Paralogue.GC.content	gene_gc.x	Gene_stable_ID_rank	gene_gc.y	Human.paralogue_gene_stable_ID_rank	identity_bin_raw	identity_bin_labeled	identity_bin
ENSG00000105221	ENSG00000125388	GRK4	46.38	22	53.61	46.38	27	53.61	153	[0,25)	0–25%	0–25%
ENSG00000105963	ENSG00000184060	ADAP2	48.03	56	60.61	48.03	29	60.61	193	[50,75)	50–75%	50–75%
ENSG00000105971	ENSG00000182533	CAV3	43.72	32	37.86	43.72	21	37.86	17	[25,50)	25–50%	25–50%
ENSG00000105974	ENSG00000182533	CAV3	43.72	61	41.69	43.72	21	41.69	75	[50,75)	50–75%	50–75%
ENSG00000106976	ENSG00000197959	DNM3	37.28	80	54.26	37.28	5	54.26	160	[75,100]	75–100%	75–100%
ENSG00000108239	ENSG00000132405	TBC1D14	49.5	52	38.52	49.5	30	38.52	27	[50,75)	50–75%	50–75%
ENSG00000108379	ENSG00000105989	WNT2	42.27	43	53.82	42.27	20	53.82	155	[25,50)	25–50%	25–50%
ENSG00000108443	ENSG00000125388	GRK4	46.38	22	41.68	46.38	27	41.68	74	[0,25)	0–25%	0–25%
ENSG00000109016	ENSG00000108786	HSD17B1	56.95	20	44.22	56.95	37	44.22	104	[0,25)	0–25%	0–25%
ENSG00000109685	ENSG00000152455	SUV39H2	39.96	22	47.15	39.96	13	47.15	113	[0,25)	0–25%	0–25%
ENSG00000111186	ENSG00000105989	WNT2	42.27	46	47.53	42.27	20	47.53	116	[25,50)	25–50%	25–50%
ENSG00000112038	ENSG00000132671	SSTR4	66.53	32	38.81	66.53	39	38.81	34	[25,50)	25–50%	25–50%
ENSG00000112305	ENSG00000184060	ADAP2	48.03	22	37.73	48.03	29	37.73	16	[0,25)	0–25%	0–25%
ENSG00000112893	ENSG00000013288	MAN2B2	54.58	25	36.47	54.58	35	36.47	8	[25,50)	25–50%	25–50%
ENSG00000113263	ENSG00000007264	MATK	54.4	31	41.46	54.4	34	41.46	71	[25,50)	25–50%	25–50%
ENSG00000114124	ENSG00000125388	GRK4	46.38	43	44.97	46.38	27	44.97	108	[25,50)	25–50%	25–50%
ENSG00000114251	ENSG00000105989	WNT2	42.27	48	48.49	42.27	20	48.49	122	[25,50)	25–50%	25–50%
ENSG00000115596	ENSG00000105989	WNT2	42.27	38	55.94	42.27	20	55.94	169	[25,50)	25–50%	25–50%
ENSG00000115616	ENSG00000135740	SLC9A5	52.62	34	40.53	52.62	32	40.53	56	[25,50)	25–50%	25–50%
ENSG00000116014	ENSG00000132671	SSTR4	66.53	29	69.78	66.53	39	69.78	209	[25,50)	25–50%	25–50%
ENSG00000116218	ENSG00000133115	STOML3	38.23	43	41.64	38.23	8	41.64	73	[25,50)	25–50%	25–50%
ENSG00000116329	ENSG00000132671	SSTR4	66.53	35	50.13	66.53	39	50.13	133	[25,50)	25–50%	25–50%
ENSG00000116539	ENSG00000152455	SUV39H2	39.96	20	41.42	39.96	13	41.42	70	[0,25)	0–25%	0–25%
ENSG00000117020	ENSG00000125388	GRK4	46.38	22	37.34	46.38	27	37.34	13	[0,25)	0–25%	0–25%
ENSG00000118402	ENSG00000119915	ELOVL3	52.24	23	36.63	52.24	31	36.63	10	[0,25)	0–25%	0–25%
ENSG00000118515	ENSG00000125388	GRK4	46.38	23	42.27	46.38	27	42.27	86	[0,25)	0–25%	0–25%
ENSG00000119537	ENSG00000108786	HSD17B1	56.95	20	42.04	56.95	37	42.04	83	[0,25)	0–25%	0–25%
ENSG00000120162	ENSG00000114978	MOB1A	41.02	52	41.88	41.02	17	41.88	79	[50,75)	50–75%	50–75%
ENSG00000120733	ENSG00000115548	KDM3A	40.15	49	43.14	40.15	15	43.14	96	[25,50)	25–50%	25–50%
ENSG00000120756	ENSG00000136167	LCP1	40.21	73	38.52	40.21	16	38.52	28	[50,75)	50–75%	50–75%
ENSG00000120907	ENSG00000170214	ADRA1B	43.85	43	41.26	43.85	22	41.26	68	[25,50)	25–50%	25–50%
ENSG00000122477	ENSG00000136141	LRCH1	40.02	9	36.25	40.02	14	36.25	5	[0,25)	0–25%	0–25%
ENSG00000122644	ENSG00000152213	ARL11	47.31	35	42.63	47.31	28	42.63	91	[25,50)	25–50%	25–50%
ENSG00000123496	ENSG00000091181	IL5RA	41.79	19	35.57	41.79	18	35.57	2	[0,25)	0–25%	0–25%
ENSG00000125084	ENSG00000105989	WNT2	42.27	40	62.64	42.27	20	62.64	199	[25,50)	25–50%	25–50%
ENSG00000125510	ENSG00000132671	SSTR4	66.53	34	60.24	66.53	39	60.24	190	[25,50)	25–50%	25–50%
ENSG00000125522	ENSG00000132671	SSTR4	66.53	31	62.54	66.53	39	62.54	197	[25,50)	25–50%	25–50%
ENSG00000128285	ENSG00000132671	SSTR4	66.53	26	55.65	66.53	39	55.65	166	[25,50)	25–50%	25–50%
ENSG00000128310	ENSG00000132671	SSTR4	66.53	28	66.11	66.53	39	66.11	205	[25,50)	25–50%	25–50%
ENSG00000128917	ENSG00000134250	NOTCH2	39.74	8	57.1	39.74	12	57.1	175	[0,25)	0–25%	0–25%
ENSG00000130224	ENSG00000136141	LRCH1	40.02	43	37.13	40.02	14	37.13	12	[25,50)	25–50%	25–50%
ENSG00000131650	ENSG00000183762	KREMEN1	45.49	34	66.94	45.49	26	66.94	206	[25,50)	25–50%	25–50%
ENSG00000131724	ENSG00000091181	IL5RA	41.79	19	40.57	41.79	18	40.57	57	[0,25)	0–25%	0–25%
ENSG00000131724	ENSG00000123496	IL13RA2	35.57	20	40.57	35.57	2	40.57	57	[0,25)	0–25%	0–25%
ENSG00000132478	ENSG00000059145	UNKL	57.82	56	50.85	57.82	38	50.85	137	[50,75)	50–75%	50–75%
ENSG00000133059	ENSG00000007264	MATK	54.4	19	43.6	54.4	34	43.6	100	[0,25)	0–25%	0–25%
ENSG00000134245	ENSG00000105989	WNT2	42.27	67	44.59	42.27	20	44.59	106	[50,75)	50–75%	50–75%
ENSG00000134258	ENSG00000114455	HHLA2	39.01	18	42.41	39.01	10	42.41	88	[0,25)	0–25%	0–25%
ENSG00000134376	ENSG00000134250	NOTCH2	39.74	14	36.53	39.74	12	36.53	9	[0,25)	0–25%	0–25%
ENSG00000135312	ENSG00000170214	ADRA1B	43.85	22	49.42	43.85	22	49.42	128	[0,25)	0–25%	0–25%
ENSG00000135437	ENSG00000108786	HSD17B1	56.95	23	52.34	56.95	37	52.34	146	[0,25)	0–25%	0–25%
ENSG00000135605	ENSG00000007264	MATK	54.4	30	40.43	54.4	34	40.43	54	[25,50)	25–50%	25–50%
ENSG00000136111	ENSG00000132405	TBC1D14	49.5	18	38.11	49.5	30	38.11	20	[0,25)	0–25%	0–25%
ENSG00000136169	ENSG00000152455	SUV39H2	39.96	23	37.45	39.96	13	37.45	14	[0,25)	0–25%	0–25%
ENSG00000138271	ENSG00000171657	GPR82	35.19	17	39.86	35.19	1	39.86	48	[0,25)	0–25%	0–25%
ENSG00000138759	ENSG00000150893	FREM2	37.65	31	39.77	37.65	6	39.77	47	[25,50)	25–50%	25–50%
ENSG00000139547	ENSG00000108786	HSD17B1	56.95	25	49.87	56.95	37	49.87	130	[25,50)	25–50%	25–50%
ENSG00000139874	ENSG00000132671	SSTR4	66.53	57	54.26	66.53	39	54.26	161	[50,75)	50–75%	50–75%
ENSG00000140090	ENSG00000074621	SLC24A1	44.73	19	47.94	44.73	23	47.94	119	[0,25)	0–25%	0–25%
ENSG00000142208	ENSG00000125388	GRK4	46.38	22	64.09	46.38	27	64.09	202	[0,25)	0–25%	0–25%
ENSG00000142459	ENSG00000132405	TBC1D14	49.5	12	58.04	49.5	30	58.04	180	[0,25)	0–25%	0–25%
ENSG00000142961	ENSG00000114978	MOB1A	41.02	50	54.13	41.02	17	54.13	158	[50,75)	50–75%	50–75%
ENSG00000143207	ENSG00000102054	RBBP7	42.25	24	36.3	42.25	19	36.3	6	[0,25)	0–25%	0–25%
ENSG00000143379	ENSG00000152455	SUV39H2	39.96	27	44.16	39.96	13	44.16	103	[25,50)	25–50%	25–50%
ENSG00000147548	ENSG00000152455	SUV39H2	39.96	20	38.79	39.96	13	38.79	32	[0,25)	0–25%	0–25%
ENSG00000148175	ENSG00000133115	STOML3	38.23	64	39.57	38.23	8	39.57	42	[50,75)	50–75%	50–75%
ENSG00000148204	ENSG00000134250	NOTCH2	39.74	12	59.51	39.74	12	59.51	186	[0,25)	0–25%	0–25%
ENSG00000148356	ENSG00000136141	LRCH1	40.02	13	51.44	40.02	14	51.44	140	[0,25)	0–25%	0–25%
ENSG00000148400	ENSG00000134250	NOTCH2	39.74	55	63.46	39.74	12	63.46	200	[50,75)	50–75%	50–75%
ENSG00000148680	ENSG00000170214	ADRA1B	43.85	25	40.72	43.85	22	40.72	60	[25,50)	25–50%	25–50%
ENSG00000150594	ENSG00000170214	ADRA1B	43.85	23	59.71	43.85	22	59.71	187	[0,25)	0–25%	0–25%
ENSG00000151240	ENSG00000160305	DIP2A	44.88	74	48.43	44.88	25	48.43	121	[50,75)	50–75%	50–75%
ENSG00000151422	ENSG00000007264	MATK	54.4	32	35.73	54.4	34	35.73	4	[25,50)	25–50%	25–50%
ENSG00000152034	ENSG00000132671	SSTR4	66.53	26	37.88	66.53	39	37.88	18	[25,50)	25–50%	25–50%
ENSG00000152061	ENSG00000132405	TBC1D14	49.5	20	37.91	49.5	30	37.91	19	[0,25)	0–25%	0–25%
ENSG00000152217	ENSG00000152455	SUV39H2	39.96	6	42.22	39.96	13	42.22	84	[0,25)	0–25%	0–25%
ENSG00000154342	ENSG00000105989	WNT2	42.27	43	52.51	42.27	20	52.51	148	[25,50)	25–50%	25–50%
ENSG00000154478	ENSG00000155269	GPR78	53.96	46	50.15	53.96	33	50.15	134	[25,50)	25–50%	25–50%
ENSG00000154764	ENSG00000105989	WNT2	42.27	43	51.83	42.27	20	51.83	144	[25,50)	25–50%	25–50%
ENSG00000155886	ENSG00000074621	SLC24A1	44.73	33	39.73	44.73	23	39.73	46	[25,50)	25–50%	25–50%
ENSG00000157219	ENSG00000170214	ADRA1B	43.85	20	41.84	43.85	22	41.84	77	[0,25)	0–25%	0–25%
ENSG00000157601	ENSG00000197959	DNM3	37.28	22	47.98	37.28	5	47.98	120	[0,25)	0–25%	0–25%
ENSG00000161267	ENSG00000108786	HSD17B1	56.95	22	48.52	56.95	37	48.52	123	[0,25)	0–25%	0–25%
ENSG00000162009	ENSG00000132671	SSTR4	66.53	45	63.67	66.53	39	63.67	201	[25,50)	25–50%	25–50%
ENSG00000162521	ENSG00000102054	RBBP7	42.25	81	42.94	42.25	19	42.94	95	[75,100]	75–100%	75–100%
ENSG00000162552	ENSG00000105989	WNT2	42.27	44	57.71	42.27	20	57.71	177	[25,50)	25–50%	25–50%
ENSG00000162804	ENSG00000134250	NOTCH2	39.74	15	50.87	39.74	12	50.87	138	[0,25)	0–25%	0–25%
ENSG00000163827	ENSG00000136141	LRCH1	40.02	10	43.18	40.02	14	43.18	99	[0,25)	0–25%	0–25%
ENSG00000164181	ENSG00000119915	ELOVL3	52.24	22	39.18	52.24	31	39.18	36	[0,25)	0–25%	0–25%
ENSG00000164946	ENSG00000150893	FREM2	37.65	22	39.43	37.65	6	39.43	39	[0,25)	0–25%	0–25%
ENSG00000165283	ENSG00000133115	STOML3	38.23	26	53.1	38.23	8	53.1	151	[25,50)	25–50%	25–50%
ENSG00000165359	ENSG00000102786	INTS6	36.13	64	38.59	36.13	4	38.59	29	[50,75)	50–75%	50–75%
ENSG00000165383	ENSG00000136141	LRCH1	40.02	8	43.91	40.02	14	43.91	102	[0,25)	0–25%	0–25%
ENSG00000165671	ENSG00000152455	SUV39H2	39.96	23	42.57	39.96	13	42.57	89	[0,25)	0–25%	0–25%
ENSG00000166573	ENSG00000132671	SSTR4	66.53	25	44.37	66.53	39	44.37	105	[25,50)	25–50%	25–50%
ENSG00000168453	ENSG00000115548	KDM3A	40.15	17	61.32	40.15	15	61.32	196	[0,25)	0–25%	0–25%
ENSG00000168830	ENSG00000170214	ADRA1B	43.85	20	38.43	43.85	22	38.43	25	[0,25)	0–25%	0–25%
ENSG00000169313	ENSG00000171657	GPR82	35.19	21	35.65	35.19	1	35.65	3	[0,25)	0–25%	0–25%
ENSG00000170364	ENSG00000152455	SUV39H2	39.96	21	40.2	39.96	13	40.2	52	[0,25)	0–25%	0–25%
ENSG00000170426	ENSG00000108786	HSD17B1	56.95	25	47.72	56.95	37	47.72	117	[25,50)	25–50%	25–50%
ENSG00000170522	ENSG00000119915	ELOVL3	52.24	45	39.87	52.24	31	39.87	49	[25,50)	25–50%	25–50%
ENSG00000170899	ENSG00000163106	HPGDS	38.55	23	40.89	38.55	9	40.89	62	[0,25)	0–25%	0–25%
ENSG00000171462	ENSG00000134250	NOTCH2	39.74	4	57.38	39.74	12	57.38	176	[0,25)	0–25%	0–25%
ENSG00000171659	ENSG00000171657	GPR82	35.19	21	38.35	35.19	1	38.35	24	[0,25)	0–25%	0–25%
ENSG00000171873	ENSG00000170214	ADRA1B	43.85	49	51.78	43.85	22	51.78	142	[25,50)	25–50%	25–50%
ENSG00000171988	ENSG00000115548	KDM3A	40.15	39	38.11	40.15	15	38.11	21	[25,50)	25–50%	25–50%
ENSG00000172081	ENSG00000114978	MOB1A	41.02	52	55.69	41.02	17	55.69	167	[50,75)	50–75%	50–75%
ENSG00000173020	ENSG00000125388	GRK4	46.38	34	60.92	46.38	27	60.92	194	[25,50)	25–50%	25–50%
ENSG00000173542	ENSG00000114978	MOB1A	41.02	94	40.16	41.02	17	40.16	51	[75,100]	75–100%	75–100%
ENSG00000173546	ENSG00000150893	FREM2	37.65	14	59.29	37.65	6	59.29	185	[0,25)	0–25%	0–25%
ENSG00000174156	ENSG00000163106	HPGDS	38.55	25	42.26	38.55	9	42.26	85	[25,50)	25–50%	25–50%
ENSG00000174944	ENSG00000171657	GPR82	35.19	20	39.33	35.19	1	39.33	38	[0,25)	0–25%	0–25%
ENSG00000174946	ENSG00000171657	GPR82	35.19	20	36.86	35.19	1	36.86	11	[0,25)	0–25%	0–25%
ENSG00000175634	ENSG00000125388	GRK4	46.38	23	58.79	46.38	27	58.79	183	[0,25)	0–25%	0–25%
ENSG00000175906	ENSG00000152213	ARL11	47.31	36	55.94	47.31	28	55.94	170	[25,50)	25–50%	25–50%
ENSG00000176387	ENSG00000108786	HSD17B1	56.95	23	59.84	56.95	37	59.84	188	[0,25)	0–25%	0–25%
ENSG00000177595	ENSG00000136141	LRCH1	40.02	17	62.59	40.02	14	62.59	198	[0,25)	0–25%	0–25%
ENSG00000178078	ENSG00000035720	STAP1	37.8	31	54.12	37.8	7	54.12	157	[25,50)	25–50%	25–50%
ENSG00000178217	ENSG00000027869	SH2D2A	55.56	5	45	55.56	36	45	110	[0,25)	0–25%	0–25%
ENSG00000178394	ENSG00000170214	ADRA1B	43.85	24	51.9	43.85	22	51.9	145	[0,25)	0–25%	0–25%
ENSG00000179097	ENSG00000170214	ADRA1B	43.85	21	36.31	43.85	22	36.31	7	[0,25)	0–25%	0–25%
ENSG00000179546	ENSG00000170214	ADRA1B	43.85	23	48.98	43.85	22	48.98	125	[0,25)	0–25%	0–25%
ENSG00000179674	ENSG00000152213	ARL11	47.31	42	38.71	47.31	28	38.71	31	[25,50)	25–50%	25–50%
ENSG00000180251	ENSG00000135740	SLC9A5	52.62	29	40.97	52.62	32	40.97	64	[25,50)	25–50%	25–50%
ENSG00000180616	ENSG00000132671	SSTR4	66.53	42	47.17	66.53	39	47.17	114	[25,50)	25–50%	25–50%
ENSG00000180979	ENSG00000136141	LRCH1	40.02	7	43.17	40.02	14	43.17	97	[0,25)	0–25%	0–25%
ENSG00000181090	ENSG00000152455	SUV39H2	39.96	31	49.24	39.96	13	49.24	127	[25,50)	25–50%	25–50%
ENSG00000181433	ENSG00000102786	INTS6	36.13	14	41.47	36.13	4	41.47	72	[0,25)	0–25%	0–25%
ENSG00000181555	ENSG00000152455	SUV39H2	39.96	18	40.27	39.96	13	40.27	53	[0,25)	0–25%	0–25%
ENSG00000181631	ENSG00000171657	GPR82	35.19	20	37.46	35.19	1	37.46	15	[0,25)	0–25%	0–25%
ENSG00000181788	ENSG00000215475	SIAH3	44.78	41	44.98	44.78	24	44.98	109	[25,50)	25–50%	25–50%
ENSG00000181804	ENSG00000135740	SLC9A5	52.62	19	39.27	52.62	32	39.27	37	[0,25)	0–25%	0–25%
ENSG00000182208	ENSG00000114978	MOB1A	41.02	39	54.17	41.02	17	54.17	159	[25,50)	25–50%	25–50%
ENSG00000182511	ENSG00000007264	MATK	54.4	33	59.18	54.4	34	59.18	184	[25,50)	25–50%	25–50%
ENSG00000182687	ENSG00000132671	SSTR4	66.53	30	64.56	66.53	39	64.56	203	[25,50)	25–50%	25–50%
ENSG00000182793	ENSG00000163106	HPGDS	38.55	23	42.61	38.55	9	42.61	90	[0,25)	0–25%	0–25%
ENSG00000183090	ENSG00000150893	FREM2	37.65	39	39.5	37.65	6	39.5	40	[25,50)	25–50%	25–50%
ENSG00000183476	ENSG00000027869	SH2D2A	55.56	24	48.94	55.56	36	48.94	124	[0,25)	0–25%	0–25%
ENSG00000183486	ENSG00000197959	DNM3	37.28	21	49.7	37.28	5	49.7	129	[0,25)	0–25%	0–25%
ENSG00000184160	ENSG00000170214	ADRA1B	43.85	24	69.62	43.85	22	69.62	208	[0,25)	0–25%	0–25%
ENSG00000184544	ENSG00000108786	HSD17B1	56.95	17	47.73	56.95	37	47.73	118	[0,25)	0–25%	0–25%
ENSG00000184916	ENSG00000134250	NOTCH2	39.74	14	65.88	39.74	12	65.88	204	[0,25)	0–25%	0–25%
ENSG00000185052	ENSG00000074621	SLC24A1	44.73	20	43.88	44.73	23	43.88	101	[0,25)	0–25%	0–25%
ENSG00000185559	ENSG00000134250	NOTCH2	39.74	5	55.89	39.74	12	55.89	168	[0,25)	0–25%	0–25%
ENSG00000185974	ENSG00000125388	GRK4	46.38	45	60.29	46.38	27	60.29	191	[25,50)	25–50%	25–50%
ENSG00000186001	ENSG00000136141	LRCH1	40.02	37	40.91	40.02	14	40.91	63	[25,50)	25–50%	25–50%
ENSG00000187957	ENSG00000134250	NOTCH2	39.74	8	41.04	39.74	12	41.04	66	[0,25)	0–25%	0–25%
ENSG00000188042	ENSG00000152213	ARL11	47.31	38	50.41	47.31	28	50.41	135	[25,50)	25–50%	25–50%
ENSG00000188064	ENSG00000105989	WNT2	42.27	44	60.21	42.27	20	60.21	189	[25,50)	25–50%	25–50%
ENSG00000188467	ENSG00000074621	SLC24A1	44.73	16	35.31	44.73	23	35.31	1	[0,25)	0–25%	0–25%
ENSG00000196470	ENSG00000215475	SIAH3	44.78	39	45.2	44.78	24	45.2	111	[25,50)	25–50%	25–50%
ENSG00000196547	ENSG00000013288	MAN2B2	54.58	25	55.3	54.58	35	55.3	165	[25,50)	25–50%	25–50%
ENSG00000197818	ENSG00000135740	SLC9A5	52.62	17	45.56	52.62	32	45.56	112	[0,25)	0–25%	0–25%
ENSG00000197977	ENSG00000119915	ELOVL3	52.24	22	39.63	52.24	31	39.63	44	[0,25)	0–25%	0–25%
ENSG00000198055	ENSG00000125388	GRK4	46.38	65	54.65	46.38	27	54.65	163	[50,75)	50–75%	50–75%
ENSG00000198574	ENSG00000183918	SH2D1A	35.67	38	41.4	35.67	3	41.4	69	[25,50)	25–50%	25–50%
ENSG00000198689	ENSG00000135740	SLC9A5	52.62	18	40.97	52.62	32	40.97	65	[0,25)	0–25%	0–25%
ENSG00000198719	ENSG00000134250	NOTCH2	39.74	8	53.53	39.74	12	53.53	152	[0,25)	0–25%	0–25%
ENSG00000198812	ENSG00000136141	LRCH1	40.02	10	50.09	40.02	14	50.09	132	[0,25)	0–25%	0–25%
ENSG00000198873	ENSG00000125388	GRK4	46.38	66	50.47	46.38	27	50.47	136	[50,75)	50–75%	50–75%
ENSG00000204301	ENSG00000134250	NOTCH2	39.74	33	51.81	39.74	12	51.81	143	[25,50)	25–50%	25–50%
ENSG00000204371	ENSG00000152455	SUV39H2	39.96	29	53.84	39.96	13	53.84	156	[25,50)	25–50%	25–50%
ENSG00000204950	ENSG00000136141	LRCH1	40.02	9	67.71	40.02	14	67.71	207	[0,25)	0–25%	0–25%
ENSG00000206422	ENSG00000136141	LRCH1	40.02	9	58.26	40.02	14	58.26	181	[0,25)	0–25%	0–25%
ENSG00000228836	ENSG00000102786	INTS6	36.13	5	42.86	36.13	4	42.86	94	[0,25)	0–25%	0–25%
ENSG00000243955	ENSG00000163106	HPGDS	38.55	24	40.45	38.55	9	40.45	55	[0,25)	0–25%	0–25%
ENSG00000244067	ENSG00000163106	HPGDS	38.55	24	40.73	38.55	9	40.73	61	[0,25)	0–25%	0–25%
ENSG00000269242	ENSG00000013288	MAN2B2	54.58	5	56.43	54.58	35	56.43	172	[0,25)	0–25%	0–25%
ENSG00000269590	ENSG00000013288	MAN2B2	54.58	6	56.41	54.58	35	56.41	171	[0,25)	0–25%	0–25%
