Gene stable ID	Karyotype band	Gene name	Transcript count	Gene % GC content	Human paralogue gene stable ID	Human paralogue associated gene name	Human paralogue protein or transcript ID	Human paralogue chromosome/scaffold name	Human paralogue chromosome/scaffold start (bp)	Human paralogue chromosome/scaffold end (bp)	Paralogue query protein or transcript ID	Paralogue last common ancestor with Human	Human paralogue homology type	Paralogue %id. target Human gene identical to query gene	Paralogue %id. query gene identical to target Human gene	Paralogue dN with Human	Paralogue dS with Human
ENSG00000170214	q33.3	ADRA1B	1	43.85	ENSG00000222040	ADRA2B	ENSP00000387281	2	96778707	96781984	ENSP00000306662	Bilateria	other_paralog	23	26	0.5833	102.4934
ENSG00000170214	q33.3	ADRA1B	1	43.85	ENSG00000179546	HTR1D	ENSP00000363748	1	23516993	23521222	ENSP00000306662	Bilateria	other_paralog	23	31	0.616	45.2582
ENSG00000170214	q33.3	ADRA1B	1	43.85	ENSG00000135312	HTR1B	ENSP00000358963	6	78171948	78173490	ENSP00000306662	Bilateria	other_paralog	22	29	0.5788	90.2001
ENSG00000170214	q33.3	ADRA1B	1	43.85	ENSG00000168830	HTR1E	ENSP00000307766	6	87647024	87726349	ENSP00000306662	Bilateria	other_paralog	20	29	0.714	4.5484
ENSG00000170214	q33.3	ADRA1B	1	43.85	ENSG00000179097	HTR1F	ENSP00000322924	3	88039846	88042919	ENSP00000306662	Bilateria	other_paralog	21	30	0.6589	23.0064
ENSG00000170214	q33.3	ADRA1B	1	43.85	ENSG00000171873	ADRA1D	ENSP00000368766	20	4201329	4229721	ENSP00000306662	Euteleostomi	within_species_paralog	49	44	0.3332	109.4455
ENSG00000170214	q33.3	ADRA1B	1	43.85	ENSG00000120907	ADRA1A	ENSP00000369960	8	26605667	26724790	ENSP00000306662	Vertebrata	within_species_paralog	43	48	0.2929	10.388
ENSG00000170214	q33.3	ADRA1B	1	43.85	ENSG00000184160	ADRA2C	ENSP00000386069	4	3768075	3770251	ENSP00000306662	Bilateria	other_paralog	24	27	0.5606	105.3716
ENSG00000170214	q33.3	ADRA1B	1	43.85	ENSG00000148680	HTR7	ENSP00000337949	10	92500578	92617671	ENSP00000306662	Bilateria	within_species_paralog	25	28	0.586	33.0162
ENSG00000170214	q33.3	ADRA1B	1	43.85	ENSG00000150594	ADRA2A	ENSP00000280155	10	112836790	112840658	ENSP00000306662	Bilateria	other_paralog	23	26	0.5596	121.0231
ENSG00000170214	q33.3	ADRA1B	1	43.85	ENSG00000178394	HTR1A	ENSP00000316244	5	63256183	63258334	ENSP00000306662	Bilateria	other_paralog	24	30	0.5728	94.8383
ENSG00000150893	q13.3	FREM2	2	37.65	ENSG00000164946	FREM1	ENSP00000412940	9	14734664	14910993	ENSP00000280481	Chordata	within_species_paralog	22	31	0.771	46.1154
ENSG00000150893	q13.3	FREM2	2	37.65	ENSG00000173546	CSPG4	ENSP00000312506	15	75966663	76005189	ENSP00000280481	Bilateria	within_species_paralog	14	19	1.0614	61.3046
ENSG00000150893	q13.3	FREM2	2	37.65	ENSG00000138759	FRAS1	ENSP00000264895	4	78978724	79465423	ENSP00000280481	Chordata	within_species_paralog	31	24	0.8037	63.4127
ENSG00000150893	q13.3	FREM2	2	37.65	ENSG00000183090	FREM3	ENSP00000332886	4	144498455	144621828	ENSP00000280481	Euteleostomi	within_species_paralog	39	57	0.3096	17.0925
ENSG00000133115	q13.3	STOML3	2	38.23	ENSG00000116218	NPHS2	ENSP00000356587	1	179519674	179545087	ENSP00000368952	Vertebrata	within_species_paralog	43	32	0.5458	56.5649
ENSG00000133115	q13.3	STOML3	2	38.23	ENSG00000165283	STOML2	ENSP00000348886	9	35099888	35103154	ENSP00000368952	Bilateria	within_species_paralog	26	22	0.9467	4.0387
ENSG00000133115	q13.3	STOML3	2	38.23	ENSG00000148175	STOM	ENSP00000286713	9	124101355	124132531	ENSP00000368952	Euteleostomi	within_species_paralog	64	65	0.2405	24.8582
ENSG00000133115	q13.3	STOML3	2	38.23	ENSG00000067221	STOML1	ENSP00000319323	15	74275547	74286963	ENSP00000368952	Bilateria	within_species_paralog	29	21	0.8382	14.2171
ENSG00000119915	q24.32	ELOVL3	1	52.24	ENSG00000066322	ELOVL1	ENSP00000361536	1	43829068	43833696	ENSP00000359022	Bilateria	within_species_paralog	23	23	1.0968	4.7246
ENSG00000119915	q24.32	ELOVL3	1	52.24	ENSG00000197977	ELOVL2	ENSP00000346693	6	10980992	11044547	ENSP00000359022	Opisthokonta	other_paralog	22	20	1.1355	72.5973
ENSG00000119915	q24.32	ELOVL3	1	52.24	ENSG00000012660	ELOVL5	ENSP00000438095	6	53132196	53213947	ENSP00000359022	Opisthokonta	other_paralog	23	19	1.0065	84.82
ENSG00000119915	q24.32	ELOVL3	1	52.24	ENSG00000118402	ELOVL4	ENSP00000358831	6	80624529	80657297	ENSP00000359022	Opisthokonta	other_paralog	23	20	0.9887	17.3991
ENSG00000119915	q24.32	ELOVL3	1	52.24	ENSG00000170522	ELOVL6	ENSP00000378105	4	110967002	111120355	ENSP00000359022	Bilateria	within_species_paralog	45	46	0.4567	28.9005
ENSG00000119915	q24.32	ELOVL3	1	52.24	ENSG00000164181	ELOVL7	ENSP00000424123	5	60047618	60140216	ENSP00000359022	Bilateria	within_species_paralog	22	21	1.1353	5.3009
ENSG00000183918	q25	SH2D1A	5	35.67	ENSG00000198574	SH2D1B	ENSP00000356906	1	162365056	162381928	ENSP00000360181	Euteleostomi	within_species_paralog	38	37	0.6654	63.1061
ENSG00000215475	q14.13	SIAH3	1	44.78	ENSG00000196470	SIAH1	ENSP00000349156	16	48390275	48482313	ENSP00000383256	Bilateria	within_species_paralog	39	34	0.4426	40.0035
ENSG00000215475	q14.13	SIAH3	1	44.78	ENSG00000181788	SIAH2	ENSP00000322457	3	150458914	150481264	ENSP00000383256	Amniota	within_species_paralog	41	34	0.4089	19.0874
ENSG00000136167	q14.13	LCP1	8	40.21	ENSG00000102024	PLS3	ENSP00000398945	X	114795501	114885181	ENSP00000381581	Euteleostomi	within_species_paralog	80	80	0.1216	9.3551
ENSG00000136167	q14.13	LCP1	8	40.21	ENSG00000120756	PLS1	ENSP00000336831	3	142315229	142432506	ENSP00000381581	Euteleostomi	within_species_paralog	73	73	0.1842	20.7185
ENSG00000136141	q14.13	LRCH1	6	40.02	ENSG00000177595	PIDD	ENSP00000337797	11	799179	809753	ENSP00000374447	Bilateria	other_paralog	17	14	1.1988	57.3139
ENSG00000136141	q14.13	LRCH1	6	40.02	ENSG00000204950	LRRC10B	ENSP00000367315	11	61276272	61278482	ENSP00000374447	Bilateria	other_paralog	9	25	1.1954	60.2309
ENSG00000136141	q14.13	LRCH1	6	40.02	ENSG00000077454	LRCH4	ENSP00000309689	7	100169855	100183776	ENSP00000374447	Euteleostomi	within_species_paralog	37	41	0.5309	61.5255
ENSG00000136141	q14.13	LRCH1	6	40.02	ENSG00000122477	LRRC39	ENSP00000359157	1	100614409	100643771	ENSP00000374447	Bilateria	other_paralog	9	20	1.3648	53.246
ENSG00000136141	q14.13	LRCH1	6	40.02	ENSG00000206422	LRRC30	ENSP00000372959	18	7231123	7232045	ENSP00000374447	Bilateria	other_paralog	9	22	1.1342	12.2222
ENSG00000136141	q14.13	LRCH1	6	40.02	ENSG00000130224	LRCH2	ENSP00000325091	X	114345185	114468635	ENSP00000374447	Euteleostomi	within_species_paralog	43	43	0.384	5.2788
ENSG00000136141	q14.13	LRCH1	6	40.02	ENSG00000163827	LRRC2	ENSP00000379241	3	46556913	46621589	ENSP00000374447	Bilateria	other_paralog	10	21	1.0674	22.7932
ENSG00000136141	q14.13	LRCH1	6	40.02	ENSG00000186001	LRCH3	ENSP00000334375	3	197518097	197615307	ENSP00000374447	Euteleostomi	within_species_paralog	37	40	0.4963	3.4503
ENSG00000136141	q14.13	LRCH1	6	40.02	ENSG00000148356	LRSAM1	ENSP00000322937	9	130213765	130265780	ENSP00000374447	Bilateria	other_paralog	13	14	1.1938	58.2456
ENSG00000136141	q14.13	LRCH1	6	40.02	ENSG00000198812	LRRC10	ENSP00000355166	12	70002351	70004942	ENSP00000374447	Bilateria	other_paralog	10	27	1.0525	60.8018
ENSG00000136141	q14.13	LRCH1	6	40.02	ENSG00000180979	LRRC57	ENSP00000326817	15	42834720	42841000	ENSP00000374447	Bilateria	other_paralog	7	24	1.44	50.1008
ENSG00000136141	q14.13	LRCH1	6	40.02	ENSG00000165383	LRRC18	ENSP00000363275	10	50117528	50143242	ENSP00000374447	Bilateria	other_paralog	8	23	1.0017	67.6285
ENSG00000152213	q14.2	ARL11	2	47.31	ENSG00000122644	ARL4A	ENSP00000379898	7	12726481	12730559	ENSP00000282026	Bilateria	within_species_paralog	35	35	0.6826	63.7821
ENSG00000152213	q14.2	ARL11	2	47.31	ENSG00000188042	ARL4C	ENSP00000375057	2	235401685	235405697	ENSP00000282026	Bilateria	within_species_paralog	38	39	0.5621	107.7175
ENSG00000152213	q14.2	ARL11	2	47.31	ENSG00000175906	ARL4D	ENSP00000322628	17	41476327	41478505	ENSP00000282026	Bilateria	within_species_paralog	36	35	0.6224	76.232
ENSG00000152213	q14.2	ARL11	2	47.31	ENSG00000179674	ARL14	ENSP00000323847	3	160394948	160396233	ENSP00000282026	Euteleostomi	within_species_paralog	42	43	0.5497	6.3797
ENSG00000171657	p11.4	GPR82	2	35.19	ENSG00000171659	GPR34	ENSP00000367384	X	41548226	41556526	ENSP00000303549	Euteleostomi	within_species_paralog	21	19	1.0626	59.9522
ENSG00000171657	p11.4	GPR82	2	35.19	ENSG00000174946	GPR171	ENSP00000308479	3	150915619	150920988	ENSP00000303549	Euteleostomi	within_species_paralog	20	21	1.1147	59.6373
ENSG00000171657	p11.4	GPR82	2	35.19	ENSG00000174944	P2RY14	ENSP00000308361	3	150929905	150996255	ENSP00000303549	Euteleostomi	within_species_paralog	20	20	1.254	57.6033
ENSG00000171657	p11.4	GPR82	2	35.19	ENSG00000138271	GPR87	ENSP00000260843	3	151011891	151034740	ENSP00000303549	Euteleostomi	within_species_paralog	17	16	1.2683	59.6974
ENSG00000171657	p11.4	GPR82	2	35.19	ENSG00000181631	P2RY13	ENSP00000320376	3	151044100	151047336	ENSP00000303549	Euteleostomi	within_species_paralog	20	19	1.1188	60.5697
ENSG00000171657	p11.4	GPR82	2	35.19	ENSG00000169313	P2RY12	ENSP00000307259	3	151055168	151102600	ENSP00000303549	Euteleostomi	within_species_paralog	21	20	1.1995	59.3474
ENSG00000102786	q14.3	INTS6	24	36.13	ENSG00000165359	DDX26B	ENSP00000359788	X	134654584	134716435	ENSP00000310260	Euteleostomi	within_species_paralog	64	66	0.2318	2.0938
ENSG00000102786	q14.3	INTS6	24	36.13	ENSG00000232478	CT45A1	ENSP00000434170	X	134847185	134857354	ENSP00000310260	Euteleostomi	within_species_paralog	5	23	1.1037	1.7111
ENSG00000102786	q14.3	INTS6	24	36.13	ENSG00000242185	CT45A2	ENSP00000421296	X	134866214	134874614	ENSP00000310260	Euteleostomi	within_species_paralog	5	23	1.1075	1.6904
ENSG00000102786	q14.3	INTS6	24	36.13	ENSG00000232417	CT45A3	ENSP00000421659	X	134883488	134891885	ENSP00000310260	Euteleostomi	within_species_paralog	5	23	1.1172	1.7082
ENSG00000102786	q14.3	INTS6	24	36.13	ENSG00000228836	CT45A4	ENSP00000427342	X	134928331	134953994	ENSP00000310260	Euteleostomi	within_species_paralog	5	23	1.0941	1.6927
ENSG00000102786	q14.3	INTS6	24	36.13	ENSG00000242284	CT45A5	ENSP00000424778	X	134945598	134953994	ENSP00000310260	Euteleostomi	within_species_paralog	5	24	1.0691	1.7524
ENSG00000102786	q14.3	INTS6	24	36.13	ENSG00000226907	CT45A6	ENSP00000427362	X	134962849	134971244	ENSP00000310260	Euteleostomi	within_species_paralog	5	23	1.0941	1.6927
ENSG00000102786	q14.3	INTS6	24	36.13	ENSG00000181433	SAGE1	ENSP00000445959	X	134971374	134995220	ENSP00000310260	Euteleostomi	within_species_paralog	14	14	1.4202	9.3342
ENSG00000114978	p13.1	MOB1A	7	41.02	ENSG00000182208	MOB2	ENSP00000328694	11	1490687	1522477	ENSP00000379364	Bilateria	within_species_paralog	39	32	0.5572	72.0266
ENSG00000114978	p13.1	MOB1A	7	41.02	ENSG00000142961	MOB3C	ENSP00000271139	1	47073387	47082563	ENSP00000379364	Bilateria	within_species_paralog	50	40	0.3935	70.9952
ENSG00000114978	p13.1	MOB1A	7	41.02	ENSG00000120162	MOB3B	ENSP00000262244	9	27325207	27529779	ENSP00000379364	Bilateria	within_species_paralog	52	52	0.3928	69.4028
ENSG00000114978	p13.1	MOB1A	7	41.02	ENSG00000173542	MOB1B	ENSP00000379366	4	71768043	71888166	ENSP00000379364	Euteleostomi	within_species_paralog	94	92	0.0281	4.4313
ENSG00000114978	p13.1	MOB1A	7	41.02	ENSG00000172081	MOB3A	ENSP00000349575	19	2071037	2096672	ENSP00000379364	Bilateria	within_species_paralog	52	52	0.3807	56.8458
ENSG00000105989	q31.2	WNT2	4	42.27	ENSG00000085741	WNT11	ENSP00000325526	11	75897369	75921780	ENSP00000265441	Bilateria	other_paralog	34	35	0.5702	80.6982
ENSG00000105989	q31.2	WNT2	4	42.27	ENSG00000002745	WNT16	ENSP00000222462	7	120965421	120981158	ENSP00000265441	Euteleostomi	within_species_paralog	39	38	0.5605	6.8781
ENSG00000105989	q31.2	WNT2	4	42.27	ENSG00000115596	WNT6	ENSP00000233948	2	219724544	219738955	ENSP00000265441	Bilateria	other_paralog	38	37	0.5212	30.5563
ENSG00000105989	q31.2	WNT2	4	42.27	ENSG00000108379	WNT3	ENSP00000225512	17	44839872	44910520	ENSP00000265441	Bilateria	other_paralog	43	44	0.4269	89.5753
ENSG00000105989	q31.2	WNT2	4	42.27	ENSG00000188064	WNT7B	ENSP00000341032	22	46316242	46373009	ENSP00000265441	Bilateria	other_paralog	44	45	0.4114	8.5754
ENSG00000105989	q31.2	WNT2	4	42.27	ENSG00000162552	WNT4	ENSP00000290167	1	22443798	22470462	ENSP00000265441	Bilateria	other_paralog	44	46	0.4424	81.6636
ENSG00000105989	q31.2	WNT2	4	42.27	ENSG00000134245	WNT2B	ENSP00000358698	1	113009163	113072787	ENSP00000265441	Euteleostomi	within_species_paralog	67	62	0.2061	69.1253
ENSG00000105989	q31.2	WNT2	4	42.27	ENSG00000154342	WNT3A	ENSP00000284523	1	228194752	228248961	ENSP00000265441	Bilateria	other_paralog	43	43	0.4395	89.9123
ENSG00000105989	q31.2	WNT2	4	42.27	ENSG00000154764	WNT7A	ENSP00000285018	3	13857755	13921618	ENSP00000265441	Bilateria	other_paralog	43	44	0.4115	9.5709
ENSG00000105989	q31.2	WNT2	4	42.27	ENSG00000114251	WNT5A	ENSP00000417310	3	55499743	55523973	ENSP00000265441	Bilateria	other_paralog	48	45	0.4387	83.372
ENSG00000105989	q31.2	WNT2	4	42.27	ENSG00000111186	WNT5B	ENSP00000380379	12	1639057	1756409	ENSP00000265441	Bilateria	other_paralog	46	46	0.4225	87.1191
ENSG00000105989	q31.2	WNT2	4	42.27	ENSG00000125084	WNT1	ENSP00000293549	12	49372398	49375459	ENSP00000265441	Bilateria	other_paralog	40	39	0.4812	79.1931
ENSG00000132671	p11.21	SSTR4	1	66.53	ENSG00000180616	SSTR2	ENSP00000350198	17	71161151	71167185	ENSP00000255008	Vertebrata	within_species_paralog	42	44	0.4097	88.9143
ENSG00000132671	p11.21	SSTR4	1	66.53	ENSG00000182687	GALR2	ENSP00000329684	17	74070875	74073622	ENSP00000255008	Bilateria	other_paralog	30	30	0.6394	101.8668
ENSG00000132671	p11.21	SSTR4	1	66.53	ENSG00000183473	SSTR3	ENSP00000330138	22	37600278	37608362	ENSP00000255008	Vertebrata	within_species_paralog	44	40	0.4178	90.7368
ENSG00000132671	p11.21	SSTR4	1	66.53	ENSG00000128310	GALR3	ENSP00000249041	22	38219389	38221502	ENSP00000255008	Bilateria	other_paralog	28	30	0.6675	86.8909
ENSG00000132671	p11.21	SSTR4	1	66.53	ENSG00000128285	MCHR1	ENSP00000249016	22	41074754	41078818	ENSP00000255008	Bilateria	other_paralog	26	24	0.6905	95.7635
ENSG00000132671	p11.21	SSTR4	1	66.53	ENSG00000116329	OPRD1	ENSP00000234961	1	29138654	29190208	ENSP00000255008	Vertebrata	other_paralog	35	37	0.5039	102.074
ENSG00000132671	p11.21	SSTR4	1	66.53	ENSG00000166573	GALR1	ENSP00000299727	18	74962505	74980858	ENSP00000255008	Bilateria	other_paralog	25	28	0.6973	8.1072
ENSG00000132671	p11.21	SSTR4	1	66.53	ENSG00000162009	SSTR5	ENSP00000293897	16	1122756	1131454	ENSP00000255008	Vertebrata	within_species_paralog	45	48	0.3612	17.5056
ENSG00000132671	p11.21	SSTR4	1	66.53	ENSG00000152034	MCHR2	ENSP00000281806	6	100367786	100442123	ENSP00000255008	Bilateria	other_paralog	26	30	0.6796	31.1333
ENSG00000132671	p11.21	SSTR4	1	66.53	ENSG00000112038	OPRM1	ENSP00000394624	6	154331631	154568001	ENSP00000255008	Vertebrata	other_paralog	32	25	0.5944	80.8344
ENSG00000132671	p11.21	SSTR4	1	66.53	ENSG00000139874	SSTR1	ENSP00000267377	14	38677204	38682272	ENSP00000255008	Euteleostomi	within_species_paralog	57	57	0.259	96.9605
ENSG00000132671	p11.21	SSTR4	1	66.53	ENSG00000125510	OPRL1	ENSP00000336764	20	62711526	62731996	ENSP00000255008	Vertebrata	other_paralog	34	35	0.5148	92.4726
ENSG00000132671	p11.21	SSTR4	1	66.53	ENSG00000125522	NPBWR2	ENSP00000358783	20	62737173	62738524	ENSP00000255008	Vertebrata	other_paralog	31	36	0.5735	101.3584
ENSG00000132671	p11.21	SSTR4	1	66.53	ENSG00000183729	NPBWR1	ENSP00000330284	8	53850991	53853677	ENSP00000255008	Vertebrata	other_paralog	29	34	0.5779	102.7952
ENSG00000132671	p11.21	SSTR4	1	66.53	ENSG00000082556	OPRK1	ENSP00000265572	8	54138284	54164257	ENSP00000255008	Vertebrata	other_paralog	33	34	0.5536	88.6785
ENSG00000132671	p11.21	SSTR4	1	66.53	ENSG00000116014	KISS1R	ENSP00000234371	19	917287	921015	ENSP00000255008	Bilateria	other_paralog	29	28	0.7302	91.2728
ENSG00000060138	p13.2	YBX3	18	39.09	ENSG00000006047	YBX2	ENSP00000007699	17	7191571	7197934	ENSP00000228251	Euteleostomi	within_species_paralog	42	43	0.4424	6.2922
ENSG00000060138	p13.2	YBX3	18	39.09	ENSG00000065978	YBX1	ENSP00000361626	1	43148098	43168020	ENSP00000228251	Euteleostomi	within_species_paralog	50	58	0.3206	6.9181
ENSG00000184060	q11.2	ADAP2	11	48.03	ENSG00000105963	ADAP1	ENSP00000265846	7	937540	995043	ENSP00000329468	Euteleostomi	within_species_paralog	56	57	0.3042	3.7242
ENSG00000184060	q11.2	ADAP2	11	48.03	ENSG00000084070	SMAP2	ENSP00000361803	1	40810522	40888998	ENSP00000329468	Chordata	within_species_paralog	22	19	0.9028	71.6162
ENSG00000184060	q11.2	ADAP2	11	48.03	ENSG00000112305	SMAP1	ENSP00000359484	6	71377479	71571718	ENSP00000329468	Chordata	within_species_paralog	22	18	0.9555	64.5586
ENSG00000125388	p16.3	GRK4	11	46.38	ENSG00000173020	ADRBK1	ENSP00000312262	11	67033881	67054027	ENSP00000381129	Bilateria	other_paralog	34	29	0.6547	75.8777
ENSG00000125388	p16.3	GRK4	11	46.38	ENSG00000175634	RPS6KB2	ENSP00000308413	11	67195931	67202872	ENSP00000381129	Opisthokonta	other_paralog	23	27	0.6746	68.6937
ENSG00000125388	p16.3	GRK4	11	46.38	ENSG00000108443	RPS6KB1	ENSP00000225577	17	57970447	58027925	ENSP00000381129	Opisthokonta	other_paralog	22	25	0.726	6.4009
ENSG00000125388	p16.3	GRK4	11	46.38	ENSG00000100077	ADRBK2	ENSP00000317578	22	25960816	26125261	ENSP00000381129	Bilateria	other_paralog	35	29	0.6626	68.5405
ENSG00000125388	p16.3	GRK4	11	46.38	ENSG00000117020	AKT3	ENSP00000355497	1	243651535	244014381	ENSP00000381129	Opisthokonta	other_paralog	22	27	0.7514	66.9354
ENSG00000125388	p16.3	GRK4	11	46.38	ENSG00000185974	GRK1	ENSP00000334876	13	114321470	114440708	ENSP00000381129	Bilateria	other_paralog	45	46	0.4957	73.241
ENSG00000125388	p16.3	GRK4	11	46.38	ENSG00000118515	SGK1	ENSP00000356832	6	134490384	134639250	ENSP00000381129	Opisthokonta	other_paralog	23	25	0.7633	4.8792
ENSG00000125388	p16.3	GRK4	11	46.38	ENSG00000114124	GRK7	ENSP00000264952	3	141496990	141537332	ENSP00000381129	Bilateria	other_paralog	43	45	0.4664	71.3382
ENSG00000125388	p16.3	GRK4	11	46.38	ENSG00000142208	AKT1	ENSP00000451828	14	105235686	105262088	ENSP00000381129	Opisthokonta	other_paralog	22	26	0.7233	75.7666
ENSG00000125388	p16.3	GRK4	11	46.38	ENSG00000101049	SGK2	ENSP00000340608	20	42187608	42216877	ENSP00000381129	Opisthokonta	other_paralog	22	29	0.7677	68.6587
ENSG00000125388	p16.3	GRK4	11	46.38	ENSG00000270024	C8orf44-SGK3	ENSP00000429022	8	67579831	67772707	ENSP00000381129	Opisthokonta	other_paralog	22	26	0.7634	10.2494
ENSG00000125388	p16.3	GRK4	11	46.38	ENSG00000104205	SGK3	ENSP00000379842	8	67624653	67774257	ENSP00000381129	Opisthokonta	other_paralog	22	26	0.7634	10.2498
ENSG00000125388	p16.3	GRK4	11	46.38	ENSG00000198873	GRK5	ENSP00000376609	10	120967101	121215131	ENSP00000381129	Euteleostomi	within_species_paralog	66	65	0.2311	23.5569
ENSG00000125388	p16.3	GRK4	11	46.38	ENSG00000105221	AKT2	ENSP00000375892	19	40736224	40791443	ENSP00000381129	Opisthokonta	other_paralog	22	26	0.7587	70.6751
ENSG00000125388	p16.3	GRK4	11	46.38	ENSG00000198055	GRK6	ENSP00000433511	5	176830205	176869902	ENSP00000381129	Euteleostomi	within_species_paralog	65	64	0.2431	72.8341
