Chicken.paralogue.gene.stable.ID	Gene.stable.ID	Gene.name	Gene...GC.content	Paralogue..id..target.Chicken.gene.identical.to.query.gene	Paralogue.GC.content	gene_gc.x	Gene_stable_ID_rank	gene_gc.y	Chicken.paralogue_gene_stable_ID_rank	identity_bin_raw	identity_bin_labeled	identity_bin
ENSGALG00010001700	ENSGALG00010021206	HSD17B1	70.88	18.2119	64.67	70.88	52	64.67	379	[0,25)	0–25%	0–25%
ENSGALG00010001729	ENSGALG00010004835	HHLA2	41.49	11.054	41.55	41.49	22	41.55	124	[0,25)	0–25%	0–25%
ENSGALG00010001771	ENSGALG00010002400	RBBP7	41.43	10.6132	60.62	41.43	21	60.62	355	[0,25)	0–25%	0–25%
ENSGALG00010001800	ENSGALG00010005979	SUV39H2	40.21	14.9877	60.7	40.21	13	60.7	356	[0,25)	0–25%	0–25%
ENSGALG00010001805	ENSGALG00010011597	TBC1D14	40.66	8.11189	65.14	40.66	15	65.14	382	[0,25)	0–25%	0–25%
ENSGALG00010001831	ENSGALG00010018665	IL13RA2	48.98	12.4498	39.38	48.98	41	39.38	73	[0,25)	0–25%	0–25%
ENSGALG00010001831	ENSGALG00010020457	IL5RA	42.94	14.8585	39.38	42.94	28	39.38	73	[0,25)	0–25%	0–25%
ENSGALG00010001839	ENSGALG00010018665	IL13RA2	48.98	8.83534	36.59	48.98	41	36.59	10	[0,25)	0–25%	0–25%
ENSGALG00010001839	ENSGALG00010020457	IL5RA	42.94	11.0849	36.59	42.94	28	36.59	10	[0,25)	0–25%	0–25%
ENSGALG00010001842	ENSGALG00010016990	GPR78	42.45	62.2419	42.21	42.45	24	42.21	146	[50,75)	50–75%	50–75%
ENSGALG00010001847	ENSGALG00010018665	IL13RA2	48.98	8.43373	37.82	48.98	41	37.82	33	[0,25)	0–25%	0–25%
ENSGALG00010001847	ENSGALG00010020457	IL5RA	42.94	12.9717	37.82	42.94	28	37.82	33	[0,25)	0–25%	0–25%
ENSGALG00010001869	ENSGALG00010018665	IL13RA2	48.98	8.03213	36.03	48.98	41	36.03	4	[0,25)	0–25%	0–25%
ENSGALG00010001869	ENSGALG00010020457	IL5RA	42.94	9.43396	36.03	42.94	28	36.03	4	[0,25)	0–25%	0–25%
ENSGALG00010001916	ENSGALG00010002439	GPR82	33.4	12.5	36.9	33.4	1	36.9	14	[0,25)	0–25%	0–25%
ENSGALG00010001995	ENSGALG00010003843	LRCH1	38.69	12.5	40.78	38.69	11	40.78	111	[0,25)	0–25%	0–25%
ENSGALG00010002027	ENSGALG00010003843	LRCH1	38.69	7.71277	41.04	38.69	11	41.04	115	[0,25)	0–25%	0–25%
ENSGALG00010002062	ENSGALG00010005518	HPGDS	40.82	22.1198	44.86	40.82	17	44.86	192	[0,25)	0–25%	0–25%
ENSGALG00010002135	ENSGALG00010020275	ELOVL3	51.9	20.6349	44.64	51.9	43	44.64	188	[0,25)	0–25%	0–25%
ENSGALG00010002136	ENSGALG00010029597	ADAP2	44.72	19.5055	57.74	44.72	33	57.74	330	[0,25)	0–25%	0–25%
ENSGALG00010002192	ENSGALG00010005518	HPGDS	40.82	26.7281	44	40.82	17	44	177	[25,50)	25–50%	25–50%
ENSGALG00010002197	ENSGALG00010005518	HPGDS	40.82	25.8065	44.68	40.82	17	44.68	189	[25,50)	25–50%	25–50%
ENSGALG00010002251	ENSGALG00010016403	GRK4	37.32	70.2988	41.63	37.32	4	41.63	126	[50,75)	50–75%	50–75%
ENSGALG00010002285	ENSGALG00010019451	CAV3	55.39	67.5497	42.17	55.39	45	42.17	143	[50,75)	50–75%	50–75%
ENSGALG00010002356	ENSGALG00010001486	WNT2	50.63	33.7766	45.76	50.63	42	45.76	213	[25,50)	25–50%	25–50%
ENSGALG00010002383	ENSGALG00010013213	SH2D1A	44.27	16.129	38.19	44.27	32	38.19	43	[0,25)	0–25%	0–25%
ENSGALG00010002443	ENSGALG00010028086	MATK	62.86	29.5302	58.22	62.86	51	58.22	338	[25,50)	25–50%	25–50%
ENSGALG00010002456	ENSGALG00010020275	ELOVL3	51.9	24.6032	40.72	51.9	43	40.72	108	[0,25)	0–25%	0–25%
ENSGALG00010002557	ENSGALG00010004835	HHLA2	41.49	10.2828	48.28	41.49	22	48.28	243	[0,25)	0–25%	0–25%
ENSGALG00010002575	ENSGALG00010004835	HHLA2	41.49	9.51157	49.54	41.49	22	49.54	269	[0,25)	0–25%	0–25%
ENSGALG00010002584	ENSGALG00010004835	HHLA2	41.49	9.51157	49.2	41.49	22	49.2	262	[0,25)	0–25%	0–25%
ENSGALG00010002586	ENSGALG00010016990	GPR78	42.45	21.2389	39.66	42.45	24	39.66	82	[0,25)	0–25%	0–25%
ENSGALG00010002753	ENSGALG00010021607	SLC9A5	58.4	19.6368	41.84	58.4	48	41.84	133	[0,25)	0–25%	0–25%
ENSGALG00010002782	ENSGALG00010005518	HPGDS	40.82	26.7281	45.64	40.82	17	45.64	211	[25,50)	25–50%	25–50%
ENSGALG00010002792	ENSGALG00010005518	HPGDS	40.82	28.1106	42.26	40.82	17	42.26	147	[25,50)	25–50%	25–50%
ENSGALG00010002807	ENSGALG00010002439	GPR82	33.4	16.5698	57.5	33.4	1	57.5	329	[0,25)	0–25%	0–25%
ENSGALG00010002878	ENSGALG00010002439	GPR82	33.4	16.8605	54.97	33.4	1	54.97	314	[0,25)	0–25%	0–25%
ENSGALG00010002918	ENSGALG00010013808	HRASLS	56.48	19.5266	36.91	56.48	47	36.91	16	[0,25)	0–25%	0–25%
ENSGALG00010002940	ENSGALG00010004835	HHLA2	41.49	10.5398	48.86	41.49	22	48.86	250	[0,25)	0–25%	0–25%
ENSGALG00010002958	ENSGALG00010021206	HSD17B1	70.88	16.8874	43.85	70.88	52	43.85	175	[0,25)	0–25%	0–25%
ENSGALG00010003025	ENSGALG00010003843	LRCH1	38.69	15.0266	49.56	38.69	11	49.56	271	[0,25)	0–25%	0–25%
ENSGALG00010003212	ENSGALG00010018057	SSTR4	56.14	18.1818	58.87	56.14	46	58.87	341	[0,25)	0–25%	0–25%
ENSGALG00010003242	ENSGALG00010029597	ADAP2	44.72	21.4286	38.81	44.72	33	38.81	58	[0,25)	0–25%	0–25%
ENSGALG00010003582	ENSGALG00010021206	HSD17B1	70.88	20.1987	39.08	70.88	52	39.08	66	[0,25)	0–25%	0–25%
ENSGALG00010003743	ENSGALG00010004070	ARL11	47.21	26.1307	49.1	47.21	40	49.1	258	[25,50)	25–50%	25–50%
ENSGALG00010003762	ENSGALG00010011597	TBC1D14	40.66	10.7692	59.69	40.66	15	59.69	346	[0,25)	0–25%	0–25%
ENSGALG00010003790	ENSGALG00010020275	ELOVL3	51.9	54.3651	44.15	51.9	43	44.15	181	[50,75)	50–75%	50–75%
ENSGALG00010003797	ENSGALG00010021206	HSD17B1	70.88	17.8808	46.96	70.88	52	46.96	231	[0,25)	0–25%	0–25%
ENSGALG00010003812	ENSGALG00010004835	HHLA2	41.49	9.2545	49.45	41.49	22	49.45	267	[0,25)	0–25%	0–25%
ENSGALG00010003874	ENSGALG00010028086	MATK	62.86	35.123	39.14	62.86	51	39.14	67	[25,50)	25–50%	25–50%
ENSGALG00010003892	ENSGALG00010018057	SSTR4	56.14	31.3131	37.96	56.14	46	37.96	39	[25,50)	25–50%	25–50%
ENSGALG00010003994	ENSGALG00010021206	HSD17B1	70.88	19.2053	42.67	70.88	52	42.67	152	[0,25)	0–25%	0–25%
ENSGALG00010004005	ENSGALG00010021206	HSD17B1	70.88	18.2119	40.25	70.88	52	40.25	97	[0,25)	0–25%	0–25%
ENSGALG00010004029	ENSGALG00010004070	ARL11	47.21	32.1608	37.54	47.21	40	37.54	27	[25,50)	25–50%	25–50%
ENSGALG00010004049	ENSGALG00010005979	SUV39H2	40.21	20.1474	42.02	40.21	13	42.02	139	[0,25)	0–25%	0–25%
ENSGALG00010004089	ENSGALG00010018057	SSTR4	56.14	25.2525	37.92	56.14	46	37.92	36	[25,50)	25–50%	25–50%
ENSGALG00010004130	ENSGALG00010013109	RIPPLY3	33.65	30.4348	48.83	33.65	2	48.83	249	[25,50)	25–50%	25–50%
ENSGALG00010004250	ENSGALG00010020696	MOB1A	52.15	92.2374	43.54	52.15	44	43.54	170	[75,100]	75–100%	75–100%
ENSGALG00010004372	ENSGALG00010013213	SH2D1A	44.27	22.5806	40.86	44.27	32	40.86	112	[0,25)	0–25%	0–25%
ENSGALG00010004746	ENSGALG00010028086	MATK	62.86	34.2282	40.56	62.86	51	40.56	104	[25,50)	25–50%	25–50%
ENSGALG00010004879	ENSGALG00010003843	LRCH1	38.69	11.1702	42.2	38.69	11	42.2	145	[0,25)	0–25%	0–25%
ENSGALG00010004946	ENSGALG00010013213	SH2D1A	44.27	37.9032	40.4	44.27	32	40.4	101	[25,50)	25–50%	25–50%
ENSGALG00010004976	ENSGALG00010021206	HSD17B1	70.88	18.2119	46.95	70.88	52	46.95	230	[0,25)	0–25%	0–25%
ENSGALG00010005050	ENSGALG00010004835	HHLA2	41.49	5.9126	40.14	41.49	22	40.14	92	[0,25)	0–25%	0–25%
ENSGALG00010005058	ENSGALG00010004835	HHLA2	41.49	4.11311	41.8	41.49	22	41.8	132	[0,25)	0–25%	0–25%
ENSGALG00010005073	ENSGALG00010004835	HHLA2	41.49	4.11311	40.28	41.49	22	40.28	98	[0,25)	0–25%	0–25%
ENSGALG00010005086	ENSGALG00010004835	HHLA2	41.49	3.85604	46.28	41.49	22	46.28	218	[0,25)	0–25%	0–25%
ENSGALG00010005098	ENSGALG00010004835	HHLA2	41.49	9.51157	46.69	41.49	22	46.69	225	[0,25)	0–25%	0–25%
ENSGALG00010005128	ENSGALG00010004835	HHLA2	41.49	13.3676	40.57	41.49	22	40.57	105	[0,25)	0–25%	0–25%
ENSGALG00010005142	ENSGALG00010004835	HHLA2	41.49	14.3959	38.97	41.49	22	38.97	64	[0,25)	0–25%	0–25%
ENSGALG00010005194	ENSGALG00010004835	HHLA2	41.49	7.19794	45.06	41.49	22	45.06	199	[0,25)	0–25%	0–25%
ENSGALG00010005201	ENSGALG00010004835	HHLA2	41.49	5.39846	39.86	41.49	22	39.86	84	[0,25)	0–25%	0–25%
ENSGALG00010005256	ENSGALG00010018057	SSTR4	56.14	30.303	40.38	56.14	46	40.38	100	[25,50)	25–50%	25–50%
ENSGALG00010005276	ENSGALG00010002439	GPR82	33.4	13.0814	56.42	33.4	1	56.42	324	[0,25)	0–25%	0–25%
ENSGALG00010005284	ENSGALG00010002439	GPR82	33.4	18.6047	45.09	33.4	1	45.09	200	[0,25)	0–25%	0–25%
ENSGALG00010005289	ENSGALG00010002439	GPR82	33.4	17.4419	41.73	33.4	1	41.73	131	[0,25)	0–25%	0–25%
ENSGALG00010005336	ENSGALG00010002400	RBBP7	41.43	18.8679	38.22	41.43	21	38.22	44	[0,25)	0–25%	0–25%
ENSGALG00010005357	ENSGALG00010017513	TNIP2	45.1	12.8599	40.08	45.1	34	40.08	89	[0,25)	0–25%	0–25%
ENSGALG00010005365	ENSGALG00010002439	GPR82	33.4	12.7907	55.66	33.4	1	55.66	320	[0,25)	0–25%	0–25%
ENSGALG00010005406	ENSGALG00010002439	GPR82	33.4	13.0814	54.06	33.4	1	54.06	309	[0,25)	0–25%	0–25%
ENSGALG00010005410	ENSGALG00010002439	GPR82	33.4	13.3721	53.83	33.4	1	53.83	305	[0,25)	0–25%	0–25%
ENSGALG00010005483	ENSGALG00010002439	GPR82	33.4	13.0814	53.86	33.4	1	53.86	306	[0,25)	0–25%	0–25%
ENSGALG00010005581	ENSGALG00010002439	GPR82	33.4	13.3721	55.73	33.4	1	55.73	322	[0,25)	0–25%	0–25%
ENSGALG00010005651	ENSGALG00010011597	TBC1D14	40.66	13.986	38.81	40.66	15	38.81	59	[0,25)	0–25%	0–25%
ENSGALG00010005667	ENSGALG00010002439	GPR82	33.4	13.9535	57.99	33.4	1	57.99	333	[0,25)	0–25%	0–25%
ENSGALG00010005700	ENSGALG00010002439	GPR82	33.4	14.2442	57.12	33.4	1	57.12	327	[0,25)	0–25%	0–25%
ENSGALG00010005854	ENSGALG00010002439	GPR82	33.4	9.30233	55.58	33.4	1	55.58	319	[0,25)	0–25%	0–25%
ENSGALG00010006028	ENSGALG00010004070	ARL11	47.21	32.6633	37.32	47.21	40	37.32	24	[25,50)	25–50%	25–50%
ENSGALG00010006043	ENSGALG00010004835	HHLA2	41.49	5.9126	38.32	41.49	22	38.32	47	[0,25)	0–25%	0–25%
ENSGALG00010006046	ENSGALG00010004835	HHLA2	41.49	5.9126	39.62	41.49	22	39.62	79	[0,25)	0–25%	0–25%
ENSGALG00010006054	ENSGALG00010004835	HHLA2	41.49	12.0823	40.14	41.49	22	40.14	93	[0,25)	0–25%	0–25%
ENSGALG00010006077	ENSGALG00010011597	TBC1D14	40.66	14.2657	37.34	40.66	15	37.34	25	[0,25)	0–25%	0–25%
ENSGALG00010006119	ENSGALG00010004835	HHLA2	41.49	4.88432	41.19	41.49	22	41.19	116	[0,25)	0–25%	0–25%
ENSGALG00010006201	ENSGALG00010018057	SSTR4	56.14	50.5051	49.54	56.14	46	49.54	270	[50,75)	50–75%	50–75%
ENSGALG00010006273	ENSGALG00010004070	ARL11	47.21	26.1307	36.96	47.21	40	36.96	17	[25,50)	25–50%	25–50%
ENSGALG00010006288	ENSGALG00010004070	ARL11	47.21	34.1709	52.75	47.21	40	52.75	297	[25,50)	25–50%	25–50%
ENSGALG00010006544	ENSGALG00010020696	MOB1A	52.15	51.1416	40.5	52.15	44	40.5	102	[50,75)	50–75%	50–75%
ENSGALG00010007439	ENSGALG00010021206	HSD17B1	70.88	25.4967	44.07	70.88	52	44.07	178	[25,50)	25–50%	25–50%
ENSGALG00010007655	ENSGALG00010021607	SLC9A5	58.4	47.4461	36.75	58.4	48	36.75	11	[25,50)	25–50%	25–50%
ENSGALG00010007762	ENSGALG00010027341	SH2D2A	60.03	10.0971	43.53	60.03	49	43.53	169	[0,25)	0–25%	0–25%
ENSGALG00010007789	ENSGALG00010021206	HSD17B1	70.88	15.2318	38.53	70.88	52	38.53	49	[0,25)	0–25%	0–25%
ENSGALG00010007992	ENSGALG00010013414	LAPTM5	45.77	20.3922	43.32	45.77	37	43.32	167	[0,25)	0–25%	0–25%
ENSGALG00010008025	ENSGALG00010011597	TBC1D14	40.66	10.6294	36.26	40.66	15	36.26	7	[0,25)	0–25%	0–25%
ENSGALG00010008047	ENSGALG00010029597	ADAP2	44.72	21.7033	38.69	44.72	33	38.69	52	[0,25)	0–25%	0–25%
ENSGALG00010008110	ENSGALG00010003821	RUBCNL	42.82	11.6645	65.82	42.82	25	65.82	389	[0,25)	0–25%	0–25%
ENSGALG00010008127	ENSGALG00010011597	TBC1D14	40.66	15.8042	45.22	40.66	15	45.22	204	[0,25)	0–25%	0–25%
ENSGALG00010008324	ENSGALG00010003843	LRCH1	38.69	17.2872	51.47	38.69	11	51.47	283	[0,25)	0–25%	0–25%
ENSGALG00010008330	ENSGALG00010005979	SUV39H2	40.21	18.6732	36.75	40.21	13	36.75	12	[0,25)	0–25%	0–25%
ENSGALG00010008405	ENSGALG00010013808	HRASLS	56.48	18.9349	48.97	56.48	47	48.97	255	[0,25)	0–25%	0–25%
ENSGALG00010008441	ENSGALG00010003843	LRCH1	38.69	15.2926	43.17	38.69	11	43.17	158	[0,25)	0–25%	0–25%
ENSGALG00010008777	ENSGALG00010021206	HSD17B1	70.88	12.2517	39.51	70.88	52	39.51	75	[0,25)	0–25%	0–25%
ENSGALG00010008894	ENSGALG00010003843	LRCH1	38.69	4.12234	51.85	38.69	11	51.85	287	[0,25)	0–25%	0–25%
ENSGALG00010008960	ENSGALG00010003843	LRCH1	38.69	10.3723	37.86	38.69	11	37.86	34	[0,25)	0–25%	0–25%
ENSGALG00010009159	ENSGALG00010028086	MATK	62.86	28.1879	40.33	62.86	51	40.33	99	[25,50)	25–50%	25–50%
ENSGALG00010009280	ENSGALG00010021206	HSD17B1	70.88	17.5497	37.76	70.88	52	37.76	30	[0,25)	0–25%	0–25%
ENSGALG00010009306	ENSGALG00010011597	TBC1D14	40.66	13.986	39.82	40.66	15	39.82	83	[0,25)	0–25%	0–25%
ENSGALG00010009340	ENSGALG00010028086	MATK	62.86	31.0962	39.58	62.86	51	39.58	76	[25,50)	25–50%	25–50%
ENSGALG00010009400	ENSGALG00010018665	IL13RA2	48.98	10.0402	51.98	48.98	41	51.98	290	[0,25)	0–25%	0–25%
ENSGALG00010009400	ENSGALG00010020457	IL5RA	42.94	10.6132	51.98	42.94	28	51.98	290	[0,25)	0–25%	0–25%
ENSGALG00010009410	ENSGALG00010016966	KDM3A	40.9	37.0566	44.93	40.9	18	44.93	198	[25,50)	25–50%	25–50%
ENSGALG00010009503	ENSGALG00010020457	IL5RA	42.94	9.66981	57.24	42.94	28	57.24	328	[0,25)	0–25%	0–25%
ENSGALG00010009503	ENSGALG00010018665	IL13RA2	48.98	13.0522	57.24	48.98	41	57.24	328	[0,25)	0–25%	0–25%
ENSGALG00010009567	ENSGALG00010005979	SUV39H2	40.21	20.3931	48.93	40.21	13	48.93	253	[0,25)	0–25%	0–25%
ENSGALG00010009663	ENSGALG00010028086	MATK	62.86	35.5705	37.91	62.86	51	37.91	35	[25,50)	25–50%	25–50%
ENSGALG00010009762	ENSGALG00010011487	MAN2B2	39.28	21.9579	36.9	39.28	12	36.9	15	[0,25)	0–25%	0–25%
ENSGALG00010009972	ENSGALG00010028086	MATK	62.86	26.8456	58.21	62.86	51	58.21	336	[25,50)	25–50%	25–50%
ENSGALG00010010205	ENSGALG00010004070	ARL11	47.21	30.1508	46.33	47.21	40	46.33	220	[25,50)	25–50%	25–50%
ENSGALG00010010534	ENSGALG00010013213	SH2D1A	44.27	20.1613	37.73	44.27	32	37.73	29	[0,25)	0–25%	0–25%
ENSGALG00010010728	ENSGALG00010020275	ELOVL3	51.9	26.5873	41.52	51.9	43	41.52	122	[25,50)	25–50%	25–50%
ENSGALG00010010770	ENSGALG00010002358	FREM2	38.29	6.12374	65.37	38.29	8	65.37	385	[0,25)	0–25%	0–25%
ENSGALG00010010911	ENSGALG00010029597	ADAP2	44.72	54.6703	48.05	44.72	33	48.05	242	[50,75)	50–75%	50–75%
ENSGALG00010010944	ENSGALG00010002756	STOML3	43.86	31.8681	46.44	43.86	30	46.44	223	[25,50)	25–50%	25–50%
ENSGALG00010010946	ENSGALG00010027341	SH2D2A	60.03	9.90291	38.7	60.03	49	38.7	53	[0,25)	0–25%	0–25%
ENSGALG00010011049	ENSGALG00010028086	MATK	62.86	36.9128	47.28	62.86	51	47.28	236	[25,50)	25–50%	25–50%
ENSGALG00010011130	ENSGALG00010013766	DNM3	41.19	33.3333	38.79	41.19	20	38.79	55	[25,50)	25–50%	25–50%
ENSGALG00010011161	ENSGALG00010011597	TBC1D14	40.66	2.51748	44.37	40.66	15	44.37	186	[0,25)	0–25%	0–25%
ENSGALG00010011317	ENSGALG00010028086	MATK	62.86	33.7808	47.41	62.86	51	47.41	237	[25,50)	25–50%	25–50%
ENSGALG00010011544	ENSGALG00010002756	STOML3	43.86	21.7033	53.32	43.86	30	53.32	301	[0,25)	0–25%	0–25%
ENSGALG00010011556	ENSGALG00010013414	LAPTM5	45.77	14.1176	42.18	45.77	37	42.18	144	[0,25)	0–25%	0–25%
ENSGALG00010011564	ENSGALG00010029597	ADAP2	44.72	26.6484	57.83	44.72	33	57.83	332	[25,50)	25–50%	25–50%
ENSGALG00010011605	ENSGALG00010029597	ADAP2	44.72	5.76923	42.29	44.72	33	42.29	148	[0,25)	0–25%	0–25%
ENSGALG00010011692	ENSGALG00010004070	ARL11	47.21	18.593	44.87	47.21	40	44.87	193	[0,25)	0–25%	0–25%
ENSGALG00010011899	ENSGALG00010003843	LRCH1	38.69	14.8936	41.48	38.69	11	41.48	121	[0,25)	0–25%	0–25%
ENSGALG00010012031	ENSGALG00010016403	GRK4	37.32	68.1898	60.1	37.32	4	60.1	350	[50,75)	50–75%	50–75%
ENSGALG00010012041	ENSGALG00010004835	HHLA2	41.49	11.5681	43.28	41.49	22	43.28	164	[0,25)	0–25%	0–25%
ENSGALG00010012053	ENSGALG00010004070	ARL11	47.21	31.6583	60.8	47.21	40	60.8	357	[25,50)	25–50%	25–50%
ENSGALG00010012147	ENSGALG00010029597	ADAP2	44.72	16.2088	38.83	44.72	33	38.83	61	[0,25)	0–25%	0–25%
ENSGALG00010012148	ENSGALG00010005979	SUV39H2	40.21	4.1769	41.36	40.21	13	41.36	119	[0,25)	0–25%	0–25%
ENSGALG00010012247	ENSGALG00010004070	ARL11	47.21	33.1658	37.94	47.21	40	37.94	38	[25,50)	25–50%	25–50%
ENSGALG00010012314	ENSGALG00010009333	ADRA1B	38.68	25.2465	58.95	38.68	10	58.95	342	[25,50)	25–50%	25–50%
ENSGALG00010012373	ENSGALG00010001486	WNT2	50.63	41.2234	41.64	50.63	42	41.64	128	[25,50)	25–50%	25–50%
ENSGALG00010012387	ENSGALG00010003843	LRCH1	38.69	14.7606	37.96	38.69	11	37.96	40	[0,25)	0–25%	0–25%
ENSGALG00010012472	ENSGALG00010011940	IL26	40.66	17.0588	44.91	40.66	16	44.91	196	[0,25)	0–25%	0–25%
ENSGALG00010012571	ENSGALG00010029597	ADAP2	44.72	18.6813	43.26	44.72	33	43.26	163	[0,25)	0–25%	0–25%
ENSGALG00010012669	ENSGALG00010002400	RBBP7	41.43	12.5	38.92	41.43	21	38.92	63	[0,25)	0–25%	0–25%
ENSGALG00010012706	ENSGALG00010011597	TBC1D14	40.66	13.2867	39.31	40.66	15	39.31	72	[0,25)	0–25%	0–25%
ENSGALG00010012744	ENSGALG00010004070	ARL11	47.21	33.6683	51.45	47.21	40	51.45	282	[25,50)	25–50%	25–50%
ENSGALG00010012778	ENSGALG00010011597	TBC1D14	40.66	10.6294	37.77	40.66	15	37.77	31	[0,25)	0–25%	0–25%
ENSGALG00010012833	ENSGALG00010028086	MATK	62.86	26.8456	37.08	62.86	51	37.08	21	[25,50)	25–50%	25–50%
ENSGALG00010012930	ENSGALG00010018665	IL13RA2	48.98	11.6466	40	48.98	41	40	88	[0,25)	0–25%	0–25%
ENSGALG00010012930	ENSGALG00010020457	IL5RA	42.94	13.6792	40	42.94	28	40	88	[0,25)	0–25%	0–25%
ENSGALG00010012976	ENSGALG00010021607	SLC9A5	58.4	34.0522	42.13	58.4	48	42.13	142	[25,50)	25–50%	25–50%
ENSGALG00010012978	ENSGALG00010021206	HSD17B1	70.88	15.894	55.13	70.88	52	55.13	315	[0,25)	0–25%	0–25%
ENSGALG00010013001	ENSGALG00010002358	FREM2	38.29	15.0884	36.43	38.29	8	36.43	8	[0,25)	0–25%	0–25%
ENSGALG00010013084	ENSGALG00010011597	TBC1D14	40.66	12.1678	50.95	40.66	15	50.95	281	[0,25)	0–25%	0–25%
ENSGALG00010013171	ENSGALG00010021607	SLC9A5	58.4	17.0261	37.59	58.4	48	37.59	28	[0,25)	0–25%	0–25%
ENSGALG00010013179	ENSGALG00010011597	TBC1D14	40.66	9.51049	39.3	40.66	15	39.3	71	[0,25)	0–25%	0–25%
ENSGALG00010013254	ENSGALG00010004070	ARL11	47.21	28.1407	42.78	47.21	40	42.78	153	[25,50)	25–50%	25–50%
ENSGALG00010013269	ENSGALG00010013213	SH2D1A	44.27	20.9677	49.28	44.27	32	49.28	265	[0,25)	0–25%	0–25%
ENSGALG00010013329	ENSGALG00010020457	IL5RA	42.94	13.6792	40.96	42.94	28	40.96	114	[0,25)	0–25%	0–25%
ENSGALG00010013329	ENSGALG00010018665	IL13RA2	48.98	10.6426	40.96	48.98	41	40.96	114	[0,25)	0–25%	0–25%
ENSGALG00010013340	ENSGALG00010023957	YBX3	42.27	20.6186	41.46	42.27	23	41.46	120	[0,25)	0–25%	0–25%
ENSGALG00010013344	ENSGALG00010018665	IL13RA2	48.98	10.6426	39.94	48.98	41	39.94	85	[0,25)	0–25%	0–25%
ENSGALG00010013344	ENSGALG00010020457	IL5RA	42.94	12.0283	39.94	42.94	28	39.94	85	[0,25)	0–25%	0–25%
