# klumpy scan_alignments --alignment_map SRR8468524_subreads.bam --threads 32 --annotation /media/lokdeep/sdf/BUDDHA/BMCBIO/IL34_long_read_verification/Podarcis_muralis/GCF_004329235.1_PodMur_1.0_genomic.gtf
Region_Number	Reference_Seq	Start	End	Number_of_Groups	Genes
20	NC_041319.1	5375000	5500000	4,4,5,4	LOC114603193,LOC114603194,PLD3,HIPK4,LOC114603195,LOC114603659,CAPN12
21	NC_041319.1	5600000	5675000	3,3	BICRA,ZNF541,LOC114603202,NAPA
22	NC_041319.1	5700000	5875000	2,6,6,5,3	KPTN,SLC8A2
23	NC_041319.1	5925000	6075000	3,3,2,1,3	LOC114603210,LOC114602061
24	NC_041319.1	6300000	6375000	10,9	RASGRP4,RYR1
25	NC_041319.1	6525000	6600000	5,5	RYR1,LOC114603222,MAP4K1
26	NC_041319.1	6675000	6750000	2,3	ACTN4
27	NC_041319.1	7125000	7200000	2,2	LOC114602064,LOC114603236
28	NC_041319.1	7400000	7475000	3,3	NOVA2,MYPOP
29	NC_041319.1	7750000	7825000	5,5	BHMG1,LOC114603008,SNRPD2,LOC114603273
30	NC_041319.1	7850000	7925000	2,2	HIF3A
31	NC_041319.1	8100000	8175000	2,3	PTGIR
32	NC_041319.1	8425000	8525000	6,6,2	SLC1A5,AP2S1,ARHGAP35
33	NC_041319.1	9325000	9400000	3,4	TGFB1
34	NC_041319.1	10075000	10175000	1,4,2	TOMM40,NECTIN2,LOC114603677
35	NC_041319.1	10450000	10525000	5,3	LOC114603342,CEACAM20
36	NC_041319.1	10950000	11025000	3,3	LOC114603356,LOC114603357,CD79A,ARHGEF1
37	NC_041319.1	11425000	11500000	3,3	GRIK5,ZNF574,POU2F2
38	NC_041319.1	11900000	12050000	2,4,6,5,3	LOC114602173,LOC114603390,LOC114603387,LOC114603391,LOC114602175,LOC114603392,LOC114603389,LOC114603393,LOC114603016,RPS19
39	NC_041319.1	12350000	12425000	5,4	LOC114603489,LOC114603410,LOC114603404,LOC114601486
40	NC_041319.1	12575000	12650000	10,14	LOC114602187,LOC114602190
41	NC_041319.1	12675000	12775000	7,7,1	LOC114603105,LOC114603409,LOC114603271
42	NC_041319.1	12900000	12950000	7	LOC114602193
43	NC_041319.1	12975000	13050000	4,2	LOC114602995
44	NC_041319.1	13150000	13225000	8,9	LOC114602881
45	NC_041319.1	13700000	13775000	3,5	LOC114602220
46	NC_041319.1	14600000	14675000	3,7	LOC114603422,LOC114603424,LOC114602259,LOC114603423
47	NC_041319.1	14700000	14825000	13,12,4	LYPD3,LOC114603427,LOC114603429,LOC114603428,LOC114602886,LOC114603430,LOC114603058
48	NC_041319.1	14875000	14950000	10,13	LOC114603431,LOC114603438,LOC114603452,LOC114603459,LOC114603457
49	NC_041319.1	15075000	15150000	4,3	LOC114603449,LOC114603456
50	NC_041319.1	15225000	15350000	2,4,6,7	LOC114603455,LOC114603461,LOC114603462,LOC114603460,LOC114602278
51	NC_041319.1	15550000	15625000	2,5	LOC114603433,LOC114603436,LOC114602283,LOC114603441,LOC114602286,LOC114603443,LOC114603435,LOC114603437
52	NC_041319.1	15675000	15750000	2,2	LOC114603469,LOC114603466,LOC114603471,LOC114603476,LOC114602287,LOC114602288,LOC114603468,LOC114603472
53	NC_041319.1	16475000	16625000	2,1,4,5	LOC114603490,IGLON5
54	NC_041319.1	16750000	16825000	5,5	ETFB,LOC114603000,LOC114603494,LOC114603115,LOC114602646,LOC114603495
55	NC_041319.1	16850000	16925000	3,2	LOC114603496,LOC114602340
56	NC_041319.1	17250000	17325000	3,3	LOC114603504,LOC114602372,LOC114603588
57	NC_041319.1	17375000	17450000	4,6	LOC114602885,LOC114602375
58	NC_041319.1	17475000	17550000	3,4	LOC114603508,LOC114603507,LOC114603510,LOC114601478
59	NC_041319.1	17825000	17950000	3,4,2,3	ATP4A,TMEM147,LOC114603520,LOC114603521
60	NC_041319.1	18400000	18475000	7,8	LOC114603545,LOC114603544,LOC114603547,LOC114603546
61	NC_041319.1	18500000	18575000	8,1	LOC114602404,LOC114603548,LOC114603549,LOC114602407,LOC114602409,LOC114603550,LOC114603552
62	NC_041319.1	18600000	18700000	1,3,4	LOC114603249,LOC114603049,LOC114602411,LOC114602412,LOC114602414
63	NC_041319.1	19075000	19150000	4,5	LOC114603554,LOC114602436,LOC114602887
64	NC_041319.1	19375000	19525000	3,2,3,3	LOC114602891,NPHS1,KIRREL2
65	NC_041319.1	20725000	20800000	3,4	PPP1R8,STX12,CITED4
66	NC_041319.1	22000000	22100000	10,5,3	LOC114603614,SERINC2
67	NC_041319.1	23400000	23475000	3,3	PTPRU
68	NC_041319.1	23625000	23700000	4,4	MECR,LOC114602899,SRSF4
69	NC_041319.1	23750000	23825000	2,2	LOC114602900
70	NC_041319.1	23950000	24025000	5,5	EPB41
71	NC_041319.1	24050000	24125000	3,4	LOC114603633,TRNAU1AP,LOC114603663,LOC114603667,LOC114603669,LOC114603675,RAB42,LOC114601472,TAF12,LOC114603672,LOC114601474
72	NC_041319.1	24150000	24225000	4,3	LOC114601474,LOC114601475,LOC114601476
73	NC_041319.1	24475000	24550000	2,2	ID3,LOC114601482,E2F2
74	NC_041319.1	24725000	24825000	4,3,2	LOC114603140,LOC114602322
75	NC_041319.1	26000000	26150000	4,4,4,4	SLC9A1,LOC114601512,TENT5B
76	NC_041319.1	27250000	27325000	1,2	EXTL1,PAFAH2,LOC114601550
77	NC_041319.1	27575000	27650000	3,4	MAN1C1,LDLRAP1
78	NC_041319.1	27825000	27975000	11,11,4,3	TMEM50A,RSRP1,SYF2,LOC114601564,LOC114602902
79	NC_041319.1	28375000	28450000	3,5	GRHL3
80	NC_041319.1	28550000	28750000	2,12,11,10,2,4,5	MYOM3,LOC114602903,LOC114601580,LOC114603020,LOC114601581,LOC114601582,LOC114601583,LOC114601584,PNRC2
81	NC_041319.1	29025000	29075000	3	MFSD2A
82	NC_041319.1	29150000	29225000	3,2	LOC114601605,LOC114602904
83	NC_041319.1	29800000	29925000	5,3,2,5	COL8A2,LOC114601622
84	NC_041319.1	29950000	30050000	6,7,2	TRAPPC3,LOC114601628,LOC114601629,LOC114601627
85	NC_041319.1	30150000	30225000	3,4	ZMYM4,SFPQ,TMEM35B
86	NC_041319.1	31650000	31725000	5,4	RIMS3,NFYC
87	NC_041319.1	31950000	32025000	4,5	PEF1,LOC114601655,LOC114601652,COL16A1
88	NC_041319.1	32250000	32325000	16,17	ADGRB2
89	NC_041319.1	33875000	33950000	5,4	HPCA,FNDC5
90	NC_041319.1	34025000	34100000	3,2	KIAA1522
91	NC_041319.1	34200000	34325000	4,3,5,4	BSDC1,LOC114601719,LOC114601720,LOC114601726,FAM229A,LOC114602909,LOC114601722
92	NC_041319.1	34350000	34425000	4,2	DCDC2B,LOC114601727,LOC114601729,EVA1B,LOC114601732,STK40
93	NC_041319.1	34500000	34550000	4	CSF3R
94	NC_041319.1	35025000	35125000	2,2,1	GRIK3
95	NC_041319.1	35900000	35975000	1,2	RHBDL2,POLR2C,LOC114601768,NUP93
96	NC_041319.1	36025000	36125000	1,5,2	SLC12A3,LOC114601771,LOC114601772,CETP,NLRC5
97	NC_041319.1	36275000	36375000	2,3,3	FAM192A,RSPRY1,LOC114601781,ARL2BP,PLLP,TRNAL-CAG_1
98	NC_041319.1	36575000	36650000	11,6	CCDC102A
99	NC_041319.1	38200000	38275000	2,8	UBA2,WTIP,LOC114603647
100	NC_041319.1	39150000	39225000	4,4	SF3B3,LOC114603676,LOC114601863,LOC114601865,FCSK,ST3GAL2
101	NC_041319.1	39650000	39725000	4,4	LOC114601889,LOC114602913,LOC114601892,LOC114601893,LOC114601894,BBS2
102	NC_041319.1	40450000	40525000	1,2	NECAB2
103	NC_041319.1	42725000	42800000	4,6	MAF
104	NC_041319.1	42900000	43125000	3,5,6,6,6,5,5	WWOX
105	NC_041319.1	43300000	43375000	3,4	WWOX
106	NC_041319.1	43500000	43600000	4,3,4	VAT1L,NUDT7,LOC114601960
107	NC_041319.1	47125000	47200000	3,3	NAE1,LOC114601996,CA7,PDP2
108	NC_041319.1	47775000	47850000	5,5	CARMIL2,CTCF,LOC114602032,RIPOR1
109	NC_041319.1	49950000	50025000	1,2	BANP
110	NC_041319.1	50425000	50500000	14,16	ZFPM1,TRNAA-UGC_22,LOC114602121
111	NC_041319.1	51225000	51325000	7,7,9	ANKRD11
112	NC_041319.1	51800000	51875000	8,3	LOC114602158,LOC114602159,LOC114602157
113	NC_041319.1	53275000	53350000	5,9	ATP2C2
114	NC_041319.1	53375000	53450000	4,4	RPGRIP1L
115	NC_041319.1	54300000	54350000	8	LOC114602198
116	NC_041319.1	54550000	54600000	2	IRX6
117	NC_041319.1	55400000	55475000	4,4	CDH13
118	NC_041319.1	55700000	55800000	4,5,3	CDH13
119	NC_041319.1	55975000	56075000	6,6,9	LOC114602213,LOC114602930,LOC114602931
120	NC_041319.1	56475000	56525000	3	SALL1
121	NC_041319.1	57250000	57350000	13,5,1	LOC114602224,CHD9
122	NC_041319.1	57825000	58000000	4,3,2,4,4	ADCY7,TENT4B,HEATR3,LOC114602233,LOC114602235
123	NC_041319.1	58400000	58450000	1	C8H16orf78
124	NC_041319.1	58825000	58875000	6	N4BP1
125	NC_041319.1	63100000	63275000	2,2,12,13,2	EXOSC6,AARS,LOC114602933,LOC114602934,LOC114602318,LOC114602935,LOC114602936,LOC114602319
126	NC_041319.1	63550000	63675000	7,14,15,7	PHC2,ZNF362,LRRC47,CEP104
127	NC_041319.1	63975000	64025000	6	LOC114602938
128	NC_041319.1	64525000	64600000	3,3	LOC114603142,TRNAK-CUU_27
129	NC_041319.1	64625000	64725000	2,6,4	NPHP4,LOC114602939,LOC114602343
130	NC_041319.1	64900000	64975000	4,3	CHD5,RPL22,RNF207,ICMT
131	NC_041319.1	65525000	65600000	7,8	DNAJC11,CAMTA1
132	NC_041319.1	66400000	66475000	2,4	ERRFI1,LOC114602943,TRNAI-UAU_4
133	NC_041319.1	66725000	66800000	5,5	UBXN10,FAM43B,LOC114602944
134	NC_041319.1	66925000	67025000	3,3,1	EFHD2,LOC114602397,LOC114602398,LOC114602945,LOC114602399,LOC114602402,TMEM51
135	NC_041319.1	67225000	67300000	3,4	LOC114602403
136	NC_041319.1	67600000	67675000	7,7	LOC114602948,LOC114602413,LOC114603186
137	NC_041319.1	67950000	68050000	1,3,4	FAM178B,TRNAK-CUU_28
138	NC_041319.1	68825000	69025000	15,6,5,3,5,11	LOC114602443,LOC114602445,LOC114602446,LOC114602448,LOC114602447,LOC114603209,LOC114603211
139	NC_041319.1	70725000	70800000	4,4	ENO1,RERE
140	NC_041319.1	71500000	71575000	4,3	NOC2L,KLHL17,PLEKHN1
141	NC_041319.1	72625000	72775000	3,3,4,3	C1QTNF12,SCNN1D,LOC114602953,ACAP3
142	NC_041319.1	72950000	73025000	8,2	PUSL1,LOC114602513,LOC114602516,CPTP,TAS1R3
143	NC_041319.1	73250000	73350000	10,16,8	CCNL2,MRPL20,ANKRD65,LOC114602525,LOC114602526,TMEM88B
144	NC_041319.1	73375000	73450000	3,3	LOC114602528,VWA1
145	NC_041319.1	73650000	73725000	2,4	SSU72,LOC114602536,FNDC10,LOC114602955
146	NC_041319.1	73825000	73900000	3,3	MMP23B,CDK11A,LOC114602543
147	NC_041319.1	74800000	74900000	4,2,3	LOC114602559,LOC114602558,LOC114602557,MORN1
148	NC_041319.1	75075000	75150000	6,3	PLCH2
149	NC_041319.1	76050000	76125000	4,6	PRDM16
150	NC_041319.1	76350000	76450000	3,3,2	PRDM16,ARHGEF16,LOC114602578,MEGF6
151	NC_041319.1	76650000	76725000	3,3	MEGF6,TPRG1L,WRAP73,TP73
152	NC_041319.1	76800000	76975000	4,5,6,13,10,8	TP73,LOC114602584,CCDC27,LOC114602958,LOC114602959,LOC114602960,LOC114603244,LOC114603245,LOC114602961,LOC114603246,LOC114602962,LOC114603247,LOC114603248
153	NC_041319.1	77000000	77175000	6,5,5,11,6	LOC114602585,LOC114602586,LACTBL1,EPHB2
154	NC_041319.1	77250000	77300000	9	LOC114602965
155	NC_041319.1	78300000	78450000	5,8,6,1	FER1L5,NEURL3,LOC114602969,ARID5A
156	NC_041319.1	78625000	78725000	13,14,10	LOC114602613,LOC114603264,LOC114602620,NCAPH,ITPRIPL1
157	NC_041319.1	79150000	79225000	2,2	LOC114602631,ADRA2B,ASTL,DUSP2,LOC114602633
158	NC_041319.1	79375000	79450000	4,10	SNRNP200,SFTPB,USP39
159	NC_041319.1	79550000	79625000	1,2	ADD2,LOC114602643,LOC114602971,LOC114602648,LOC114602647
160	NC_041319.1	79975000	80050000	6,4	LOC114602651,LOC114603275,SLC4A5
161	NC_041319.1	80425000	80500000	30,25	GGCX,ANTXR1
162	NC_041319.1	80550000	80625000	2,2	ANTXR1,GFPT1
163	NC_041319.1	81125000	81225000	5,2	LOC114602682,MXD1,SNRNP27
164	NC_041319.1	81250000	81375000	2,3,3,3	TMEM150A,RNF181,VAMP8,GKN1,GKN2
165	NC_041319.1	81475000	81550000	3,2	CDS2,LOC114602693,LOC114602694,TMEM230
166	NC_041319.1	81625000	81975000	1,3,3,6,5,4,3,5,4,3,3	SLC23A2,LOC114602975,RASSF2,LOC114602699,LOC114602976,LOC114602977,SFTPC,LGI3,REEP4,NUDT18,FAM160B2,NDUFA10,LOC114602706,LOC114602705,DMTN,LOC114602708
167	NC_041319.1	82000000	82100000	3,9,9	DMTN,PBDC1,LOC114602709,XPO7
168	NC_041319.1	82250000	82300000	2	LOC114602978,GFRA2
169	NC_041319.1	82975000	83100000	3,3,13,13	PSD4,PAX8,VPS29,RAD9B,PPTC7
170	NC_041319.1	83200000	83350000	4,4,3,3	PPP1CC,CCDC63,MYL2,CUX2
171	NC_041319.1	83775000	83850000	2,2	BRAP,ACAD10,ALDH2
172	NC_041319.1	84250000	84550000	3,4,3,3,5,6,4,3,3	RPL6,PTPN11,LOC114602757,LOC114602754,LOC114602755,LOC114602758,RPH3A,WSCD2
173	NC_041319.1	85575000	85675000	2,4,3	ECE1,ALPL
174	NC_041319.1	85700000	85775000	3,3	ALPL,RAP1GAP
175	NC_041319.1	85850000	85925000	2,3	RAP1GAP,USP48
176	NC_041319.1	86050000	86175000	6,9,13,25	CLCN6,LOC114602982,LOC114602805,LOC114602804,LOC114602806,LOC114602803
177	NC_041319.1	86775000	86850000	6,12	HSPG2,LOC114602822,LOC114602823,LOC114602824,LOC114602825
178	NC_041319.1	86925000	87000000	12,6	ZMAT4
179	NC_041319.1	87150000	87200000	7	ZMAT4
180	NC_041319.1	87525000	87600000	6,5	ANK1
181	NC_041319.1	87725000	87800000	3,2	LOC114602984,LOC114602985
182	NC_041319.1	87950000	88075000	8,15,31,29	IKBKB,LOC114602843,LOC114602844,LOC114602845,LOC114602846,LOC114602986,VDAC3
183	NC_041319.1	88175000	88250000	3,3	LOC114602850,LOC114602987,LOC114602851,LOC114602852,LOC114602853,LOC114602854
184	NC_041319.1	88350000	88425000	3,9	ARHGEF10L
185	NC_041319.1	88450000	88575000	5,8,7,3	ARHGEF10L
186	NC_041319.1	88625000	88800000	3,2,8,10,4	IGSF21
187	NC_041319.1	88950000	89025000	3,2	LOC114602989,LOC114602858,TRNAL-GAG,LOC114603361
188	NC_041319.1	89050000	89150000	15,8,3	LOC114603362,PAX7
189	NC_041319.1	89375000	89450000	4,5	TAS1R2,ALDH4A1,IFFO2
190	NC_041319.1	89650000	89800000	7,17,14,6	UBR4,EMC1,LOC114603369,LOC114602864,PQLC2
191	NC_041319.1	89925000	90000000	17,8	LOC114602869,LOC114602870,HTR6
192	NC_041319.1	90225000	90350000	6,20,26	PLOD1,KIAA2013,LOC114602992
