Group	Order	Species_name	IL34_status	Num_Gaps	COG4_SF3B3	COG4_MTSS2	COG4_VAC14	SF3B3_MTSS2	SF3B3_VAC14	MTSS2_VAC14
Chondrichthyes	Myliobatiformes	Mobula_hypostoma	1	0	25707	417330	672027	337202	591899	70207
Chondrichthyes	Rhinopristiformes	Pristis_pectinata	1	0	11747	271463	470426	219348	418311	50310
Mammalia	Carnivora	Acinonyx_jubatus	1	0	4255	135422	158808	88558	111944	2110
Mammalia	Rodentia	Acomys_russatus	1	0	2821	104209	122637	63582	82010	1716
Mammalia	Rodentia	Apodemus_sylvaticus	1	0	2540	111069	130386	74741	94058	1731
Mammalia	Rodentia	Arvicanthis_niloticus	1	0	2573	108209	127418	70147	89356	1735
Mammalia	Rodentia	Arvicola_amphibius	1	0	2615	103867	123440	65281	84854	1785
Mammalia	Artiodactyla	Balaenoptera_acutorostrata	1	0	2872	124407	145178	74439	95210	2144
Mammalia	Artiodactyla	Balaenoptera_musculus	1	0	3196	120354	141129	72961	93736	2150
Mammalia	Artiodactyla	Bubalus_bubalis	1	0	3552	110062	130598	71349	91885	1626
Mammalia	Artiodactyla	Budorcas_taxicolor	1	0	3582	110354	128961	71515	90122	1580
Mammalia	Artiodactyla	Capra_hircus	1	0	3555	110707	129467	71906	90666	1597
Mammalia	Artiodactyla	Cervus_elaphus	1	0	3720	119251	137698	80800	99247	1594
Mammalia	Rodentia	Chionomys_nivalis	1	0	2922	103209	122252	62070	81113	1763
Mammalia	Rodentia	Cricetulus_griseus	1	0	2939	110064	129310	72663	91909	1571
Mammalia	Artiodactyla	Dama_dama	1	0	3714	118220	136592	79710	98082	1600
Mammalia	Chiroptera	Desmodus_rotundus	1	0	3619	111320	127943	70224	86847	1962
Mammalia	Proboscidea	Elephas_maximus	1	0	2621	139376	160692	87159	108475	1972
Mammalia	Chiroptera	Eptesicus_fuscus	1	0	4665	124782	140845	81016	97079	1888
Mammalia	Artiodactyla	Eschrichtius_robustus	1	0	2875	121044	141832	73590	94378	2150
Mammalia	Artiodactyla	Eubalaena_glacialis	1	0	2890	121492	142368	75289	96165	2305
Mammalia	Carnivora	Felis_catus	1	0	4184	140053	163376	92537	115860	2106
Mammalia	Artiodactyla	Globicephala_melas	1	0	2894	114633	135337	67676	88380	2130
Mammalia	Artiodactyla	Hippopotamus_amphibius	1	0	3390	109281	129556	67464	87739	2115
Mammalia	Artiodactyla	Lagenorhynchus_albirostris	1	0	2885	116130	136827	67936	88633	2121
Mammalia	Primates	Lemur_catta	1	0	3077	103258	123101	60170	80013	1943
Mammalia	Carnivora	Leopardus_geoffroyi	1	0	4465	134748	158147	86315	109714	2129
Mammalia	Lagomorpha	Lepus_europaeus	1	0	3080	131867	151785	73657	93575	1856
Mammalia	Carnivora	Lynx_canadensis	1	0	4203	136162	159569	89174	112581	2110
Mammalia	Pholidota	Manis_pentadactyla	1	0	4478	125952	147079	65204	86331	1902
Mammalia	Rodentia	Marmota_flaviventris	1	0	2946	121589	142236	72885	93532	1983
Mammalia	Rodentia	Meriones_unguiculatus	1	0	2696	98334	117716	62854	82236	1763
Mammalia	Artiodactyla	Mesoplodon_densirostris	1	0	2861	120806	141715	73337	94246	2158
Mammalia	Primates	Microcebus_murinus	1	0	3008	120680	141623	65726	86669	1766
Mammalia	Rodentia	Mus_musculus	1	0	2519	107974	127082	71864	90972	1753
Mammalia	Carnivora	Neofelis_nebulosa	1	0	4272	137995	161320	90125	113450	2121
Mammalia	Lagomorpha	Ochotona_princeps	1	0	2488	107740	125422	64112	81794	1911
Mammalia	Artiodactyla	Orcinus_orca	1	0	2885	115671	136347	67696	88372	2120
Mammalia	Lagomorpha	Oryctolagus_cuniculus	1	0	3081	130491	151268	69531	90308	1848
Mammalia	Artiodactyla	Ovis_aries	1	0	3557	110241	129100	71416	90275	1607
Mammalia	Artiodactyla	Ovis_canadensis	1	0	3559	112508	131495	73740	92727	1607
Mammalia	Carnivora	Panthera_onca	1	0	4274	117473	140604	74299	97430	2122
Mammalia	Rodentia	Peromyscus_leucopus	1	0	2672	105515	125740	66230	86455	1783
Mammalia	Rodentia	Peromyscus_maniculatus	1	0	2693	105112	125988	65418	86294	1764
Mammalia	Artiodactyla	Phacochoerus_africanus	1	0	3846	137993	159401	83607	105015	2094
Mammalia	Artiodactyla	Phocoena_phocoena	1	0	2879	113925	134568	67094	87737	2118
Mammalia	Artiodactyla	Phocoena_sinus	1	0	2873	114442	135071	67364	87993	2112
Mammalia	Chiroptera	Phyllostomus_discolor	1	0	3846	110946	127433	68880	85367	1910
Mammalia	Carnivora	Prionailurus_bengalensis	1	0	4218	137249	160636	89561	112948	2115
Mammalia	Artiodactyla	Pseudorca_crassidens	1	0	2893	115634	136325	67596	88287	2157
Mammalia	Rodentia	Rattus_norvegicus	1	0	2485	108311	129043	71222	91954	1739
Mammalia	Chiroptera	Saccopteryx_bilineata	1	0	2319	136744	152561	92153	107970	1918
Mammalia	Chiroptera	Saccopteryx_leptura	1	0	2339	139920	155960	91247	107287	1933
Mammalia	Rodentia	Sciurus_carolinensis	1	0	3139	127820	147510	80368	100058	1947
Mammalia	Eulipotyphla	Sorex_araneus	1	0	3632	101479	118630	60834	77985	1587
Mammalia	Eulipotyphla	Suncus_etruscus	1	0	4082	123890	143988	67469	87567	1594
Mammalia	Artiodactyla	Sus_scrofa	1	0	3592	138454	159795	84678	106019	2026
Mammalia	Artiodactyla	Tursiops_truncatus	1	0	2888	114036	134721	65986	86671	2135
Mammalia	Carnivora	Ursus_arctos	1	0	3755	105308	124905	64377	83974	2083
Squamata	Squamata	Heteronotia_binoei	0	0	1756	60830	150297	5852	95319	5404
Squamata	Squamata	Lacerta_agilis	0	0	2430	39881	100386	6643	67148	2783
Squamata	Squamata	Podarcis_raffonei	0	0	2447	38023	95127	6567	63671	2807
Squamata	Squamata	Sphaerodactylus_townsendi	0	0	2320	39573	118440	4692	83559	5092
Squamata	Squamata	Zootoca_vivipara	0	0	2562	42493	104062	6611	68180	2768
Testudines	Testudines	Caretta_caretta	1	0	3927	400393	506916	435501	542024	25257
Testudines	Testudines	Chelonia_mydas	1	0	3444	431665	531789	466358	566482	25303
Testudines	Testudines	Gopherus_flavomarginatus	1	0	3279	518246	617611	550809	650174	18636
Testudines	Testudines	Malaclemys_terrapin	1	0	3596	479157	590007	512022	622872	21688
Testudines	Testudines	Mauremys_reevesii	1	0	3562	393861	509068	424840	540047	24589
