Group	Order	Species_name	IL34_status	Num_Gaps	COG4_SF3B3	COG4_MTSS2	COG4_VAC14	SF3B3_MTSS2	SF3B3_VAC14	MTSS2_VAC14	Repeat_COG4_SF3B3	Repeat_COG4_MTSS2	Repeat_COG4_VAC14	Repeat_SF3B3_MTSS2	Repeat_SF3B3_VAC14	Repeat_MTSS2_VAC14
Amphibia	Gymnophiona	Rhinatrema_bivittatum	Intact	8	9221	27193834	27534600	26946598	27287364	76112	498	2470280	2509827	2446212	2484337	3874
Amphibia	Anura	Spea_bombifrons	Intact	0	1013	25699	51165	14507	39973	3088	0	0	255	0	255	0
Amphibia	Anura	Xenopus_tropicalis	Intact	0	3446	131615	220477	91400	180262	30288	0	4610	5340	3561	4079	59
Aves	Anseriformes	Anas_acuta	Intact	0	577	37403	48456	11794	22847	2900	0	79	79	79	79	0
Aves	Anseriformes	Anas_platyrhynchos	Intact	0	584	37546	48752	11999	23205	2868	0	76	76	76	76	0
Aves	Anseriformes	Anser_cygnoides	Intact	0	580	37146	48358	11818	23030	4287	0	76	76	76	76	0
Aves	Passeriformes	Aphelocoma_coerulescens	Intact	0	1081	43546	57928	14678	29060	2652	0	64	64	0	0	0
Aves	Apterygiformes	Apteryx_mantelli	Intact	0	1173	52227	72299	21489	41561	3889	0	0	58	0	0	0
Aves	Apodiformes	Apus_apus	Intact	1	787	32520	42683	140	10303	7819	0	4361	4328	0	0	0
Aves	Accipitriformes	Aquila_chrysaetos	Intact	0	1192	46873	61514	17205	31846	2822	0	632	0	0	0	0
Aves	Anseriformes	Aythya_fuligula	Intact	0	588	35146	46185	11091	22130	2931	0	17	17	17	17	0
Aves	Columbiformes	Caloenas_nicobarica	Intact	0	1585	46044	60944	16581	31481	2680	400	514	1075	0	675	0
Aves	Apodiformes	Calypte_anna	Intact	0	881	51373	66641	17234	32502	2704	0	7338	8564	2331	3537	0
Aves	Passeriformes	Camarhynchus_parvulus	Intact	0	1040	43002	56629	14473	28100	2555	0	187	187	0	0	0
Aves	Charadriiformes	Chroicocephalus_ridibundus	Intact	0	1138	49920	65128	19933	35141	3141	0	654	666	0	0	0
Aves	Coliiformes	Colius_striatus	Intact	0	1064	45873	59645	14692	28464	3012	0	3122	2991	418	418	0
Aves	Columbiformes	Columba_livia	Intact	0	1426	45266	60025	16026	30785	2715	402	429	983	0	581	0
Aves	Passeriformes	Corvus_cornix	Intact	0	1074	43455	57772	14639	28956	2639	0	64	128	0	0	0
Aves	Passeriformes	Corvus_hawaiiensis	Intact	0	1077	43516	57871	14647	29002	2639	0	64	64	0	0	0
Aves	Passeriformes	Corvus_moneduloides	Intact	0	1077	43515	57910	14640	29035	2645	0	64	64	0	0	0
Aves	Galliformes	Coturnix_japonica	Intact	0	1136	37547	49430	10628	22511	2136	151	278	431	60	60	0
Aves	Anseriformes	Cygnus_atratus	Intact	0	578	36556	47662	11299	22405	3076	0	89	89	89	89	0
Aves	Anseriformes	Cygnus_olor	Intact	0	582	36638	47537	11335	22234	3043	0	106	106	106	106	0
Aves	Casuariiformes	Dromaius_novaehollandiae	Intact	0	1198	49411	70178	19057	39824	3397	0	224	108	108	108	0
Aves	Falconiformes	Falco_rusticolus	Intact	0	1120	43615	57895	13470	27750	2645	0	0	0	0	0	0
Aves	Gaviiformes	Gavia_stellata	Intact	0	1294	47596	62601	17881	32886	2748	0	180	131	0	0	0
Aves	Gruiformes	Grus_americana	Intact	0	1212	46815	61334	18069	32588	2846	0	0	0	0	0	0
Aves	Accipitriformes	Gymnogyps_californianus	Intact	0	3659	50804	65809	17858	32863	2861	0	0	0	0	0	0
Aves	Apodiformes	Heliangelus_exortis	Intact	0	850	55761	71241	17719	33199	5545	0	9336	10404	2126	3313	0
Aves	Passeriformes	Hirundo_rustica	Intact	0	1084	43154	56924	14568	28338	2638	0	144	144	80	80	0
Aves	Piciformes	Indicator_indicator	Intact	1	5388	74744	92615	22654	40525	3472	2186	22035	22064	2170	3552	248
Aves	Galliformes	Lagopus_muta	Intact	0	1449	39393	51386	11526	23519	2255	252	319	393	0	74	0
Aves	Psittaciformes	Melopsittacus_undulatus	Intact	0	1103	44640	58416	14629	28405	2490	0	638	824	271	271	0
Aves	Passeriformes	Molothrus_aeneus	Intact	0	1065	43338	57124	14759	28545	2649	0	64	64	0	0	0
Aves	Passeriformes	Molothrus_ater	Intact	0	1065	43288	57078	14743	28533	2647	0	64	164	0	0	0
Aves	Galliformes	Numida_meleagris	Intact	4	1216	39467	51972	11625	24130	1005	60	264	337	129	264	0
Aves	Passeriformes	Oenanthe_melanoleuca	Intact	0	1084	42970	56600	14387	28017	2618	0	164	242	0	0	0
Aves	Columbiformes	Patagioenas_fasciata	Intact	0	1427	45263	60083	15976	30796	2737	402	647	1323	0	676	0
Aves	Cuculiformes	Phaenicophaeus_curvirostris	Intact	0	1020	49601	66153	20330	36882	4228	0	3075	4336	2239	3581	0
Aves	Passeriformes	Pithys_albifrons	Intact	0	1114	43553	57707	14394	28548	2720	0	290	314	0	0	0
Aves	Passeriformes	Prinia_subflava	Intact	0	1070	43454	57166	14748	28460	2628	0	154	172	0	0	0
Aves	Passeriformes	Pseudopipra_pipra	Intact	0	1108	50232	64249	21472	35489	2711	0	95	291	95	291	0
Aves	Rheiformes	Rhea_pennata	Intact	0	1098	42995	59865	12638	29508	2773	0	15	15	15	15	0
Aves	Charadriiformes	Rissa_tridactyla	Intact	0	1136	47909	63289	17950	33330	3131	0	652	664	0	0	0
Aves	Psittaciformes	Strigops_habroptila	Intact	1	1046	51571	61316	23245	32990	2546	0	465	474	0	0	0
Aves	Struthioniformes	Struthio_camelus	Intact	0	1168	53225	79071	21082	46928	4465	0	1415	1415	81	81	0
Chondrichthyes	Rajiformes	Amblyraja_radiata	Intact	0	11468	199525	362757	148556	311788	34863	3158	16955	33440	12688	29173	2803
Chondrichthyes	Myliobatiformes	Mobula_hypostoma	Intact	0	25707	417330	672027	337202	591899	70207	4046	56917	88112	47273	78547	9021
Chondrichthyes	Torpediniformes	Narcine_bancroftii	Intact	0	73603	417731	693277	295112	570658	58945	20184	50801	89150	27008	64775	4648
Chondrichthyes		Pristiophorus_japonicus	Intact	2	37247	566810	888078	472392	793660	123103	7683	102498	169215	84547	147530	26718
Chondrichthyes	Rhinopristiformes	Pristis_pectinata	Intact	0	11747	271463	470426	219348	418311	50310	1032	33786	52396	32568	51056	4648
Chondrichthyes	Carcharhiniformes	Scyliorhinus_canicula	Intact	0	45011	606159	930071	491197	815109	122600	1419	67186	101316	54783	87435	13387
Crocodilia	Crocodylia	Alligator_mississippiensis	Intact	0	1962	4037514	3815342	3987177	3765005	15667	0	606344	571084	601939	563734	3213
Mammalia	Carnivora	Acinonyx_jubatus	Intact	0	4255	135422	158808	88558	111944	2110	1652	60874	68064	46494	53448	0
Mammalia	Rodentia	Acomys_russatus	Intact	0	2821	104209	122637	63582	82010	1716	411	44657	48431	30929	33736	0
Mammalia	Carnivora	Ailuropoda_melanoleuca	Intact	5	4194	115593	135959	67484	87850	6390	1439	44854	49417	27336	32095	554
Mammalia	Rodentia	Apodemus_sylvaticus	Intact	0	2540	111069	130386	74741	94058	1731	347	41278	44901	31540	34893	0
Mammalia	Rodentia	Arvicanthis_niloticus	Intact	0	2573	108209	127418	70147	89356	1735	366	36379	40748	25989	29981	0
Mammalia	Rodentia	Arvicola_amphibius	Intact	0	2615	103867	123440	65281	84854	1785	229	38414	42368	27088	31336	0
Mammalia	Artiodactyla	Balaenoptera_acutorostrata	Intact	0	2872	124407	145178	74439	95210	2144	657	49236	54636	33613	38989	0
Mammalia	Artiodactyla	Balaenoptera_musculus	Intact	0	3196	120354	141129	72961	93736	2150	1028	46147	52567	31325	36217	0
Mammalia	Artiodactyla	Bos_mutus	Intact	0	3573	109688	130243	70923	91478	1450	974	38999	44951	30133	35268	0
Mammalia	Artiodactyla	Bubalus_bubalis	Intact	0	3552	110062	130598	71349	91885	1626	965	39035	44855	30449	35412	0
Mammalia	Artiodactyla	Budorcas_taxicolor	Intact	0	3582	110354	128961	71515	90122	1580	1010	40183	43261	30470	33325	0
Mammalia	Primates	Callithrix_jacchus	Intact	0	4279	132998	156756	85666	109424	6247	2207	65096	74275	45762	54679	288
Mammalia	Artiodactyla	Camelus_ferus	Intact	0	1224	101168	121382	57320	77534	2121	91	32538	37438	20549	25421	0
Mammalia	Artiodactyla	Capra_hircus	Intact	0	3555	110707	129467	71906	90666	1597	968	39771	43142	29905	33420	0
Mammalia	Artiodactyla	Cervus_canadensis	Intact	1	3720	118002	136467	79557	98022	1594	1330	44651	48646	35120	39151	0
Mammalia	Artiodactyla	Cervus_elaphus	Intact	0	3720	119251	137698	80800	99247	1594	1330	47823	51594	38262	42042	0
Mammalia	Rodentia	Chionomys_nivalis	Intact	0	2922	103209	122252	62070	81113	1763	640	39713	42849	25878	29480	0
Mammalia	Pilosa	Choloepus_didactylus	Intact	0	1470	142375	164230	78512	100367	1941	571	69981	76147	39810	44829	0
Mammalia	Rodentia	Cricetulus_griseus	Intact	0	2939	110064	129310	72663	91909	1571	1108	42868	47869	31342	35943	0
Mammalia	Dermoptera	Cynocephalus_volans	Intact	0	3202	112173	136830	71632	96289	5734	1035	43192	48440	33249	39003	206
Mammalia	Artiodactyla	Dama_dama	Intact	0	3714	118220	136592	79710	98082	1600	1331	47669	51809	38069	42138	0
Mammalia	Cingulata	Dasypus_novemcinctus	Intact	1	1837	139521	162392	81581	104452	1902	534	62926	68861	37557	44082	0
Mammalia	Chiroptera	Desmodus_rotundus	Intact	0	3619	111320	127943	70224	86847	1962	1204	40693	40419	29276	29156	0
Mammalia	Perissodactyla	Diceros_bicornis	Intact	0	3529	121792	143908	71538	93654	7006	1104	46214	53437	28530	35949	341
Mammalia	Microbiotheria	Dromiciops_gliroides	Intact	0	1820	170595	210772	137804	177981	3535	0	42976	50892	40423	48168	91
Mammalia	Proboscidea	Elephas_maximus	Intact	0	2621	139376	160692	87159	108475	1972	755	67286	73811	48289	53821	0
Mammalia	Chiroptera	Eptesicus_fuscus	Intact	0	4665	124782	140845	81016	97079	1888	1195	44506	44775	32655	33059	0
Mammalia	Perissodactyla	Equus_asinus	Intact	0	3528	122294	146785	70172	94663	5641	1039	45809	51217	27680	32181	124
Mammalia	Perissodactyla	Equus_caballus	Intact	0	3532	122297	146627	70227	94557	5678	1039	46339	50305	27660	32058	261
Mammalia	Perissodactyla	Equus_przewalskii	Intact	0	3533	122324	146567	70253	94496	5677	1039	46280	50410	27585	32165	260
Mammalia	Perissodactyla	Equus_quagga	Intact	3	3531	122583	147341	70295	95053	5935	1037	46564	51945	27652	32394	124
Mammalia	Eulipotyphla	Erinaceus_europaeus	Intact	0	5446	151534	179359	102879	130704	1529	3308	69819	79864	50143	60188	0
Mammalia	Artiodactyla	Eschrichtius_robustus	Intact	0	2875	121044	141832	73590	94378	2150	688	46521	53567	32345	37268	0
Mammalia	Artiodactyla	Eubalaena_glacialis	Intact	0	2890	121492	142368	75289	96165	2305	658	46567	51955	32933	38292	0
Mammalia	Primates	Eulemur_rufifrons	Intact	0	3081	104066	124133	61715	81782	7069	819	37061	41286	25986	30591	169
Mammalia	Carnivora	Felis_catus	Intact	0	4184	140053	163376	92537	115860	2106	1661	67170	74551	50589	57656	0
Mammalia	Artiodactyla	Globicephala_melas	Intact	0	2894	114633	135337	67676	88380	2130	659	42736	48069	26733	32039	0
Mammalia	Primates	Gorilla_gorilla	Intact	0	3112	144995	169351	96699	121055	3879	1441	75921	84288	55895	64621	0
Mammalia	Didelphimorphia	Gracilinanus_agilis	Intact	6	6870	177972	218970	134243	175241	26719	410	28098	29561	23708	26342	1721
Mammalia	Artiodactyla	Hippopotamus_amphibius	Intact	0	3390	109281	129556	67464	87739	2115	1059	38821	42336	27929	32390	0
Mammalia	Rodentia	Ictidomys_tridecemlineatus	Intact	8	2784	121334	142193	74129	94988	6817	826	46682	51137	30078	34545	0
Mammalia	Rodentia	Jaculus_jaculus	Intact	0	6223	190826	213952	129904	153030	1758	4193	119361	127319	84056	91824	0
Mammalia	Artiodactyla	Lagenorhynchus_albirostris	Intact	0	2885	116130	136827	67936	88633	2121	659	43868	48847	26935	31939	0
Mammalia	Primates	Lemur_catta	Intact	0	3077	103258	123101	60170	80013	1943	844	34928	38616	23224	27762	75
Mammalia	Carnivora	Leopardus_geoffroyi	Intact	0	4465	134748	158147	86315	109714	2129	1662	61382	68484	43843	50865	0
Mammalia	Lagomorpha	Lepus_europaeus	Intact	0	3080	131867	151785	73657	93575	1856	394	60374	62433	35295	36881	0
Mammalia	Proboscidea	Loxodonta_africana	Intact	0	2621	139486	160830	87221	108565	6749	767	66241	73959	47912	53649	440
Mammalia	Carnivora	Lutra_lutra	Intact	0	1470	113634	134887	70102	91355	1976	0	39344	43886	27828	32650	0
Mammalia	Carnivora	Lynx_canadensis	Intact	0	4203	136162	159569	89174	112581	2110	1638	62298	69534	47795	54842	0
Mammalia	Primates	Macaca_fascicularis	Intact	0	5159	141938	166552	88341	112955	2134	3033	75385	83270	51153	59087	0
Mammalia	Primates	Macaca_mulatta	Intact	0	5143	140955	165666	88017	112728	2250	3048	74389	82215	50675	58550	0
Mammalia	Primates	Macaca_nemestrina	Intact	0	5135	139764	164413	86131	110780	2149	3034	73888	82360	49517	58040	95
Mammalia	Primates	Macaca_thibetana	Intact	0	5151	141830	166442	88221	112833	2149	2912	74656	83075	50458	58921	107
Mammalia	Pholidota	Manis_pentadactyla	Intact	0	4478	125952	147079	65204	86331	1902	1948	51357	58148	24669	30380	0
Mammalia	Rodentia	Marmota_flaviventris	Intact	0	2946	121589	142236	72885	93532	1983	826	48155	53369	29913	34525	0
Mammalia	Rodentia	Mastomys_coucha	Intact	14	2504	113335	133399	75590	95654	1753	318	40300	45723	30525	35549	0
Mammalia	Carnivora	Meles_meles	Intact	0	1420	112702	134118	68140	89556	2033	0	39687	44241	26523	31217	0
Mammalia	Rodentia	Meriones_unguiculatus	Intact	0	2696	98334	117716	62854	82236	1763	472	33088	37413	23707	26236	0
Mammalia	Artiodactyla	Mesoplodon_densirostris	Intact	0	2861	120806	141715	73337	94246	2158	656	47343	53320	31287	37140	0
Mammalia	Primates	Microcebus_murinus	Intact	0	3008	120680	141623	65726	86669	1766	811	45074	50854	28944	34168	67
Mammalia	Rodentia	Microtus_ochrogaster	Intact	20	2555	106206	125837	65227	84858	1735	218	38488	41695	25638	29627	0
Mammalia	Didelphimorphia	Monodelphis_domestica	Intact	1	1765	175416	210217	136029	170830	2169	81	35292	38036	31825	34586	0
Mammalia	Rodentia	Mus_caroli	Intact	10	2553	108457	127721	73234	92498	1755	361	36701	41054	28756	32895	0
Mammalia	Rodentia	Mus_musculus	Intact	0	2519	107974	127082	71864	90972	1753	352	36790	40028	27324	31069	0
Mammalia	Rodentia	Mus_pahari	Intact	16	2552	113270	131879	75378	93987	1751	325	40697	42827	29796	33370	0
Mammalia	Carnivora	Mustela_erminea	Intact	0	1480	112048	132938	69103	89993	2019	0	37815	42032	26318	30578	0
Mammalia	Carnivora	Mustela_lutreola	Intact	0	1466	111605	132236	69230	89861	2030	0	37318	41682	26149	30764	0
Mammalia	Carnivora	Mustela_nigripes	Intact	4	1462	111833	132667	69573	90407	2177	0	37198	41697	26128	30448	0
Mammalia	Chiroptera	Myotis_daubentonii	Intact	1	3466	120120	136396	75839	92115	1923	792	46610	47008	33890	34321	0
Mammalia	Carnivora	Neofelis_nebulosa	Intact	0	4272	137995	161320	90125	113450	2121	1561	63296	70255	47670	54468	0
Mammalia	Carnivora	Neogale_vison	Intact	0	1477	111210	132302	68482	89574	2002	0	37271	40621	25920	29521	0
Mammalia	Carnivora	Neomonachus_schauinslandi	Intact	5	4019	116255	140991	74132	98868	8286	1444	42978	48031	32502	37133	0
Mammalia	Primates	Nomascus_leucogenys	Intact	1	38428	137020	159208	86771	108959	3900	2246	56456	63050	50537	57074	66
Mammalia	Primates	Nycticebus_coucang	Intact	0	5144	143383	168408	86319	111344	1888	2418	71505	81010	45224	55386	76
Mammalia	Lagomorpha	Ochotona_princeps	Intact	0	2488	107740	125422	64112	81794	1911	189	39427	40383	25949	26888	226
Mammalia	Artiodactyla	Odocoileus_virginianus	Intact	0	3717	110523	128839	72274	90590	1260	1345	38981	43322	30263	33967	0
Mammalia	Artiodactyla	Orcinus_orca	Intact	0	2885	115671	136347	67696	88372	2120	659	42977	48743	26722	32203	0
Mammalia	Monotremata	Ornithorhynchus_anatinus	Intact	0	5014	94503	134538	59430	99465	9638	1250	22420	26898	18821	22640	2565
Mammalia	Lagomorpha	Oryctolagus_cuniculus	Intact	0	3081	130491	151268	69531	90308	1848	597	57985	60084	31801	34010	0
Mammalia	Artiodactyla	Ovis_aries	Intact	0	3557	110241	129100	71416	90275	1607	1125	39153	42662	28847	33055	0
Mammalia	Artiodactyla	Ovis_canadensis	Intact	0	3559	112508	131495	73740	92727	1607	1112	39205	42490	29381	33085	0
Mammalia	Primates	Pan_paniscus	Intact	0	3092	137106	161409	88900	113203	3862	1435	74061	82333	54000	62265	0
Mammalia	Carnivora	Panthera_leo	Intact	0	4253	135204	158582	88428	111806	1029	1653	61669	68641	46753	53660	0
Mammalia	Carnivora	Panthera_onca	Intact	0	4274	117473	140604	74299	97430	2122	1671	47797	54117	33288	40985	0
Mammalia	Carnivora	Panthera_tigris	Intact	0	4604	135765	159093	88699	112027	1030	2042	62199	69349	46954	53865	0
Mammalia	Carnivora	Panthera_uncia	Intact	3	4274	122172	146070	74690	98588	1030	1633	50069	58256	34606	41989	0
Mammalia	Primates	Pan_troglodytes	Intact	0	3091	137742	165977	89541	117776	7799	1438	74238	82411	54153	62311	0
Mammalia	Primates	Papio_anubis	Intact	1	4826	138533	163190	84696	109353	2137	2668	72312	80389	47335	55766	0
Mammalia	Rodentia	Perognathus_longimembris	Intact	0	4522	86050	104690	42955	61595	5007	2192	31144	32254	15100	16523	61
Mammalia	Rodentia	Peromyscus_eremicus	Intact	1	2646	101844	122469	62526	83151	1781	487	38476	41678	25328	29639	0
Mammalia	Rodentia	Peromyscus_leucopus	Intact	0	2672	105515	125740	66230	86455	1783	483	39096	41847	26047	29524	0
Mammalia	Rodentia	Peromyscus_maniculatus	Intact	0	2693	105112	125988	65418	86294	1764	403	38967	41856	25835	29379	0
Mammalia	Artiodactyla	Phacochoerus_africanus	Intact	0	3846	137993	159401	83607	105015	2094	1550	63756	67875	40482	44613	0
Mammalia	Artiodactyla	Phocoena_phocoena	Intact	0	2879	113925	134568	67094	87737	2118	624	43420	48634	27799	32709	0
Mammalia	Artiodactyla	Phocoena_sinus	Intact	0	2873	114442	135071	67364	87993	2112	651	43564	48992	28067	32982	0
Mammalia	Chiroptera	Phyllostomus_discolor	Intact	0	3846	110946	127433	68880	85367	1910	1121	42131	41509	29190	28908	0
Mammalia	Primates	Piliocolobus_tephrosceles	Intact	6	4526	144388	173110	91927	120649	10862	2368	73390	76802	50337	53832	53
Mammalia	Primates	Pongo_abelii	Intact	0	3139	135291	163712	87060	115481	6060	1484	67829	76413	47960	56492	65
Mammalia	Primates	Pongo_pygmaeus	Intact	0	3128	135458	163888	87206	115636	6053	1434	68053	76407	48171	56479	64
Mammalia	Carnivora	Prionailurus_bengalensis	Intact	0	4218	137249	160636	89561	112948	2115	1677	62988	71028	47166	54289	0
Mammalia	Carnivora	Prionailurus_viverrinus	Intact	0	4452	137678	161039	89520	112881	7274	1754	63567	70766	46856	54059	270
Mammalia	Artiodactyla	Pseudorca_crassidens	Intact	0	2893	115634	136325	67596	88287	2157	659	43405	48943	26848	32323	0
Mammalia	Rodentia	Rattus_norvegicus	Intact	0	2485	108311	129043	71222	91954	1739	394	34475	39734	26081	30992	0
Mammalia	Chiroptera	Rhinolophus_ferrumequinum	Intact	0	3235	106424	127185	67466	88227	6273	549	38994	42430	28296	32963	173
Mammalia	Primates	Rhinopithecus_roxellana	Intact	0	4528	139709	167698	86860	114849	6048	2427	73963	81355	49955	57363	170
Mammalia	Chiroptera	Saccopteryx_bilineata	Intact	0	2319	136744	152561	92153	107970	1918	492	49164	50387	38538	39796	0
Mammalia	Chiroptera	Saccopteryx_leptura	Intact	0	2339	139920	155960	91247	107287	1933	493	50573	51887	39220	40444	0
Mammalia	Dasyuromorphia	Sarcophilus_harrisii	Intact	0	4385	158672	192394	124501	158223	2815	279	26688	28920	22856	26121	0
Mammalia	Rodentia	Sciurus_carolinensis	Intact	0	3139	127820	147510	80368	100058	1947	1134	51339	55608	35108	39458	0
Mammalia	Eulipotyphla	Sorex_araneus	Intact	0	3632	101479	118630	60834	77985	1587	541	26651	28892	16398	18408	0
Mammalia	Eulipotyphla	Suncus_etruscus	Intact	0	4082	123890	143988	67469	87567	1594	1202	49695	53772	26793	30987	0
Mammalia	Carnivora	Suricata_suricatta	Intact	6	3323	114109	134648	68011	88550	1675	817	40004	45414	25984	31199	0
Mammalia	Artiodactyla	Sus_scrofa	Intact	0	3592	138454	159795	84678	106019	2026	1272	64834	69006	42370	46545	0
Mammalia	Primates	Symphalangus_syndactylus	Intact	0	5530	139034	164904	89358	115228	7822	3228	73784	80094	52349	58639	0
Mammalia	Monotremata	Tachyglossus_aculeatus	Intact	0	5657	114849	165515	74963	125629	13313	2398	37257	52579	29809	44552	5960
Mammalia	Primates	Theropithecus_gelada	Intact	7	4832	140170	170099	85418	115347	7165	2673	70429	79020	45019	53553	53
Mammalia	Diprotodontia	Trichosurus_vulpecula	Intact	0	1797	159579	195803	126010	162234	3425	202	38002	42872	36583	41244	0
Mammalia	Artiodactyla	Tursiops_truncatus	Intact	0	2888	114036	134721	65986	86671	2135	659	42538	47665	25636	30854	0
Mammalia	Carnivora	Ursus_arctos	Intact	0	3755	105308	124905	64377	83974	2083	1003	35865	38169	24959	29220	0
Mammalia	Carnivora	Vulpes_lagopus	Intact	0	5635	133529	153982	81072	101525	1780	2903	50123	55661	33669	39120	0
Mammalia	Carnivora	Zalophus_californianus	Intact	0	2831	114217	134722	71786	92291	6498	444	39217	44841	29750	34543	309
Sarcopterygii	Ceratodontiformes	Protopterus_annectens	Intact	15	17299	10918603	12438660	11809159	13329216	277690	170	226708	253886	245510	286130	7670
Squamata	Squamata	Anolis_carolinensis	Loss	0	1852	33171	77673	5159	49661	4324	0	2220	4076	294	2222	118
Squamata	Squamata	Anolis_sagrei	Loss	0	3060	56062	128688	7180	79806	4929	0	3306	13997	494	11205	1260
Squamata	Squamata	Candoia_aspera	Loss	0	283	53699	120478	5781	72560	1196	0	2733	5982	0	3490	0
Squamata	Squamata	Elgaria_multicarinata	Loss	0	3228	64133	164898	7284	108049	2835	0	8238	28648	63	20613	0
Squamata	Squamata	Erythrolamprus_reginae	Loss	0	731	50145	93934	4675	48464	694	0	1735	4775	0	3489	0
Squamata	Squamata	Eublepharis_macularius	Loss	0	2408	45042	134147	10234	99339	4838	0	1974	4819	1397	4468	0
Squamata	Squamata	Euleptes_europaea	Loss	0	2220	47349	133327	7348	93326	6075	0	1705	7172	255	5722	386
Squamata	Squamata	Hemicordylus_capensis	Loss	0	2567	40165	95288	3751	58874	4367	0	1014	1669	0	655	167
Squamata	Squamata	Heteronotia_binoei	Loss	0	1756	60830	150297	5852	95319	5404	0	4252	7873	0	3659	157
Squamata	Squamata	Lacerta_agilis	Loss	0	2430	39881	100386	6643	67148	2783	0	600	2792	84	2276	0
Squamata	Squamata	Podarcis_raffonei	Loss	0	2447	38023	95127	6567	63671	2807	0	1176	3029	83	2032	0
Squamata	Squamata	Rhineura_floridana	Loss	0	1755	74557	154739	9573	89755	4668	0	5673	14286	329	8771	0
Squamata	Squamata	Sphaerodactylus_townsendi	Loss	0	2320	39573	118440	4692	83559	5092	0	325	3249	0	2924	0
Squamata	Squamata	Thamnophis_elegans	Loss	0	683	44701	103594	4563	63456	697	0	2584	8366	62	5208	0
Squamata	Squamata	Zootoca_vivipara	Loss	0	2562	42493	104062	6611	68180	2768	0	1511	5190	101	4260	0
Testudines	Testudines	Caretta_caretta	Intact	0	3927	400393	506916	435501	542024	25257	176	66292	75932	70118	79905	2799
Testudines	Testudines	Chelonia_mydas	Intact	0	3444	431665	531789	466358	566482	25303	176	73158	82194	77519	87245	3079
Testudines	Testudines	Chrysemys_picta	Intact	0	3611	602699	712207	634940	744448	20883	898	58108	67613	61203	70894	1988
Testudines	Testudines	Dermochelys_coriacea	Intact	0	6851	450477	556095	485721	591339	17667	178	65277	75226	67594	78339	1846
Testudines	Testudines	Emys_orbicularis	Intact	0	5928	1108196	1214470	1141255	1247529	21494	1252	157851	168888	160990	172213	2126
