Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete	Annotation BUSCO Single Copy	Annotation BUSCO Duplicated	Annotation BUSCO Fragmented	Annotation BUSCO Missing	Annotation BUSCO Lineage	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCF_000003025.6	Sscrofa11.1	Sus scrofa	9823		Duroc				TJ Tabasco	female	NCBI Sus scrofa Annotation Release 106	2501895775	20	Chromosome	2017-02-07	AEMK02	48231277	88231837	705	0.9819273	0.9769029	0.005024372	0.0025496813	0.015523059	cetartiodactyla_odb10	PacBio	The Swine Genome Sequencing Consortium (SGSC)	PRJNA13421	SAMN02953785	30371	20666	3084				
GCF_002263795.3	ARS-UCD2.0	Bos taurus	9913		Hereford				L1 Dominette 01449 registration number 42190680	female	GCF_002263795.3-RS_2024_12	2770669782	31	Chromosome	2023-07-01	NKLS02	26402946	103308737	1957	0.98837644	0.97510314	0.013273341	0.0054743155	0.0061492315	cetartiodactyla_odb10		USDA ARS	PRJNA391427		37063	21667	4545				
GCF_016699485.2	bGalGal1.mat.broiler.GRCg7b	Gallus gallus	9031						bGalGal1	female	NCBI Gallus gallus Annotation Release 106	1053315467	41	Chromosome	2021-01-19	JAENSK01	18834961	90861225	213	0.99004555	0.9864476	0.003597985	0.0023986567	0.007555769	aves_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA660757	SAMN15960293	25635	18023	198				
GCF_011100685.1	UU_Cfam_GSD_1.0	Canis lupus familiaris	9615		German Shepherd				Mischka	female	NCBI Canis lupus familiaris Annotation Release 106	2481983352	39	Chromosome	2020-03-10	JAAHUQ01	14840767	64299765	2197	0.9809681	0.9205627	0.060405463	0.0037925804	0.015239277	carnivora_odb10		Uppsala University	PRJNA587469	SAMN13230619	43286	21175	5441				
GCF_003254725.2	ASM325472v2	Canis lupus dingo	286419						Sandy	female	NCBI Canis lupus dingo Annotation Release 102	2349862946	39	Chromosome	2020-09-11	QKWQ02	40716615	64250934	159	0.97924423	0.9557992	0.023445042	0.0031719762	0.017583782	carnivora_odb10	PacBio Sequel; BioNano; Illumina (10X Chromium)	James Cook University	PRJNA475652	SAMN09397198	40364	20775	4660				
GCF_003339765.1	Mmul_10	Macaca mulatta	9544								NCBI Macaca mulatta Annotation Release 103	2971314966	22	Chromosome	2019-02-13	QNVO02	46608966	82346004	2978	0.9933962	0.98490566	0.008490566	0.0021044994	0.0044992743	primates_odb10		The Genome Institute at Washington University School of Medicine	PRJNA476474	SAMN09435472	40304	21121	6997				
GCF_016772045.2	ARS-UI_Ramb_v3.0	Ovis aries	9940		Rambouillet	OAR_USU_Benz2616				female	GCF_016772045.2-RS_2023_10	2654047367	28	Chromosome	2023-07-20	JAEVFA01	43178051	101274418	142	0.98567677	0.96430445	0.021372328	0.0041244845	0.010198725	cetartiodactyla_odb10		University of Idaho	PRJNA675594		35057	21300	3821				
GCF_017654675.1	Xenopus_laevis_v10.1	Xenopus laevis	8355			J_2021				female	NCBI Xenopus laevis Annotation Release 101	2742451793	18	Chromosome	2021-04-12	JAGEVR01	22451507	155250555	54	0.97495294	0.45461392	0.520339	0.0050847456	0.019962335	tetrapoda_odb10	PacBio RSII	International Xenopus Sequencing Consortium	PRJNA313213	SAMN18035302	44456	34476	1836				
GCF_001704415.2	ARS1.2	Capra hircus	9925		San Clemente					male	NCBI Capra hircus Annotation Release 102	2922600443	30	Chromosome	2016-08-24	LWLT01	26244591	87277232	29885							PacBio	USDA ARS	PRJNA290100	SAMN03863711	28911	20572	4142				
GCF_964237555.1	mOryCun1.1	Oryctolagus cuniculus	9986								GCF_964237555.1-RS_2024_11	2804657419	22	Chromosome	2024-08-31	CAXSJQ01	2030165	144279705	221	0.9767358	0.96064645	0.016089289	0.008262067	0.015002174	glires_odb10	PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB79209	SAMEA112468037	38822	21895	6508				
GCF_041296265.1	TB-T2T	Equus caballus	9796		thoroughbred				H_3958	female	GCF_041296265.1-RS_2024_12	2769438211	32	Chromosome	2024-08-16	JBFNWK01	99223387	99223387	624	0.9907634	0.98463297	0.006130456	0.004577407	0.0046591465	laurasiatheria_odb10	Illumina; Oxford Nanopore PromethION; PacBio Sequel	University of Kentucky	PRJNA1135235	SAMN42823849	39335	21772	3759				
GCF_013265735.2	USDA_OmykA_1.1	Oncorhynchus mykiss	8022						Arlee	male	NCBI Oncorhynchus mykiss Annotation Release 101	2341671972	32	Chromosome	2020-09-23	JAAXML02	15579713	39165350	938	0.99697804	0.55467033	0.44230768	0.0010989011	0.0019230769	actinopterygii_odb10	PacBio Sequel; BioNano; Hi-C	USDA/ARS	PRJNA623027	SAMN14537335	72772	41896	2712				
GCF_905237065.1	Ssal_v3.1	Salmo salar	8030								NCBI Salmo salar Annotation Release 102	2756584103	29	Chromosome	2021-04-21	CAJNNT02	28058890	28058890	4222	0.9934066	0.54285717	0.45054945	0.0041208793	0.0024725276	actinopterygii_odb10		NORWEGIAN UNIVERSITY OF LIFE SCIENCES	PRJEB43080	SAMEA8062739	65343	42985	4337				
GCF_001858045.2	O_niloticus_UMD_NMBU	Oreochromis niloticus	8128						F11D_XX	female	NCBI Oreochromis niloticus Annotation Release 104	1005664923	22	Chromosome	2018-06-29	MKQE02	2923640	38839487	2459	0.99697804	0.99065936	0.0063186814	0.0013736264	0.0016483517	actinopterygii_odb10	PacBio	University of Maryland	PRJNA344471	SAMN05859795	42646	29550	689				
GCF_018350175.1	F.catus_Fca126_mat1.0	Felis catus	9685						Fca126	female	NCBI Felis catus Annotation Release 105	2425730029	19	Chromosome	2021-05-13	JAFEKA01	90731473	148491486	70	0.9884154	0.98110604	0.0073093367	0.0021376363	0.009446973	carnivora_odb10	PacBio Sequel 2	Texas A&M University	PRJNA684600	SAMN19729387	39307	20453	3620				
GCF_000004195.4	UCB_Xtro_10.0	Xenopus tropicalis	8364			Nigerian				female	NCBI Xenopus tropicalis Annotation Release 104	1451283599	10	Chromosome	2019-11-14	AAMC04	14634335	153961319	166	0.96572506	0.9502825	0.015442561	0.006403013	0.02787194	tetrapoda_odb10	PacBio Sequel; Illumina HiSeq	University of California, Berkeley	PRJNA577946	SAMN13041969	28858	21826	571				
GCF_003668045.3	CriGri-PICRH-1.0	Cricetulus griseus	10029			17A/GY				female	NCBI Cricetulus griseus Annotation Release 104	2366634374	11	Chromosome	2020-06-11	RAZU02	2711962	274391693	647	0.98941875	0.97448903	0.0149297	0.003478765	0.0071024788	glires_odb10	Illumina HiSeq	CHO Genome Community	PRJNA389969	SAMN07140313	32251	21776	4568				
GCF_016920845.1	GAculeatus_UGA_version5	Gasterosteus aculeatus aculeatus	481459			Lake Benthic				male	NCBI Gasterosteus aculeatus Annotation Release 100	471877818	22	Chromosome	2021-02-23	JACDQR01	485752	20445003	2936	0.9851648	0.95934063	0.025824176	0.007142857	0.0076923077	actinopterygii_odb10	PacBio	University of Georgia	PRJNA639125	SAMN15223905	28430	22598	303				
GCF_011100555.1	mCalJa1.2.pat.X	Callithrix jacchus	9483						mCalJac1	male	GCF_011100555.1-RS_2023_03	2874864526	24	Chromosome	2021-04-28	JAALXP02	13222669	136971485	1233	0.9833817	0.95740205	0.025979681	0.004934688	0.011683599	primates_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA597600	SAMN12368443	42308	22355	8628				
GCF_029378745.1	NIAB-ARS_B.indTharparkar_mat_pri_1.0	Bos indicus	9915		Sahiwal x Tharparkar				NIAB-ARS_2022	female	GCF_029378745.1-RS_2024_12	2663005763	30	Chromosome	2023-03-24	JAPFIJ01	42080189	104596815	67	0.9882265	0.98200226	0.006224222	0.0050993627	0.006674166	cetartiodactyla_odb10	PacBio Sequel	USDA ARS, NIAB	PRJNA897888	SAMN31208777	34142	20976	4318				
GCF_018340385.1	ASM1834038v1	Cyprinus carpio	7962						SPL01		NCBI Cyprinus carpio Annotation Release 101	1680118328	50	Chromosome	2021-05-12	JAEOAB01	1558716	29545497	6700	0.98571426	0.36126372	0.62445056	0.0054945056	0.008791209	actinopterygii_odb10	PacBio; Oxford Nanopore; Illumina HiSeq	Chinese Academy of Fishery Sciences	PRJNA682709	SAMN17005855	59559	43531	6174				
GCF_040938575.1	UKY_AmexF1_1	Ambystoma mexicanum	8296						Mex_15411	female	GCF_040938575.1-RS_2024_10	29117848270	21	Chromosome	2024-07-30	JBEBLI01	23068610	1489131749	220	0.95856875	0.93728817	0.021280603	0.00960452	0.031826742	tetrapoda_odb10	PacBio Sequel; Illumina HiSeq	University of Kentucky	PRJNA1104202	SAMN43142723	135668	24121	12919				
GCF_019924925.1	HZGC01	Ctenopharyngodon idella	7959						HZGC_01	female	GCF_019924925.1-RS_2023_02	893198495	24	Chromosome	2021-09-14	JAIKLG01	19319444	35662356	30	0.98653847	0.9527472	0.03379121	0.0016483517	0.011813187	actinopterygii_odb10	PacBio Sequel	HuaZhong Agricultural University	PRJNA745929	SAMN20170273	31777	25130	466				
GCF_003368295.1	ASM336829v1	Carassius auratus	7957			Wakin					NCBI Carassius auratus Annotation Release 100	1820618472	59	Chromosome	2018-08-09	QPKE01	821153	22763433	6215	0.99258244	0.3598901	0.63269234	0.0024725276	0.004945055	actinopterygii_odb10	PacBio RSII	National Institutes of Health	PRJNA481500	SAMN09670328	83674	53065	7365				
GCF_003957565.2	bTaeGut1.4.pri	Taeniopygia guttata	59729						Blue55	female	NCBI Taeniopygia guttata Annotation Release 106	1056254409	41	Chromosome	2021-05-04	RRCB02	8964551	70982421	198	0.9847842	0.98100334	0.0037808926	0.0029509405	0.012264847	passeriformes_odb10		Vertebrate Genomes Project	PRJNA489098	SAMN02981239	21933	16520	201				
GCF_000972845.2	L_crocea_2.0	Larimichthys crocea	215358						SSNF		NCBI Larimichthys crocea Annotation Release 102	657923191	24	Chromosome	2018-11-27	JRPU02	277487	27037660	9997	0.99478024	0.98791206	0.006868132	0.003021978	0.0021978023	actinopterygii_odb10	Illumina HiSeq	BGI	PRJNA245366	SAMN03092871	27392	23367	623				
GCF_001577835.2	Coturnix japonica 2.1	Coturnix japonica	93934						7356	male	NCBI Coturnix japonica Annotation Release 101	927640260	31	Chromosome	2016-03-01	LSZS01	511217	2975000	2530	0.98764694	0.9853682	0.002278724	0.0019189254	0.010434157	aves_odb10	Illumina GA IIx	McDonnell Genome Institute - Washington University School of Medicine	PRJNA292031	SAMN03989050	20956	16026	154				
GCF_043380555.1	NfurGRZ-RIMD1	Nothobranchius furzeri	105023			GRZ-AD				male	GCF_043380555.1-RS_2024_12	1479182959	19	Chromosome	2024-10-21	JBHOMQ01	9298000	76394082	303	0.9614146	0.95418394	0.007230658	0.0045355945	0.034049828	cyprinodontiformes_odb10	PacBio Sequel	Squalomix Extra	PRJNA1162561	SAMN43816574	38438	24412	1918				
GCF_900880675.1	fSpaAur1.1	Sparus aurata	8175								NCBI Sparus aurata Annotation Release 100	833578411	24	Chromosome	2019-07-30	CAAHFC01	2862625	35791275	175	0.99285716	0.9807692	0.012087912	0.0021978023	0.004945055	actinopterygii_odb10		SC	PRJEB31901	SAMEA104384835	32008	25735	618				
GCF_902167405.1	gadMor3.0	Gadus morhua	8049								NCBI Gadus morhua Annotation Release 100	669949713	23	Chromosome	2019-07-16	CABHMC01	1015663	28732775	226	0.96813184	0.95	0.018131869	0.00467033	0.027197802	actinopterygii_odb10		SC	PRJEB33455	SAMEA5574046	33093	23485	667				
GCF_040182565.1	Taihu_goose_T2T_genome	Anser cygnoides	8845		goose				HZ-2024a	female	GCF_040182565.1-RS_2024_07	1215337776	40	Chromosome	2024-06-14	JBECYW01	39655246	81007908	74	0.9868074	0.98153037	0.005277045	0.005157112	0.0080355005	aves_odb10	PacBio	Jiangsu Agri-animal Husbandry Vocational College	PRJNA1111257	SAMN41386743	25487	18126	260				
GCF_022379125.1	ASM2237912v1	Scophthalmus maximus	52904			ysfricsl-2021				female	NCBI Scophthalmus maximus Annotation Release 101	538217135	22	Chromosome	2022-02-24	JAJTWG01	25762658	25762658	27	0.99203295	0.98543954	0.0065934067	0.0027472528	0.0052197804	actinopterygii_odb10	PacBio Sequel	Yellow Sea fisheries Research Institution	PRJNA792617	SAMN24450573	26628	21619	223				
GCF_011064425.1	Rrattus_CSIRO_v1	Rattus rattus	10117						New Zealand	male	NCBI Rattus rattus Annotation Release 100	2382770976	20	Chromosome	2020-03-04	JAAIVD01	1635336	158824752	2172	0.9636179	0.9452819	0.01833599	0.006667633	0.029714452	glires_odb10	Illumina HiSeq; Oxford Nanopore	CSIRO	PRJNA574245	SAMN12855339	32100	21597	6557				
GCF_011125445.2	MU-UCD_Fhet_4.1	Fundulus heteroclitus	8078						FHET01	male	NCBI Fundulus heteroclitus Annotation Release 102	1203489213	24	Chromosome	2020-08-13	JAAEEJ02	587965	39340135	1030	0.98001707	0.9343325	0.045684613	0.0044698613	0.0155130485	cyprinodontiformes_odb10	PacBio Sequel	University of Missouri	PRJNA597160	SAMN13668183	34686	26804	631				
GCF_027887165.1	mMonDom1.pri	Monodelphis domestica	13616						mMonDom1	male	GCF_027887165.1-RS_2023_05	3586166573	10	Chromosome	2023-01-18	JAQIHD01	3910714	538302405	13	0.95079124	0.9229352	0.02785606	0.008562758	0.040646	mammalia_odb10	PacBio Sequel II HiFi; Bionano Genomics DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA915592	SAMN31801966	32665	21694	3202				
GCF_013347855.1	fAngAng1.pri	Anguilla anguilla	7936						fAngAng1		NCBI Anguilla anguilla Annotation Release 100	979029243	19	Chromosome	2020-06-18	JABVMG01	5114673	57205429	53	0.98351645	0.89148355	0.09203297	0.0041208793	0.012362638	actinopterygii_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA561979	SAMN12623627	31451	25903	377				
GCF_001660625.3	Coco_2.0	Ictalurus punctatus	7998		USDA103					female	GCF_001660625.3-RS_2023_03	842926452	29	Chromosome	2022-10-20	LBML02	20961409	29208522	136	0.9892857	0.97967035	0.009615385	0.0019230769	0.008791209	actinopterygii_odb10	PacBio CLR; Illumina	Auburn University	PRJNA281269	SAMN03486842	32344	23962	1304				
GCF_008728515.1	Panubis1.0	Papio anubis	9555						15944	male	NCBI Papio anubis Annotation Release 104	2869804647	22	Chromosome	2019-10-02	VSMJ01	1464978	140274886	11144	0.9724238	0.95261246	0.019811321	0.0065312046	0.021044992	primates_odb10		University of California, San Francisco	PRJNA527874	SAMN11179045	39274	21087	6680				
GCF_022655615.1	HZAU_PFXX_2.0	Tachysurus fulvidraco	1234273						hzauxx_2018	female	NCBI Tachysurus fulvidraco Annotation Release 101	712016913	26	Chromosome	2022-03-21	JAJLOY01	3329536	27158553	517	0.98818684	0.97087914	0.017307693	0.0021978023	0.009615385	actinopterygii_odb10	PacBio RSII; Illumina HiSeq	Huazhong Agricultural University	PRJNA489116	SAMN10031298	33922	23998	1785				
GCF_000146605.3	Turkey_5.1	Meleagris gallopavo	9103		Aviagen turkey brand Nicholas breeding stock				NT-WF06-2002-E0010	female	NCBI Meleagris gallopavo Annotation Release 103	1115457962	32	Chromosome	2019-10-21	ADDD02	27076	3898092	187694	0.9220437	0.9190453	0.0029983209	0.047253538	0.030702807	aves_odb10	Illumina GAII; Sanger; 454	Turkey Genome Consortium	PRJNA42129	SAMN02981253	24368	17974	246				
GCF_000523025.1	Cse_v1.0	Cynoglossus semilaevis	244447						Cse_v1.0		NCBI Cynoglossus semilaevis Annotation Release 102	470182763	22	Chromosome	2014-01-28	AGRG01	27008	509861	31180	0.97747254	0.9656593	0.011813187	0.009065934	0.013461539	actinopterygii_odb10	Illumina HiSeq2000	Beijing Genomics Institute 	PRJNA73987	SAMN02595200	25771	21395	255				
GCF_036013475.1	bColLiv1.pat.W.v2	Columba livia	8932		racing homer				bColLiv1	female	GCF_036013475.1-RS_2024_05	1325566026	41	Chromosome	2024-04-08	JAYMZD02	14042120	68980706	869	0.9878868	0.98129046	0.006596306	0.0032381867	0.00887503	aves_odb10	PacBio Sequel II HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1054131	SAMN38891892	22830	17095	284				
GCF_901001165.1	fSalTru1.1	Salmo trutta	8032								NCBI Salmo trutta Annotation Release 100	2371863509	40	Chromosome	2019-06-02	CAAJIE01	1703178	52209666	1440	0.98983514	0.5431319	0.44670328	0.0024725276	0.0076923077	actinopterygii_odb10		SC	PRJEB32115	SAMEA994732	61583	42405	3283				
GCF_023375975.1	AstMex3_surface	Astyanax mexicanus	7994						ESR-SI-001	female	NCBI Astyanax mexicanus Annotation Release 103	1373169186	25	Chromosome	2022-05-19	JALAHU01	47087582	51923808	109	0.9978022	0.98846155	0.00934066	0.0013736264	0.00082417583	actinopterygii_odb10	PacBio Sequel	University of Missouri	PRJNA807270	SAMN25965548	52771	26736	1378				
GCF_043159975.1	mMacNem.hap1	Macaca nemestrina	9545						mMacNem1	male	GCF_043159975.1-RS_2025_01	3116288670	22	Chromosome	2024-10-15	JBHNYF01	40835442	154799650	361	0.9748186	0.967344	0.007474601	0.0050072568	0.020174166	primates_odb10	PacBio Sequel II HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1123828	SAMN41827875	42216	21128	6900				
GCF_016881025.1	HiC_Itri_2	Ictidomys tridecemlineatus	43179						GS200	female	NCBI Ictidomys tridecemlineatus Annotation Release 103	2478949113	1	Chromosome	2021-02-17	JAESOR01	44127	193221680	7131	0.9641252	0.9499203	0.0142049575	0.017538773	0.01833599	glires_odb10	Illumina HiSeq	Stanford University School of Medicine	PRJNA647389	SAMN08111062	34527	20734	4263				
GCF_002922805.2	ASM292280v2	Oryzias melastigma	30732			HK-1				pooled male and female	NCBI Oryzias melastigma Annotation Release 101	778686656	24	Chromosome	2020-04-13	NVQA02	30057	29987720	8492	0.9936813	0.9851648	0.008516484	0.0021978023	0.0041208793	actinopterygii_odb10	Illumina HiSeq	Sungkyunkwan University	PRJNA401159	SAMN07596545	28599	23519	121				
GCF_041296235.1	EquAss-T2T_v2	Equus asinus	9793		Donkey				D_3611	male	GCF_041296235.1-RS_2024_12	2797756172	31	Chromosome	2024-12-12	JBFNWJ02	102829910	101318199	848	0.9892104	0.9831617	0.0060487166	0.0053948015	0.0053948015	laurasiatheria_odb10	Illumina; PacBio Sequel; Oxford Nanopore PromethION	University of Kentucky	PRJNA1135234	SAMN42823850	33601	21414	3102				
GCF_033026475.1	Channa argus male v1.0	Channa argus	215402						prfri	male	GCF_033026475.1-RS_2024_08	675457141	24	Chromosome	2023-10-25	JAUYZH01	16561385	27733855	290	0.99065936	0.9793956	0.0112637365	0.0043956046	0.004945055	actinopterygii_odb10	PacBio HiFi	Pearl River Fisheries Research Institute Chinese Academy of Fishery Sciences	PRJNA1001177	SAMN36797326	42777	23346	7822				
GCF_002007445.2	ASM200744v3	Ailuropoda melanoleuca	9646						Jingjing	female	NCBI Ailuropoda melanoleuca Annotation Release 103	2440260518	21	Chromosome	2020-04-20	LNAT02	127687	129245720	73513							Illumina; 10X Genomics; Flow-sorted chromosome sequencing	Institute of Zoology, Chinese Academy of Sciences	PRJNA588422	SAMN04193337	31335	20837	3591				
GCF_901000725.2	fTakRub1.2	Takifugu rubripes	31033								NCBI Takifugu rubripes Annotation Release 103	384110215	22	Chromosome	2019-06-05	CAAJGN02	3136617	16705553	127	0.98324174	0.9464286	0.03681319	0.0027472528	0.014010989	actinopterygii_odb10		SC	PRJEB31988	SAMEA104384834	27412	22076	546				
GCF_001640805.2	TLL_Latcal_v3	Lates calcarifer	8187						ASB-BC8	male	GCF_001640805.2-RS_2023_02	673797687	24	Chromosome	2022-08-01	LLXD02	1379868	25538952	2996	0.99642855	0.9596154	0.03681319	0.0013736264	0.0021978023	actinopterygii_odb10	Illumina HiSeq; PacBio	Temasek Life Sciences Laboratory	PRJNA294489	SAMN04026617	32906	25072	728				
