Assembly Accession	Assembly Name	Organism Name	Organism Taxonomic ID	ANI Check status	Organism Infraspecific Names Breed	Organism Infraspecific Names Strain	Organism Infraspecific Names Cultivar	Organism Infraspecific Names Ecotype	Organism Infraspecific Names Isolate	Organism Infraspecific Names Sex	Annotation Name	Assembly Stats Total Sequence Length	Assembly Stats Total Number of Chromosomes	Assembly Level	Assembly Release Date	WGS project accession	Assembly Stats Contig N50	Assembly Stats Scaffold N50	Assembly Stats Number of Scaffolds	Annotation BUSCO Complete 	Annotation BUSCO Single Copy 	Annotation BUSCO Duplicated 	Annotation BUSCO Fragmented 	Annotation BUSCO Missing 	Annotation BUSCO Lineage 	Assembly Sequencing Tech	Assembly Submitter	Assembly BioProject Accession	Assembly BioSample Accession	Annotation Count Gene Total	Annotation Count Gene Protein-coding	Annotation Count Gene Pseudogene	Type Material Display Text	CheckM marker set	CheckM completeness	CheckM contamination
GCA_964188175.1	rPodSic1.hap1.1	Podarcis siculus	65484									1571364497	20	Chromosome	2024-06-21	CAXLOV01	3060007	94541350	293							PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB76730	SAMEA115336774							
GCF_004329235.1	PodMur_1.0	Podarcis muralis	64176					yellow		male	NCBI Podarcis muralis Annotation Release 100	1511002858	19	Chromosome	2019-03-07	SIRZ01	714612	92398148	2160	0.963369	0.9352941	0.028074866	0.007486631	0.029144386	sauropsida_odb10	PacBio; HiSeq; Chicago; HiC	CIBIO-InBIO	PRJNA515813	SAMN10820182	26732	21258	1146				
GCA_009733165.1	Nana_v5	Naja naja	35670						NN01	male	Annotation submitted by Genentech Inc.,	1768535092	19	Chromosome	2019-12-11	SOZL01	302474	224088900	1897							Illumina HiSeq; Oxford Nanopore; PacBio; Bionano	Genentech Inc.,	PRJNA527614	SAMN11155092	23071	23071					
GCF_023053635.1	rElgMul1.1.pri	Elgaria multicarinata webbii	159646					San Diego	HBS135686		GCF_023053635.1-RS_2024_02	1790500004	23	Chromosome	2024-01-04	JALIGS02	85762895	121985326	34	0.9820856	0.96590906	0.016176471	0.0021390375	0.015775401	sauropsida_odb10	Illumina NovaSeq 6000; PacBio Sequel II; Dovetail OmniC	UCLA	PRJNA810483	SAMN25872353	21748	19563	730				
GCA_038048745.1	rColCon1_p1.0	Coluber constrictor foxii	3052055						BlueRacer01	female		1829127931	19	Chromosome	2024-04-17	JAWJVD01	72486006	170815331	272							PacBio Sequel; Illumina NovaSeq	Canada's Genomic Enterprise	PRJNA1016472	SAMN36942437							
GCF_027172205.1	rPodRaf1.pri	Podarcis raffonei	65483						rPodRaf1	female	GCF_027172205.1-RS_2023_02	1513131503	20	Chromosome	2022-12-27	JAPYJY01	61439401	93623253	27	0.98074865	0.95975935	0.020989304	0.0030748663	0.016176471	sauropsida_odb10	PacBio Sequel II HiFi; Bionano DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA839511	SAMN28455423	26204	20895	706				
GCF_035046505.1	rTilSci1.hap2	Tiliqua scincoides	71010						rTilSci1	male	GCF_035046505.1-RS_2024_07	1623332312	16	Chromosome	2024-01-04	JAYFUK01	33113817	242160784	350	0.94425136	0.9290107	0.015240641	0.0077540106	0.04799465	sauropsida_odb10	PacBio Sequel II HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1014188	SAMN37319749	30291	18882	9971				
GCF_028640845.1	ASM2864084v1	Ahaetulla prasina	499056						Xishuangbanna	female	GCF_028640845.1-RS_2023_07	1772420080	18	Chromosome	2023-02-22	JAQQSC01	23873608	231952326	748	0.9342246	0.92085564	0.013368984	0.0060160425	0.05975936	sauropsida_odb10	MGISEQ-2000; Oxford Nanopore PromethION; Illumina HiSeq	Chinese Academy of Sciences	PRJNA926696	SAMN32882022	21369	18292	502				
GCF_963506605.1	rZooViv1.1	Zootoca vivipara	8524								GCF_963506605.1-RS_2023_10	1440239386	19	Chromosome	2023-09-20	CAUOQL01	3447840	96056580	48	0.9760695	0.955615	0.020454545	0.0036096256	0.020320855	sauropsida_odb10	PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB66180	SAMEA111528662	22823	20197	491				
GCA_016801065.1	ASM1680106v1	Sceloporus tristichus	190870						Voucher No. AMNH 153954. CUST_Tissue_1076. Female	female		1815771249	11	Chromosome	2021-02-04	JACSCI01	91782	269060969	6826							Illumina HiSeq; Illumina HiSeq	Univeristy of Washington	PRJNA644186	SAMN15450893							
GCA_964194415.1	rVipBer3.hap1.1	Vipera berus	31155									1694999861	19	Chromosome	2024-06-28	CAXMMJ01	4688414	218396773	478							PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB76966	SAMEA114293681							
GCF_027244095.1	rHemCap1.1.pri	Hemicordylus capensis	884348					Gifberg		male	GCF_027244095.1-RS_2023_02	2294751221	17	Chromosome	2022-12-28	JAPMAM01	160691000	359646233	44	0.9800802	0.9602941	0.019786097	0.0037433156	0.016176471	sauropsida_odb10	PacBio Sequel IIe; Dovetail Omni-C	University of Antwerp	PRJNA899811	SAMN31669488	31139	21239	693				
GCA_030412105.1	rCycPin1.hap1	Cyclura pinguis	118683						rCycPin1	male		1983614781	19	Chromosome	2023-07-07	JASZZK01	112814430	291724653	29							PacBio Sequel II HiFi; Bionano Genomics DLS; Dovetail OmniC	Vertebrate Genomes Project	PRJNA973807	SAMN35151422							
GCA_039797435.1	Cadamanteus_3dDNAHiC_1.2	Crotalus adamanteus	8729						DRR0105	female	Annotation submitted by Florida State University	1696173748	19	Chromosome	2024-05-24	JAOTOJ01	67532859	208942360	26							Pacbio HiFi	Florida State University	PRJNA868880	SAMN30275639	21841	21841					
GCA_951804945.1	rPodCre2.1	Podarcis cretensis	1330250									1507609967	19	Chromosome	2023-06-02	CATORL01	65743000	94621998	50							PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB62765	SAMEA12110019							
GCA_030867105.1	rLiaOli1.hap1	Liasis olivaceus	283338						rLiaOli1	female		1486119866	17	Chromosome	2023-08-24	JAVFJL01	65226870	203662644	43							PacBio Sequel II HiFi; Bionano Genomics DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA923812	SAMN32739907							
GCF_035149785.1	rCanAsp1.hap2	Candoia aspera	51853						rCanAsp1	female	GCF_035149785.1-RS_2024_02	1530810380	18	Chromosome	2024-01-18	JAYKKZ01	55640180	209480725	149	0.96911764	0.957754	0.011363637	0.0045454544	0.026336899	sauropsida_odb10	PacBio Sequel II HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA1009782	SAMN37159891	20506	18397	501				
GCA_024294585.1	rVipLat1.pri	Vipera latastei	246179						rVipLat1	male		1631568913	18	Chromosome	2022-07-20	JANCQY01	44839567	222489854	56							PacBio Sequel II HiFi; Bionano DLE1; Arima Hi-C	Vertebrate Genomes Project	PRJNA838200	SAMN28408464							
GCF_029931775.1	rEulEur1.hap1	Euleptes europaea	460621						rEulEur1	male	GCF_029931775.1-RS_2023_06	1781916107	21	Chromosome	2023-05-15	JARABC01	26991305	102317683	591	0.97566843	0.9564171	0.019251337	0.0038770053	0.020454545	sauropsida_odb10	PacBio Sequel II HiFi; Bionano Genomics DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA919166	SAMN32622440	21512	18633	645				
GCA_019473425.1	HCya_v2	Hydrophis cyanocinctus	8686						QH_4	male		1980712740	18	Chromosome	2021-08-09	JAAZTL01	18985681	264245889	1163							PacBio Sequel; Illumina HiSeq	Shanghai University	PRJNA573877	SAMN12828154							
GCF_030035675.1	rRhiFlo1.hap2	Rhineura floridana	261503						rRhiFlo1	female	GCF_030035675.1-RS_2023_12	2307419594	22	Chromosome	2023-05-22	JASFZN01	18156940	188683971	76	0.97473264	0.9550802	0.019652406	0.0053475937	0.019919787	sauropsida_odb10	PacBio Sequel II HiFi; Bionano DLS; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA953090	SAMN34105704	27857	20552	2695				
GCF_032191835.1	APGP_CSIRO_Hbin_v1	Heteronotia binoei	13085					False Entrance Well	CCM8104	female	GCF_032191835.1-RS_2023_10	2633446684	21	Chromosome	2023-09-29	JAVQKZ01	14376057	150619664	660	0.9762032	0.9378342	0.038368985	0.004010695	0.019786097	sauropsida_odb10	PacBio Sequel	CSIRO Applied Genomics Initiative	PRJNA1013038	SAMN37280769	25370	20682	913				
GCA_043643385.1	ASM4364338v1	Chamaeleo calyptratus	179908						AJP-2024a	male		1803551824	12	Chromosome	2024-10-24	JBDIXL01	14096519	278718720	487							PacBio	Stowers Institute for Medical Research	PRJNA1106902	SAMN41153437							
GCF_009819535.1	rLacAgi1.pri	Lacerta agilis	80427						rLacAgi1	female	NCBI Lacerta agilis Annotation Release 100	1391387079	20	Chromosome	2019-12-31	WNMS01	6613248	86565987	28	0.9758021	0.9465241	0.029278075	0.004010695	0.020187166	sauropsida_odb10	PacBio Sequel I CLR; Illumina NovaSeq; Arima Genomics Hi-C; Bionano Genomics DLS	Vertebrate Genomes Project	PRJNA562018	SAMN12629509	23190	20325	491				
GCA_964252035.1	rPodErh1.hap1.1	Podarcis erhardii	140042									1495977497	20	Chromosome	2024-08-31	CAXUOO01	3226442	93518625	325							PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB79339	SAMEA115336771							
GCF_031021105.1	rEryReg1.hap1	Erythrolamprus reginae	121349						rEryReg1	female	GCF_031021105.1-RS_2024_12	1964049041	14	Chromosome	2023-08-31	JAVGWQ01	3064756	259117534	400	0.93877006	0.90721923	0.031550802	0.008957219	0.052272726	sauropsida_odb10	PacBio Sequel II HiFi; Arima Hi-C v2	Vertebrate Genomes Project	PRJNA921730	SAMN32631248	23144	19996	702				
GCA_037367245.1	CIB_Pgui_1.0	Phrynocephalus guinanensis	740940						GN01	female		1813735221	24	Chromosome	2024-03-20	JAWVWL01	2541092	132691761	50							PacBio Sequel	Chengdu Institute of Biology, CAS	PRJNA1035608	SAMN38108944							
GCA_947247035.1	rVipUrs1.1	Vipera ursinii	103942									1625006165	19	Chromosome	2022-10-30	CAMXUJ01	2137891	212821320	383							PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB57183	SAMEA12832258							
GCF_019175285.1	SceUnd_v1.1	Sceloporus undulatus	8520					Alabama	JIND9_A2432	male	NCBI Sceloporus undulatus Annotation Release 100	1905484175	11	Chromosome	2021-07-08	JAGXEY01	75501	275632209	45012	0.95040107	0.9262032	0.024197862	0.015508021	0.03409091	sauropsida_odb10	Illumina HiSeq; PacBio	Auburn University	PRJNA612440	SAMN14373011	23443	19905	670				
GCA_041380405.1	SponNit_1.0	Spondylurus nitidus	3095121			Spon15				female		1397740396	16	Chromosome	2024-08-21	JAWXVK01	199700853	208671581	20							PacBio Sequel	North Carolina State University	PRJNA1039818	SAMN38227680							
GCA_039707465.1	ASM3970746v1	Rhabdophis nuchalis	126483						MD-2024a	female		1924646879	20	Chromosome	2024-05-20	JBDLLF01	104787037	204956984	405							PacBio Revio sequencing; Hi-C sequencing; MGI short-read sequencing; RNA sequencing	Sichuan Agricultural University	PRJNA1096857	SAMN40788225							
GCA_041722995.2	BASDU_1.0	Acritoscincus duperreyi	316450						Individual 364	male		1567876677	16	Chromosome	2024-11-06	JAVSCH02	90404876	222269761	171							PacBio Sequel II; Oxford Nanopore PromethION	AusArg	PRJNA980841	SAMN37176090							
GCA_964340495.1	rHemHip1.1	Hemorrhois hippocrepis	166086									1806509314	19	Chromosome	2024-11-17	CAYFAC01	54718507	153613759	110							ONT, Illumina, Omni-C	Centro Nacional de Análisis Genómico	PRJEB77927	SAMEA115083735							
GCA_046524025.1	ASM4652402v1	Cerastes gasperettii	110202						CG1	female		1632725608	19	Chromosome	2025-01-06	JAZHBS01	45697377	214149504	221							PacBio; Hi-C	Institute of Evolutionary Biology	PRJNA1068073	SAMN39573452							
GCA_964659585.1	rNatMau1.1	Natrix maura	8585									1738069032	18	Chromosome	2025-01-02	CBAADP01	36526383	174378910	209							ONT, Illumina, Arima v2	Centro Nacional de Análisis Genómico	PRJEB77786	SAMEA114541135							
GCA_047301725.1	DTU_Vamm_2.0	Vipera ammodytes	8704						VAMM-2024	male		1545746728	18	Chromosome	2025-01-30	JBKYKP01	35951249	210475551	24							PacBio Sequel; Illumina HiSeq	BGI Genomics	PRJNA1177245	SAMN44416039							
GCA_033807585.1	HMAJ_1.0	Hydrophis major	355693					Western Australia	SAMAR72044	female		2166703382	16	Chromosome	2023-11-21	JAUCBL01	35743180	268276564	1320							PacBio RSII	Australian Amphibian and Reptile Genomics Initiative	PRJNA984433	SAMN35768000							
GCA_964265115.1	rMalMon1.1	Malpolon monspessulanus	184164									1752149986	23	Chromosome	2024-09-25	CAXWAQ01	32743049	121923953	60							ONT, Illumina, omniC	Centro Nacional de Análisis Genómico	PRJEB77783	SAMEA114541114							
GCA_042257475.1	ASM4225747v1	Asaccus caudivolvulus	886391						BBC_2024a			1733398839	20	Chromosome	2024-09-27	JBEURW01	19951807	114541579	37							Oxford Nanopore; Illumina; Omni-C	Institute of Evolutionary Biology	PRJNA1043593	SAMN39327732							
GCF_021028975.2	MPM_Stown_v2.3	Sphaerodactylus townsendi	933632						TG3544	male	NCBI Sphaerodactylus townsendi Annotation Release 100	1810846735	17	Chromosome	2022-04-08	JAHVXK02	9459502	133801376	1742	0.9221925	0.9052139	0.01697861	0.021791443	0.056016043	sauropsida_odb10	Illumina HiSeq	Marquette University	PRJNA746057	SAMN20179316	21793	18976	549				
GCA_964234825.1	rPodMel1.hap2.1	Podarcis melisellensis	65482									1437044901	18	Chromosome	2024-08-31	CAXSAJ01	3107267	92085810	200							PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB79072	SAMEA115336775							
GCA_964270895.1	rPodFil1.hap1.1	Podarcis filfolensis	65481									1506948896	20	Chromosome	2024-09-29	CAXWSZ01	3042058	91563485	348							PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB80628	SAMEA113403362							
GCA_965113305.1	rPodVau1.hap2.1	Podarcis vaucheri	140051									1510738089	18	Chromosome	2025-01-24	CBCOUL01	2992141	100944791	151							PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB85074	SAMEA115336770							
GCA_965112155.1	rPodLio1.hap1.1	Podarcis liolepis	662736									1574003547	20	Chromosome	2025-01-23	CBCOQI01	2883979	95422932	289							PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB84044	SAMEA114217798							
GCA_964106915.2	rPodGai1.hap1.2	Podarcis gaigeae	90521									1514623329	20	Chromosome	2024-09-17	CAXKYZ02	2858450	91932266	210							PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB76108	SAMEA114217796							
GCA_964188305.1	rPodBoc1.hap1.1	Podarcis bocagei	90520									1615189422	20	Chromosome	2024-06-21	CAXLOY01	2681335	94948854	506							PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB76738	SAMEA115336769							
GCA_965153305.1	rPodTil1.hap2.1	Podarcis tiliguerta	65485									1382196565	17	Chromosome	2025-02-26	CBCUEI01	2575368	90889416	306							PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB85969	SAMEA114217799							
GCA_964273705.1	rNatHel1.hap1.1	Natrix helvetica	2025560									1777495310	18	Chromosome	2024-10-05	CAXWXV01	1870695	172830377	486							PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB80796	SAMEA114598156							
GCA_964106635.2	rPodPit1.hap2.2	Podarcis pityusensis	74359									1417079496	18	Chromosome	2024-07-05	CAXKZD02	1719006	92418909	183							PacBio,Arima2	WELLCOME SANGER INSTITUTE	PRJEB76013	SAMEA114217797							
GCA_947686815.1	rPodLil1.2	Podarcis lilfordi	74358								Annotation submitted by UB (Universitat de Barcelona)	1460085851	20	Chromosome	2023-08-09	CANTUW01	1481499	89641981	2148							ONT, 10X linked reads, omniC	UB (Universitat de Barcelona)	PRJEB47961	SAMEA112254106	991319	25676					
GCA_020142125.1	MUOH_PhPlat_1.1	Phrynosoma platyrhinos	52577						NK-2021	female	Annotation submitted by Miami University	1901839624	17	Chromosome	2021-09-27	JAIPUX01	12043	273212747	5291							Illumina	Miami University	PRJNA685451	SAMN17187150	32712	16750					
GCA_003118565.2	Ppicta_v2.0	Paroedura picta	143630									1562175643	18	Scaffold	2021-09-14	BDOT02	21853	109004681	4871							Illumina HiSeq	Phyloinformatics Unit, Center for Life Science Technologies (CLST), RIKEN	PRJDB5392	SAMD00069447							
GCA_032468175.1	ASM3246817v1	Toxicocalamus goodenoughensis	2725382						LSUMZ 98043			1296406934		Scaffold	2023-10-10	JANHFN01	6052	110765	313041							Illumina	Iridian Genomes	PRJNA785169	SAMN25280387				assembly from type material			
GCF_000186305.1	Python_molurus_bivittatus-5.0.2	Python bivittatus	176946							female	NCBI Python bivittatus Annotation Release 102	1435034535		Scaffold	2013-09-15	AEQU02	10658	213970	39112	0.9236631	0.9147059	0.008957219	0.03355615	0.04278075	sauropsida_odb10	Illumina; 454	The Consortium for Comparative Genomics, UC Denver	PRJNA61243	SAMN02981298	22427	19793	455				
GCF_900067755.1	pvi1.1	Pogona vitticeps	103695							male	NCBI Pogona vitticeps Annotation Release 100	1716675060		Scaffold	2017-02-28	CEMB01	35501	2477614	13749	0.9721925	0.9609626	0.011229946	0.009491978	0.018315507	sauropsida_odb10		BRAEMBL	PRJEB5206	SAMEA2300447	21994	18891	421				
GCA_000516915.1	OphHan1.0	Ophiophagus hannah	8665							male	Annotation submitted by Naturalis Biodiversity Center	1594074654		Scaffold	2013-12-11	AZIM01	5201	241519	296399							Illumina HiSeq	Naturalis Biodiversity Center	PRJNA201683	SAMN02439592	18579	18445					
GCF_029531705.1	CU_Pguttatus_1	Pantherophis guttatus	94885						1	male	GCF_029531705.1-RS_2023_10	1708105946		Scaffold	2023-03-31	JAKNRS01	3031475	63228677	466	0.9529412	0.9066845	0.046256684	0.005614973	0.04144385	sauropsida_odb10	PacBio	Columbia University	PRJNA803176	SAMN25637154	26250	20058	517				
GCF_001077635.1	Thamnophis_sirtalis-6.0	Thamnophis sirtalis	35019						EDBJR-23777	female	NCBI Thamnophis sirtalis Annotation Release 100	1424897867		Scaffold	2015-06-26	LFLD01	10447	647592	7930	0.7894385	0.77513367	0.014304813	0.07820856	0.13235295	sauropsida_odb10	Illumina	The Genome Institute at Washington University School of Medicine (WUGSC)	PRJNA189551	SAMN03759628	20076	18565	401				
GCA_023333645.1	rSceOcc1.0.p	Sceloporus occidentalis	8519						IW3139	male		2856339201		Scaffold	2022-05-11	JALMGF01	18989278	98418489	607							PacBio Sequel II; PacBIo Sequel IIe; Dovetail's OmniC; Illumina NovaSeq	UCLA	PRJNA824883	SAMN27480378							
GCA_012654045.1	UNIGE_Pmuc_v1.0	Ptyas mucosa	31142						Pmuc001	female		1721466642		Scaffold	2020-04-22	WNWU01	41154	15963960	21198							Illumina HiSeq	University of Geneva	PRJNA588151	SAMN13229211							
GCF_001527695.2	P.Mucros_1.0	Protobothrops mucrosquamatus	103944						PMUCROS		NCBI Protobothrops mucrosquamatus Annotation Release 101	1673859098		Scaffold	2016-01-22	BCNE02	21948	424052	52279							Illumina HiSeq 2500	Okinawa Institute of Science and Technology	PRJDB4386	SAMD00043515	22367	20508	597				
GCA_046270485.1	ASM4627048v1	Boa constrictor	8574						UPRMGRS_1515_TJC_928			1545350959		Scaffold	2024-12-25	JBJNSB01	14006	22988	619391							Illumina	Iridian Genomes	PRJNA1169559	SAMN43785642							
GCA_046270045.1	ASM4627004v1	Basiliscus vittatus	211979						UPRMGRS_1288_TJC_661			2169435905		Scaffold	2024-12-24	JBJNIN01	12844	165964567	901793							Illumina	Iridian Genomes	PRJNA1169592	SAMN44523915							
GCA_046269885.1	ASM4626988v1	Daboia russelii	8707						RAP0501			1319863035		Scaffold	2024-12-24	JBJJOO01	5873	6703	452423							Illumina	Iridian Genomes	PRJNA1180779	SAMN44529011							
GCA_046271145.1	ASM4627114v1	Hemidactylus flaviviridis	260202						UPRMGRS_1744_TJC_1360			2270210552		Scaffold	2024-12-25	JBJPHH01	5485	6337	1595772							Illumina	Iridian Genomes	PRJNA1169565	SAMN43785648							
GCA_023053685.1	rDiaPun1.0.p	Diadophis punctatus similis	158812						HBS135679	female		1783006549		Scaffold	2022-04-19	JALIGW01	8013852	83654930	443							PacBio Sequel IIe; Dovetails OmniC; Illumina NovaSeq	UCLA	PRJNA810488	SAMN25872410							
GCA_030847615.1	rGamWis1.0.hap2	Gambelia wislizenii	43593						HBS 135999	female		2466589883		Scaffold	2023-08-21	JAUMIR01	138191064	380060318	69							Illumina NovaSeq 6000; Pacbio Sequel IIe; Dovetail OmniC	UCLA	PRJNA995631	SAMN35845454							
GCA_040207535.1	USC_Ccil_1.0	Correlophus ciliatus	143539					US Hobby	MAA-2024a			1652967480		Scaffold	2024-06-17	JBBPXQ01	109210969	109210969	151							PacBio	University of Southern California	PRJNA1091669	SAMN40604022							
GCA_030761175.1	rMasLat1.0.hap2	Masticophis lateralis	1651146						HBS 135920	female		1504000112		Scaffold	2023-08-16	JAUDYJ01	68931034	214958471	120							Illumina NovaSeq 6000; PacBio Sequel IIe; Dovetail OmniC	UCLA	PRJNA986588	SAMN35735684							
GCA_022577455.1	rAriEle1.0.p	Arizona elegans	94893					subspecies occidentalis	HBS 135684			1842534626		Scaffold	2022-03-15	JAKOOJ01	54101938	105945816	139							PacBio Sequel II; PacBio Sequel IIe; Dovetail OmniC; Illumina NovaSeq	UCLA	PRJNA796781	SAMN24818160							
GCA_023362775.1	rChaBot1.0.p	Charina bottae	51858						HBS 135849			1804921757		Scaffold	2022-05-13	JALMGJ01	37334273	97015800	288							PacBio Sequel IIe; Dovetail's OmniC; Illumina NovaSeq	UCLA	PRJNA824889	SAMN26367999							
GCA_034509955.1	ASU_Unig_1	Urosaurus nigricauda	3148767						ASU_Uro_nig_1	male		1870054407		Scaffold	2023-12-21	JAOEGL01	23281897	279651831	327							PacBio Sequel	Arizona State University	PRJNA825570	SAMN28669246							
GCA_037043045.1	ASM3704304v1	Hydrophis curtus	355685						ss_UAE728			1925084451		Scaffold	2024-03-06	JAWKAS01	11305392	267790965	809							Oxford Nanopore PromethION; Illumina Novaseq	Garvan Institution	PRJNA780942	SAMN23222007							
GCA_029375565.1	UGM_Ggeck_1	Gekko gecko	36310						LN22022_2	male		2741107181		Scaffold	2023-03-23	JAPDNY01	10858724	190862615	4208							Oxford Nanopore; Illumina NextSeq	Faculty of Biology Universitas Gadjah Mada	PRJNA894965	SAMN31484119							
GCA_001625485.2	ASM162548v2	Crotalus horridus	35024						016-059-111	female		1574170127		Scaffold	2024-11-01	LVCR02	2255360	2328772	5707							Oxford Nanopore PromethION	Timber Rattlesnake Genome	PRJNA181087	SAMN01815951							
GCA_030556195.1	ASM3055619v1	Anolis apletophallus	2032994			AnoAple_1.1				female		2423005677		Scaffold	2023-07-31	JARBWK01	658947	154613287	9445							Complete Genomics	University of Nevada Reno	PRJNA906575	SAMN33339893							
GCF_004798865.1	ASM479886v1	Varanus komodoensis	61221			SLA01				male	NCBI Varanus komodoensis Annotation Release 100	1507945839		Scaffold	2019-04-17	SJPD01	189463	23831982	1411	0.9606952	0.9470588	0.013636364	0.0084224595	0.030882353	sauropsida_odb10	PacBio; Oxford Nanopore MinION; BioNano physical mapping; 10X Genomics	Gladstone Institutes	PRJNA523222	SAMN10967258	20435	17968	254				
GCA_018340635.1	Ibu_BjarHA_1.0	Bothrops jararaca	8724						BSP84406	female		1672323932		Scaffold	2021-05-11	JAGTXL01	162550	164310	27698							Illumina HiSeq; Illumina MiSeq; PacBio RSII	Instituto Butantan	PRJNA691605	SAMN17606782							
