Common Name	Description	NCBI GeneID	Gene Type	Protein Count	RNA Type	Symbol	Taxonomic ID	Taxonomic Name	Transcript Accession	Transcript CDS Sequence Accession	Transcript CDS Order	Transcript CDS Orientation	Transcript CDS Start	Transcript CDS Stop	Transcript Count	Transcript Ensembl Transcript	Transcript Genomic Accession 	Transcript Genomic Exons Order	Transcript Genomic Exons Orientation	Transcript Genomic Exons Start	Transcript Genomic Exons Stop	Transcript Genomic Order	Transcript Genomic Orientation	Transcript Genomic Start	Transcript Genomic Stop	Transcript Genomic Seq Name	Transcript Transcript Length	Transcript Transcript Name	Transcript Protein Accession	Transcript Protein Ensembl Protein	Transcript Protein Isoform	Transcript Protein Length	Transcript Protein Mature Peptide Accession	Transcript Protein Mature Peptide Length	Transcript Protein Mature Peptide Name	Transcript Protein Name	Transcript Select Category	Transcript Type
little brown bat	matrilin 1	102438263	PROTEIN_CODING	1		MATN1	59463	Myotis lucifugus	XM_023744245.1	XM_023744245.1			1	1491	1	ENSMLUT00000001187.2	NW_005871486.1	5		663399	663816		plus	658151	666377	NW_005871486 Unplaced Scaffold Reference Myoluc2.0	1491		XP_023600013.1	ENSMLUP00000001086.2		496				LOW QUALITY PROTEIN: cartilage matrix protein		PROTEIN_CODING_MODEL
little brown bat	matrilin 1	102438263	PROTEIN_CODING	1		MATN1	59463	Myotis lucifugus	XM_023744245.1	XM_023744245.1			1	1491	1	ENSMLUT00000001187.2	NW_005871486.1	6		664616	664768		plus	658151	666377	NW_005871486 Unplaced Scaffold Reference Myoluc2.0	1491		XP_023600013.1	ENSMLUP00000001086.2		496				LOW QUALITY PROTEIN: cartilage matrix protein		PROTEIN_CODING_MODEL
little brown bat	matrilin 1	102438263	PROTEIN_CODING	1		MATN1	59463	Myotis lucifugus	XM_023744245.1	XM_023744245.1			1	1491	1	ENSMLUT00000001187.2	NW_005871486.1	7		665622	665702		plus	658151	666377	NW_005871486 Unplaced Scaffold Reference Myoluc2.0	1491		XP_023600013.1	ENSMLUP00000001086.2		496				LOW QUALITY PROTEIN: cartilage matrix protein		PROTEIN_CODING_MODEL
little brown bat	matrilin 1	102438263	PROTEIN_CODING	1		MATN1	59463	Myotis lucifugus	XM_023744245.1	XM_023744245.1			1	1491	1	ENSMLUT00000001187.2	NW_005871486.1	8		666328	666377		plus	658151	666377	NW_005871486 Unplaced Scaffold Reference Myoluc2.0	1491		XP_023600013.1	ENSMLUP00000001086.2		496				LOW QUALITY PROTEIN: cartilage matrix protein		PROTEIN_CODING_MODEL
white-tailed eagle	matrilin 1	104318429	PROTEIN_CODING	1		MATN1	8969	Haliaeetus albicilla	XM_009919677.2	XM_009919677.2			150	1853	1		NC_091498.1	1		6472266	6472724		minus	6449511	6472724	Chromosome 16 Reference bHalAlb1.1 Primary Assembly	3354		XP_009917979.2			567				cartilage matrix protein		PROTEIN_CODING_MODEL
white-tailed eagle	matrilin 1	104318429	PROTEIN_CODING	1		MATN1	8969	Haliaeetus albicilla	XM_009919677.2	XM_009919677.2			150	1853	1		NC_091498.1	2		6468793	6469139		minus	6449511	6472724	Chromosome 16 Reference bHalAlb1.1 Primary Assembly	3354		XP_009917979.2			567				cartilage matrix protein		PROTEIN_CODING_MODEL
white-tailed eagle	matrilin 1	104318429	PROTEIN_CODING	1		MATN1	8969	Haliaeetus albicilla	XM_009919677.2	XM_009919677.2			150	1853	1		NC_091498.1	3		6460580	6460802		minus	6449511	6472724	Chromosome 16 Reference bHalAlb1.1 Primary Assembly	3354		XP_009917979.2			567				cartilage matrix protein		PROTEIN_CODING_MODEL
white-tailed eagle	matrilin 1	104318429	PROTEIN_CODING	1		MATN1	8969	Haliaeetus albicilla	XM_009919677.2	XM_009919677.2			150	1853	1		NC_091498.1	4		6457950	6458075		minus	6449511	6472724	Chromosome 16 Reference bHalAlb1.1 Primary Assembly	3354		XP_009917979.2			567				cartilage matrix protein		PROTEIN_CODING_MODEL
white-tailed eagle	matrilin 1	104318429	PROTEIN_CODING	1		MATN1	8969	Haliaeetus albicilla	XM_009919677.2	XM_009919677.2			150	1853	1		NC_091498.1	5		6457247	6457660		minus	6449511	6472724	Chromosome 16 Reference bHalAlb1.1 Primary Assembly	3354		XP_009917979.2			567				cartilage matrix protein		PROTEIN_CODING_MODEL
white-tailed eagle	matrilin 1	104318429	PROTEIN_CODING	1		MATN1	8969	Haliaeetus albicilla	XM_009919677.2	XM_009919677.2			150	1853	1		NC_091498.1	6		6455196	6455348		minus	6449511	6472724	Chromosome 16 Reference bHalAlb1.1 Primary Assembly	3354		XP_009917979.2			567				cartilage matrix protein		PROTEIN_CODING_MODEL
white-tailed eagle	matrilin 1	104318429	PROTEIN_CODING	1		MATN1	8969	Haliaeetus albicilla	XM_009919677.2	XM_009919677.2			150	1853	1		NC_091498.1	7		6452586	6452666		minus	6449511	6472724	Chromosome 16 Reference bHalAlb1.1 Primary Assembly	3354		XP_009917979.2			567				cartilage matrix protein		PROTEIN_CODING_MODEL
white-tailed eagle	matrilin 1	104318429	PROTEIN_CODING	1		MATN1	8969	Haliaeetus albicilla	XM_009919677.2	XM_009919677.2			150	1853	1		NC_091498.1	8		6449511	6451061		minus	6449511	6472724	Chromosome 16 Reference bHalAlb1.1 Primary Assembly	3354		XP_009917979.2			567				cartilage matrix protein		PROTEIN_CODING_MODEL
Alpine marmot	matrilin 1	107141528	PROTEIN_CODING	1		Matn1	9994	Marmota marmota marmota	XM_048782701.1	XM_048782701.1			5971	7644	1		NW_026000082.1	1		32071441	32076289		plus	32071441	32084175	NW_026000082 Unplaced Scaffold Reference marMar	7759		XP_048638658.1			557				LOW QUALITY PROTEIN: cartilage matrix protein		PROTEIN_CODING_MODEL
Alpine marmot	matrilin 1	107141528	PROTEIN_CODING	1		Matn1	9994	Marmota marmota marmota	XM_048782701.1	XM_048782701.1			5971	7644	1		NW_026000082.1	2		32076495	32076570		plus	32071441	32084175	NW_026000082 Unplaced Scaffold Reference marMar	7759		XP_048638658.1			557				LOW QUALITY PROTEIN: cartilage matrix protein		PROTEIN_CODING_MODEL
Alpine marmot	matrilin 1	107141528	PROTEIN_CODING	1		Matn1	9994	Marmota marmota marmota	XM_048782701.1	XM_048782701.1			5971	7644	1		NW_026000082.1	3		32076803	32078273		plus	32071441	32084175	NW_026000082 Unplaced Scaffold Reference marMar	7759		XP_048638658.1			557				LOW QUALITY PROTEIN: cartilage matrix protein		PROTEIN_CODING_MODEL
Alpine marmot	matrilin 1	107141528	PROTEIN_CODING	1		Matn1	9994	Marmota marmota marmota	XM_048782701.1	XM_048782701.1			5971	7644	1		NW_026000082.1	4		32080522	32081067		plus	32071441	32084175	NW_026000082 Unplaced Scaffold Reference marMar	7759		XP_048638658.1			557				LOW QUALITY PROTEIN: cartilage matrix protein		PROTEIN_CODING_MODEL
Alpine marmot	matrilin 1	107141528	PROTEIN_CODING	1		Matn1	9994	Marmota marmota marmota	XM_048782701.1	XM_048782701.1			5971	7644	1		NW_026000082.1	5		32081493	32081909		plus	32071441	32084175	NW_026000082 Unplaced Scaffold Reference marMar	7759		XP_048638658.1			557				LOW QUALITY PROTEIN: cartilage matrix protein		PROTEIN_CODING_MODEL
Alpine marmot	matrilin 1	107141528	PROTEIN_CODING	1		Matn1	9994	Marmota marmota marmota	XM_048782701.1	XM_048782701.1			5971	7644	1		NW_026000082.1	6		32082418	32082570		plus	32071441	32084175	NW_026000082 Unplaced Scaffold Reference marMar	7759		XP_048638658.1			557				LOW QUALITY PROTEIN: cartilage matrix protein		PROTEIN_CODING_MODEL
Alpine marmot	matrilin 1	107141528	PROTEIN_CODING	1		Matn1	9994	Marmota marmota marmota	XM_048782701.1	XM_048782701.1			5971	7644	1		NW_026000082.1	7		32083300	32083380		plus	32071441	32084175	NW_026000082 Unplaced Scaffold Reference marMar	7759		XP_048638658.1			557				LOW QUALITY PROTEIN: cartilage matrix protein		PROTEIN_CODING_MODEL
Alpine marmot	matrilin 1	107141528	PROTEIN_CODING	1		Matn1	9994	Marmota marmota marmota	XM_048782701.1	XM_048782701.1			5971	7644	1		NW_026000082.1	8		32084011	32084175		plus	32071441	32084175	NW_026000082 Unplaced Scaffold Reference marMar	7759		XP_048638658.1			557				LOW QUALITY PROTEIN: cartilage matrix protein		PROTEIN_CODING_MODEL
Egyptian rousette	matrilin 1	107503522	PROTEIN_CODING	2		MATN1	9407	Rousettus aegyptiacus	XM_036231141.1	XM_036231141.1			317	1885	2		NW_023416284.1	1		18944455	18944942		minus	18931385	18944942	NW_023416284 Unplaced Scaffold Reference mRouAeg1.p	2345	transcript variant X1	XP_036087034.1		isoform X1	522				cartilage matrix protein		PROTEIN_CODING_MODEL
Egyptian rousette	matrilin 1	107503522	PROTEIN_CODING	2		MATN1	9407	Rousettus aegyptiacus	XM_036231141.1	XM_036231141.1			317	1885	2		NW_023416284.1	2		18939084	18939430		minus	18931385	18944942	NW_023416284 Unplaced Scaffold Reference mRouAeg1.p	2345	transcript variant X1	XP_036087034.1		isoform X1	522				cartilage matrix protein		PROTEIN_CODING_MODEL
Egyptian rousette	matrilin 1	107503522	PROTEIN_CODING	2		MATN1	9407	Rousettus aegyptiacus	XM_036231141.1	XM_036231141.1			317	1885	2		NW_023416284.1	3		18936339	18936561		minus	18931385	18944942	NW_023416284 Unplaced Scaffold Reference mRouAeg1.p	2345	transcript variant X1	XP_036087034.1		isoform X1	522				cartilage matrix protein		PROTEIN_CODING_MODEL
Egyptian rousette	matrilin 1	107503522	PROTEIN_CODING	2		MATN1	9407	Rousettus aegyptiacus	XM_036231141.1	XM_036231141.1			317	1885	2		NW_023416284.1	4		18935053	18935178		minus	18931385	18944942	NW_023416284 Unplaced Scaffold Reference mRouAeg1.p	2345	transcript variant X1	XP_036087034.1		isoform X1	522				cartilage matrix protein		PROTEIN_CODING_MODEL
Egyptian rousette	matrilin 1	107503522	PROTEIN_CODING	2		MATN1	9407	Rousettus aegyptiacus	XM_036231141.1	XM_036231141.1			317	1885	2		NW_023416284.1	5		18934171	18934587		minus	18931385	18944942	NW_023416284 Unplaced Scaffold Reference mRouAeg1.p	2345	transcript variant X1	XP_036087034.1		isoform X1	522				cartilage matrix protein		PROTEIN_CODING_MODEL
Egyptian rousette	matrilin 1	107503522	PROTEIN_CODING	2		MATN1	9407	Rousettus aegyptiacus	XM_036231141.1	XM_036231141.1			317	1885	2		NW_023416284.1	6		18933420	18933572		minus	18931385	18944942	NW_023416284 Unplaced Scaffold Reference mRouAeg1.p	2345	transcript variant X1	XP_036087034.1		isoform X1	522				cartilage matrix protein		PROTEIN_CODING_MODEL
Egyptian rousette	matrilin 1	107503522	PROTEIN_CODING	2		MATN1	9407	Rousettus aegyptiacus	XM_036231141.1	XM_036231141.1			317	1885	2		NW_023416284.1	7		18932500	18932580		minus	18931385	18944942	NW_023416284 Unplaced Scaffold Reference mRouAeg1.p	2345	transcript variant X1	XP_036087034.1		isoform X1	522				cartilage matrix protein		PROTEIN_CODING_MODEL
Egyptian rousette	matrilin 1	107503522	PROTEIN_CODING	2		MATN1	9407	Rousettus aegyptiacus	XM_036231141.1	XM_036231141.1			317	1885	2		NW_023416284.1	8		18931385	18931894		minus	18931385	18944942	NW_023416284 Unplaced Scaffold Reference mRouAeg1.p	2345	transcript variant X1	XP_036087034.1		isoform X1	522				cartilage matrix protein		PROTEIN_CODING_MODEL
Egyptian rousette	matrilin 1	107503522	PROTEIN_CODING	2		MATN1	9407	Rousettus aegyptiacus	XM_016131934.2	XM_016131934.2			1	1491	2		NW_023416284.1	1		18941264	18941357		minus	18931385	18941357	NW_023416284 Unplaced Scaffold Reference mRouAeg1.p	1951	transcript variant X2	XP_015987420.1		isoform X2	496				cartilage matrix protein		PROTEIN_CODING_MODEL
Egyptian rousette	matrilin 1	107503522	PROTEIN_CODING	2		MATN1	9407	Rousettus aegyptiacus	XM_016131934.2	XM_016131934.2			1	1491	2		NW_023416284.1	2		18939084	18939430		minus	18931385	18941357	NW_023416284 Unplaced Scaffold Reference mRouAeg1.p	1951	transcript variant X2	XP_015987420.1		isoform X2	496				cartilage matrix protein		PROTEIN_CODING_MODEL
Egyptian rousette	matrilin 1	107503522	PROTEIN_CODING	2		MATN1	9407	Rousettus aegyptiacus	XM_016131934.2	XM_016131934.2			1	1491	2		NW_023416284.1	3		18936339	18936561		minus	18931385	18941357	NW_023416284 Unplaced Scaffold Reference mRouAeg1.p	1951	transcript variant X2	XP_015987420.1		isoform X2	496				cartilage matrix protein		PROTEIN_CODING_MODEL
Egyptian rousette	matrilin 1	107503522	PROTEIN_CODING	2		MATN1	9407	Rousettus aegyptiacus	XM_016131934.2	XM_016131934.2			1	1491	2		NW_023416284.1	4		18935053	18935178		minus	18931385	18941357	NW_023416284 Unplaced Scaffold Reference mRouAeg1.p	1951	transcript variant X2	XP_015987420.1		isoform X2	496				cartilage matrix protein		PROTEIN_CODING_MODEL
Egyptian rousette	matrilin 1	107503522	PROTEIN_CODING	2		MATN1	9407	Rousettus aegyptiacus	XM_016131934.2	XM_016131934.2			1	1491	2		NW_023416284.1	5		18934171	18934587		minus	18931385	18941357	NW_023416284 Unplaced Scaffold Reference mRouAeg1.p	1951	transcript variant X2	XP_015987420.1		isoform X2	496				cartilage matrix protein		PROTEIN_CODING_MODEL
Egyptian rousette	matrilin 1	107503522	PROTEIN_CODING	2		MATN1	9407	Rousettus aegyptiacus	XM_016131934.2	XM_016131934.2			1	1491	2		NW_023416284.1	6		18933420	18933572		minus	18931385	18941357	NW_023416284 Unplaced Scaffold Reference mRouAeg1.p	1951	transcript variant X2	XP_015987420.1		isoform X2	496				cartilage matrix protein		PROTEIN_CODING_MODEL
Egyptian rousette	matrilin 1	107503522	PROTEIN_CODING	2		MATN1	9407	Rousettus aegyptiacus	XM_016131934.2	XM_016131934.2			1	1491	2		NW_023416284.1	7		18932500	18932580		minus	18931385	18941357	NW_023416284 Unplaced Scaffold Reference mRouAeg1.p	1951	transcript variant X2	XP_015987420.1		isoform X2	496				cartilage matrix protein		PROTEIN_CODING_MODEL
Egyptian rousette	matrilin 1	107503522	PROTEIN_CODING	2		MATN1	9407	Rousettus aegyptiacus	XM_016131934.2	XM_016131934.2			1	1491	2		NW_023416284.1	8		18931385	18931894		minus	18931385	18941357	NW_023416284 Unplaced Scaffold Reference mRouAeg1.p	1951	transcript variant X2	XP_015987420.1		isoform X2	496				cartilage matrix protein		PROTEIN_CODING_MODEL
	matrilin 1	115015802	PROTEIN_CODING	1		matn1	56716	Cottoperca gobio	XM_029443370.1	XM_029443370.1			1	1473	1	ENSCGOT00000031185.1	NC_041365.1	1		5982390	5982477		minus	5978153	5982477	Chromosome 11 Reference fCotGob3.1	1473		XP_029299230.1	ENSCGOP00000029013.1		490				cartilage matrix protein		PROTEIN_CODING_MODEL
	matrilin 1	115015802	PROTEIN_CODING	1		matn1	56716	Cottoperca gobio	XM_029443370.1	XM_029443370.1			1	1473	1	ENSCGOT00000031185.1	NC_041365.1	2		5980957	5981141		minus	5978153	5982477	Chromosome 11 Reference fCotGob3.1	1473		XP_029299230.1	ENSCGOP00000029013.1		490				cartilage matrix protein		PROTEIN_CODING_MODEL
	matrilin 1	115015802	PROTEIN_CODING	1		matn1	56716	Cottoperca gobio	XM_029443370.1	XM_029443370.1			1	1473	1	ENSCGOT00000031185.1	NC_041365.1	3		5980695	5980859		minus	5978153	5982477	Chromosome 11 Reference fCotGob3.1	1473		XP_029299230.1	ENSCGOP00000029013.1		490				cartilage matrix protein		PROTEIN_CODING_MODEL
	matrilin 1	115015802	PROTEIN_CODING	1		matn1	56716	Cottoperca gobio	XM_029443370.1	XM_029443370.1			1	1473	1	ENSCGOT00000031185.1	NC_041365.1	4		5980377	5980599		minus	5978153	5982477	Chromosome 11 Reference fCotGob3.1	1473		XP_029299230.1	ENSCGOP00000029013.1		490				cartilage matrix protein		PROTEIN_CODING_MODEL
	matrilin 1	115015802	PROTEIN_CODING	1		matn1	56716	Cottoperca gobio	XM_029443370.1	XM_029443370.1			1	1473	1	ENSCGOT00000031185.1	NC_041365.1	5		5979367	5979489		minus	5978153	5982477	Chromosome 11 Reference fCotGob3.1	1473		XP_029299230.1	ENSCGOP00000029013.1		490				cartilage matrix protein		PROTEIN_CODING_MODEL
	matrilin 1	115015802	PROTEIN_CODING	1		matn1	56716	Cottoperca gobio	XM_029443370.1	XM_029443370.1			1	1473	1	ENSCGOT00000031185.1	NC_041365.1	6		5979104	5979276		minus	5978153	5982477	Chromosome 11 Reference fCotGob3.1	1473		XP_029299230.1	ENSCGOP00000029013.1		490				cartilage matrix protein		PROTEIN_CODING_MODEL
	matrilin 1	115015802	PROTEIN_CODING	1		matn1	56716	Cottoperca gobio	XM_029443370.1	XM_029443370.1			1	1473	1	ENSCGOT00000031185.1	NC_041365.1	7		5978783	5979014		minus	5978153	5982477	Chromosome 11 Reference fCotGob3.1	1473		XP_029299230.1	ENSCGOP00000029013.1		490				cartilage matrix protein		PROTEIN_CODING_MODEL
	matrilin 1	115015802	PROTEIN_CODING	1		matn1	56716	Cottoperca gobio	XM_029443370.1	XM_029443370.1			1	1473	1	ENSCGOT00000031185.1	NC_041365.1	8		5978501	5978653		minus	5978153	5982477	Chromosome 11 Reference fCotGob3.1	1473		XP_029299230.1	ENSCGOP00000029013.1		490				cartilage matrix protein		PROTEIN_CODING_MODEL
	matrilin 1	115015802	PROTEIN_CODING	1		matn1	56716	Cottoperca gobio	XM_029443370.1	XM_029443370.1			1	1473	1	ENSCGOT00000031185.1	NC_041365.1	9		5978317	5978397		minus	5978153	5982477	Chromosome 11 Reference fCotGob3.1	1473		XP_029299230.1	ENSCGOP00000029013.1		490				cartilage matrix protein		PROTEIN_CODING_MODEL
	matrilin 1	115015802	PROTEIN_CODING	1		matn1	56716	Cottoperca gobio	XM_029443370.1	XM_029443370.1			1	1473	1	ENSCGOT00000031185.1	NC_041365.1	10		5978153	5978202		minus	5978153	5982477	Chromosome 11 Reference fCotGob3.1	1473		XP_029299230.1	ENSCGOP00000029013.1		490				cartilage matrix protein		PROTEIN_CODING_MODEL
milkfish	matrilin 1	115824807	PROTEIN_CODING	1		matn1	29144	Chanos chanos	XM_030788559.1	XM_030788559.1			1	1494	1		NC_044506.1	1		19409358	19409460		minus	19402864	19409460	Chromosome 12 Reference fChaCha1.1 Primary Assembly	1494		XP_030644419.1			497				cartilage matrix protein		PROTEIN_CODING_MODEL
milkfish	matrilin 1	115824807	PROTEIN_CODING	1		matn1	29144	Chanos chanos	XM_030788559.1	XM_030788559.1			1	1494	1		NC_044506.1	2		19406987	19407336		minus	19402864	19409460	Chromosome 12 Reference fChaCha1.1 Primary Assembly	1494		XP_030644419.1			497				cartilage matrix protein		PROTEIN_CODING_MODEL
milkfish	matrilin 1	115824807	PROTEIN_CODING	1		matn1	29144	Chanos chanos	XM_030788559.1	XM_030788559.1			1	1494	1		NC_044506.1	3		19406114	19406327		minus	19402864	19409460	Chromosome 12 Reference fChaCha1.1 Primary Assembly	1494		XP_030644419.1			497				cartilage matrix protein		PROTEIN_CODING_MODEL
milkfish	matrilin 1	115824807	PROTEIN_CODING	1		matn1	29144	Chanos chanos	XM_030788559.1	XM_030788559.1			1	1494	1		NC_044506.1	4		19405117	19405257		minus	19402864	19409460	Chromosome 12 Reference fChaCha1.1 Primary Assembly	1494		XP_030644419.1			497				cartilage matrix protein		PROTEIN_CODING_MODEL
milkfish	matrilin 1	115824807	PROTEIN_CODING	1		matn1	29144	Chanos chanos	XM_030788559.1	XM_030788559.1			1	1494	1		NC_044506.1	5		19403746	19404147		minus	19402864	19409460	Chromosome 12 Reference fChaCha1.1 Primary Assembly	1494		XP_030644419.1			497				cartilage matrix protein		PROTEIN_CODING_MODEL
milkfish	matrilin 1	115824807	PROTEIN_CODING	1		matn1	29144	Chanos chanos	XM_030788559.1	XM_030788559.1			1	1494	1		NC_044506.1	6		19403385	19403537		minus	19402864	19409460	Chromosome 12 Reference fChaCha1.1 Primary Assembly	1494		XP_030644419.1			497				cartilage matrix protein		PROTEIN_CODING_MODEL
milkfish	matrilin 1	115824807	PROTEIN_CODING	1		matn1	29144	Chanos chanos	XM_030788559.1	XM_030788559.1			1	1494	1		NC_044506.1	7		19403170	19403250		minus	19402864	19409460	Chromosome 12 Reference fChaCha1.1 Primary Assembly	1494		XP_030644419.1			497				cartilage matrix protein		PROTEIN_CODING_MODEL
milkfish	matrilin 1	115824807	PROTEIN_CODING	1		matn1	29144	Chanos chanos	XM_030788559.1	XM_030788559.1			1	1494	1		NC_044506.1	8		19402864	19402913		minus	19402864	19409460	Chromosome 12 Reference fChaCha1.1 Primary Assembly	1494		XP_030644419.1			497				cartilage matrix protein		PROTEIN_CODING_MODEL
orangethroat darter	matrilin 1	116701738	PROTEIN_CODING	2		matn1	54343	Etheostoma spectabile	XM_032535612.1	XM_032535612.1			190	1662	2		NC_045746.1	1		3098720	3098996		plus	3098720	3103568	Chromosome 14 Reference UIUC_Espe_1.0 Primary Assembly	1975	transcript variant X1	XP_032391503.1		isoform X1	490				cartilage matrix protein		PROTEIN_CODING_MODEL
orangethroat darter	matrilin 1	116701738	PROTEIN_CODING	2		matn1	54343	Etheostoma spectabile	XM_032535612.1	XM_032535612.1			190	1662	2		NC_045746.1	2		3100157	3100341		plus	3098720	3103568	Chromosome 14 Reference UIUC_Espe_1.0 Primary Assembly	1975	transcript variant X1	XP_032391503.1		isoform X1	490				cartilage matrix protein		PROTEIN_CODING_MODEL
orangethroat darter	matrilin 1	116701738	PROTEIN_CODING	2		matn1	54343	Etheostoma spectabile	XM_032535612.1	XM_032535612.1			190	1662	2		NC_045746.1	3		3100439	3100603		plus	3098720	3103568	Chromosome 14 Reference UIUC_Espe_1.0 Primary Assembly	1975	transcript variant X1	XP_032391503.1		isoform X1	490				cartilage matrix protein		PROTEIN_CODING_MODEL
