Species	COG4-SF3B3	COG4-MTSS2	COG4-VAC14	SF3B3-MTSS2	SF3B3-VAC14	MTSS2-VAC14	
Mustela_lutreola	1466	111605	132236	69230	89861	2030	
Mustela_nigripes	1462	111833	132667	69573	90407	2177	
Myotis_daubentonii	3466	120120	136396	75839	92115	1923	
Narcine_bancroftii	73603	417731	693277	295112	570658	58945	
Neofelis_nebulosa	4272	137995	161320	90125	113450	2121	
Neogale_vison	1477	111210	132302	68482	89574	2002	
Neomonachus_schauinslandi	4019	116255	140991	74132	98868	8286	
Nomascus_leucogenys	38428	137020	159208	86771	108959	3900	
Numida_meleagris	1216	39467	51972	11625	24130	1005	
Nycticebus_coucang	5144	143383	168408	86319	111344	1888	
Ochotona_princeps	2488	107740	125422	64112	81794	1911	
Odocoileus_virginianus	3717	110523	128839	72274	90590	1260	
Oenanthe_melanoleuca	1084	42970	56600	14387	28017	2618	
Orcinus_orca	2885	115671	136347	67696	88372	2120	
Ornithorhynchus_anatinus	5014	94503	134538	59430	99465	9638	
Oryctolagus_cuniculus	3081	130491	151268	69531	90308	1848	
Ovis_aries	3557	110241	129100	71416	90275	1607	
Ovis_canadensis	3559	112508	131495	73740	92727	1607	
Pan_paniscus	3092	137106	161409	88900	113203	3862	
Panthera_leo	4253	135204	158582	88428	111806	1029	
Panthera_onca	4274	117473	140604	74299	97430	2122	
Panthera_tigris	4604	135765	159093	88699	112027	1030	
Panthera_uncia	4274	122172	146070	74690	98588	1030	
Pan_troglodytes	3091	137742	165977	89541	117776	7799	
Papio_anubis	4826	138533	163190	84696	109353	2137	
Patagioenas_fasciata	1427	45263	60083	15976	30796	2737	
Pelobates_fuscus	8068	118454	204317	97037	182900	10409	
Perognathus_longimembris	4522	86050	104690	42955	61595	5007	
Peromyscus_eremicus	2646	101844	122469	62526	83151	1781	
Peromyscus_leucopus	2672	105515	125740	66230	86455	1783	
Peromyscus_maniculatus	2693	105112	125988	65418	86294	1764	
Phacochoerus_africanus	3846	137993	159401	83607	105015	2094	
Phaenicophaeus_curvirostris	1020	49601	66153	20330	36882	4228	
Phocoena_phocoena	2879	113925	134568	67094	87737	2118	
Phocoena_sinus	2873	114442	135071	67364	87993	2112	
Phyllostomus_discolor	3846	110946	127433	68880	85367	1910	
Piliocolobus_tephrosceles	4526	144388	173110	91927	120649	10862	
Pithys_albifrons	1114	43553	57707	14394	28548	2720	
Pleurodeles_waltl	38754	1474866	2086623	1132694	1744451	303785	
Podarcis_raffonei	2447	38023	95127	6567	63671	2807	
Polypterus_senegalus	11690	35374636	35664197	35337291	35626852	32317	
Pongo_abelii	3139	135291	163712	87060	115481	6060	
Pongo_pygmaeus	3128	135458	163888	87206	115636	6053	
Prinia_subflava	1070	43454	57166	14748	28460	2628	
Prionailurus_bengalensis	4218	137249	160636	89561	112948	2115	
Prionailurus_viverrinus	4452	137678	161039	89520	112881	7274	
Pristiophorus_japonicus	37247	566810	888078	472392	793660	123103	
Pristis_pectinata	11747	271463	470426	219348	418311	50310	
Protopterus_annectens	17299	10918603	12438660	11809159	13329216	277690	
Pseudophryne_corroboree	4123	349119	668472	326838	646191	151067	
Pseudopipra_pipra	1108	50232	64249	21472	35489	2711	
Pseudorca_crassidens	2893	115634	136325	67596	88287	2157	
Rana_temporaria	7156	152526	246385	117417	211276	23281	
Ranitomeya_imitator	2075	73415	194895	60108	181588	57036	
Rattus_norvegicus	2485	108311	129043	71222	91954	1739	
Rhea_pennata	1098	42995	59865	12638	29508	2773	
Rhinatrema_bivittatum	9221	27193834	27534600	26946598	27287364	76112	
Rhineura_floridana	1755	74557	154739	9573	89755	4668	
Rhinolophus_ferrumequinum	3235	106424	127185	67466	88227	6273	
Rhinopithecus_roxellana	4528	139709	167698	86860	114849	6048	
Rissa_tridactyla	1136	47909	63289	17950	33330	3131	
Saccopteryx_bilineata	2319	136744	152561	92153	107970	1918	
Saccopteryx_leptura	2339	139920	155960	91247	107287	1933	
Sarcophilus_harrisii	4385	158672	192394	124501	158223	2815	
Sciurus_carolinensis	3139	127820	147510	80368	100058	1947	
Scyliorhinus_canicula	45011	606159	930071	491197	815109	122600	
Sorex_araneus	3632	101479	118630	60834	77985	1587	
Spea_bombifrons	1013	25699	51165	14507	39973	3088	
Sphaerodactylus_townsendi	2320	39573	118440	4692	83559	5092	
Strigops_habroptila	1046	51571	61316	23245	32990	2546	
Struthio_camelus	1168	53225	79071	21082	46928	4465	
Suncus_etruscus	4082	123890	143988	67469	87567	1594	
Suricata_suricatta	3323	114109	134648	68011	88550	1675	
Sus_scrofa	3592	138454	159795	84678	106019	2026	
Symphalangus_syndactylus	5530	139034	164904	89358	115228	7822	
Tachyglossus_aculeatus	5657	114849	165515	74963	125629	13313	
Thamnophis_elegans	683	44701	103594	4563	63456	697	
Theropithecus_gelada	4832	140170	170099	85418	115347	7165	
Trichosurus_vulpecula	1797	159579	195803	126010	162234	3425	
Tursiops_truncatus	2888	114036	134721	65986	86671	2135	
Ursus_arctos	3755	105308	124905	64377	83974	2083	
Vulpes_lagopus	5635	133529	153982	81072	101525	1780	
Xenopus_tropicalis	3446	131615	220477	91400	180262	30288	
Zalophus_californianus	2831	114217	134722	71786	92291	6498	
Zootoca_vivipara	2562	42493	104062	6611	68180	2768	
